enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
24043,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,never,28
18724,city_1,0.847,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,4,149
23093,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,Other,>20,,,>4,4
14366,city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,13,50-99,Pvt Ltd,1,54
33340,city_75,0.939,Male,No relevent experience,Full time course,Graduate,STEM,5,,Pvt Ltd,never,48
26634,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,16,,,1,254
27532,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,4,,,never,29
21800,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,Pvt Ltd,>4,7
28697,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,4,100-500,Pvt Ltd,1,33
1207,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,13,100-500,Pvt Ltd,>4,118
32953,city_144,0.84,Other,No relevent experience,,,,2,,,never,8
6188,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,500-999,Pvt Ltd,1,72
29237,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,100-500,Pvt Ltd,1,78
31885,city_100,0.887,Male,No relevent experience,no_enrollment,Graduate,Humanities,15,100-500,Public Sector,>4,86
25888,city_21,0.624,Male,No relevent experience,Full time course,High School,,6,,,never,44
29102,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,,,2,30
8673,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,3,74
11175,city_12,0.64,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,1,148
15559,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,2,46
3211,city_67,0.855,,Has relevent experience,no_enrollment,Graduate,STEM,11,1000-4999,Pvt Ltd,2,81
30044,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,2,50-99,NGO,2,86
18554,city_138,0.836,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,1,86
8665,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,47
27358,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,4,100-500,,never,85
30828,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,,1,46
8883,city_118,0.722,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,100-500,Pvt Ltd,4,4
28634,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,14
26523,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,22
17360,city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,never,16
31127,city_97,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,2,228
19185,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,4,28
26119,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,1,23
3982,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,9
7288,city_67,0.855,Male,No relevent experience,Full time course,High School,,8,100-500,Pvt Ltd,1,34
11769,city_103,0.92,Male,No relevent experience,Full time course,High School,,5,,,1,27
25884,city_70,0.698,Male,No relevent experience,no_enrollment,High School,,3,,,never,26
10514,city_21,0.624,,No relevent experience,no_enrollment,,,1,,,1,100
17050,city_70,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,<1,,,2,26
32077,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,12,5000-9999,Pvt Ltd,2,67
24773,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,2,149
2319,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,1,72
29944,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,3,,,1,52
23895,city_21,0.624,Male,No relevent experience,no_enrollment,High School,,<1,,,never,55
8676,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,50-99,Pvt Ltd,>4,43
20706,city_90,0.698,,Has relevent experience,Full time course,,,4,100-500,Pvt Ltd,2,26
27343,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,13,50-99,Pvt Ltd,>4,83
15624,city_67,0.855,Male,No relevent experience,Part time course,Graduate,STEM,17,,,2,19
5618,city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,4,,,4,51
17509,city_105,0.794,Male,Has relevent experience,,Graduate,STEM,5,100-500,,2,44
27500,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,2,55
3102,city_136,0.897,Male,Has relevent experience,no_enrollment,Phd,STEM,18,10/49,Pvt Ltd,1,256
3120,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,,>4,77
33071,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,1,76
16313,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,,1,206
23169,city_98,0.949,Male,No relevent experience,no_enrollment,Masters,STEM,4,50-99,,1,18
9305,city_118,0.722,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,91
31161,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,1,100-500,Pvt Ltd,never,27
13610,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,24
19395,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,1,50-99,Pvt Ltd,1,126
2707,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,2,50
32928,city_16,0.91,Female,No relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,1,28
24258,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,6,<10,Pvt Ltd,>4,96
29760,city_16,0.91,Male,Has relevent experience,Part time course,High School,,4,<10,,1,16
6023,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,15,,Pvt Ltd,>4,250
16764,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,19
888,city_160,0.92,,No relevent experience,Full time course,Graduate,STEM,5,,,1,117
29279,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,102
4851,city_114,0.926,,No relevent experience,no_enrollment,Masters,STEM,>20,,,>4,11
23186,city_21,0.624,,No relevent experience,Full time course,Primary School,,1,<10,Public Sector,never,15
2953,city_73,0.754,,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,3,28
29841,city_21,0.624,,No relevent experience,Full time course,High School,,<1,,,never,56
9052,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,85
7167,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10/49,,1,8
4366,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,1,85
455,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Funded Startup,2,52
31946,city_11,0.55,Female,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,never,51
27828,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,2,30
6477,city_99,0.915,,Has relevent experience,no_enrollment,Graduate,STEM,20,<10,Pvt Ltd,3,41
32277,city_9,0.743,Male,No relevent experience,Part time course,Primary School,,2,<10,Early Stage Startup,never,48
11870,city_162,0.767,Male,Has relevent experience,Full time course,Graduate,STEM,6,,,2,42
30601,city_16,0.91,Male,No relevent experience,no_enrollment,Primary School,,2,,Pvt Ltd,never,18
11652,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,>4,56
3458,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,214
11493,city_14,0.698,,No relevent experience,Full time course,High School,,2,,,never,6
30653,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,3,43
29917,city_162,0.767,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,14
16899,city_136,0.897,,No relevent experience,Full time course,Graduate,STEM,4,,,,25
30232,city_40,0.7759999999999999,,No relevent experience,no_enrollment,Masters,STEM,1,10/49,Pvt Ltd,1,108
14889,city_103,0.92,Other,Has relevent experience,no_enrollment,Masters,STEM,7,,,4,35
28760,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,5000-9999,Pvt Ltd,1,50
3822,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,184
12241,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,,never,16
12921,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,2,1000-4999,Pvt Ltd,1,75
20692,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,4,10/49,Pvt Ltd,2,34
13971,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Public Sector,2,42
26444,city_149,0.6890000000000001,,Has relevent experience,Full time course,Masters,STEM,3,10/49,Public Sector,>4,56
736,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,7
12578,city_77,0.83,Male,Has relevent experience,Part time course,,,>20,50-99,Pvt Ltd,2,37
28993,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,Humanities,4,,,3,32
22410,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,never,2
8892,city_7,0.647,,No relevent experience,no_enrollment,Graduate,STEM,1,,,never,33
5777,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,1,50-99,Pvt Ltd,never,10
451,city_162,0.767,Male,Has relevent experience,Part time course,Graduate,STEM,10,50-99,Pvt Ltd,2,308
8198,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,4,21
23343,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,<1,,,,18
28004,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,2,75
21921,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,2,146
22923,city_104,0.924,Male,No relevent experience,Full time course,,,6,,,2,21
20501,city_16,0.91,Male,No relevent experience,Full time course,Graduate,No Major,>20,50-99,NGO,>4,44
19156,city_23,0.899,,No relevent experience,no_enrollment,Graduate,STEM,5,100-500,Public Sector,>4,34
8719,city_65,0.802,,No relevent experience,no_enrollment,High School,,3,<10,,never,108
6254,city_103,0.92,Male,No relevent experience,no_enrollment,,,5,,,never,94
15375,city_89,0.925,,No relevent experience,no_enrollment,Masters,STEM,4,1000-4999,,2,43
12195,city_173,0.878,Male,No relevent experience,Part time course,Graduate,STEM,5,10000+,Pvt Ltd,1,77
30589,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,3,196
11986,city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15
19507,city_152,0.698,Male,No relevent experience,no_enrollment,High School,,3,,,never,96
7611,city_103,0.92,,Has relevent experience,Part time course,Graduate,STEM,10,10000+,Pvt Ltd,2,13
26092,city_71,0.884,Male,Has relevent experience,Part time course,Graduate,STEM,9,10/49,Pvt Ltd,3,65
8158,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,,1,192
17064,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,6,,,1,90
14059,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,66
6036,city_138,0.836,,Has relevent experience,no_enrollment,,,20,,,1,105
8881,city_103,0.92,,Has relevent experience,no_enrollment,High School,,>20,,,>4,33
31850,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,No Major,17,100-500,Pvt Ltd,1,124
11022,city_114,0.926,Other,No relevent experience,no_enrollment,High School,,5,1000-4999,Pvt Ltd,3,39
3362,city_67,0.855,,No relevent experience,Full time course,Graduate,STEM,5,,,never,158
32038,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,STEM,5,10/49,Early Stage Startup,1,34
24900,city_21,0.624,,No relevent experience,Full time course,Masters,STEM,<1,,,never,55
3113,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,,1000-4999,Pvt Ltd,1,94
24191,city_136,0.897,Male,No relevent experience,no_enrollment,Masters,Humanities,>20,,,4,163
14570,city_100,0.887,Male,No relevent experience,Part time course,Graduate,STEM,2,,,never,36
1553,city_123,0.738,,Has relevent experience,Full time course,Masters,STEM,8,10000+,Pvt Ltd,,34
12173,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,23
8773,city_73,0.754,Male,Has relevent experience,no_enrollment,,,10,10/49,Pvt Ltd,1,16
12753,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,1,44
23654,city_103,0.92,Male,No relevent experience,Full time course,High School,,4,,,,3
18307,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,,,1,44
8840,city_91,0.691,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Pvt Ltd,1,45
15054,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,3,56
29976,city_91,0.691,,No relevent experience,Full time course,High School,,3,,,never,3
4606,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,,1,,,never,96
29548,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,98
7235,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,19,50-99,Funded Startup,3,19
19622,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Funded Startup,>4,2
16511,city_145,0.555,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,,,never,86
21193,city_159,0.843,Male,Has relevent experience,Part time course,Graduate,STEM,11,<10,Early Stage Startup,2,75
11292,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,156
23556,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Other,4,37
9524,city_12,0.64,,Has relevent experience,Part time course,High School,,6,100-500,,1,10
4693,city_21,0.624,,No relevent experience,Part time course,Graduate,STEM,4,100-500,Pvt Ltd,never,70
17151,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,2,87
6906,city_89,0.925,,Has relevent experience,no_enrollment,Masters,STEM,13,50-99,Public Sector,1,151
16234,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Early Stage Startup,1,82
10267,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,>20,,,never,72
5620,city_21,0.624,,Has relevent experience,Part time course,Graduate,STEM,4,100-500,Pvt Ltd,1,82
2040,city_89,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,1,8
2660,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Funded Startup,>4,6
31041,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,1,202
20187,city_116,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10/49,Pvt Ltd,>4,105
28665,city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,6,50-99,Pvt Ltd,2,44
24651,city_150,0.698,Male,Has relevent experience,no_enrollment,Graduate,Humanities,4,<10,Funded Startup,1,80
31583,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,60
13421,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,9,,,never,63
4302,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,21
18237,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,5000-9999,Pvt Ltd,1,25
31482,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,50-99,Early Stage Startup,1,9
15059,city_160,0.92,,Has relevent experience,Full time course,Graduate,STEM,12,500-999,Pvt Ltd,1,10
15281,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,,>20,,,>4,9
18493,city_99,0.915,,No relevent experience,Full time course,Graduate,STEM,11,,,,24
26442,city_19,0.682,,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Public Sector,2,140
18948,city_11,0.55,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,10
19063,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,76
2091,city_123,0.738,Male,No relevent experience,Full time course,Graduate,STEM,3,,,never,70
3585,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,144
16143,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,10
3431,city_83,0.923,Other,Has relevent experience,no_enrollment,Graduate,STEM,16,<10,Pvt Ltd,3,89
7390,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,18
15008,city_61,0.913,Male,No relevent experience,Full time course,Graduate,Other,1,,,1,112
12591,city_114,0.926,Male,No relevent experience,no_enrollment,High School,,2,,,1,48
28589,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,11,10000+,Pvt Ltd,2,16
23195,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,10,10000+,Pvt Ltd,>4,124
18035,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,8,,,never,30
32042,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Early Stage Startup,1,78
6047,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,4,100-500,Pvt Ltd,2,76
30852,city_98,0.949,Male,No relevent experience,no_enrollment,High School,,7,100-500,Pvt Ltd,>4,288
21798,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,50
30516,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,>4,94
30097,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,>4,26
24860,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,<10,Early Stage Startup,1,84
8142,city_45,0.89,,No relevent experience,Full time course,Graduate,STEM,8,,,1,20
13551,city_73,0.754,Male,Has relevent experience,Part time course,Graduate,STEM,7,10/49,Pvt Ltd,2,136
30655,city_78,0.579,,No relevent experience,Full time course,Graduate,STEM,<1,,,never,6
16069,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,6,5000-9999,Public Sector,1,38
32363,city_73,0.754,Male,Has relevent experience,no_enrollment,High School,,<1,,Pvt Ltd,never,23
32508,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,3,83
2353,city_21,0.624,Male,No relevent experience,Full time course,,,2,,,1,31
2513,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,2,12
6187,city_67,0.855,Male,Has relevent experience,Part time course,High School,,4,1000-4999,Pvt Ltd,1,22
17994,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,4,75
1127,city_91,0.691,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,never,8
13336,city_21,0.624,,No relevent experience,Full time course,Primary School,,2,,,,21
5420,city_90,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,>4,8
8274,city_105,0.794,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Public Sector,3,52
11550,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,,1,31
15954,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,1,282
13450,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,41
6021,city_103,0.92,,Has relevent experience,,Masters,No Major,>20,100-500,Pvt Ltd,never,29
17529,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,3,48
22453,city_76,0.698,,Has relevent experience,no_enrollment,Masters,STEM,9,1000-4999,NGO,2,119
7396,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,4,49
14461,city_155,0.556,Male,No relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,1,290
12411,city_75,0.939,Male,No relevent experience,Full time course,Graduate,STEM,13,,,1,145
31346,city_103,0.92,Female,No relevent experience,no_enrollment,Phd,Humanities,>20,1000-4999,NGO,4,214
21458,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,1,100-500,Pvt Ltd,1,133
23052,city_16,0.91,Other,Has relevent experience,Part time course,Graduate,STEM,4,,,never,62
32228,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,3,54
21689,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,5000-9999,Pvt Ltd,>4,51
8260,city_11,0.55,,No relevent experience,no_enrollment,High School,,2,,,never,94
1912,city_21,0.624,Male,Has relevent experience,,Graduate,STEM,1,,,never,162
20532,city_23,0.899,Female,Has relevent experience,no_enrollment,Graduate,STEM,16,<10,Funded Startup,1,31
15354,city_74,0.579,,Has relevent experience,no_enrollment,Graduate,Humanities,6,<10,Other,2,85
4821,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,314
23769,city_101,0.5579999999999999,Male,Has relevent experience,Part time course,Graduate,STEM,3,50-99,Pvt Ltd,2,330
18062,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,91
21484,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,14,,,1,10
15370,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,,2,112
12967,city_46,0.762,Male,Has relevent experience,Full time course,Masters,STEM,15,500-999,Public Sector,2,110
12446,city_115,0.789,Male,No relevent experience,Full time course,Graduate,STEM,6,,,3,22
8074,city_24,0.698,Male,Has relevent experience,no_enrollment,Graduate,Other,2,1000-4999,Pvt Ltd,1,23
21452,city_146,0.735,,No relevent experience,no_enrollment,Masters,STEM,8,50-99,Public Sector,2,43
3348,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Funded Startup,1,122
11921,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,15,1000-4999,Pvt Ltd,1,36
21369,city_76,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,14,<10,Public Sector,1,21
7952,city_21,0.624,Female,No relevent experience,Full time course,Graduate,STEM,6,10000+,Public Sector,1,15
14377,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Early Stage Startup,4,18
13160,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Public Sector,>4,168
20748,city_136,0.897,,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Pvt Ltd,1,27
17354,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,9,500-999,Pvt Ltd,4,50
20338,city_145,0.555,,No relevent experience,Full time course,High School,,4,,,1,73
10475,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,3,5000-9999,Pvt Ltd,1,114
638,city_102,0.804,Male,Has relevent experience,Full time course,Graduate,Business Degree,1,<10,Pvt Ltd,1,52
8227,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,57
7732,city_23,0.899,Male,No relevent experience,Full time course,High School,,6,,,1,103
25512,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,Humanities,9,,,1,65
18525,city_90,0.698,Male,Has relevent experience,Full time course,,,9,,,>4,155
10358,city_136,0.897,Male,No relevent experience,Full time course,Graduate,STEM,6,,,1,10
33196,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,500-999,Pvt Ltd,2,42
11019,city_28,0.939,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,161
31919,city_45,0.89,Male,No relevent experience,Full time course,Graduate,STEM,5,,,3,89
28738,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,Pvt Ltd,4,16
