연월,업종명,이용자구분,성별,이용자수,이용건수,이용금액
201912,스포츠 및 레크레이션 용품 임대업,제주도민,남성,10725,11793,1245689712
201912,스포츠 및 레크레이션 용품 임대업,제주도민,여성,9044,9863,1242814720
201912,스포츠 및 레크레이션 용품 임대업,중국,알수없음,43,44,7485950
201912,여관업,내국인,남성,13363,14257,1086286668
201912,여관업,내국인,알수없음,29,29,1807020
201912,여관업,내국인,여성,10618,11456,699481814
201912,여관업,법인,알수없음,8199,12278,3044829623
201912,여관업,제주도민,남성,4541,4902,310159505
201912,여관업,제주도민,여성,2097,2274,150772899
201912,여행사업,내국인,남성,1575,1598,129086848
201912,여행사업,내국인,여성,1299,1322,104733971
201912,여행사업,법인,알수없음,661,693,417162396
201912,여행사업,제주도민,남성,65,66,20924400
201912,여행사업,제주도민,여성,41,44,2104000
201912,욕탕업,내국인,남성,4138,4504,79342750
201912,욕탕업,내국인,여성,2286,2564,42929000
201912,욕탕업,법인,알수없음,1272,1459,44098001
201912,욕탕업,제주도민,남성,6164,6981,121773500
201912,욕탕업,제주도민,여성,4044,4673,97327400
201912,육류 소매업,내국인,남성,3825,4104,177453276
201912,육류 소매업,내국인,여성,3283,3495,142786881
201912,육류 소매업,법인,알수없음,4361,5033,1041168309
201912,육류 소매업,제주도민,남성,8493,9229,526704690
201912,육류 소매업,제주도민,여성,8770,9446,525836680
201912,일반유흥 주점업,내국인,남성,3087,3522,687551670
201912,일반유흥 주점업,내국인,여성,887,957,102509740
201912,일반유흥 주점업,법인,알수없음,2666,2895,1058927109
201912,일반유흥 주점업,제주도민,남성,8095,9040,1782359900
201912,일반유흥 주점업,제주도민,여성,2254,2420,263089390
201912,일식 음식점업,내국인,남성,10300,10520,743464610
201912,일식 음식점업,내국인,알수없음,36,36,1584600
201912,일식 음식점업,내국인,여성,7856,8023,470459199
201912,일식 음식점업,법인,알수없음,8691,9150,1245713270
201912,일식 음식점업,제주도민,남성,11066,11355,739943420
201912,일식 음식점업,제주도민,여성,7398,7513,399330570
201912,자동차 임대업,내국인,남성,10942,11044,764416652
201912,자동차 임대업,내국인,여성,6614,6675,422748884
201912,자동차 임대업,법인,알수없음,4205,4255,529117974
201912,자동차 임대업,제주도민,남성,313,324,68954652
201912,자동차 임대업,제주도민,여성,191,198,26654985
201912,전시 및 행사 대행업,기타외국,알수없음,88,97,1263500
201912,전시 및 행사 대행업,내국인,남성,16154,17975,433415410
201912,전시 및 행사 대행업,내국인,알수없음,36,42,1116400
201912,전시 및 행사 대행업,내국인,여성,15295,17090,389497680
201912,전시 및 행사 대행업,동남아,알수없음,46,59,1111000
201912,전시 및 행사 대행업,법인,알수없음,3728,4397,454226972
201912,전시 및 행사 대행업,일본,알수없음,36,38,324500
201912,전시 및 행사 대행업,제주도민,남성,2898,3505,97329010
201912,전시 및 행사 대행업,제주도민,여성,3194,3907,105184380
201912,전시 및 행사 대행업,중국,알수없음,175,217,3927000
201912,정기 항공 운송업,내국인,남성,12226,12537,2187349875
201912,정기 항공 운송업,내국인,여성,10734,11067,1915586379
201912,정기 항공 운송업,법인,알수없음,4357,5199,899084981
201912,정기 항공 운송업,제주도민,남성,1694,1614,116976375
201912,정기 항공 운송업,제주도민,여성,1400,1279,92386223
201912,중식 음식점업,내국인,남성,9264,9633,251463700
201912,중식 음식점업,내국인,알수없음,56,57,1395950
201912,중식 음식점업,내국인,여성,4624,4781,126760240
201912,중식 음식점업,법인,알수없음,11681,13077,575680056
201912,중식 음식점업,제주도민,남성,20061,20917,573741769
201912,중식 음식점업,제주도민,여성,11119,11534,319449725
201912,차량용 가스 충전업,내국인,남성,2881,3065,107007701
201912,차량용 가스 충전업,내국인,여성,1544,1622,52144578
201912,차량용 가스 충전업,법인,알수없음,3389,3645,352688099
201912,차량용 가스 충전업,제주도민,남성,5547,5781,295529978
201912,차량용 가스 충전업,제주도민,여성,3685,3833,233152095
201912,차량용 주유소 운영업,내국인,남성,45315,47436,2076058210
201912,차량용 주유소 운영업,내국인,알수없음,126,130,5382076
201912,차량용 주유소 운영업,내국인,여성,24216,25219,959493462
201912,차량용 주유소 운영업,법인,알수없음,55913,60654,5064807518
201912,차량용 주유소 운영업,제주도민,남성,95486,105311,6271781620
201912,차량용 주유소 운영업,제주도민,여성,47322,49685,2588468493
201912,체인화 편의점,내국인,남성,216909,250441,2066276099
201912,체인화 편의점,내국인,알수없음,1249,1526,9584500
201912,체인화 편의점,내국인,여성,115458,129368,1114162324
201912,체인화 편의점,법인,알수없음,62346,72745,860014632
201912,체인화 편의점,제주도민,남성,350628,411063,3132955280
201912,체인화 편의점,제주도민,여성,182932,211425,1727611168
201912,택시 운송업,내국인,여성,22,22,191440
201912,택시 운송업,제주도민,남성,42,44,584100
201912,택시 운송업,제주도민,여성,54,55,321300
201912,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,남성,18908,20298,233480071
201912,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,알수없음,175,188,1707950
201912,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,여성,14632,15661,173298530
201912,"피자, 햄버거, 샌드위치 및 유사 음식점업",법인,알수없음,9935,10962,343937510
201912,"피자, 햄버거, 샌드위치 및 유사 음식점업",제주도민,남성,34068,36840,451643486
201912,"피자, 햄버거, 샌드위치 및 유사 음식점업",제주도민,여성,31893,34593,412134435
201912,한식 음식점업,기타외국,알수없음,220,226,10783200
201912,한식 음식점업,내국인,남성,178673,188012,7511403422
201912,한식 음식점업,내국인,알수없음,552,585,18828170
201912,한식 음식점업,내국인,여성,129853,136194,5009094696
201912,한식 음식점업,동남아,알수없음,116,121,7673600
201912,한식 음식점업,법인,알수없음,157479,179133,9122343620
201912,한식 음식점업,일본,알수없음,45,45,2544800
201912,한식 음식점업,제주도민,남성,251308,268090,10321277532
201912,한식 음식점업,제주도민,여성,152862,162264,5480173255
201912,한식 음식점업,중국,알수없음,369,379,25514600
201912,호텔업,기타외국,알수없음,560,570,237070724
201912,호텔업,내국인,남성,4530,4700,870567455
201912,호텔업,내국인,여성,3437,3521,551090707
201912,호텔업,동남아,알수없음,349,354,140486500
201912,호텔업,법인,알수없음,4201,6501,3692002502
201912,호텔업,일본,알수없음,23,23,7518417
201912,호텔업,제주도민,남성,1778,1895,505517134
201912,호텔업,제주도민,여성,1486,1570,325857129
201912,호텔업,중국,알수없음,119,132,36985580
201912,화장품 및 방향제 소매업,기타외국,알수없음,509,538,189165950
201912,화장품 및 방향제 소매업,내국인,남성,1808,1978,78209788
201912,화장품 및 방향제 소매업,내국인,알수없음,27,28,528740
201912,화장품 및 방향제 소매업,내국인,여성,3108,3442,82136010
201912,화장품 및 방향제 소매업,동남아,알수없음,161,175,70657050
201912,화장품 및 방향제 소매업,법인,알수없음,885,969,128069570
201912,화장품 및 방향제 소매업,일본,알수없음,45,47,18003600
201912,화장품 및 방향제 소매업,제주도민,남성,2569,2762,172456584
201912,화장품 및 방향제 소매업,제주도민,여성,6779,7362,355811660
201912,화장품 및 방향제 소매업,중국,알수없음,56,63,15231650
201912,휴양콘도 운영업,내국인,남성,5646,6558,539693494
201912,휴양콘도 운영업,내국인,여성,4518,5274,414940548
201912,휴양콘도 운영업,법인,알수없음,2124,2965,1005501154
201912,휴양콘도 운영업,제주도민,남성,961,1138,64709065
201912,휴양콘도 운영업,제주도민,여성,898,1103,46842400
202001,건강보조식품 소매업,기타외국,알수없음,1226,1505,2062953037
202001,건강보조식품 소매업,내국인,남성,209,224,43368300
202001,건강보조식품 소매업,내국인,여성,170,180,45389300
202001,건강보조식품 소매업,동남아,알수없음,78,90,92002175
202001,건강보조식품 소매업,법인,알수없음,295,319,132444438
202001,건강보조식품 소매업,일본,알수없음,57,70,88511285
202001,건강보조식품 소매업,제주도민,남성,541,559,103720715
202001,건강보조식품 소매업,제주도민,여성,674,698,116240410
202001,건강보조식품 소매업,중국,알수없음,936,1075,751379680
202001,골프장 운영업,내국인,남성,3769,4078,675303979
202001,골프장 운영업,내국인,여성,1663,1819,227970337
202001,골프장 운영업,법인,알수없음,6009,6616,1332761170
202001,골프장 운영업,제주도민,남성,6065,6450,602519745
202001,골프장 운영업,제주도민,여성,1553,1675,146144884
202001,과실 및 채소 소매업,기타외국,알수없음,54,63,14106000
202001,과실 및 채소 소매업,내국인,남성,11438,12388,649337501
202001,과실 및 채소 소매업,내국인,여성,13611,14883,652293304
202001,과실 및 채소 소매업,법인,알수없음,5585,6288,1701932449
202001,과실 및 채소 소매업,제주도민,남성,6145,6667,590968002
202001,과실 및 채소 소매업,제주도민,여성,6924,7590,516943474
202001,과실 및 채소 소매업,중국,알수없음,299,353,51676510
202001,관광 민예품 및 선물용품 소매업,기타외국,알수없음,85,97,29989000
202001,관광 민예품 및 선물용품 소매업,내국인,남성,7849,8537,269928050
202001,관광 민예품 및 선물용품 소매업,내국인,여성,12334,13437,352994320
202001,관광 민예품 및 선물용품 소매업,법인,알수없음,1217,1360,76177950
202001,관광 민예품 및 선물용품 소매업,제주도민,남성,670,717,29064300
202001,관광 민예품 및 선물용품 소매업,제주도민,여성,751,805,42080430
202001,관광 민예품 및 선물용품 소매업,중국,알수없음,621,729,150037700
202001,그외 기타 분류안된 오락관련 서비스업,내국인,남성,129,136,3768000
202001,그외 기타 분류안된 오락관련 서비스업,내국인,여성,150,157,2877900
202001,그외 기타 분류안된 오락관련 서비스업,제주도민,남성,28,28,565600
202001,그외 기타 분류안된 오락관련 서비스업,제주도민,여성,39,40,700550
202001,그외 기타 스포츠시설 운영업,내국인,남성,304,327,20900400
202001,그외 기타 스포츠시설 운영업,내국인,여성,283,310,16689700
202001,그외 기타 스포츠시설 운영업,법인,알수없음,74,85,7926000
202001,그외 기타 스포츠시설 운영업,제주도민,남성,21,21,1953500
202001,그외 기타 스포츠시설 운영업,제주도민,여성,21,21,4444500
202001,그외 기타 종합 소매업,내국인,남성,2516,2746,129015640
202001,그외 기타 종합 소매업,내국인,여성,2290,2543,119138820
202001,그외 기타 종합 소매업,법인,알수없음,7037,9431,3101633190
202001,그외 기타 종합 소매업,제주도민,남성,16919,19422,1293270370
202001,그외 기타 종합 소매업,제주도민,여성,16660,19473,1234519760
202001,기타 갬블링 및 베팅업,일본,알수없음,31,34,283500000
202001,기타 대형 종합 소매업,기타외국,알수없음,87,102,9653260
202001,기타 대형 종합 소매업,내국인,남성,10698,12045,574472980
202001,기타 대형 종합 소매업,내국인,여성,9124,10533,484863640
202001,기타 대형 종합 소매업,법인,알수없음,10266,12339,1305112400
202001,기타 대형 종합 소매업,제주도민,남성,36426,41988,2311223530
202001,기타 대형 종합 소매업,제주도민,여성,41322,48777,2480038090
202001,기타 대형 종합 소매업,중국,알수없음,1829,2258,202725830
202001,기타 수상오락 서비스업,내국인,남성,65,81,3177200
202001,기타 수상오락 서비스업,내국인,여성,24,30,1261000
202001,기타 수상오락 서비스업,제주도민,남성,39,51,3089800
202001,기타 외국식 음식점업,내국인,남성,2357,2425,78116987
202001,기타 외국식 음식점업,내국인,여성,1205,1223,42247224
202001,기타 외국식 음식점업,법인,알수없음,3941,4327,231880572
202001,기타 외국식 음식점업,제주도민,남성,8767,9079,293662970
202001,기타 외국식 음식점업,제주도민,여성,5238,5529,184284276
202001,기타 외국식 음식점업,중국,알수없음,71,82,3319853
202001,기타 주점업,내국인,남성,666,709,132621100
202001,기타 주점업,내국인,여성,125,131,18385420
202001,기타 주점업,법인,알수없음,1122,1167,286800800
202001,기타 주점업,제주도민,남성,5345,5798,1067852620
202001,기타 주점업,제주도민,여성,738,771,117031600
202001,기타음식료품위주종합소매업,내국인,남성,12844,14293,496773670
202001,기타음식료품위주종합소매업,내국인,여성,10642,11838,411484000
202001,기타음식료품위주종합소매업,법인,알수없음,12713,15491,1357258345
202001,기타음식료품위주종합소매업,제주도민,남성,39160,44213,1779127767
202001,기타음식료품위주종합소매업,제주도민,여성,34663,39678,1595602173
202001,기타음식료품위주종합소매업,중국,알수없음,54,57,3419070
202001,내항 여객 운송업,내국인,남성,2657,2687,102036200
202001,내항 여객 운송업,내국인,여성,2468,2494,85352700
202001,내항 여객 운송업,법인,알수없음,706,814,41419530
202001,내항 여객 운송업,제주도민,남성,721,834,29891430
202001,내항 여객 운송업,제주도민,여성,423,462,20217530
202001,내항 여객 운송업,중국,알수없음,126,129,4803100
202001,마사지업,내국인,남성,42,42,5593000
202001,마사지업,법인,알수없음,22,22,4270000
202001,마사지업,제주도민,남성,95,100,12960000
202001,면세점,기타외국,알수없음,481,609,79687717
202001,면세점,내국인,남성,34439,51724,3483875309
202001,면세점,내국인,여성,29776,44840,3146456969
202001,면세점,동남아,알수없음,310,371,29050712
202001,면세점,법인,알수없음,5878,10327,1029115292
202001,면세점,일본,알수없음,216,258,19047358
202001,면세점,제주도민,남성,6202,8239,518805059
202001,면세점,제주도민,여성,4905,7048,532762902
202001,면세점,중국,알수없음,7144,12105,3796958618
202001,비알콜 음료점업,기타외국,알수없음,40,47,542200
202001,비알콜 음료점업,내국인,남성,19390,20954,217531563
202001,비알콜 음료점업,내국인,여성,19462,21029,227367760
202001,비알콜 음료점업,법인,알수없음,11014,12410,213444544
202001,비알콜 음료점업,제주도민,남성,40189,44849,390534512
202001,비알콜 음료점업,제주도민,여성,49487,54922,475476305
202001,비알콜 음료점업,중국,알수없음,526,620,6210030
202001,빵 및 과자류 소매업,내국인,남성,12859,13655,220271656
202001,빵 및 과자류 소매업,내국인,여성,16781,17885,276559640
202001,빵 및 과자류 소매업,법인,알수없음,11035,12111,433348470
202001,빵 및 과자류 소매업,제주도민,남성,31649,33555,497016605
202001,빵 및 과자류 소매업,제주도민,여성,43827,46652,657648784
202001,빵 및 과자류 소매업,중국,알수없음,877,1003,11319690
202001,서양식 음식점업,기타외국,알수없음,47,50,1048900
202001,서양식 음식점업,내국인,남성,33371,35943,784716089
202001,서양식 음식점업,내국인,여성,42978,46328,915730151
202001,서양식 음식점업,법인,알수없음,16075,17662,634616860
202001,서양식 음식점업,제주도민,남성,35227,38353,885641712
202001,서양식 음식점업,제주도민,여성,41590,45181,890973233
202001,서양식 음식점업,중국,알수없음,673,785,15720920
202001,수산물 소매업,내국인,남성,9601,10686,567885529
202001,수산물 소매업,내국인,여성,10669,11975,489071663
202001,수산물 소매업,법인,알수없음,4282,4860,1292193273
202001,수산물 소매업,제주도민,남성,3819,4129,430241116
202001,수산물 소매업,제주도민,여성,3538,3852,404112750
202001,수산물 소매업,중국,알수없음,104,128,3717000
202001,슈퍼마켓,기타외국,알수없음,94,99,2664280
202001,슈퍼마켓,내국인,남성,34815,39500,816764184
202001,슈퍼마켓,내국인,여성,23091,26073,603190235
202001,슈퍼마켓,법인,알수없음,56185,74813,4841316438
202001,슈퍼마켓,제주도민,남성,194249,227402,5356988492
202001,슈퍼마켓,제주도민,여성,163231,191575,5266626479
202001,슈퍼마켓,중국,알수없음,1325,1677,48175440
202001,스포츠 및 레크레이션 용품 임대업,기타외국,알수없음,63,78,7758000
202001,스포츠 및 레크레이션 용품 임대업,내국인,남성,3007,3364,207058830
202001,스포츠 및 레크레이션 용품 임대업,내국인,여성,1838,2070,129925580
202001,스포츠 및 레크레이션 용품 임대업,법인,알수없음,2138,2380,426245337
202001,스포츠 및 레크레이션 용품 임대업,제주도민,남성,9919,10982,1022850796
202001,스포츠 및 레크레이션 용품 임대업,제주도민,여성,7946,8744,981150870
202001,스포츠 및 레크레이션 용품 임대업,중국,알수없음,1416,1642,202720420
202001,여관업,기타외국,알수없음,51,58,9256255
202001,여관업,내국인,남성,11529,12261,939302078
202001,여관업,내국인,여성,9357,10033,707461479
202001,여관업,법인,알수없음,7062,11203,2633581202
202001,여관업,제주도민,남성,4943,5289,322740399
202001,여관업,제주도민,여성,2004,2161,132018262
202001,여관업,중국,알수없음,531,590,94680724
202001,여행사업,내국인,남성,1526,1571,126748110
202001,여행사업,내국인,여성,1356,1423,112696503
202001,여행사업,법인,알수없음,577,606,221742372
202001,여행사업,제주도민,남성,66,80,11342800
202001,여행사업,제주도민,여성,84,100,8683430
202001,욕탕업,내국인,남성,3687,4052,68406810
202001,욕탕업,내국인,여성,2248,2465,46226399
202001,욕탕업,법인,알수없음,1516,1706,56146000
202001,욕탕업,제주도민,남성,7678,8554,147428510
202001,욕탕업,제주도민,여성,4896,5493,121706100
202001,육류 소매업,내국인,남성,3021,3231,156643535
202001,육류 소매업,내국인,여성,2624,2765,112378440
202001,육류 소매업,법인,알수없음,4400,4903,1228583726
202001,육류 소매업,제주도민,남성,9840,10519,823928973
202001,육류 소매업,제주도민,여성,10810,11634,859546518
202001,육류 소매업,중국,알수없음,61,66,3290250
202001,일반유흥 주점업,내국인,남성,2128,2409,469696608
202001,일반유흥 주점업,내국인,여성,642,706,81746400
202001,일반유흥 주점업,법인,알수없음,2145,2310,852811500
202001,일반유흥 주점업,제주도민,남성,8295,9223,1888269906
202001,일반유흥 주점업,제주도민,여성,2259,2424,253538682
202001,일반유흥 주점업,중국,알수없음,27,41,15324500
202001,일식 음식점업,내국인,남성,8653,8814,634431740
202001,일식 음식점업,내국인,여성,6899,7050,424864350
202001,일식 음식점업,법인,알수없음,7213,7477,886413043
202001,일식 음식점업,제주도민,남성,11629,11869,750284910
202001,일식 음식점업,제주도민,여성,7339,7457,377041630
202001,일식 음식점업,중국,알수없음,73,92,6448110
202001,자동차 임대업,기타외국,알수없음,38,44,9993278
202001,자동차 임대업,내국인,남성,9969,10041,685198252
202001,자동차 임대업,내국인,여성,6203,6263,387734855
202001,자동차 임대업,법인,알수없음,4115,4191,486372016
202001,자동차 임대업,제주도민,남성,429,446,81774865
202001,자동차 임대업,제주도민,여성,190,199,21565610
202001,전시 및 행사 대행업,기타외국,알수없음,118,144,2730100
202001,전시 및 행사 대행업,내국인,남성,16420,18291,451354370
202001,전시 및 행사 대행업,내국인,여성,16384,18535,425925700
202001,전시 및 행사 대행업,동남아,알수없음,30,38,629000
202001,전시 및 행사 대행업,법인,알수없음,3451,4010,270571480
202001,전시 및 행사 대행업,일본,알수없음,29,30,310000
202001,전시 및 행사 대행업,제주도민,남성,3097,3695,97371870
202001,전시 및 행사 대행업,제주도민,여성,3125,3833,102756480
202001,전시 및 행사 대행업,중국,알수없음,927,1201,30592800
202001,정기 항공 운송업,내국인,남성,11141,11314,1940856834
202001,정기 항공 운송업,내국인,여성,10486,10419,1837599646
202001,정기 항공 운송업,법인,알수없음,3607,4245,801541165
202001,정기 항공 운송업,제주도민,남성,1611,1572,115081992
202001,정기 항공 운송업,제주도민,여성,1255,1285,85648784
202001,중식 음식점업,내국인,남성,7044,7280,197745992
202001,중식 음식점업,내국인,여성,3926,4030,110877820
202001,중식 음식점업,법인,알수없음,11042,12074,486760264
202001,중식 음식점업,제주도민,남성,21491,22308,620320662
202001,중식 음식점업,제주도민,여성,11925,12285,347268779
202001,중식 음식점업,중국,알수없음,241,291,15101050
202001,차량용 가스 충전업,내국인,남성,2273,2403,72424198
202001,차량용 가스 충전업,내국인,여성,1152,1229,39207112
202001,차량용 가스 충전업,법인,알수없음,3139,3323,419269507
202001,차량용 가스 충전업,제주도민,남성,6162,6404,346419207
202001,차량용 가스 충전업,제주도민,여성,4054,4191,284674838
202001,차량용 주유소 운영업,내국인,남성,37627,39324,1704926988
202001,차량용 주유소 운영업,내국인,여성,20946,21811,822492163
202001,차량용 주유소 운영업,법인,알수없음,53695,57400,4359092508
202001,차량용 주유소 운영업,제주도민,남성,95907,100642,5899893525
202001,차량용 주유소 운영업,제주도민,여성,48628,50250,2702398540
202001,차량용 주유소 운영업,중국,알수없음,22,24,1374000
202001,체인화 편의점,기타외국,알수없음,81,92,2382810
202001,체인화 편의점,내국인,남성,177455,202621,1674233988
202001,체인화 편의점,내국인,여성,104578,116170,984017638
202001,체인화 편의점,법인,알수없음,60038,69717,815328628
202001,체인화 편의점,제주도민,남성,391592,455839,3509836154
202001,체인화 편의점,제주도민,여성,195352,223870,1862235275
202001,체인화 편의점,중국,알수없음,3046,3517,56406890
202001,택시 운송업,내국인,여성,22,22,227640
202001,택시 운송업,제주도민,남성,50,51,284200
202001,택시 운송업,제주도민,여성,44,45,250500
202001,"피자, 햄버거, 샌드위치 및 유사 음식점업",기타외국,알수없음,41,42,595000
202001,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,남성,17230,18540,219094686
202001,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,여성,14176,15264,173750670
202001,"피자, 햄버거, 샌드위치 및 유사 음식점업",법인,알수없음,9923,10848,276017281
202001,"피자, 햄버거, 샌드위치 및 유사 음식점업",제주도민,남성,39572,42736,516567785
202001,"피자, 햄버거, 샌드위치 및 유사 음식점업",제주도민,여성,35203,37926,453781880
202001,"피자, 햄버거, 샌드위치 및 유사 음식점업",중국,알수없음,714,864,12174310
202001,한식 음식점업,기타외국,알수없음,278,296,17701686
202001,한식 음식점업,내국인,남성,142049,148523,6288649006
202001,한식 음식점업,내국인,여성,111508,116997,4522309604
202001,한식 음식점업,동남아,알수없음,47,51,5015000
202001,한식 음식점업,법인,알수없음,135943,152612,9346697877
202001,한식 음식점업,일본,알수없음,61,63,3850000
202001,한식 음식점업,제주도민,남성,247507,262012,10095374617
202001,한식 음식점업,제주도민,여성,141870,149745,5048318611
202001,한식 음식점업,중국,알수없음,4757,5308,310291646
202001,호텔업,기타외국,알수없음,551,551,202242820
202001,호텔업,내국인,남성,4248,4458,866193356
202001,호텔업,내국인,여성,3620,3751,650143602
202001,호텔업,동남아,알수없음,445,461,198184500
202001,호텔업,법인,알수없음,3764,5991,2054425778
202001,호텔업,제주도민,남성,1832,1972,330308305
202001,호텔업,제주도민,여성,1274,1365,196202935
202001,호텔업,중국,알수없음,429,450,183417086
202001,화장품 및 방향제 소매업,기타외국,알수없음,550,602,195506106
202001,화장품 및 방향제 소매업,내국인,남성,1514,1664,59595400
202001,화장품 및 방향제 소매업,내국인,여성,2764,3106,71549470
202001,화장품 및 방향제 소매업,동남아,알수없음,122,135,49087830
202001,화장품 및 방향제 소매업,법인,알수없음,833,908,93256910
202001,화장품 및 방향제 소매업,일본,알수없음,41,43,12024480
202001,화장품 및 방향제 소매업,제주도민,남성,2730,2941,182464481
202001,화장품 및 방향제 소매업,제주도민,여성,7290,7900,415474811
202001,화장품 및 방향제 소매업,중국,알수없음,1567,1871,463697237
202001,휴양콘도 운영업,내국인,남성,5884,6944,620418967
202001,휴양콘도 운영업,내국인,여성,4781,5661,484158180
202001,휴양콘도 운영업,법인,알수없음,2084,2867,1157568366
202001,휴양콘도 운영업,제주도민,남성,1090,1294,58044130
202001,휴양콘도 운영업,제주도민,여성,877,1034,33560440
202001,휴양콘도 운영업,중국,알수없음,188,227,140941710
202002,건강보조식품 소매업,기타외국,알수없음,609,757,923727840
202002,건강보조식품 소매업,내국인,남성,82,84,11007100
202002,건강보조식품 소매업,내국인,여성,82,88,13416400
202002,건강보조식품 소매업,동남아,알수없음,46,59,31463730
202002,건강보조식품 소매업,법인,알수없음,155,163,38602277
202002,건강보조식품 소매업,제주도민,남성,396,405,55287230
202002,건강보조식품 소매업,제주도민,여성,443,473,60960219
202002,골프장 운영업,내국인,남성,3331,3544,561788341
202002,골프장 운영업,내국인,여성,1033,1125,150208197
202002,골프장 운영업,법인,알수없음,6335,6860,1248306061
202002,골프장 운영업,제주도민,남성,7070,7544,693667129
