Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT)
14/03/2004,23.00.00,2.2,1349.0,79.0,8.8
15/03/2004,00.00.00,1.8,1239.0,66.0,7.4
15/03/2004,01.00.00,1.8,1239.0,73.0,6.9
15/03/2004,02.00.00,1.8,1224.0,66.0,7.0
15/03/2004,03.00.00,1.1,1078.0,44.0,4.4
15/03/2004,04.00.00,-200.0,1078.0,44.0,4.0
15/03/2004,05.00.00,1.0,1075.0,39.0,3.9
15/03/2004,06.00.00,1.4,1157.0,51.0,6.4
15/03/2004,07.00.00,2.2,1314.0,107.0,9.7
15/03/2004,08.00.00,5.5,1797.0,336.0,25.9
15/03/2004,09.00.00,8.1,1961.0,618.0,36.7
15/03/2004,10.00.00,5.8,1771.0,438.0,26.6
15/03/2004,11.00.00,4.2,1564.0,334.0,20.1
15/03/2004,12.00.00,3.1,1430.0,221.0,14.1
15/03/2004,13.00.00,2.9,1417.0,207.0,14.9
15/03/2004,14.00.00,2.9,1400.0,191.0,15.4
15/03/2004,15.00.00,2.5,1317.0,185.0,12.1
15/03/2004,16.00.00,2.3,1318.0,141.0,11.5
15/03/2004,17.00.00,2.8,1445.0,214.0,14.8
15/03/2004,18.00.00,6.1,1917.0,471.0,32.1
15/03/2004,19.00.00,8.0,2040.0,685.0,39.2
15/03/2004,20.00.00,6.5,1895.0,538.0,31.0
15/03/2004,21.00.00,4.2,1595.0,319.0,19.9
15/03/2004,22.00.00,3.2,1439.0,224.0,15.3
15/03/2004,23.00.00,1.4,1142.0,67.0,6.9
16/03/2004,00.00.00,2.1,1304.0,155.0,11.1
16/03/2004,01.00.00,1.2,1074.0,49.0,5.4
16/03/2004,02.00.00,0.8,968.0,29.0,2.8
16/03/2004,03.00.00,0.7,929.0,25.0,2.3
16/03/2004,04.00.00,-200.0,941.0,25.0,2.6
16/03/2004,05.00.00,0.6,937.0,17.0,2.0
16/03/2004,06.00.00,0.9,1017.0,27.0,3.5
16/03/2004,07.00.00,1.3,1171.0,50.0,5.1
16/03/2004,08.00.00,3.4,1541.0,218.0,16.2
16/03/2004,09.00.00,3.7,1539.0,285.0,19.7
16/03/2004,10.00.00,5.3,1735.0,437.0,25.1
16/03/2004,11.00.00,4.1,1571.0,327.0,20.0
16/03/2004,12.00.00,3.3,1452.0,283.0,18.3
16/03/2004,13.00.00,4.0,1579.0,366.0,22.3
16/03/2004,14.00.00,3.8,1466.0,318.0,20.4
16/03/2004,15.00.00,2.8,1280.0,228.0,14.6
16/03/2004,16.00.00,2.9,1407.0,201.0,16.6
16/03/2004,17.00.00,2.9,1389.0,199.0,15.8
16/03/2004,18.00.00,3.4,1447.0,237.0,17.8
16/03/2004,19.00.00,3.9,1551.0,261.0,19.1
16/03/2004,20.00.00,3.2,1474.0,230.0,15.8
16/03/2004,21.00.00,5.1,1800.0,349.0,24.9
16/03/2004,22.00.00,2.6,1379.0,183.0,13.5
16/03/2004,23.00.00,1.7,1201.0,88.0,9.1
17/03/2004,00.00.00,1.7,1205.0,85.0,8.6
17/03/2004,01.00.00,1.2,1072.0,47.0,5.4
17/03/2004,02.00.00,0.9,998.0,34.0,4.1
17/03/2004,03.00.00,0.7,933.0,26.0,2.6
17/03/2004,04.00.00,-200.0,883.0,17.0,1.9
17/03/2004,05.00.00,0.5,869.0,11.0,1.6
17/03/2004,06.00.00,0.5,891.0,18.0,1.9
17/03/2004,07.00.00,1.6,1173.0,84.0,7.5
17/03/2004,08.00.00,4.1,1587.0,260.0,21.4
17/03/2004,09.00.00,6.6,1852.0,534.0,36.4
17/03/2004,10.00.00,4.3,1522.0,368.0,21.3
17/03/2004,11.00.00,2.9,1438.0,200.0,15.4
17/03/2004,12.00.00,2.5,1393.0,145.0,12.5
17/03/2004,13.00.00,2.8,1452.0,188.0,15.1
17/03/2004,14.00.00,2.6,1389.0,152.0,13.7
17/03/2004,15.00.00,2.0,1207.0,103.0,10.4
17/03/2004,16.00.00,2.9,1365.0,193.0,15.2
17/03/2004,17.00.00,2.5,1247.0,134.0,12.3
17/03/2004,18.00.00,5.0,1557.0,386.0,27.0
17/03/2004,19.00.00,7.6,1973.0,577.0,38.4
17/03/2004,20.00.00,6.7,1975.0,523.0,35.1
17/03/2004,21.00.00,5.7,1795.0,472.0,27.2
17/03/2004,22.00.00,2.8,1444.0,206.0,15.0
17/03/2004,23.00.00,2.6,1488.0,216.0,15.7
18/03/2004,00.00.00,2.3,1371.0,159.0,13.0
18/03/2004,01.00.00,1.4,1161.0,70.0,8.1
18/03/2004,02.00.00,1.0,1064.0,44.0,5.5
18/03/2004,03.00.00,0.7,970.0,42.0,3.6
18/03/2004,04.00.00,-200.0,954.0,28.0,2.9
18/03/2004,05.00.00,0.6,931.0,20.0,2.5
18/03/2004,06.00.00,0.7,938.0,26.0,3.0
18/03/2004,07.00.00,1.5,1166.0,78.0,7.7
18/03/2004,08.00.00,4.7,1643.0,319.0,23.3
18/03/2004,09.00.00,6.6,1934.0,506.0,35.8
18/03/2004,10.00.00,4.5,1617.0,-200.0,21.3
18/03/2004,11.00.00,2.8,1473.0,-200.0,14.3
18/03/2004,12.00.00,2.2,1379.0,-200.0,12.5
18/03/2004,13.00.00,2.2,1385.0,-200.0,12.2
18/03/2004,14.00.00,2.3,1379.0,-200.0,13.1
18/03/2004,15.00.00,2.2,1322.0,-200.0,14.4
18/03/2004,16.00.00,2.8,1496.0,-200.0,16.8
18/03/2004,17.00.00,2.7,1409.0,-200.0,14.5
18/03/2004,18.00.00,3.7,1513.0,-200.0,21.5
18/03/2004,19.00.00,5.1,1667.0,-200.0,26.4
18/03/2004,20.00.00,5.1,1667.0,-200.0,26.0
18/03/2004,21.00.00,3.2,1430.0,-200.0,14.1
18/03/2004,22.00.00,2.1,1333.0,-200.0,10.3
18/03/2004,23.00.00,1.7,1262.0,-200.0,8.3
19/03/2004,00.00.00,2.0,1287.0,-200.0,8.9
19/03/2004,01.00.00,1.6,1134.0,-200.0,6.6
19/03/2004,02.00.00,0.9,999.0,-200.0,3.6
19/03/2004,03.00.00,0.7,961.0,-200.0,2.5
19/03/2004,04.00.00,-200.0,934.0,-200.0,1.8
19/03/2004,05.00.00,0.5,913.0,-200.0,1.3
19/03/2004,06.00.00,0.7,969.0,-200.0,2.3
19/03/2004,07.00.00,1.5,1182.0,-200.0,6.7
19/03/2004,08.00.00,4.8,1740.0,-200.0,22.8
19/03/2004,09.00.00,6.2,1819.0,-200.0,31.3
19/03/2004,10.00.00,4.0,1427.0,-200.0,19.2
19/03/2004,11.00.00,3.3,1390.0,-200.0,16.4
19/03/2004,12.00.00,2.8,1283.0,-200.0,14.0
19/03/2004,13.00.00,3.0,1304.0,-200.0,15.3
19/03/2004,14.00.00,3.3,1364.0,-200.0,16.7
19/03/2004,15.00.00,3.5,1410.0,-200.0,19.0
19/03/2004,16.00.00,4.0,1476.0,-200.0,19.4
19/03/2004,17.00.00,4.6,1522.0,-200.0,20.9
19/03/2004,18.00.00,4.1,1442.0,-200.0,20.2
19/03/2004,19.00.00,4.5,1469.0,-200.0,21.7
19/03/2004,20.00.00,3.9,1467.0,-200.0,19.8
19/03/2004,21.00.00,4.0,1421.0,-200.0,16.7
19/03/2004,22.00.00,2.2,1175.0,-200.0,9.1
19/03/2004,23.00.00,2.1,1215.0,-200.0,8.3
20/03/2004,00.00.00,1.7,1127.0,-200.0,5.8
20/03/2004,01.00.00,1.6,1090.0,-200.0,5.2
20/03/2004,02.00.00,1.3,1017.0,-200.0,4.1
20/03/2004,03.00.00,1.3,997.0,-200.0,3.4
20/03/2004,04.00.00,-200.0,945.0,-200.0,2.9
20/03/2004,05.00.00,0.8,956.0,-200.0,3.1
20/03/2004,06.00.00,0.8,966.0,-200.0,2.5
20/03/2004,07.00.00,1.1,1064.0,-200.0,4.3
20/03/2004,08.00.00,2.1,1300.0,-200.0,8.9
20/03/2004,09.00.00,2.4,1348.0,-200.0,10.5
20/03/2004,10.00.00,2.6,1425.0,-200.0,12.5
20/03/2004,11.00.00,2.8,1474.0,-200.0,12.3
20/03/2004,12.00.00,2.6,1490.0,-200.0,11.7
20/03/2004,13.00.00,2.6,1495.0,-200.0,11.7
20/03/2004,14.00.00,2.1,1376.0,-200.0,9.3
20/03/2004,15.00.00,1.7,1305.0,-200.0,7.6
20/03/2004,16.00.00,1.6,1283.0,-200.0,6.7
20/03/2004,17.00.00,2.1,1392.0,-200.0,9.7
20/03/2004,18.00.00,2.3,1452.0,-200.0,12.4
20/03/2004,19.00.00,3.5,1633.0,-200.0,16.6
20/03/2004,20.00.00,3.9,1625.0,-200.0,16.4
20/03/2004,21.00.00,3.3,1535.0,-200.0,13.7
20/03/2004,22.00.00,2.3,1323.0,-200.0,9.9
20/03/2004,23.00.00,2.1,1309.0,-200.0,8.9
21/03/2004,00.00.00,2.8,1456.0,-200.0,10.6
21/03/2004,01.00.00,2.1,1300.0,-200.0,7.4
21/03/2004,02.00.00,1.6,1203.0,-200.0,6.2
21/03/2004,03.00.00,1.6,1195.0,-200.0,6.5
21/03/2004,04.00.00,-200.0,1117.0,-200.0,5.8
21/03/2004,05.00.00,1.1,1062.0,-200.0,4.0
21/03/2004,06.00.00,0.7,947.0,-200.0,2.1
21/03/2004,07.00.00,0.8,1065.0,-200.0,3.6
21/03/2004,08.00.00,1.2,1155.0,-200.0,4.4
21/03/2004,09.00.00,1.4,1220.0,-200.0,5.4
21/03/2004,10.00.00,1.7,1301.0,-200.0,7.1
21/03/2004,11.00.00,1.8,1279.0,-200.0,7.3
21/03/2004,12.00.00,1.8,1267.0,-200.0,7.6
21/03/2004,13.00.00,1.9,1239.0,-200.0,6.8
21/03/2004,14.00.00,1.3,1128.0,-200.0,4.6
21/03/2004,15.00.00,1.6,1243.0,-200.0,8.4
21/03/2004,16.00.00,1.9,1208.0,-200.0,6.9
21/03/2004,17.00.00,2.3,1306.0,-200.0,9.0
21/03/2004,18.00.00,3.8,1546.0,-200.0,15.1
21/03/2004,19.00.00,3.5,1501.0,-200.0,12.6
21/03/2004,20.00.00,4.3,1605.0,-200.0,15.1
21/03/2004,21.00.00,2.8,1316.0,-200.0,9.9
21/03/2004,22.00.00,1.9,1195.0,-200.0,8.0
21/03/2004,23.00.00,1.9,1211.0,-200.0,7.9
22/03/2004,00.00.00,1.7,1161.0,-200.0,6.1
22/03/2004,01.00.00,1.5,1095.0,-200.0,5.1
22/03/2004,02.00.00,0.6,897.0,-200.0,1.7
22/03/2004,03.00.00,0.4,842.0,-200.0,0.7
22/03/2004,04.00.00,-200.0,854.0,-200.0,0.8
22/03/2004,05.00.00,0.3,845.0,-200.0,0.7
22/03/2004,06.00.00,0.6,942.0,-200.0,2.0
22/03/2004,07.00.00,1.2,1090.0,-200.0,5.1
22/03/2004,08.00.00,3.6,1514.0,-200.0,17.7
22/03/2004,09.00.00,3.7,1379.0,-200.0,18.4
22/03/2004,10.00.00,1.8,1074.0,-200.0,6.9
22/03/2004,11.00.00,1.6,1090.0,-200.0,7.3
22/03/2004,12.00.00,1.9,1110.0,-200.0,9.6
22/03/2004,13.00.00,2.0,1102.0,-200.0,10.4
22/03/2004,14.00.00,2.2,1100.0,-200.0,11.2
22/03/2004,15.00.00,2.1,1094.0,-200.0,10.7
22/03/2004,16.00.00,2.3,1076.0,451.0,11.6
22/03/2004,17.00.00,2.6,1152.0,185.0,12.4
22/03/2004,18.00.00,3.8,1407.0,426.0,18.3
22/03/2004,19.00.00,4.4,1438.0,672.0,21.0
22/03/2004,20.00.00,4.5,1425.0,624.0,21.0
22/03/2004,21.00.00,3.3,1279.0,325.0,14.5
22/03/2004,22.00.00,2.0,1132.0,143.0,8.4
22/03/2004,23.00.00,1.1,1006.0,89.0,4.3
23/03/2004,00.00.00,0.9,982.0,73.0,3.8
23/03/2004,01.00.00,0.8,969.0,48.0,2.7
23/03/2004,02.00.00,0.7,941.0,47.0,2.5
23/03/2004,03.00.00,0.5,892.0,36.0,1.2
23/03/2004,04.00.00,-200.0,855.0,25.0,0.8
23/03/2004,05.00.00,0.3,834.0,19.0,0.6
23/03/2004,06.00.00,0.5,909.0,26.0,1.8
23/03/2004,07.00.00,1.1,1061.0,60.0,4.6
23/03/2004,08.00.00,3.0,1441.0,248.0,14.2
23/03/2004,09.00.00,3.8,1498.0,535.0,21.0
23/03/2004,10.00.00,3.4,1343.0,340.0,16.2
23/03/2004,11.00.00,3.0,1308.0,325.0,15.5
23/03/2004,12.00.00,2.7,1209.0,267.0,13.4
23/03/2004,13.00.00,3.5,1310.0,325.0,16.9
23/03/2004,14.00.00,2.8,1171.0,268.0,12.4
23/03/2004,15.00.00,1.9,1112.0,136.0,10.1
23/03/2004,16.00.00,2.0,1132.0,118.0,8.7
23/03/2004,17.00.00,3.0,1225.0,276.0,13.8
23/03/2004,18.00.00,1.9,1065.0,151.0,9.3
23/03/2004,19.00.00,2.7,1236.0,236.0,13.0
23/03/2004,20.00.00,3.3,1309.0,220.0,14.3
23/03/2004,21.00.00,1.7,1089.0,87.0,7.6
23/03/2004,22.00.00,1.3,1000.0,81.0,5.3
23/03/2004,23.00.00,1.3,1041.0,74.0,5.4
24/03/2004,00.00.00,1.2,1045.0,55.0,4.9
24/03/2004,01.00.00,1.1,997.0,74.0,4.6
24/03/2004,02.00.00,0.9,948.0,35.0,2.7
24/03/2004,03.00.00,0.6,878.0,29.0,1.6
24/03/2004,04.00.00,-200.0,908.0,29.0,1.7
24/03/2004,05.00.00,0.6,892.0,20.0,1.2
24/03/2004,06.00.00,0.8,954.0,32.0,1.7
24/03/2004,07.00.00,1.2,1045.0,84.0,4.8
24/03/2004,08.00.00,3.1,1383.0,245.0,13.8
24/03/2004,09.00.00,4.4,1597.0,553.0,23.7
24/03/2004,10.00.00,3.4,1318.0,450.0,14.2
24/03/2004,11.00.00,1.7,1138.0,118.0,8.0
24/03/2004,12.00.00,1.5,1098.0,118.0,6.7
24/03/2004,13.00.00,1.7,1118.0,144.0,8.7
24/03/2004,14.00.00,2.2,1170.0,159.0,10.8
24/03/2004,15.00.00,-200.0,1112.0,122.0,6.7
24/03/2004,16.00.00,2.7,1390.0,230.0,11.4
24/03/2004,17.00.00,2.8,1353.0,320.0,13.4
24/03/2004,18.00.00,2.7,1260.0,263.0,12.0
24/03/2004,19.00.00,4.5,1501.0,556.0,20.2
24/03/2004,20.00.00,3.5,1273.0,458.0,14.4
24/03/2004,21.00.00,2.6,1179.0,214.0,9.4
24/03/2004,22.00.00,1.7,1047.0,97.0,5.9
24/03/2004,23.00.00,1.3,973.0,79.0,4.5
25/03/2004,00.00.00,1.3,997.0,81.0,4.5
25/03/2004,01.00.00,1.0,970.0,52.0,2.5
25/03/2004,02.00.00,0.7,902.0,38.0,1.8
25/03/2004,03.00.00,0.7,921.0,35.0,1.4
25/03/2004,04.00.00,0.5,858.0,29.0,0.9
25/03/2004,05.00.00,0.5,878.0,21.0,0.6
25/03/2004,06.00.00,0.6,893.0,46.0,1.4
25/03/2004,07.00.00,1.1,1038.0,55.0,3.8
25/03/2004,08.00.00,2.7,1320.0,271.0,11.6
25/03/2004,09.00.00,3.5,1353.0,434.0,17.8
25/03/2004,10.00.00,2.3,1133.0,300.0,8.8
25/03/2004,11.00.00,1.6,1066.0,116.0,6.8
25/03/2004,12.00.00,1.3,1027.0,95.0,5.9
25/03/2004,13.00.00,2.0,1106.0,211.0,8.9
25/03/2004,14.00.00,1.9,1038.0,168.0,8.2
25/03/2004,15.00.00,1.9,1084.0,154.0,8.6
25/03/2004,16.00.00,2.2,1105.0,267.0,10.1
25/03/2004,17.00.00,2.0,1102.0,143.0,9.4
25/03/2004,18.00.00,2.9,1240.0,374.0,14.6
25/03/2004,19.00.00,5.2,1443.0,797.0,24.6
25/03/2004,20.00.00,4.6,1389.0,698.0,21.6
25/03/2004,21.00.00,2.5,1183.0,234.0,10.3
25/03/2004,22.00.00,1.5,1014.0,104.0,5.7
25/03/2004,23.00.00,1.2,979.0,67.0,4.5
26/03/2004,00.00.00,1.7,1048.0,88.0,5.5
26/03/2004,01.00.00,1.4,1024.0,79.0,4.8
26/03/2004,02.00.00,1.2,974.0,61.0,3.6
26/03/2004,03.00.00,0.6,862.0,43.0,1.7
26/03/2004,04.00.00,0.7,925.0,40.0,2.2
26/03/2004,05.00.00,0.8,952.0,52.0,3.0
26/03/2004,06.00.00,0.9,1005.0,64.0,4.0
26/03/2004,07.00.00,1.6,1122.0,88.0,6.7
26/03/2004,08.00.00,3.4,1351.0,375.0,16.7
26/03/2004,09.00.00,3.8,1408.0,592.0,19.3
26/03/2004,10.00.00,3.1,1304.0,357.0,14.8
26/03/2004,11.00.00,2.7,1207.0,296.0,13.4
26/03/2004,12.00.00,2.0,1099.0,181.0,11.0
26/03/2004,13.00.00,2.3,1106.0,211.0,12.5
26/03/2004,14.00.00,1.9,1009.0,199.0,8.4
26/03/2004,15.00.00,1.3,962.0,81.0,5.3
26/03/2004,16.00.00,1.9,1093.0,143.0,8.8
26/03/2004,17.00.00,2.3,1180.0,247.0,11.2
26/03/2004,18.00.00,2.4,1168.0,239.0,11.6
26/03/2004,19.00.00,2.7,1168.0,267.0,12.4
26/03/2004,20.00.00,2.6,1140.0,261.0,10.6
26/03/2004,21.00.00,1.5,1001.0,97.0,6.0
26/03/2004,22.00.00,1.2,953.0,66.0,4.6
26/03/2004,23.00.00,1.1,972.0,60.0,4.1
27/03/2004,00.00.00,1.5,1021.0,77.0,5.2
27/03/2004,01.00.00,1.0,940.0,57.0,3.2
27/03/2004,02.00.00,1.2,1046.0,65.0,4.5
27/03/2004,03.00.00,1.1,1026.0,59.0,3.8
27/03/2004,04.00.00,-200.0,983.0,48.0,3.8
27/03/2004,05.00.00,0.8,915.0,27.0,1.9
27/03/2004,06.00.00,0.9,935.0,25.0,2.4
27/03/2004,07.00.00,1.1,976.0,42.0,3.3
27/03/2004,08.00.00,1.5,1124.0,78.0,6.7
27/03/2004,09.00.00,1.8,1163.0,128.0,8.5
27/03/2004,10.00.00,2.1,1167.0,184.0,9.7
27/03/2004,11.00.00,2.1,1121.0,156.0,9.4
27/03/2004,12.00.00,1.9,1071.0,176.0,9.0
27/03/2004,13.00.00,2.1,1065.0,232.0,10.0
27/03/2004,14.00.00,2.5,1157.0,305.0,12.6
27/03/2004,15.00.00,1.9,1046.0,150.0,7.6
27/03/2004,16.00.00,2.2,1147.0,188.0,11.8
27/03/2004,17.00.00,2.3,1119.0,221.0,11.2
27/03/2004,18.00.00,2.7,1210.0,219.0,12.4
27/03/2004,19.00.00,3.0,1306.0,306.0,12.9
27/03/2004,20.00.00,2.8,1258.0,270.0,12.2
27/03/2004,21.00.00,2.2,1148.0,231.0,8.8
27/03/2004,22.00.00,1.6,1108.0,125.0,6.8
27/03/2004,23.00.00,2.1,1231.0,122.0,8.6
28/03/2004,00.00.00,2.3,1293.0,161.0,8.9
28/03/2004,01.00.00,2.3,1274.0,101.0,8.3
28/03/2004,02.00.00,1.7,1135.0,95.0,6.3
28/03/2004,03.00.00,2.2,1151.0,129.0,8.3
28/03/2004,04.00.00,1.3,1010.0,96.0,5.1
28/03/2004,05.00.00,0.8,870.0,54.0,2.6
28/03/2004,06.00.00,1.1,983.0,63.0,3.6
28/03/2004,07.00.00,1.4,995.0,72.0,3.6
28/03/2004,08.00.00,1.3,1024.0,91.0,4.7
28/03/2004,09.00.00,1.9,1163.0,127.0,7.5
28/03/2004,10.00.00,2.3,1218.0,193.0,9.0
28/03/2004,11.00.00,2.3,1210.0,188.0,9.5
28/03/2004,12.00.00,1.8,1114.0,151.0,7.7
28/03/2004,13.00.00,1.4,995.0,103.0,5.7
28/03/2004,14.00.00,1.0,927.0,55.0,3.8
28/03/2004,15.00.00,1.4,1002.0,104.0,4.8
28/03/2004,16.00.00,1.3,987.0,116.0,4.3
28/03/2004,17.00.00,1.3,993.0,93.0,4.1
28/03/2004,18.00.00,1.4,1012.0,93.0,4.7
28/03/2004,19.00.00,1.9,1114.0,155.0,6.2
28/03/2004,20.00.00,1.8,1093.0,115.0,5.5
28/03/2004,21.00.00,1.1,968.0,75.0,3.3
28/03/2004,22.00.00,1.1,960.0,65.0,3.2
28/03/2004,23.00.00,1.1,942.0,57.0,2.9
29/03/2004,00.00.00,0.9,888.0,40.0,2.2
29/03/2004,01.00.00,0.6,818.0,27.0,1.3
29/03/2004,02.00.00,0.5,840.0,23.0,1.1
29/03/2004,03.00.00,0.7,894.0,28.0,1.3
29/03/2004,04.00.00,0.6,864.0,21.0,1.2
29/03/2004,05.00.00,0.7,898.0,33.0,1.7
29/03/2004,06.00.00,0.9,946.0,40.0,2.9
29/03/2004,07.00.00,2.9,1309.0,279.0,14.3
29/03/2004,08.00.00,4.1,1326.0,743.0,19.7
29/03/2004,09.00.00,1.5,966.0,147.0,5.5
29/03/2004,10.00.00,1.5,975.0,97.0,5.6
29/03/2004,11.00.00,1.5,988.0,118.0,5.8
29/03/2004,12.00.00,1.4,971.0,91.0,5.5
29/03/2004,13.00.00,1.6,1010.0,146.0,6.5
29/03/2004,14.00.00,1.5,984.0,139.0,5.5
29/03/2004,15.00.00,1.4,962.0,155.0,5.2
29/03/2004,16.00.00,1.5,1012.0,128.0,5.8
29/03/2004,17.00.00,1.9,1058.0,166.0,7.9
29/03/2004,18.00.00,2.5,1173.0,299.0,10.2
29/03/2004,19.00.00,2.1,1127.0,163.0,8.2
29/03/2004,20.00.00,1.6,1020.0,154.0,5.7
29/03/2004,21.00.00,1.2,949.0,80.0,3.8
29/03/2004,22.00.00,1.1,930.0,58.0,4.0
29/03/2004,23.00.00,1.0,900.0,55.0,2.8
30/03/2004,00.00.00,1.0,899.0,33.0,2.6
