ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
466683,Female,Yes,49,No,Artist,1.0,Average,4.0,Cat_3,C
464985,Female,Yes,66,Yes,Lawyer,1.0,High,3.0,Cat_6,C
464765,Female,Yes,48,No,Engineer,5.0,Average,6.0,Cat_4,D
466530,Male,No,19,No,Healthcare,1.0,Low,4.0,,B
462966,Male,Yes,43,Yes,Artist,2.0,Average,3.0,Cat_6,A
467870,Male,No,27,Yes,Entertainment,0.0,Low,5.0,Cat_6,B
465463,Female,No,28,No,Doctor,,Low,5.0,Cat_2,A
460629,Female,Yes,36,Yes,Entertainment,,Average,3.0,Cat_3,B
465355,Female,Yes,47,Yes,Artist,7.0,Average,2.0,Cat_6,C
464115,Female,No,38,Yes,Engineer,0.0,Low,3.0,Cat_6,C
461518,Female,Yes,45,Yes,Artist,1.0,Average,4.0,Cat_3,C
462256,Female,Yes,59,Yes,Homemaker,0.0,Average,4.0,Cat_6,B
465758,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,D
462619,Male,,61,No,,0.0,High,,Cat_4,A
459866,Female,No,51,Yes,Artist,,Low,1.0,Cat_6,B
463281,Male,Yes,25,No,Entertainment,3.0,Average,2.0,Cat_3,D
463243,Male,No,19,No,Healthcare,0.0,Low,3.0,Cat_6,D
467879,Female,Yes,51,Yes,Artist,,High,4.0,Cat_6,A
462488,Male,No,33,Yes,Healthcare,0.0,Low,5.0,Cat_6,D
459162,Female,Yes,83,Yes,Lawyer,0.0,High,2.0,Cat_6,C
460443,Female,No,38,Yes,Doctor,0.0,Low,1.0,Cat_6,A
465591,Male,Yes,65,No,Artist,0.0,Average,2.0,Cat_4,A
466415,Male,Yes,71,No,Marketing,1.0,Low,1.0,Cat_6,D
466427,Female,Yes,25,No,Marketing,1.0,Low,4.0,Cat_4,D
464012,Female,Yes,75,Yes,Lawyer,3.0,High,2.0,Cat_6,A
464330,Male,No,38,Yes,Artist,,Low,2.0,Cat_6,A
462723,Female,Yes,46,No,Artist,8.0,Average,2.0,Cat_6,B
461977,Female,No,49,Yes,Artist,3.0,Low,1.0,Cat_6,C
461530,Male,Yes,42,Yes,Engineer,1.0,Low,2.0,Cat_6,A
459154,Male,Yes,88,Yes,Lawyer,0.0,High,2.0,Cat_6,A
462913,Female,No,25,Yes,Artist,4.0,Low,5.0,Cat_6,C
459210,Female,Yes,71,Yes,Artist,1.0,High,2.0,Cat_6,C
460598,Female,Yes,36,Yes,Doctor,0.0,Average,3.0,Cat_3,B
464128,Male,Yes,52,No,Entertainment,0.0,Average,4.0,Cat_5,B
461788,Female,Yes,79,Yes,Lawyer,1.0,High,2.0,Cat_6,A
459321,Male,Yes,81,Yes,Entertainment,1.0,Low,1.0,Cat_6,B
465476,Female,No,28,No,Healthcare,3.0,Low,2.0,Cat_6,A
461203,Female,Yes,26,No,Lawyer,0.0,Low,9.0,Cat_7,C
467260,Male,No,27,No,Doctor,9.0,Low,4.0,Cat_6,D
463467,Female,No,23,No,Healthcare,0.0,Low,4.0,,D
465163,Male,Yes,46,Yes,Artist,11.0,Average,5.0,Cat_6,C
463926,Female,No,27,No,Engineer,0.0,Low,6.0,Cat_6,D
463738,Male,Yes,43,No,Executive,0.0,High,4.0,Cat_6,A
463644,Female,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_7,D
462099,Female,Yes,47,Yes,Doctor,,Average,5.0,Cat_2,C
459806,Female,Yes,50,No,Engineer,1.0,Average,4.0,Cat_6,B
464949,Male,Yes,19,No,Executive,0.0,High,3.0,Cat_4,A
463106,Female,Yes,79,Yes,Lawyer,0.0,Low,1.0,Cat_6,C
467365,Male,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A
461822,Male,Yes,36,Yes,Artist,8.0,High,2.0,Cat_6,A
459111,Male,Yes,41,Yes,Executive,0.0,Low,4.0,Cat_6,B
465249,Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_6,B
466109,Male,Yes,51,Yes,Entertainment,1.0,Average,4.0,Cat_6,B
459852,Male,No,40,Yes,Artist,7.0,Low,1.0,Cat_6,A
465054,Male,Yes,67,Yes,Executive,1.0,High,3.0,Cat_6,C
461280,Male,No,20,No,Healthcare,7.0,Low,4.0,Cat_2,D
466969,Female,No,43,Yes,Homemaker,9.0,Low,1.0,Cat_6,A
467628,Male,Yes,73,No,Executive,,High,3.0,Cat_6,C
463341,Female,Yes,53,No,Engineer,0.0,Average,6.0,Cat_3,A
464318,Male,Yes,88,Yes,Executive,1.0,Low,1.0,Cat_6,D
466778,Male,Yes,35,Yes,Entertainment,1.0,Low,2.0,Cat_3,A
464817,Male,No,31,Yes,Artist,5.0,Low,1.0,Cat_4,D
462209,Female,Yes,41,No,Artist,0.0,Low,1.0,Cat_4,B
463070,Male,Yes,68,No,Entertainment,1.0,Low,1.0,Cat_6,D
465008,Female,Yes,70,Yes,Artist,0.0,High,2.0,Cat_6,C
464585,Male,Yes,66,Yes,Lawyer,1.0,High,2.0,Cat_4,C
464706,Female,No,32,No,Doctor,1.0,Low,3.0,Cat_4,D
465449,Female,No,43,Yes,Artist,9.0,Low,2.0,Cat_6,B
467880,Female,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,C
460952,Male,Yes,38,No,Doctor,0.0,Average,5.0,Cat_6,A
464618,Male,,35,Yes,Artist,5.0,Low,1.0,Cat_6,B
462630,Male,No,32,No,Doctor,,Low,6.0,Cat_4,D
465969,Female,No,28,Yes,Doctor,12.0,Low,2.0,Cat_7,D
462892,Male,Yes,33,No,Healthcare,8.0,Average,3.0,Cat_6,C
467132,Female,Yes,66,Yes,Engineer,0.0,Low,2.0,Cat_6,B
459383,Male,Yes,43,No,Engineer,0.0,Low,1.0,Cat_6,D
459946,Female,Yes,37,Yes,Artist,0.0,Average,2.0,Cat_6,D
462604,Female,Yes,38,No,Doctor,1.0,Average,3.0,Cat_4,A
461965,Male,No,19,No,Healthcare,0.0,Low,6.0,Cat_6,D
462105,Male,Yes,47,No,Executive,,High,4.0,Cat_4,B
464280,Male,Yes,47,Yes,Entertainment,1.0,Low,4.0,Cat_6,C
462492,Male,Yes,43,No,Artist,0.0,Average,4.0,Cat_2,A
464315,Male,Yes,71,No,Executive,1.0,Average,2.0,Cat_6,C
465653,Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6,A
460362,Male,Yes,59,Yes,Healthcare,0.0,Low,3.0,Cat_4,D
466017,Female,Yes,45,Yes,Homemaker,0.0,Low,1.0,Cat_3,A
459558,Male,No,28,Yes,Entertainment,1.0,Low,3.0,Cat_6,A
466413,Male,Yes,62,Yes,Artist,1.0,Average,5.0,Cat_6,A
467111,Male,Yes,66,Yes,Artist,1.0,Low,1.0,Cat_6,D
466679,Female,No,43,Yes,Artist,8.0,Low,2.0,Cat_6,B
462142,Female,No,42,Yes,Artist,,Low,1.0,Cat_6,B
460342,Female,No,29,Yes,Engineer,10.0,Low,1.0,Cat_6,D
467862,Female,Yes,47,Yes,Artist,0.0,Low,3.0,Cat_6,C
460753,Female,No,33,No,Healthcare,1.0,Low,6.0,Cat_6,A
460624,Male,Yes,57,Yes,Homemaker,5.0,High,2.0,Cat_6,A
466686,Female,No,22,No,Healthcare,0.0,Low,4.0,Cat_6,D
459042,Female,Yes,41,Yes,Engineer,1.0,Average,3.0,Cat_6,C
466229,Male,Yes,56,Yes,Executive,0.0,High,1.0,Cat_6,B
465874,Female,No,26,Yes,Artist,1.0,Low,2.0,Cat_6,D
466828,Male,Yes,50,Yes,Executive,0.0,High,4.0,Cat_6,B
462244,Male,Yes,83,No,Executive,1.0,High,3.0,Cat_6,B
462664,Male,Yes,69,No,Artist,2.0,Low,2.0,Cat_6,A
466515,Male,Yes,52,No,Executive,9.0,Average,4.0,Cat_6,A
465489,Female,No,53,Yes,Engineer,1.0,Low,5.0,Cat_6,D
462484,Male,Yes,67,Yes,Artist,0.0,Low,1.0,Cat_6,D
467366,Male,No,42,Yes,Artist,,Low,1.0,Cat_4,A
462297,Female,No,31,Yes,Artist,14.0,Low,2.0,Cat_6,D
466909,Male,Yes,63,Yes,Artist,1.0,Low,2.0,Cat_6,D
467399,Male,Yes,29,Yes,Doctor,1.0,Low,3.0,Cat_6,D
466892,Male,Yes,51,Yes,Artist,1.0,Average,3.0,Cat_6,C
464410,Male,Yes,40,Yes,Artist,0.0,Average,2.0,Cat_6,C
465264,Male,Yes,80,No,Executive,0.0,Low,1.0,Cat_6,D
459938,Male,No,61,Yes,Artist,1.0,Low,1.0,Cat_6,B
465849,Female,No,25,Yes,Doctor,7.0,Low,3.0,Cat_4,D
466799,Female,No,21,No,Healthcare,2.0,Low,3.0,Cat_6,D
466702,Male,Yes,62,,Lawyer,0.0,Low,1.0,Cat_6,C
465425,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,B
461539,Male,Yes,42,No,Entertainment,6.0,Average,2.0,Cat_2,A
459981,Male,No,36,Yes,Artist,5.0,Low,1.0,Cat_6,A
462421,Male,No,48,Yes,Artist,1.0,Low,2.0,Cat_6,C
465443,Male,Yes,38,Yes,Artist,0.0,Low,4.0,Cat_6,A
462446,Male,No,22,No,Healthcare,0.0,Low,4.0,Cat_6,D
460511,Female,No,31,No,Doctor,0.0,Low,4.0,Cat_3,D
467550,Male,No,27,Yes,Doctor,0.0,Low,2.0,Cat_3,A
466672,Male,Yes,62,Yes,Artist,0.0,Low,3.0,Cat_6,C
462118,Male,No,30,Yes,Artist,1.0,Low,3.0,Cat_6,C
464845,Male,Yes,29,No,Engineer,0.0,Average,3.0,Cat_4,A
461065,Male,Yes,61,Yes,Executive,,Low,6.0,Cat_3,B
460158,Female,No,51,No,Engineer,8.0,Low,6.0,Cat_4,D
461715,Male,No,43,Yes,Entertainment,0.0,Low,5.0,Cat_2,A
465272,Male,Yes,39,Yes,Executive,0.0,High,6.0,Cat_6,C
464627,Male,Yes,37,Yes,Artist,0.0,Low,4.0,Cat_3,A
465611,Male,No,53,Yes,Doctor,0.0,Low,1.0,Cat_6,B
464444,Male,Yes,36,Yes,Artist,8.0,Average,2.0,Cat_6,C
467468,Female,No,25,No,Healthcare,,Low,5.0,Cat_7,D
461186,Female,No,18,No,Healthcare,,Low,3.0,Cat_3,D
466568,Female,Yes,35,Yes,Artist,,Average,2.0,Cat_6,B
464799,Male,No,36,No,Marketing,0.0,Low,4.0,Cat_4,B
462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,B
465807,Female,No,42,Yes,Artist,1.0,Low,1.0,Cat_3,B
459151,Male,Yes,60,Yes,Lawyer,9.0,Low,2.0,Cat_6,B
462151,Female,No,42,Yes,Artist,9.0,Low,1.0,Cat_6,C
466618,Male,Yes,49,Yes,Artist,3.0,Average,2.0,Cat_6,C
463235,Female,No,21,No,,1.0,Low,4.0,Cat_6,D
464891,Male,Yes,42,No,Entertainment,1.0,Low,3.0,Cat_4,A
463286,Male,Yes,35,Yes,Artist,1.0,Average,3.0,Cat_6,C
464392,Male,Yes,58,,Artist,1.0,Average,2.0,Cat_6,B
465539,Female,Yes,50,Yes,Artist,1.0,High,5.0,Cat_6,D
466825,Female,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_6,A
461131,Male,Yes,68,Yes,Artist,0.0,High,,Cat_6,A
464328,Male,Yes,84,No,Lawyer,1.0,High,2.0,Cat_6,B
467866,Male,Yes,50,Yes,Artist,1.0,Average,3.0,Cat_6,C
465620,Male,No,37,Yes,Artist,8.0,Low,3.0,Cat_6,C
467295,Male,No,29,No,Healthcare,0.0,Low,3.0,Cat_6,C
465160,Male,Yes,62,Yes,Executive,1.0,High,3.0,Cat_6,C
461226,Male,Yes,45,Yes,,1.0,Low,2.0,Cat_6,A
464688,Male,Yes,28,Yes,Doctor,0.0,Low,9.0,Cat_4,D
464346,Male,Yes,55,Yes,Executive,2.0,High,3.0,Cat_6,C
463880,Female,Yes,36,No,Engineer,0.0,Low,3.0,Cat_2,B
464981,Male,Yes,49,Yes,Artist,0.0,Average,4.0,Cat_6,C
464413,Female,Yes,36,Yes,Engineer,0.0,Low,1.0,Cat_3,B
462311,Male,Yes,56,Yes,Executive,,High,9.0,Cat_6,B
460281,Female,No,30,Yes,Doctor,10.0,Low,5.0,Cat_6,B
465026,Female,No,25,No,Doctor,0.0,Low,2.0,Cat_6,B
461723,Male,No,26,Yes,Healthcare,8.0,Low,2.0,Cat_6,C
465706,Female,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_6,C
464780,Female,No,33,No,Engineer,1.0,Low,9.0,Cat_4,B
464370,Male,Yes,65,Yes,Entertainment,0.0,Average,2.0,Cat_6,B
460269,Male,No,31,Yes,Healthcare,8.0,Low,,Cat_7,D
466743,Male,No,26,No,Entertainment,1.0,Low,2.0,Cat_6,A
467468,Female,No,27,No,Healthcare,,Low,5.0,Cat_7,D
459409,Female,Yes,76,Yes,Lawyer,0.0,High,2.0,Cat_6,B
466394,Female,Yes,42,No,Entertainment,6.0,Average,5.0,Cat_6,A
459408,Male,No,28,No,Doctor,,Low,1.0,Cat_6,D
467218,Female,No,32,Yes,Artist,9.0,Low,1.0,Cat_6,D
460804,Female,No,30,Yes,Artist,0.0,Low,5.0,Cat_2,A
461482,Female,No,52,Yes,Artist,9.0,Low,1.0,Cat_6,C
466682,Male,Yes,62,,Entertainment,2.0,Average,4.0,Cat_3,C
460932,Female,No,32,Yes,Doctor,8.0,Low,1.0,Cat_6,D
460855,Male,Yes,45,Yes,Artist,,Low,2.0,Cat_6,A
459632,Female,Yes,52,No,Marketing,1.0,High,3.0,Cat_4,D
463357,Male,Yes,27,Yes,Doctor,0.0,Average,2.0,Cat_5,D
464023,Male,No,22,No,Healthcare,0.0,Low,5.0,Cat_7,D
464748,Female,Yes,52,No,Engineer,9.0,Average,5.0,Cat_4,B
459850,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,B
464373,Female,No,46,Yes,Artist,0.0,Low,2.0,Cat_6,B
462811,Male,Yes,37,Yes,Marketing,,High,2.0,Cat_6,B
464086,Male,Yes,42,Yes,Artist,1.0,Average,4.0,Cat_6,B
466848,Female,Yes,65,Yes,Artist,1.0,Low,2.0,Cat_6,B
459748,Male,Yes,51,No,Executive,1.0,High,2.0,Cat_6,B
461177,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,B
464555,Male,Yes,32,Yes,Marketing,13.0,High,4.0,Cat_4,A
467513,Female,Yes,36,No,Engineer,,Average,4.0,Cat_4,D
460425,Female,No,27,No,Doctor,,Low,3.0,Cat_7,A
459746,Male,,56,Yes,Artist,1.0,Average,2.0,Cat_6,B
463559,Female,Yes,48,Yes,Engineer,1.0,High,3.0,Cat_6,B
463755,Female,Yes,63,No,Artist,0.0,High,2.0,Cat_6,B
466339,Male,No,23,No,Healthcare,0.0,Low,2.0,Cat_4,D
461091,Female,Yes,37,Yes,Artist,3.0,Average,3.0,Cat_3,B
463153,Female,No,26,Yes,Homemaker,9.0,Low,1.0,Cat_2,D
464088,Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6,D
462234,Male,Yes,32,No,,1.0,Average,6.0,Cat_4,B
459866,Female,No,49,Yes,Artist,,Low,1.0,Cat_6,D
459292,Male,No,46,Yes,Artist,0.0,Low,2.0,Cat_6,B
461426,Male,Yes,51,Yes,Artist,7.0,Average,2.0,Cat_6,C
462938,Female,No,50,Yes,Artist,6.0,Low,1.0,Cat_6,B
465942,Female,Yes,33,Yes,Marketing,8.0,High,2.0,Cat_6,D
460331,Female,No,35,No,Artist,5.0,Low,1.0,Cat_6,A
460019,Female,No,46,Yes,Doctor,6.0,Low,,Cat_6,C
466480,Female,Yes,40,Yes,Artist,,Average,2.0,Cat_4,C
465631,Male,No,35,Yes,Artist,9.0,Low,1.0,Cat_6,A
467585,Male,Yes,40,Yes,Healthcare,6.0,High,2.0,Cat_6,A
461678,Female,Yes,87,No,Lawyer,1.0,Low,1.0,Cat_6,A
459041,Male,Yes,55,Yes,Artist,8.0,Low,1.0,Cat_6,B
464139,Female,No,25,No,Healthcare,14.0,Low,1.0,Cat_6,D
462540,Male,Yes,32,Yes,Entertainment,6.0,Low,2.0,Cat_2,B
466971,Male,No,65,Yes,Executive,9.0,Low,3.0,Cat_6,D
459362,Male,Yes,60,No,Executive,0.0,Low,2.0,Cat_6,D
462476,Male,Yes,45,Yes,Artist,4.0,Average,2.0,Cat_6,C
460444,Male,Yes,60,No,Artist,0.0,Low,1.0,Cat_6,B
458982,Male,Yes,61,Yes,Executive,1.0,High,3.0,Cat_6,C
460898,Male,Yes,52,No,Artist,2.0,Average,4.0,Cat_6,D
459181,Male,Yes,58,No,Artist,0.0,High,3.0,Cat_6,D
460998,Male,No,27,Yes,,0.0,Low,3.0,Cat_3,B
462762,Male,Yes,48,Yes,Artist,0.0,High,4.0,Cat_6,B
462445,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_6,D
464638,Male,No,39,Yes,Artist,2.0,Low,3.0,Cat_4,B
467589,Male,No,32,No,Entertainment,0.0,Low,1.0,Cat_6,B
464886,Male,Yes,38,Yes,Engineer,0.0,Average,4.0,Cat_4,B
462092,Female,Yes,35,Yes,Homemaker,7.0,Average,4.0,,B
462047,Female,Yes,26,Yes,Artist,12.0,Average,2.0,Cat_6,B
462693,Female,No,35,Yes,Artist,1.0,Low,1.0,Cat_6,A
462704,Male,Yes,52,Yes,Executive,5.0,High,5.0,Cat_6,A
459779,Female,Yes,62,Yes,Entertainment,1.0,Low,1.0,Cat_6,B
461626,Male,Yes,73,Yes,Executive,0.0,High,2.0,Cat_6,C
464156,Male,Yes,62,Yes,Artist,10.0,Low,1.0,Cat_6,B
466161,Male,Yes,47,No,Artist,1.0,Average,,Cat_6,D
462139,Female,No,27,Yes,Healthcare,1.0,Low,4.0,Cat_2,C
465317,Male,No,23,No,Healthcare,0.0,Low,4.0,Cat_4,D
459497,Female,Yes,80,Yes,Lawyer,0.0,Low,1.0,Cat_6,C
460654,Female,Yes,48,No,Marketing,0.0,Average,2.0,Cat_4,D
466277,Male,No,18,No,Healthcare,0.0,Low,5.0,Cat_3,D
466506,Male,Yes,50,,Artist,1.0,Average,4.0,Cat_6,A
459692,Female,Yes,72,Yes,Lawyer,8.0,High,2.0,Cat_6,A
459223,Female,Yes,47,Yes,Doctor,1.0,Average,4.0,Cat_6,C
467559,Male,Yes,58,Yes,Executive,0.0,Average,4.0,Cat_6,C
466019,Female,Yes,63,Yes,Artist,5.0,Low,1.0,Cat_3,C
465403,Female,No,27,No,Healthcare,9.0,Low,5.0,Cat_7,A
462627,Male,Yes,27,No,Entertainment,,Average,3.0,Cat_4,D
459327,Male,No,50,No,Doctor,9.0,Low,3.0,Cat_6,D
459830,Female,No,27,Yes,Doctor,8.0,Low,1.0,Cat_6,A
465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,A
464227,Male,Yes,89,Yes,Lawyer,0.0,High,2.0,Cat_6,C
461611,Female,Yes,38,Yes,Artist,5.0,Average,2.0,Cat_6,C
461609,Female,Yes,45,Yes,Artist,5.0,Average,2.0,Cat_6,B
459119,Male,Yes,61,Yes,Executive,9.0,High,3.0,Cat_6,C
459308,Female,Yes,47,Yes,Artist,0.0,Average,2.0,Cat_6,C
460522,Female,Yes,32,No,Homemaker,,Average,2.0,Cat_4,D
464528,Male,Yes,46,Yes,Entertainment,4.0,High,4.0,Cat_2,B
464307,Female,Yes,50,Yes,Artist,1.0,Average,2.0,Cat_6,C
464918,Male,No,39,No,Artist,1.0,Low,1.0,Cat_4,D
467614,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,B
462041,Female,No,22,No,Doctor,0.0,Low,2.0,Cat_4,D
460888,Male,Yes,42,No,Homemaker,8.0,Low,1.0,Cat_6,A
459081,Male,Yes,63,Yes,Artist,0.0,Average,4.0,Cat_6,C
459418,Male,Yes,69,No,Executive,0.0,High,2.0,Cat_6,C
465684,Female,No,47,Yes,Entertainment,0.0,Low,1.0,Cat_3,A
467673,Male,Yes,45,No,Executive,1.0,High,4.0,Cat_6,B
467028,Male,No,27,Yes,Artist,0.0,Low,1.0,Cat_6,D
463110,Male,Yes,68,No,Executive,1.0,High,2.0,Cat_6,A
462320,Female,Yes,51,Yes,Artist,0.0,Average,2.0,Cat_2,C
464150,Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6,C
459871,Female,Yes,85,No,Entertainment,2.0,Average,2.0,Cat_6,C
460683,Male,Yes,59,No,Entertainment,6.0,Average,3.0,Cat_3,B
464169,Male,,83,No,Lawyer,0.0,High,2.0,Cat_6,A
464202,Male,Yes,43,Yes,Artist,13.0,Low,1.0,Cat_6,A
461994,Male,Yes,18,No,Doctor,10.0,Low,2.0,Cat_6,D
461979,Male,Yes,35,Yes,Artist,9.0,Average,2.0,Cat_6,C
463374,Female,No,19,No,Healthcare,0.0,Low,3.0,Cat_6,D
467746,Male,Yes,50,Yes,Executive,0.0,High,3.0,Cat_6,B
466308,Male,No,33,Yes,Healthcare,0.0,Low,2.0,Cat_6,C
459656,Male,No,22,No,,,Low,6.0,Cat_1,D
467383,Female,Yes,77,Yes,Lawyer,0.0,High,2.0,Cat_6,B
465066,Male,Yes,47,Yes,Executive,7.0,High,4.0,Cat_6,C
466507,Male,Yes,51,Yes,Entertainment,1.0,Average,5.0,Cat_6,B
463891,Male,Yes,75,Yes,Lawyer,1.0,Low,1.0,Cat_6,A
465388,Female,No,31,Yes,Marketing,0.0,Low,1.0,Cat_6,D
459594,Female,Yes,42,Yes,Artist,5.0,Low,1.0,Cat_6,A
461120,Male,No,20,No,Healthcare,1.0,Low,3.0,Cat_3,D
465960,Female,No,28,Yes,Marketing,9.0,Low,1.0,Cat_6,B
459824,Male,No,38,Yes,Entertainment,8.0,Low,1.0,Cat_6,D
460134,Male,Yes,39,Yes,Entertainment,9.0,High,3.0,Cat_6,D
462766,Female,No,32,No,Homemaker,8.0,Low,1.0,Cat_6,D
463548,Female,No,20,No,Healthcare,3.0,Low,4.0,Cat_4,D
462699,Female,Yes,61,Yes,Lawyer,,High,4.0,Cat_2,B
467407,Male,No,27,Yes,Artist,7.0,Low,3.0,Cat_6,D
466605,Female,No,32,No,Healthcare,0.0,Low,4.0,Cat_3,B
461618,Female,Yes,42,Yes,Artist,,High,3.0,Cat_6,C
466917,Male,Yes,43,No,Executive,3.0,Low,,Cat_6,B
461780,Female,No,65,Yes,Lawyer,0.0,Low,5.0,Cat_6,A
461663,Male,No,23,No,Healthcare,1.0,Low,3.0,Cat_6,D
461746,Male,Yes,53,Yes,Artist,2.0,Average,3.0,Cat_6,C
467439,Male,Yes,37,Yes,Entertainment,1.0,Low,4.0,Cat_6,A
462959,Female,Yes,56,Yes,Engineer,2.0,High,2.0,Cat_6,B
464322,Male,Yes,79,Yes,Lawyer,0.0,Low,2.0,Cat_6,A
467556,Female,No,40,Yes,Healthcare,,Low,1.0,Cat_4,A
460999,Male,No,28,Yes,Engineer,0.0,Low,3.0,Cat_3,C
465281,Female,Yes,27,Yes,Artist,8.0,Average,2.0,Cat_6,C
467120,Male,Yes,37,Yes,Artist,8.0,Low,2.0,Cat_6,B
460822,Male,Yes,41,Yes,Artist,0.0,Low,2.0,Cat_6,A
463696,Female,No,48,Yes,Marketing,0.0,Low,1.0,Cat_7,A
463146,Male,Yes,37,No,Entertainment,11.0,Average,2.0,Cat_6,B
463690,Female,No,28,No,Healthcare,7.0,Low,4.0,Cat_6,D
463427,Female,Yes,29,Yes,Engineer,1.0,Low,2.0,Cat_6,D
461963,Female,No,40,Yes,Artist,9.0,Low,1.0,Cat_6,D
462424,Female,Yes,38,No,Artist,0.0,Low,3.0,Cat_6,C
462868,Male,Yes,43,No,Entertainment,0.0,Average,4.0,Cat_4,D
463848,Male,Yes,48,Yes,Artist,1.0,Average,4.0,Cat_1,C
465299,Male,Yes,56,Yes,Executive,,High,2.0,Cat_6,B
463356,Male,No,30,Yes,Healthcare,6.0,Low,4.0,Cat_2,D
459927,Female,No,27,No,Engineer,0.0,Low,2.0,Cat_3,D
467659,Male,Yes,65,Yes,Entertainment,0.0,Average,2.0,Cat_6,B
467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,C
465191,Female,No,58,Yes,Engineer,1.0,Low,1.0,Cat_6,A
467662,Male,No,29,Yes,Artist,,Low,1.0,Cat_4,D
460090,Male,Yes,86,No,Lawyer,2.0,Average,2.0,Cat_6,A
462003,Male,Yes,79,No,Lawyer,9.0,Low,3.0,Cat_6,D
465977,Male,Yes,71,Yes,Artist,0.0,Average,2.0,Cat_6,C
461257,Male,Yes,37,Yes,Engineer,1.0,Average,2.0,Cat_4,D
466541,Male,No,41,Yes,Entertainment,1.0,Low,4.0,Cat_6,A
466758,Male,Yes,45,Yes,Doctor,0.0,Low,1.0,Cat_6,A
463763,Male,Yes,36,Yes,Artist,4.0,Average,2.0,Cat_6,C
461962,Male,Yes,59,Yes,Entertainment,1.0,Average,3.0,Cat_6,B
464798,Male,Yes,52,,Entertainment,,Average,5.0,Cat_4,B
