사원ID,부서,성과등급,근속연수,교육참가횟수,평균만족도
06jdrgiofx,YD,S,4.0,2,1.3
4hke6dkanc,XX,C,18.0,25,3.0
zsby1o8it5,XX,B,3.0,4,0.1
ne64ub9n6j,YF,C,2.0,3,1.3
fqkjc5h19t,YF,S,8.0,10,3.3
w0umxcvwfl,YA,S,15.0,7,0.2
fiv2djh1bt,YF,A,6.0,3,0.4
hvsi5mbipf,XZ,S,20.0,22,1.5
1divvoqf09,YD,S,12.0,13,4.4
san4bub0oi,YC,C,3.0,2,3.8
qas1om8sm9,YE,C,9.0,5,0.1
skuf8815uc,YF,B,10.0,12,2.5
zlh6xr7f44,YB,A,4.0,4,1.4
4n9ype24tz,XX,C,3.0,2,3.2
le2kprs6aw,XZ,S,8.0,4,
erb63r4f83,YG,B,6.0,7,4.3
mccmbe2gos,YE,C,,9,2.4
amue7lwb0s,YC,A,,15,5.0
dig3y7xp8x,YE,A,7.0,6,
rbw5o1lvvq,YF,B,19.0,11,4.4
g4md4c55ga,YA,B,3.0,3,2.9
w73j2eu3ew,XX,B,7.0,8,2.0
c7z4icnmva,XX,B,10.0,11,1.8
4c125czzl8,YG,B,4.0,3,0.1
biq4hekvwg,YA,S,2.0,1,1.2
sped5x3n3k,YD,S,2.0,2,3.6
qc4dfv029r,XY,C,20.0,28,3.0
opmo90guz1,XZ,A,6.0,4,4.6
vijy51szob,XX,S,14.0,7,0.3
rex4hxcgia,YB,S,20.0,14,0.8
fj4gd1nsa8,XX,S,13.0,8,3.9
4ynlcfisw0,YE,C,17.0,24,1.8
qvq6ntnixd,XX,B,20.0,27,0.6
gzu9imtqls,XX,C,4.0,3,5.0
1h19wt9b3e,XY,A,13.0,10,3.9
4baiaypra8,XY,A,6.0,5,2.0
vc3wcxltby,YC,A,3.0,3,4.1
h5rz2cy8s3,YD,A,8.0,9,3.4
vhawptxfgt,YB,S,14.0,15,3.9
9nnabqiwv8,XX,S,16.0,23,4.1
771k1jcadu,XX,C,4.0,3,0.4
fh3wom22hu,XZ,B,6.0,9,3.1
z123sa786x,XY,A,9.0,11,0.0
fqv1nx7dob,YB,C,2.0,3,0.2
rlq6dttqi8,YG,S,9.0,11,4.5
02yrpb7x2t,YC,S,19.0,18,2.6
vgylwge9y4,YD,B,17.0,8,3.7
ifl6u3hk8o,YA,B,19.0,20,4.2
evk959yhkv,YD,B,13.0,14,4.7
k01d5krki2,YE,C,14.0,11,4.3
u7t8bxcuit,XX,S,14.0,15,2.4
fkmjaozfn4,YC,S,11.0,6,1.7
eeno1mf8xe,YE,B,8.0,11,0.8
au4ddksvty,YB,A,15.0,13,2.0
6boqb9sez1,YA,B,17.0,18,1.8
zpdnxppsw6,XY,C,16.0,11,2.8
uoh3ccvg8u,YC,B,13.0,9,3.3
c6x3aq9iuj,YC,B,10.0,14,4.9
7ax1h0soqp,XX,C,9.0,13,3.6
qhy0qtavbo,YF,B,19.0,21,3.2
tuplq8h0ni,YC,S,19.0,28,1.7
a9r7k350ze,XZ,A,14.0,20,0.2
f4txpluczr,YA,B,19.0,10,1.4
l66348u48l,YA,C,16.0,11,3.8
5o9f8z397h,XZ,A,5.0,4,1.0
pk7mohxwda,YG,C,18.0,25,3.6
vp3g5o8fzk,XZ,A,6.0,7,2.9
kpql1fdzwr,XZ,A,17.0,25,0.9
vp1rhhspw8,YA,B,10.0,9,1.3
qfpitc5who,YD,S,11.0,16,2.5
v6tnqlthpj,YA,B,19.0,9,2.1
fqs4q9aiqs,YF,C,18.0,23,3.9
721d2rcb69,XX,C,19.0,11,3.7
5fsy12j7go,YE,A,8.0,9,2.9
llnfk1h2h4,YD,A,5.0,7,4.1
2miybdt0py,XY,S,6.0,9,2.8
am3bhbwe4d,YE,B,17.0,13,4.8
diozp4bbjh,XX,C,4.0,2,
5tfwito1qy,YF,A,,28,3.6
4e6pjgst3y,YF,S,15.0,12,1.8
tsrpqi7kzf,XY,C,,15,1.4
xo0sfpnxun,YD,A,18.0,23,0.9
725lgrxckr,YG,C,2.0,2,2.8
ze7mdawizw,XZ,S,18.0,24,
ituc2otykq,YD,S,12.0,9,1.0
kuzcdu4clm,YG,C,18.0,24,5.0
pib88rajq0,YF,B,15.0,17,4.0
4ykkzvjo33,YA,C,20.0,28,3.7
pya7ul9xvj,XX,A,8.0,11,4.0
9ft5cxp7x5,XY,B,14.0,7,4.8
50otf0rkua,XX,A,,12,2.9
tt0liprhxp,YB,C,15.0,14,1.1
14zhy8asch,YB,B,2.0,2,4.3
poi2wojpw1,YD,A,8.0,7,3.7
wcb6t87mlz,YF,C,9.0,5,2.1
y5cctxw6db,YF,C,19.0,10,2.4
i1pnsc8sqr,XZ,B,10.0,8,2.1
6wjkf33az1,XZ,C,2.0,3,4.6
c195pc38gx,XZ,S,18.0,12,1.7
9ht2kzmyjy,YA,A,20.0,25,4.8
7occ7klbyf,YE,A,7.0,9,4.6
ao0llfldrq,YC,C,4.0,3,3.2
sc9g2jfw4q,YE,C,6.0,9,2.9
e8s65dc84b,XX,S,3.0,3,1.9
o2blr8iqt3,YE,B,5.0,7,0.1
gkpgw3bdbu,YA,C,11.0,15,0.6
pu8gnmfc3i,XX,C,11.0,7,3.8
w72vpqsakn,YE,C,12.0,13,2.4
v6lm95m8v8,YA,C,17.0,8,0.7
69vv989jd0,YC,A,18.0,11,1.3
pp5d28fovz,YE,C,17.0,12,4.7
0gpe5cy126,YA,A,8.0,5,1.8
hyi35v9v31,XZ,C,17.0,19,4.5
d35z4cdmtk,YF,B,4.0,5,1.5
1x89ev5rtu,XZ,S,17.0,16,2.7
uswz56si3x,YF,B,9.0,4,0.1
lvyr3u0u02,XY,C,13.0,9,2.6
0w6q02za7c,XY,C,4.0,3,3.2
3ut1bj31hh,XY,C,18.0,23,1.2
tm661ehrbw,YC,B,,27,2.9
1z1o5873cf,XZ,C,12.0,8,3.2
f32inrpfhs,YF,B,5.0,5,3.4
8k2bs2jdd5,YA,A,17.0,12,3.9
subejdywm9,XX,S,18.0,19,1.6
ia5ahiwycl,YA,S,10.0,12,2.8
1qgbwwq80r,XX,B,7.0,7,4.9
81v0qg5kpz,YB,A,3.0,3,
n5il1xv4o2,YA,B,10.0,10,4.8
47f44n8ncp,YE,A,7.0,8,1.9
x9td44wa6m,YE,C,4.0,3,3.9
q6wjci094g,YD,A,7.0,10,3.1
0266jopjk2,XZ,A,8.0,5,0.4
n7z5utfzpa,XX,A,2.0,3,4.1
tfnsdgd17y,XX,S,2.0,3,3.4
x6l7f8wulw,XZ,A,6.0,5,1.0
1d0wupihyy,YC,C,7.0,6,0.4
r1vyfo7d6v,YD,C,14.0,11,4.2
01tr6auoke,YC,C,,1,0.4
jjl6fcpqeg,YC,A,16.0,13,0.5
j5e00serkw,YC,B,16.0,24,2.1
cvy1mcbr0b,XZ,B,14.0,9,0.7
879fe5346v,YC,C,15.0,13,
8gnhuf3dgp,YE,S,8.0,11,2.4
9bcgqkqb2y,XY,B,15.0,13,2.8
q0unt8sp1s,YB,A,11.0,9,4.6
65sya56ru6,XX,B,18.0,23,2.7
x0kubq3hyr,XX,C,15.0,16,1.8
v4cob7yegb,YB,S,9.0,11,4.0
j1f7se2bpm,XZ,B,5.0,2,2.2
vvx52zmh0q,YA,B,17.0,14,1.6
eaavmxvwys,XZ,C,14.0,17,3.6
hoiwz2ftip,XX,S,19.0,17,4.0
xsdqkafm74,XX,S,15.0,7,4.0
hp6ms6oiqk,YB,C,19.0,17,4.9
oeia5ysr3x,YC,A,6.0,5,3.9
aknvc0mqwi,XZ,B,10.0,10,3.8
cf6mp1t0t0,YF,A,4.0,4,4.3
8xls6cww1q,YB,B,9.0,7,0.0
uhn442ma2v,YE,B,11.0,11,1.8
r40mtpbih2,XX,A,20.0,16,
sfixf2v51k,YB,C,4.0,5,3.0
x6q6sggf9c,XZ,C,12.0,14,
yt008ve6lh,XX,B,12.0,18,1.5
b4a4yxrv38,YA,C,18.0,11,1.7
lrl5iyyxce,YB,B,17.0,19,2.8
iik5g55ovm,YD,C,8.0,11,4.2
26xvd87p8v,XX,B,5.0,6,4.7
ilu221nxlz,XZ,C,20.0,29,3.8
puztbr7rs0,XY,S,13.0,12,4.2
e1785stxc0,YF,A,,11,2.4
tti93tzgjk,YG,S,12.0,18,1.9
7kcqd6rjo6,YC,A,,6,2.0
b37795qe9d,YG,A,6.0,3,3.1
cw0ckt9xid,XZ,B,16.0,8,0.6
sqfh8tcbm7,YE,A,19.0,25,
utz3up42hy,YE,S,12.0,7,3.3
apir8bhtkr,XY,S,13.0,11,2.2
ordcf9akrm,YC,C,3.0,4,4.8
gxqep27ht6,YD,S,16.0,18,3.0
fa9d3vyjf0,XY,C,5.0,6,1.1
8utqlq5gu0,YG,A,19.0,19,2.4
q3ef9ikv40,XY,S,7.0,4,3.4
p1b3k6g94c,YG,A,,17,1.6
xllf8f27my,XX,S,12.0,14,0.4
v06l3f5cl6,YE,S,3.0,3,2.9
02bliquy40,XX,C,9.0,12,4.7
xtybje6e7x,YF,A,12.0,9,2.4
atio6x6use,YC,S,6.0,7,4.5
wck5o9qq85,YD,B,19.0,24,4.2
1cl62pt8qj,YG,A,19.0,27,0.7
adriw9mooa,YD,A,15.0,22,
nv2wjmavmf,YG,A,11.0,13,2.2
c90ikqu2dd,XZ,C,4.0,6,1.3
68rvel630f,XY,B,10.0,14,3.4
f9kg4jsxki,YF,A,4.0,6,3.7
lf9anz4x3z,YE,S,12.0,11,0.9
votp3p2n8l,YG,S,13.0,8,4.6
s6aqeds391,YD,C,13.0,15,3.8
76i5inq7p2,YF,S,4.0,2,4.7
lgevb1opbe,YA,A,8.0,12,1.6
9p3h9jt4or,YA,S,15.0,20,4.7
3p2v2wyxly,XX,A,12.0,18,1.8
l87pxhf61h,YE,S,8.0,8,0.3
zz95xh83tl,XZ,B,11.0,11,3.8
nop38n0vdt,YD,C,12.0,18,
tj4igpc70k,XY,C,16.0,19,3.0
01qx0xgw0l,XY,B,20.0,28,2.4
ca8qhqjbsz,YD,B,17.0,13,
as2jm5zoy0,YC,C,13.0,17,3.1
wvkqhtpp0i,XZ,B,19.0,21,2.1
tvm70216pd,YF,A,14.0,14,2.8
n6b2o9xtsr,YG,S,6.0,4,2.1
bsayzcqo4p,YC,C,5.0,7,4.8
qn7bxyoffu,YG,B,15.0,13,3.0
q17k5292aa,YG,A,9.0,10,3.7
v83hjwbaw0,YC,C,,7,4.7
fzv5usnay4,XX,B,20.0,23,3.0
al32fdfpxf,YA,C,4.0,2,0.1
r0c584y0vf,YG,B,6.0,4,0.2
21dj08436f,YC,C,19.0,19,
ck35ffxnqd,YC,A,2.0,3,1.4
cqzgz3aycp,YB,A,9.0,5,2.9
tobmzkhknc,XX,S,20.0,20,1.0
t0auuq4l9y,YE,C,18.0,12,1.4
rymwo9ivj5,YB,S,18.0,26,2.5
zp7zeuhb5y,YB,C,12.0,8,4.9
bwtasbghv4,YD,B,3.0,1,3.1
ix1tcngplt,YA,B,7.0,6,4.7
ucrxpbjaip,YC,S,15.0,21,
g8unpxkcud,YA,C,4.0,3,1.0
55d7al6suv,XZ,S,13.0,18,1.6
ax4z6eburm,YD,A,5.0,7,3.8
vb153gty7u,YE,S,13.0,10,4.3
31z0hyse09,YA,S,14.0,9,2.6
pucqhfqix2,XY,B,3.0,4,
tpvk4s92h8,YG,S,3.0,2,0.1
0vd5s2d8le,XZ,C,16.0,15,1.5
p0f9232zh8,XX,B,18.0,15,3.1
z2izvazgdc,YE,S,8.0,6,2.3
qr83gbq9xh,XZ,A,15.0,20,0.6
d5rkh4u99u,YG,S,13.0,6,1.8
mqy6w3jvf4,YD,S,18.0,9,0.1
expzo99ii4,YG,S,15.0,12,3.2
ss7gw81s1i,YB,B,7.0,5,4.5
0qdo6q8fgg,YG,C,20.0,24,4.4
yqxo7sd3p9,YB,A,7.0,9,3.5
hpdt1mil8x,YD,S,19.0,20,2.3
0otmlil5ko,YF,C,6.0,7,2.6
oat3v1voqb,YB,C,7.0,6,0.7
7ebm7ihx7n,XX,B,3.0,2,1.7
t2w81dezlp,YG,A,9.0,8,0.9
6tdjtmbc9d,YG,B,16.0,16,4.1
7yrr5f3slu,XX,C,16.0,21,4.6
1z9w0nim0m,XY,C,12.0,7,2.7
1qjjvg08us,YC,C,2.0,1,3.6
xegasibf6g,YF,B,19.0,16,0.6
jq0s5fiy8n,YE,A,13.0,7,3.0
17ujj2vvww,YB,S,13.0,14,3.5
s6hiqjflm2,XX,B,12.0,12,2.3
vz4i8gwoox,YD,C,9.0,5,
0kcc8ho5ok,YB,B,8.0,8,4.4
93rx2cmjam,YC,C,3.0,1,3.7
qxh71yfgyq,YD,S,12.0,12,4.5
fgpukagbv7,XZ,S,11.0,9,4.1
0ctd7q1nnx,YG,A,4.0,4,5.0
3vco4gbhv2,XZ,C,11.0,10,1.0
bkv966f9y8,YB,A,19.0,22,0.4
vq7mjxnqv8,YC,A,15.0,15,1.7
32gcrpia85,YF,S,19.0,27,0.6
itn32zud79,YB,B,9.0,6,2.6
s03mzvun5d,XX,B,11.0,12,3.2
mdg9x3502a,YA,A,14.0,16,2.9
4v3j7f7uyf,YB,S,9.0,9,1.3
n14qp2xzss,YG,C,5.0,5,4.5
od2z37dmfe,YG,B,5.0,3,0.1
7nvzfw4xjn,YB,A,6.0,5,1.7
s5fq0c4lt9,YD,B,2.0,2,3.6
rdma07hrgg,YA,B,18.0,21,3.8
t17ex9fe6p,XX,C,3.0,2,2.1
nijwjm3wb0,YB,S,9.0,5,0.1
k31z1dooex,YD,C,8.0,8,3.1
2elw5raaiy,YG,S,16.0,22,0.3
plud7d30xi,YG,B,,6,0.5
6e19b85fqy,YC,A,3.0,4,3.3
3l896byi5q,YB,C,8.0,8,1.6
gs8eq1mqtg,YA,S,9.0,4,1.7
jm8783y80e,XY,B,8.0,5,2.4
9ovsbulhdh,YA,S,8.0,5,4.9
uzluggbp3w,YG,S,15.0,21,4.8
erf6rvm7ww,YG,S,19.0,28,2.1
7zsirc7fa0,XZ,B,7.0,9,1.3
prw4lpeicd,YG,A,5.0,4,1.5
ga82xz8v46,XX,A,11.0,9,1.3
cuwp902jtr,YE,A,19.0,19,
fktn9ecogk,YB,S,13.0,14,3.0
qtkbaqf94f,YA,B,17.0,12,2.4
hkaoc5jkt7,YE,S,8.0,12,2.0
3pjpnct7x1,YD,A,7.0,3,1.1
y0ipjrav9o,XY,A,6.0,3,2.4
k558owgmpg,XX,B,4.0,6,1.7
nybo43ax7i,YA,S,13.0,13,2.7
varanrk0wm,YE,C,16.0,21,3.4
tdn4bkvyyc,XY,C,11.0,16,3.2
rzzvnswt1d,XZ,A,20.0,25,2.3
u7otulbyks,XX,B,17.0,13,2.8
6o9ftbcpru,XX,S,12.0,13,1.4
bang10vmqm,XZ,S,9.0,5,0.1
erei94giti,YB,A,4.0,4,3.1
4tzto2fuhz,XZ,A,8.0,12,1.3
l79061i1vd,XX,S,8.0,8,3.3
b0sjg4jk3a,XX,S,15.0,11,3.7
2ehafy0ydv,YE,A,3.0,1,4.6
zcb1vix7af,YG,S,11.0,14,4.8
fc7frn9woj,XY,C,20.0,28,0.1
9153c7ugk0,XZ,A,10.0,8,5.0
rlhvu8iyru,XY,S,17.0,23,3.4
razv9qipt0,XZ,A,20.0,25,3.2
x0gi03sgdf,YD,B,19.0,24,
rlw8gw3m2m,XX,A,10.0,11,4.3
du3d3yvych,YG,A,17.0,25,0.7
1erdljfnd7,YE,B,14.0,14,4.2
q5fow0vl8f,YG,C,11.0,9,0.1
27tw28n023,YG,S,15.0,21,3.2
krrt6sr54z,YG,B,13.0,6,2.2
55u0zv6oug,XY,A,20.0,12,1.0
l9vedt1s03,XZ,S,8.0,12,0.5
ntoehd45aa,YF,B,16.0,15,2.2
pccqigb4yq,YD,S,17.0,8,0.6
7movdw1hx3,YA,S,9.0,10,2.4
t3a9v4qdtr,YG,B,11.0,11,3.1
apeoq0iefa,YB,S,5.0,4,4.1
j6wdznctbe,XY,C,20.0,26,3.4
6u4u8wfbcy,YE,B,20.0,20,
ow93346k6f,YA,C,16.0,22,1.5
ijzgy3ridi,YF,A,15.0,15,1.4
iq3sozp6za,YB,S,2.0,1,4.6
vads7wvbrf,YF,A,17.0,18,4.3
rbkscnpkdi,YA,A,11.0,10,1.9
c38ekl0xcw,YG,S,20.0,18,0.4
rhbon15ibn,YB,B,,3,4.5
vmgtjb1cb3,YF,S,6.0,6,4.4
8jdthre8uq,YE,A,10.0,6,
1lbriasld0,XZ,A,19.0,12,4.2
z1pwuvghzi,XX,B,12.0,7,2.4
6w7wz28uzr,XZ,S,17.0,8,0.9
e70d6ma9fl,YA,A,3.0,3,2.4
qjy1o13f68,XY,C,13.0,8,2.5
5gbxf9h288,XX,A,7.0,10,2.4
lc9snnc97m,YD,A,12.0,10,
yyxijtu1k1,YE,B,9.0,7,1.3
szkrl80x5x,YD,C,13.0,10,1.8
lm4atmwwpe,YB,A,3.0,2,2.2
ja2l5416fv,XX,A,10.0,10,0.7
dg431zajc5,YD,C,16.0,12,2.3
xq6gl6dkt4,YD,S,3.0,4,4.1
0l8cfbhpcq,YF,S,2.0,3,4.1
7arhbgbb9o,XZ,A,,16,2.1
s0p4vyucxr,YF,A,3.0,2,2.6
x7waa8544d,XX,S,13.0,14,0.2
vs3un6brye,XX,B,9.0,8,3.4
csg8o4hi8i,YA,C,6.0,7,2.0
x6ns85512c,YF,C,2.0,2,2.2
zpzeu8ce7f,YC,B,16.0,10,4.4
m6xi9mhhf4,XZ,B,7.0,7,2.3
nu0cy593vs,XX,B,13.0,17,0.1
7npgrlie08,YA,B,9.0,9,1.1
i90q4zf4pa,YF,B,14.0,17,2.4
ospde7xeik,XZ,B,20.0,20,2.1
unxt5agkbu,YF,C,,1,4.3
w8xtmxpjgl,YD,B,12.0,9,2.7
m0ggmc5nca,YA,S,2.0,1,3.4
mjidwibj3i,XZ,B,9.0,10,2.3
8tlgeywo9e,YG,B,6.0,3,2.2
bavt58jlzf,YB,C,18.0,24,2.2
4m1babx2pq,YB,C,9.0,4,2.1
0z2w0yeh37,XZ,B,11.0,15,2.7
rot4m0wspa,YF,C,3.0,1,1.3
2ni24alm85,YA,A,10.0,5,4.5
6wyme2ik9y,YB,C,4.0,3,1.7
sdpl5fysni,YA,C,19.0,17,0.7
40plim348z,YB,C,8.0,8,0.5
x19yikpb0v,YD,C,16.0,16,0.1
qq4nbnua05,YF,S,19.0,21,
zar9j9zrsq,YD,S,4.0,6,0.9
6jm82jpc82,YB,S,15.0,21,
xxgwxnuv4o,YG,B,3.0,2,2.6
av6apsro18,YG,B,15.0,13,3.4
bpvd0jelxu,YD,A,12.0,11,0.4
x1g7l468lx,YG,S,17.0,9,2.3
eze4x5xrp0,YB,B,9.0,6,3.7
51o8cpjftd,XZ,C,8.0,8,4.9
p1eyruorpv,YD,C,12.0,9,3.3
oqf923f42g,XY,S,4.0,4,1.2
teog61x5c7,YF,A,18.0,14,3.6
v0gyr7odrg,YG,A,15.0,14,3.0
t4zntq8tvg,YG,C,7.0,10,1.1
6pdc3pbb94,XX,A,9.0,6,4.3
gfc5k77w2j,YC,S,,6,2.1
62imgx8znw,YD,C,9.0,4,4.8
5dcmdu44ob,YE,B,3.0,2,
m5kf8y32d6,YG,B,16.0,20,3.2
fzeewxkvao,YF,A,,14,3.6
cryse30ssh,XY,C,18.0,20,2.4
fwzh4ku9x5,YG,C,2.0,2,2.5
wg9iafkiuh,XY,B,16.0,17,4.3
swrxwhe1hu,YB,C,15.0,8,3.4
oidc5o5yh7,YB,C,17.0,19,4.5
3miz95qoi1,YC,C,10.0,10,4.5
5prpcojmgd,XZ,A,2.0,2,4.9
8qs831p4o5,YE,C,18.0,24,3.5
a95rbws703,XX,S,14.0,13,2.5
twj8z8u011,YC,A,6.0,8,0.8
o48njsfwpw,YA,C,11.0,12,
wygp6hhzhj,XX,C,7.0,3,1.5
ysn3cg8wt7,YD,S,20.0,30,1.4
ryp4jcda61,YF,A,14.0,14,1.2
7clgv1t0rn,YA,B,2.0,2,4.4
m3f0mctr5n,YA,B,16.0,22,4.3
7f8qnuz7nr,YC,A,15.0,16,3.2
wfwcrvo6h2,XZ,C,9.0,12,2.4
4m3k2xnnxa,YC,C,11.0,12,3.4
8u4ncya2vg,YD,B,10.0,6,3.0
wxyjy2f3z6,YG,B,18.0,26,2.1
dczad8slch,YG,B,10.0,7,1.9
55xz9h3u9v,XZ,S,4.0,2,1.9
ib6mptqxuq,YD,B,12.0,13,2.9
htckjnfnr8,XZ,S,13.0,14,3.2
bm36jkk9x2,XY,A,11.0,10,2.3
dym961b1au,YG,C,18.0,9,4.8
jo139pdkea,YA,B,18.0,22,0.4
qoj5cdhgwq,YE,C,12.0,17,1.7
ffu8i64l6x,YF,C,5.0,5,2.1
hl7a7fxclu,YD,B,8.0,9,0.1
