기업ID,사원ID,성별,년도,기본급,성과급
ID_9,3366211a588e4ffc,남성,2020,5097,1507
ID_1,f1d9f8cda1cb4693,남성,2023,4358,1464
ID_7,c9db0eff47d843b8,남성,2020,3733,1544
ID_1,6c989f65debc43f4,남성,2025,4779,2000
ID_7,e08af830516a4a6f,남성,2020,3675,1382
ID_1,318bb81c17844cfd,남성,2020,4108,2000
ID_4,fd02abb545ce4b9f,여성,2020,3290,2000
ID_2,2c02ceb318de4fc5,여성,2024,5449,712
ID_4,65538019513e4eed,남성,2021,3355,1293
ID_7,cafe625160d44473,여성,2018,3474,1570
ID_10,02da71a563dd4f64,여성,2024,4595,838
ID_4,7657b4a221734acf,여성,2025,4027,1579
ID_3,a5ff6c8ca1944b95,남성,2021,4763,728
ID_4,a926f69eafdd4c76,여성,2021,3334,1940
ID_2,a00008f75bf440e6,여성,2020,4978,670
ID_10,dca2ed15295e41ee,여성,2018,3646,500
ID_2,abb35fb535ee4f22,여성,2023,5406,866
ID_4,dbaef35853ff4589,여성,2024,3721,2000
ID_6,73058e0ec6684a12,남성,2024,3410,800
ID_10,cc5923e23ebc42af,남성,2020,3898,529
ID_10,636ff958a3f94860,남성,2023,4252,500
ID_7,c08c9602236a4f6f,남성,2021,3883,1543
ID_9,c79f33d0aefe4354,남성,2022,5366,1675
ID_4,f0f5ea3377cb46bd,여성,2022,3590,1760
ID_2,46d9355a8f1b41ef,여성,2022,5269,500
ID_1,ebf5b126aec1438e,여성,2021,4115,1632
ID_8,438387574d7d4748,여성,2021,3571,1284
ID_5,45f67be7c9844a8a,여성,2024,6760,1841
ID_4,13a6efe822d34a5d,여성,2023,3584,2000
ID_4,102148864bdf41aa,남성,2022,3415,2000
ID_1,f6d7d19ed0574b6c,남성,2023,4453,2000
ID_5,c23c23d2e921446c,여성,2025,6479,2000
ID_10,32a79fc521f34e7d,여성,2023,4034,504
ID_9,223f9964393842d3,여성,2024,6169,1928
ID_10,3eac4c9eac0d43f8,여성,2021,4021,825
ID_2,75e4e301a46e4f4d,여성,2023,5207,780
ID_8,b716dd139c07471e,남성,2022,3695,1335
ID_6,f457a18bc91b42a1,남성,2021,3275,718
ID_6,c5315f4da17147db,여성,2023,3365,730
ID_9,dbd2f04035ee4633,여성,2021,5217,2000
ID_2,539d7358024e42f6,여성,2024,5267,614
ID_1,20e363a020904f09,남성,2024,4523,1898
ID_9,365bc2fe65ff46df,남성,2024,5999,1707
ID_6,75c7b3518726424a,남성,2022,3415,851
ID_10,1504d3572ea44a91,남성,2023,4235,500
ID_4,2db6a9bc5f364f2e,여성,2022,3654,2000
ID_9,b9d4b66580de40e7,여성,2022,5504,1799
ID_1,cf995c93bcb94fd3,여성,2021,4099,1788
ID_3,63342dfd40d944cd,여성,2024,5089,500
ID_3,72388a0cb19141ba,남성,2022,4927,577
ID_5,57bc2829fcf949f2,여성,2022,5974,1432
ID_5,77f301c2f47340f8,여성,2020,5706,1700
ID_9,771a92adb46844a7,남성,2025,5642,1916
ID_6,53a41e315d8244d0,여성,2019,3124,788
ID_1,a02c59d85f104ffe,남성,2022,4217,1905
ID_2,2f83349103024f80,남성,2023,5121,610
ID_3,9671147cad8041e9,여성,2023,5266,677
ID_4,0e4186a9b3b04370,남성,2018,3130,2000
ID_1,dd5ea9a978864532,남성,2020,4126,1739
ID_10,1f01774587dd426f,남성,2022,4066,500
ID_8,4fc7d7ed67e94102,남성,2019,3274,1555
ID_10,be41a976f5594488,여성,2025,4255,500
ID_3,fe896637375c4e41,남성,2019,4597,812
ID_1,b1e1e6fe82594701,남성,2019,4009,2000
ID_1,fd826378a29046df,남성,2022,4349,1748
ID_10,fa0365ad6a564642,남성,2020,3811,500
ID_6,a8bf95fc73cc46b9,여성,2020,3215,500
ID_10,3331edb99bb5441f,여성,2023,4335,500
ID_1,20e363a020904f09,남성,2023,4405,2000
ID_2,dd76aee07b6348ac,여성,2022,5341,500
ID_6,8f50050e50e945b7,남성,2019,3095,752
ID_3,abdc0068599843e3,여성,2018,4482,689
ID_10,8e6be6de546f4925,남성,2022,4098,500
ID_9,3899587e26f7440d,여성,2020,5297,1936
ID_9,9bc3c5b4f1f442c1,남성,2024,5925,1687
ID_6,6045ac275c1240c5,여성,2024,3799,941
ID_10,a7a5fbd8848048ba,여성,2021,4009,647
ID_3,1706bcf92bf94673,여성,2021,4991,500
ID_4,b6e7a3d200e84a2f,남성,2022,3627,2000
ID_2,72b9bd02f261417a,남성,2019,4811,797
ID_4,4c54fb9204fd4981,남성,2022,3456,1608
ID_9,771a92adb46844a7,남성,2022,5311,1806
ID_3,de6367c2cc884037,여성,2023,5117,500
ID_8,532d23b44cc74e6d,남성,2018,3189,1533
ID_10,1d4d7dc00ff9409c,여성,2024,4276,500
ID_4,b3bdfd1b15a944ab,여성,2022,3576,1725
ID_7,1b18ffa287da48ad,남성,2018,3474,1584
ID_5,01e1ba98fd464249,여성,2022,5967,1375
ID_10,039b263251794fd9,여성,2019,3776,500
ID_9,4e3fbb8858ee4cef,여성,2022,5359,1839
ID_1,91a28236a51744f2,여성,2023,4604,1855
ID_2,296fe8db8a264429,여성,2023,5639,585
ID_7,fc829761a7da4006,여성,2023,4049,1719
ID_6,995be7d3419d4b00,여성,2020,3258,734
ID_2,7f21fe20a58f4d18,여성,2023,5411,527
ID_1,e1f6210d37fa4d3e,여성,2019,3984,1997
ID_6,8fa71fdf438e44de,여성,2023,3610,662
ID_3,43799a6d7ea246c6,남성,2024,5495,500
ID_6,8a2359e326cb4894,여성,2018,3021,750
ID_1,fd826378a29046df,남성,2019,3977,1904
ID_1,57c322f198004eed,여성,2025,4853,1567
ID_3,8a129e728b004667,여성,2022,4893,571
ID_10,209bd448bb4e4f6f,남성,2021,3947,624
ID_8,b3191667c2be4e18,남성,2019,3287,1182
ID_4,a8a0297601914b6d,남성,2022,3558,1876
ID_8,8de488b1d76642ad,여성,2024,4014,1127
ID_8,c43b51772a974fd8,여성,2019,3272,1553
ID_8,4b0bbf803e3e4edc,여성,2025,3897,1609
ID_4,31d91aa6bd1242fd,여성,2023,3772,1241
ID_10,35073f3652604ebf,여성,2025,4252,627
ID_3,f7cd9f0c680f4d0b,남성,2018,4482,600
ID_7,ed56ed64e70944b0,여성,2019,3597,1742
ID_3,f7c41258f7cb45e0,여성,2025,5343,559
ID_1,5a6a84a271c74d3c,여성,2021,4335,2000
ID_8,18b9c53b4e2f4ac7,남성,2020,3371,1355
ID_1,4a483aff8c4841cc,여성,2018,3860,1574
ID_2,0d6ebc590de14d49,여성,2025,5976,874
ID_9,41b944ac0191488b,여성,2021,5337,1422
ID_1,3ed8629797e04be4,남성,2020,4161,1904
ID_5,bf8c283465004f18,여성,2018,5433,2000
ID_2,cd7a8c2edada4db1,여성,2022,5246,521
ID_4,fccf89b21fbe422c,여성,2024,3616,1828
ID_9,71eeee10732e418d,여성,2019,5092,1749
ID_4,e9a2dd9064884ebc,남성,2019,3200,1677
ID_4,0d2ba9d42dfb47d8,남성,2021,3432,1828
ID_1,e1f6210d37fa4d3e,여성,2024,4667,2000
ID_10,ef51f60a27fa4d32,여성,2022,3985,711
ID_8,a4cf34f751504c02,여성,2020,3435,1619
ID_7,860083b934a64f6d,남성,2023,3999,1669
ID_8,4b0bbf803e3e4edc,여성,2020,3377,1452
ID_1,496842769ca24379,남성,2021,4145,1920
ID_10,87b959f9c55d423a,여성,2021,3879,749
ID_9,040a324ed9f44394,여성,2021,5327,1769
ID_9,b3380da8ec8247b8,여성,2019,5060,1686
ID_10,0925b2b0bbe344aa,여성,2019,3772,500
ID_8,ec0f85b892d64d41,여성,2023,3793,1418
ID_4,6699eb678e314b87,남성,2022,3530,1824
ID_7,e73f10473f6f4bde,여성,2018,3474,1598
ID_1,201581d0f2564a0f,여성,2025,5054,1866
ID_1,a8d8b3c3bdeb4e56,남성,2022,4232,2000
ID_8,e5f8df4a0140495c,여성,2022,3696,1526
ID_10,3331edb99bb5441f,여성,2021,4045,745
ID_6,85aa1d5e80984055,남성,2020,3155,900
ID_7,ea223b527b134a54,여성,2019,3548,1700
ID_4,a8b6e5df15f241d5,여성,2023,3775,1924
ID_1,c96bcc0e9b66456f,여성,2021,4269,1775
ID_6,48cf53ce26d4442c,남성,2023,3417,1066
ID_6,c2ff4e0db8894342,남성,2021,3292,662
ID_6,86d7774e08ac4b4e,남성,2018,3021,1032
ID_1,6c60d34fdf4f4ffd,여성,2020,4077,2000
ID_8,c87e2d8cce3e49dc,여성,2025,4157,1179
ID_2,1ab80bfea48f4eda,남성,2020,4976,662
ID_9,6fe6f0b44236429a,남성,2025,5969,1490
ID_6,c2ff4e0db8894342,남성,2023,3487,730
ID_4,0ea2f34819464753,여성,2018,3130,2000
ID_5,9aef466ab2094e24,여성,2022,6175,2000
ID_1,7e94bcd4d54c4261,남성,2023,4308,1969
ID_7,6631708a3e604d71,여성,2025,4123,1749
ID_5,6e36ede386714f55,여성,2024,6141,2000
ID_2,417a9a28f7c641a0,여성,2023,5276,666
ID_6,4ff2bd420a544fe4,남성,2021,3350,797
ID_5,b455929f207a4cdb,여성,2019,5571,1280
ID_4,b0f43c568ae946a5,여성,2022,3442,2000
ID_10,860dffbcab5943c8,여성,2024,4520,611
ID_7,ea223b527b134a54,여성,2022,3778,1407
ID_8,257098c471e24840,여성,2020,3320,1297
ID_6,7f7e8ca102344284,여성,2018,3021,856
ID_7,2984a590305b4a1e,남성,2024,4373,1563
ID_10,035c7e934a4e4432,남성,2024,4333,610
ID_6,17894cbceb0d4710,남성,2020,3227,790
ID_5,db3ca7b7095348c8,남성,2019,5553,2000
ID_1,20e363a020904f09,남성,2021,4179,2000
ID_5,bbf8bc71e32c4edc,남성,2021,5891,1677
ID_7,2af39848c788457d,여성,2020,3727,1354
ID_2,fcc868a178e94327,남성,2023,5125,711
ID_6,ba3cf3769a8f41fd,남성,2019,3102,1132
ID_2,7f21fe20a58f4d18,여성,2019,4783,581
ID_10,de1566bb99f54794,여성,2024,4355,500
ID_4,c88dec94aa474648,남성,2025,3807,1669
ID_8,b716dd139c07471e,남성,2020,3433,1716
ID_7,2f4767187e2c43e8,여성,2019,3605,1611
ID_10,9c723b7b6cfd412c,남성,2021,3901,514
ID_5,1cfbe236caec4cfc,여성,2021,5872,1862
ID_9,48455fddb1fd4e55,남성,2023,5510,1507
ID_8,adee11793e384606,남성,2021,3426,1248
ID_10,fa0365ad6a564642,남성,2022,3983,510
ID_2,bcb0191171394013,여성,2021,5080,556
ID_3,ae910f69b05549d0,남성,2021,4890,573
ID_8,6c877bf281394bbb,여성,2019,3273,1501
ID_4,894f9dbdaccc48a5,여성,2024,3934,2000
ID_10,3eac4c9eac0d43f8,여성,2022,4155,500
ID_10,a7c29845dd254abb,여성,2024,4191,500
ID_9,c98662a74a844662,여성,2022,5429,2000
ID_6,47b2cc080db74485,남성,2024,3412,627
ID_2,cd7a8c2edada4db1,여성,2020,4933,714
ID_1,7e94bcd4d54c4261,남성,2020,4033,1772
ID_1,4372084a74d5451d,여성,2021,4316,1630
ID_4,9b0fba008e8d4d1f,여성,2020,3384,1218
ID_6,9795abe588e2453e,여성,2020,3253,1070
ID_8,57dc7d2711f94127,여성,2024,3765,1559
ID_1,87c52c9c8e584f82,여성,2019,3979,1895
ID_1,e262df1a30dd4d24,남성,2021,4259,1250
ID_5,1fc86da358eb4bac,남성,2018,5433,2000
ID_2,3280bd7ff7f242b0,여성,2024,5655,696
ID_10,64db7055d03142e8,여성,2024,4329,500
ID_4,6ae243dce0fc469e,남성,2019,3223,2000
ID_5,3fa13d97772249d4,남성,2025,6846,1546
ID_2,1579012ed524409a,남성,2022,5265,664
ID_2,c7aa7e4f09074c4c,남성,2020,4915,616
ID_1,c3d1a201d70b412b,여성,2022,4381,1643
ID_5,f6955acc68184796,남성,2020,5866,1788
ID_10,7e8693e3a7d448fe,남성,2020,3939,500
ID_4,963c3372c70f41e7,남성,2024,3947,1845
ID_7,3cce28cc1ed649f3,여성,2024,4325,1722
ID_4,092b37d581b44fbc,여성,2019,3224,1787
ID_1,cf995c93bcb94fd3,여성,2025,4440,1626
ID_2,f0f9694c7a0f47d7,남성,2022,5071,500
ID_9,0f9e44aa1d044af4,여성,2018,4899,1894
ID_1,4f807c6fc48b4e3b,여성,2025,4997,2000
ID_7,2a559bc4901f42e4,여성,2023,4112,1744
ID_4,7ef34cce4f3742b2,여성,2019,3231,1852
ID_10,9b3a9ac2e0724882,여성,2023,4268,500
ID_2,038f3bb4ce3b4cb9,여성,2023,5335,500
ID_10,0c9f7bb00dd34085,여성,2020,3899,576
ID_6,53a41e315d8244d0,여성,2025,3818,605
ID_6,11d0e87f479a4a7c,남성,2025,3958,702
ID_8,6db821404cc24de3,남성,2020,3434,1173
ID_6,f381b95824d34cb0,여성,2021,3236,937
ID_5,94ddb6dd36a24df7,남성,2023,6179,1422
ID_5,086a4c33b97d4176,남성,2024,6150,1469
ID_7,d8311a5cb5e44d0f,여성,2024,4298,1416
ID_3,53622bd21bca472d,여성,2019,4653,567
ID_6,53a41e315d8244d0,여성,2021,3340,778
ID_10,b7fd5b1be88a4bbe,남성,2024,4233,500
ID_6,81806b2e3d0442ed,여성,2018,3021,695
ID_8,6703e5dbe72143d1,남성,2020,3414,1263
ID_3,a9a037d9fcad462b,여성,2023,5011,500
ID_3,f51b9fae8a9a4ce2,남성,2020,4795,621
ID_6,5ff6f16db447484b,여성,2020,3264,672
ID_6,c5357ae572e34244,여성,2018,3021,1147
ID_3,307a65cd2f6840ce,남성,2021,5011,669
ID_7,967725f2557148b7,남성,2019,3582,1818
ID_3,56e3a581ec684166,여성,2019,4583,571
ID_2,aca597ea7b1e4825,여성,2023,5144,594
ID_2,bcb0191171394013,여성,2019,4781,500
ID_10,18e33317b0b64be0,남성,2024,4115,729
ID_9,c6a3d32a3e8d43b0,남성,2020,5294,1719
ID_1,03a3e6d2cdf84d29,남성,2023,4367,2000
ID_1,25d470527527420c,여성,2018,3860,1713
ID_5,d9a53c42b8cc4a91,여성,2022,6089,1623
ID_1,7e918c3903914524,여성,2024,4809,2000
ID_1,dd0da721cdbd4791,남성,2021,4144,2000
ID_6,5a64fd77b73a4763,남성,2023,3459,932
ID_8,055a212bf5a14b7e,여성,2020,3339,1806
ID_4,0d2ba9d42dfb47d8,남성,2018,3130,2000
ID_1,318bb81c17844cfd,남성,2023,4510,1998
ID_8,9bcdb1579e904c9e,여성,2023,3728,1344
ID_3,fe896637375c4e41,남성,2022,4960,628
ID_1,c570a6cc8c154eca,여성,2024,4482,2000
ID_1,150cd3b7a4b34a4a,남성,2018,3860,1646
ID_6,1e28e04d7af84be4,남성,2021,3388,818
ID_10,4b6a30bb04f145b4,여성,2023,4061,596
ID_1,75e57165dede4fbd,남성,2022,4349,1887
ID_5,dc9323aba0b846d8,남성,2025,6254,2000
ID_7,fc829761a7da4006,여성,2024,4175,1644
ID_2,47ea69b8e76c43d3,남성,2023,5457,666
ID_1,08770e2eee744368,남성,2019,4004,2000
ID_10,27023cbc752845ac,여성,2021,4082,500
ID_1,f6f333ebc2d74686,남성,2019,3940,1893
ID_9,6f4e3c2204b04395,남성,2021,5455,1831
ID_6,bcff6ea298ad4579,남성,2025,3812,724
ID_2,1fe5c98c392d42ae,남성,2022,5142,500
ID_10,e414154ffed44a50,남성,2022,4163,531
ID_3,7ccf6590ead94445,남성,2021,4868,534
ID_3,85724a08c15d46ff,여성,2021,4886,611
ID_9,4e3fbb8858ee4cef,여성,2024,5604,1465
ID_4,643ea3ee5db04a17,여성,2022,3500,1961
ID_8,fe1ab93b59dd4e01,여성,2020,3357,1075
ID_1,85fc622b2f654508,남성,2023,4674,1391
ID_3,f80a185e235742d8,남성,2022,4917,500
ID_1,1ede63a38817471b,여성,2021,4180,1884
ID_3,05f78e1d6ae2447c,여성,2021,4768,693
ID_5,de1b6252d8e64381,남성,2024,6842,2000
ID_4,426aaf30a3d14536,남성,2025,3798,1791
ID_10,d883b7a8d93943fa,남성,2023,4298,609
ID_7,46507eac6e064e41,남성,2019,3557,1594
ID_6,72626c52b5a34056,여성,2018,3021,500
ID_7,53bf7cb2b5f94c13,남성,2022,3887,1433
ID_2,f684659cb5c14666,남성,2019,4794,675
ID_4,a9b46c0bab5146bd,남성,2025,4035,2000
ID_10,9519e9c5898e43c1,여성,2023,4169,573
ID_8,b313363068e84b18,여성,2023,3839,1301
ID_10,6eb2d160b2174468,여성,2023,4054,500
ID_3,1d20a54aa3624c75,여성,2022,5083,500
ID_10,0eba13cac53d456b,남성,2021,4007,500
ID_2,fcc868a178e94327,남성,2021,4925,802
ID_7,66df68706aad4c47,여성,2022,3769,1500
ID_8,c87e2d8cce3e49dc,여성,2021,3573,1299
ID_4,c88dec94aa474648,남성,2024,3702,1916
ID_9,8b28d7115c4a4087,여성,2021,5237,1718
ID_10,7ff45fe8cb024f23,남성,2023,4201,568
ID_1,0362fc963410414c,남성,2020,4113,2000
ID_10,7675eb80673c42a1,여성,2020,3869,821
ID_4,65454a448eab49e8,남성,2020,3353,1640
ID_2,99aa78bb6a7e452b,여성,2023,5490,500
ID_10,1f3fc3cda2ae4f86,여성,2022,3979,500
ID_3,6093c192568b4496,남성,2020,4758,858
ID_7,567ce08d63a44e5a,여성,2022,4008,1977
ID_1,bd7e75c38be34ffe,남성,2022,4264,1430
ID_10,57cc4b6c7be24ba3,남성,2020,3852,572
ID_3,3d802432f72244f7,남성,2024,5375,565
ID_5,0eaf2a6afcc943f9,남성,2020,5803,2000
ID_1,e4771ad223594186,여성,2019,3957,1613
ID_2,dcd48615adea4c96,남성,2024,5783,701
ID_4,61301f93a56c4d61,여성,2020,3258,1479
ID_10,7aaa9b9168bb47b4,여성,2021,4098,632
ID_6,8604584d4e9f42ec,여성,2024,3717,748
ID_3,02bc68678a114ee9,여성,2020,4814,622
ID_2,4b9d3084c81d40d7,남성,2021,4944,645
ID_8,4ee42566108249ed,남성,2023,3661,1168
ID_2,a272c078d1fc4a37,여성,2018,4638,805
ID_4,26c5f4d2114749e9,남성,2022,3478,2000
ID_7,d4333e1eca2b46b1,여성,2024,3922,1450
ID_8,c49e4f36ef634c56,여성,2023,3765,1396
ID_10,07ffb152d5a34d6c,여성,2020,3832,652
ID_9,228625ae34f040b0,여성,2022,5636,1676
ID_3,9671147cad8041e9,여성,2021,4937,719
ID_7,52ff99ae2e944dcb,남성,2020,3667,1309
ID_6,00ca8eefeed5479d,남성,2024,3749,813
ID_5,2d97250051df4b78,여성,2022,5949,1330
ID_4,dd5c7d6d8daf4603,여성,2025,3811,2000
ID_10,85b804273bc84080,남성,2024,4506,569
ID_5,9014c87d29a04efd,남성,2022,5915,1551
ID_10,2674e06f9db24ae1,남성,2019,3745,873
ID_5,0b737b8215854774,남성,2023,6381,1394
ID_6,f457a18bc91b42a1,남성,2020,3188,768
ID_5,707a05e034c64e60,남성,2022,6123,1157
ID_6,d77a4200bb524311,여성,2024,3664,959
ID_6,8896aa86266f4f9e,남성,2020,3217,572
ID_4,d9d2eba4a1f34c9b,여성,2019,3239,1685
ID_1,c0a3df2945b946bc,여성,2022,4281,2000
ID_5,3201ee0c7a504d89,여성,2019,5570,1671
ID_7,cfe5080189514115,남성,2023,3987,1769
ID_2,0a99185b9e9b4012,여성,2023,5228,559
ID_1,49449088f5be4e36,남성,2024,4688,1892
ID_9,f3640bb904124fb0,남성,2020,5126,1936
ID_3,3ad8a74b517f4898,남성,2023,5225,500
ID_1,abc356d9f207491a,여성,2021,4339,1768
ID_9,46c94ac09f9e4f12,여성,2019,5058,2000
ID_5,6b62d693a56c4404,여성,2018,5433,1674
ID_2,46d9355a8f1b41ef,여성,2021,5104,921
ID_1,f1d9f8cda1cb4693,남성,2022,4253,2000
ID_9,b3380da8ec8247b8,여성,2024,5947,1635
ID_2,f684659cb5c14666,남성,2022,5294,500
ID_6,a5b95322f1304596,남성,2023,3426,1066
ID_1,67a4dd74dd8c48f2,여성,2019,4014,2000
ID_3,c385eb0a74c04675,남성,2023,5335,594
ID_1,8a712516beda45df,남성,2025,4709,2000
ID_9,223f9964393842d3,여성,2020,5290,1803
ID_8,e6eb442dcf1a4a57,남성,2018,3189,1501
ID_7,f5a8f8c2b89c4a0c,남성,2024,4274,1635
ID_3,3162d30d34f54ac8,여성,2023,5223,786
ID_5,9aef466ab2094e24,여성,2020,5792,2000
ID_9,6f4e3c2204b04395,남성,2020,5263,2000
ID_9,3ab93d7a15f14d4e,남성,2021,5333,1630
ID_6,5ff6f16db447484b,여성,2024,3811,645
ID_3,328cb33695354944,여성,2022,4899,553
ID_6,5edbe41894ee48ed,남성,2022,3497,500
ID_7,1bc179154d2746f7,여성,2024,4377,1796
ID_4,0e2c1446c269457b,여성,2021,3427,2000
ID_3,ecff403c75644870,남성,2022,4911,500
ID_10,3229f4ca0af64044,여성,2018,3646,500
ID_5,e58fd41f03ad4880,여성,2025,6941,1522
ID_9,d5779701a5e945cf,남성,2019,5028,1912
ID_2,6a0771586e1f4100,남성,2019,4750,500
ID_1,e4771ad223594186,여성,2020,4056,1842
ID_1,7031b3d757b34450,남성,2024,4559,2000
ID_2,b640392894654381,남성,2021,5117,651
ID_1,deda8f766cae4dcf,여성,2025,4836,1738
ID_4,fb06e2b72cf2443e,남성,2021,3470,2000
ID_6,6045ac275c1240c5,여성,2025,3947,993
ID_4,a9b46c0bab5146bd,남성,2022,3619,1829
ID_6,eeced085eb074652,여성,2019,3086,715
ID_8,5498fbec6a704169,남성,2019,3313,1639
ID_3,56e3a581ec684166,여성,2020,4687,751
ID_5,2933a7c335944e73,남성,2019,5644,1512
ID_4,804796f37f474f98,남성,2023,3808,1166
ID_2,4930329839da44c5,여성,2018,4638,622
ID_10,26f51be983e04126,남성,2022,4090,708
ID_9,b1cc68c5d1124285,남성,2025,6343,1909
ID_5,798030ae8a794e7b,여성,2018,5433,2000
ID_2,46d9355a8f1b41ef,여성,2023,5440,613
ID_4,b3bdfd1b15a944ab,여성,2023,3697,2000
ID_4,0fa78f5f5cc94834,남성,2022,3577,1729
ID_10,2a77d927abc548ce,남성,2019,3728,500
ID_1,facb9f34a4b34800,여성,2020,4098,1918
ID_9,47942d8c5c794f51,여성,2025,6421,1479
ID_7,125f819b0f624677,여성,2019,3573,1870
ID_6,ce89dae5b0f8486f,여성,2023,3561,886
ID_9,3e34dc850dd84ff6,여성,2018,4899,1900
ID_8,293cd36535d546f4,여성,2024,3842,1672
ID_2,2c02ceb318de4fc5,여성,2020,4894,644
ID_1,051753294d6342bc,여성,2022,4504,1542
ID_1,84c4cad92dc04d35,남성,2024,4550,1684
ID_10,592aa93f595a459b,여성,2021,3947,507
ID_2,43d930e58d5541f7,여성,2020,4970,546
