지역,작물명,작물_분류,작업_상위_분류,등급,연속_작업_여부,작업_연도,작업_소요_일수,작업_순서,재배면적,작업_시작_일자,평균_기온,작업자_수,작업_유형
서울경기,밀,곡물,수확,B,아니오,2019,17.0,3,70953.37,2023-08-06,15.6,16,0
강원,감자,채소,수확,C,예,2021,2.0,1,1782.55,2023-07-01,11.75,11,2
전라,감자,채소,수확,B,아니오,2022,21.0,4,60847.74,2023-07-07,22.95,15,1
강원,콩,채소,비료,B,예,2022,11.0,3,38996.83,2023-03-28,23.27,8,0
전라,밀,채소,경작,A,예,2023,4.0,4,56530.59,2023-05-12,27.14,2,1
충청,벼,곡물,경작,B,예,2020,16.0,1,39365.09,2023-02-19,17.44,9,0
전라,밀,과일,방제,C,예,2023,9.0,3,6795.68,2023-07-05,22.98,8,2
충청,고구마,곡물,수확,A,아니오,2021,13.0,3,45436.68,2023-06-22,21.73,19,0
충청,벼,채소,경작,B,예,2022,16.0,3,49634.49,2023-06-22,16.62,14,0
강원,벼,곡물,비료,A,아니오,2021,14.0,1,31957.51,2023-08-23,15.62,3,0
강원,벼,곡물,수확,A,예,2019,28.0,2,30709.85,2023-06-14,24.77,11,0
충청,벼,곡물,경작,A,아니오,2019,23.0,2,39608.22,2023-02-09,14.67,5,0
충청,콩,채소,비료,B,예,2022,16.0,3,56051.07,2023-06-26,18.18,5,0
전라,밀,곡물,경작,B,예,2022,12.0,2,31957.24,2023-08-13,20.71,16,1
서울경기,감자,곡물,경작,A,아니오,2018,18.0,3,92174.23,2023-05-13,20.85,6,0
서울경기,콩,과일,비료,B,예,2019,7.0,1,17512.07,2023-04-15,14.46,17,0
서울경기,벼,곡물,비료,B,예,2023,24.0,3,26672.56,2023-03-26,18.51,13,0
강원,콩,곡물,비료,A,예,2020,20.0,3,27277.81,2023-07-09,16.59,17,0
강원,콩,과일,방제,B,아니오,2021,29.0,2,46874.76,2023-04-17,20.95,10,0
강원,고구마,과일,수확,A,아니오,2022,16.0,2,7377.74,2023-05-02,24.35,5,1
강원,감자,곡물,비료,B,예,2024,15.0,3,68760.34,2023-07-17,20.77,14,0
충청,고구마,과일,경작,A,아니오,2022,15.0,2,99048.67,2023-03-29,19.1,15,0
서울경기,고구마,채소,수확,A,아니오,2023,19.0,3,66095.38,2023-07-23,15.72,7,1
경상,감자,곡물,방제,C,예,2020,13.0,1,17166.53,2023-08-31,22.24,2,2
전라,감자,채소,비료,C,아니오,2018,29.0,2,31475.57,2023-04-13,19.51,5,0
강원,벼,곡물,경작,C,아니오,2019,7.0,1,41568.06,2023-05-20,24.46,9,0
충청,벼,채소,수확,B,아니오,2020,8.0,2,49019.91,2023-04-11,17.47,13,0
전라,밀,과일,경작,B,예,2023,22.0,3,92868.95,2023-08-29,16.26,8,0
전라,콩,곡물,비료,A,예,2020,26.0,2,29485.11,2023-05-24,13.76,18,0
충청,고구마,곡물,비료,A,아니오,2021,12.0,3,35162.01,2023-04-11,22.28,11,0
충청,콩,채소,경작,B,아니오,2018,16.0,1,60332.9,2023-08-05,12.39,10,0
서울경기,고구마,과일,비료,A,예,2024,18.0,2,38621.58,2023-07-11,22.78,12,1
충청,밀,채소,경작,A,아니오,2021,20.0,2,33559.36,2023-07-20,20.04,16,0
전라,고구마,곡물,수확,B,예,2021,17.0,2,37766.71,2023-10-27,21.91,15,1
서울경기,콩,채소,비료,B,아니오,2022,5.0,3,56590.11,2023-11-17,28.68,11,1
서울경기,밀,곡물,경작,A,예,2020,8.0,2,76668.74,2023-05-22,16.09,12,0
서울경기,밀,채소,수확,B,예,2021,14.0,2,42083.64,2023-11-19,24.81,7,1
서울경기,감자,곡물,비료,B,아니오,2019,28.0,2,27303.59,2023-02-11,23.62,10,0
전라,밀,곡물,경작,C,예,2022,7.0,2,65518.62,2023-05-16,24.27,7,0
서울경기,감자,곡물,경작,A,예,2020,20.0,3,99782.45,2023-07-29,24.9,7,0
충청,밀,채소,비료,C,아니오,2021,10.0,2,36430.39,2023-04-24,19.62,18,0
강원,고구마,과일,수확,C,예,2021,9.0,3,34472.25,2023-07-07,21.41,3,1
경상,벼,채소,방제,C,예,2021,14.0,1,23126.21,2023-01-12,21.03,5,2
충청,고구마,곡물,비료,B,아니오,2023,16.0,2,98772.61,2023-07-09,23.33,12,0
전라,콩,채소,경작,B,아니오,2020,10.0,2,56964.26,2023-05-09,26.24,5,1
강원,감자,채소,비료,A,예,2022,14.0,3,42948.85,2023-04-11,16.96,11,0
전라,감자,채소,경작,A,예,2022,16.0,1,35993.65,2023-08-23,15.1,19,0
경상,콩,곡물,비료,A,아니오,2022,12.0,1,17728.82,2023-02-20,17.62,12,0
강원,밀,곡물,수확,B,아니오,2020,20.0,3,85314.96,2023-06-09,13.3,10,0
충청,밀,곡물,비료,B,아니오,2018,13.0,2,24413.27,2023-10-16,22.2,3,1
서울경기,감자,채소,비료,A,예,2024,27.0,1,49594.35,2023-03-27,22.05,11,0
경상,벼,채소,경작,A,아니오,2022,18.0,1,74157.53,2023-03-21,13.75,15,0
경상,밀,채소,방제,B,예,2020,15.0,2,12643.55,2023-02-13,18.13,18,0
서울경기,감자,곡물,경작,B,아니오,2024,16.0,2,92927.09,2023-05-17,18.28,9,0
충청,고구마,과일,수확,A,아니오,2023,13.0,3,59722.9,2023-05-10,16.01,15,1
충청,콩,과일,경작,B,예,2019,28.0,3,61616.4,2023-08-26,16.83,15,0
충청,감자,과일,비료,A,아니오,2021,12.0,3,18417.29,2023-08-22,20.21,6,1
전라,콩,곡물,경작,A,아니오,2023,12.0,2,81963.32,2023-02-10,22.02,7,0
전라,고구마,과일,수확,B,아니오,2023,12.0,4,51361.12,2023-07-27,23.72,4,1
전라,콩,과일,수확,C,아니오,2023,3.0,2,28158.41,2023-08-08,29.81,14,1
충청,감자,곡물,경작,B,아니오,2019,8.0,3,95532.6,2023-05-19,23.38,19,0
전라,콩,곡물,경작,B,예,2019,18.0,3,53884.24,2023-07-27,29.27,7,1
충청,콩,과일,경작,B,아니오,2019,16.0,4,60958.06,2023-07-17,19.27,14,1
강원,벼,곡물,비료,C,아니오,2023,25.0,2,13499.48,2023-08-09,22.97,12,0
충청,밀,채소,비료,B,아니오,2023,10.0,1,67755.31,2023-06-06,22.28,7,0
강원,콩,채소,수확,A,예,2020,16.0,3,42282.07,2023-03-29,15.76,3,0
강원,감자,과일,비료,A,예,2019,16.0,2,37346.14,2023-04-13,14.01,4,0
서울경기,감자,채소,경작,B,아니오,2022,13.0,2,27805.25,2023-06-17,19.14,13,1
전라,벼,채소,수확,B,예,2024,20.0,2,35407.45,2023-03-21,21.02,18,0
서울경기,고구마,곡물,경작,C,예,2023,15.0,1,62087.77,2023-08-27,13.08,11,0
충청,고구마,채소,방제,B,아니오,2020,19.0,1,64292.24,2023-02-07,24.7,18,0
서울경기,콩,곡물,비료,B,예,2018,24.0,2,25955.56,2023-03-28,21.03,8,0
충청,밀,채소,경작,C,아니오,2019,20.0,1,25223.24,2023-06-17,24.49,6,0
전라,벼,채소,경작,C,예,2024,28.0,2,31217.67,2023-06-04,18.37,7,0
서울경기,고구마,곡물,경작,C,아니오,2021,13.0,3,6224.21,2023-11-25,15.15,6,2
전라,감자,채소,방제,B,아니오,2024,11.0,1,21066.32,2023-10-31,23.27,9,2
전라,벼,채소,수확,A,아니오,2021,20.0,3,53686.55,2023-06-23,29.45,4,1
충청,콩,채소,비료,C,아니오,2024,14.0,1,58677.66,2023-06-17,17.91,6,0
강원,감자,과일,수확,C,아니오,2022,9.0,2,24670.71,2023-02-17,23.05,4,2
충청,고구마,곡물,비료,B,아니오,2024,17.0,4,11310.09,2023-05-06,27.05,7,1
서울경기,고구마,채소,비료,A,예,2024,10.0,3,76344.69,2023-06-15,23.45,13,0
충청,콩,곡물,비료,B,아니오,2020,8.0,2,12604.17,2023-07-12,24.24,16,0
서울경기,감자,과일,경작,C,예,2021,25.0,2,12200.93,2023-02-10,18.78,9,0
전라,밀,곡물,방제,A,예,2024,27.0,1,65461.78,2023-03-04,23.11,8,0
전라,밀,곡물,경작,C,아니오,2020,16.0,3,65945.96,2023-03-06,14.44,9,0
전라,밀,곡물,방제,B,아니오,2021,7.0,2,24556.98,2023-07-20,18.13,17,0
강원,고구마,곡물,경작,C,아니오,2020,21.0,2,51140.78,2023-09-02,15.29,11,1
충청,벼,곡물,비료,B,아니오,2018,15.0,3,18556.28,2023-08-05,24.84,4,0
강원,벼,곡물,경작,B,아니오,2019,18.0,2,90250.55,2023-05-23,14.32,3,0
강원,벼,곡물,경작,B,예,2023,9.0,2,21657.72,2023-02-17,13.15,5,0
서울경기,벼,채소,방제,A,예,2021,16.0,3,44610.41,2023-08-13,24.14,8,0
서울경기,감자,채소,수확,B,예,2019,17.0,4,50076.59,2023-06-13,16.63,2,1
서울경기,고구마,곡물,방제,C,예,2020,15.0,1,29907.1,2023-02-04,19.15,7,0
충청,고구마,곡물,방제,C,아니오,2019,21.0,2,82559.98,2023-07-12,22.1,11,0
경상,감자,채소,수확,A,예,2021,7.0,3,18996.29,2023-11-19,17.26,12,1
전라,고구마,곡물,방제,B,아니오,2024,8.0,3,4747.3,2023-05-03,11.44,4,2
경상,밀,채소,비료,A,예,2024,16.0,3,36770.87,2023-06-08,24.7,5,0
충청,벼,채소,방제,B,예,2019,23.0,3,21437.34,2023-06-30,22.12,18,0
충청,벼,채소,경작,A,아니오,2018,28.0,3,98864.68,2023-04-04,17.27,10,0
강원,밀,곡물,경작,A,예,2023,16.0,3,35411.4,2023-05-25,20.01,17,0
서울경기,콩,곡물,비료,C,아니오,2021,14.0,1,28695.69,2023-04-14,13.22,19,0
충청,벼,채소,경작,B,아니오,2018,13.0,3,55313.69,2023-02-28,18.14,18,0
전라,감자,곡물,수확,B,아니오,2021,22.0,2,49344.82,2023-07-24,20.48,12,1
서울경기,감자,채소,경작,A,예,2023,18.0,2,74884.85,2023-05-31,14.7,10,0
강원,밀,과일,수확,C,아니오,2023,9.0,3,24201.62,2023-08-20,21.63,12,0
경상,감자,채소,방제,B,예,2020,6.0,3,9095.02,2023-05-25,13.85,2,2
강원,밀,곡물,비료,B,아니오,2022,17.0,2,54890.93,2023-02-11,19.59,19,0
강원,콩,과일,방제,B,아니오,2024,21.0,2,64460.03,2023-08-08,12.27,4,0
전라,콩,곡물,수확,A,아니오,2020,16.0,1,17478.36,2023-03-20,17.44,14,0
서울경기,콩,곡물,비료,B,예,2021,16.0,1,80023.12,2023-04-04,17.57,7,0
경상,콩,채소,방제,B,예,2020,29.0,1,82059.45,2023-08-18,17.01,13,0
전라,벼,채소,방제,A,아니오,2020,27.0,2,30203.58,2023-08-08,19.74,17,0
충청,벼,곡물,경작,C,예,2020,12.0,1,89922.29,2023-02-24,16.62,17,0
강원,고구마,채소,경작,B,아니오,2019,17.0,3,88849.75,2023-04-06,20.99,19,0
충청,벼,곡물,수확,B,예,2023,21.0,3,24830.67,2023-08-16,12.65,16,0
강원,벼,채소,방제,C,아니오,2019,16.0,1,34942.3,2023-07-24,14.08,11,0
충청,밀,곡물,비료,C,예,2024,8.0,1,29829.89,2023-12-15,16.72,12,2
충청,밀,곡물,수확,A,예,2019,28.0,1,61164.94,2023-07-18,24.36,11,0
전라,콩,곡물,경작,B,아니오,2021,22.0,1,56657.54,2023-04-27,17.64,8,0
