사고년도,가해자성별,가해자연령,가해차종,가해자신체상해정도,피해자성별,피해자연령,피해차종,피해자신체상해정도,사고유형,가해자법규위반,기상상태,시각,사건번호
2018,남,67세,승용차,상해없음,남,82세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2018-03-01_11시,ID_5534
2020,남,48세,승용차,상해없음,여,11세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2020-12-14_18시,ID_7799
2017,남,19세,자전거,상해없음,여,24세,보행자,중상,차대사람 - 횡단중,안전운전불이행,맑음,2017-03-08_18시,ID_4466
2016,남,31세,승용차,상해없음,남,36세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-07-09_0시,ID_3099
2016,남,67세,승용차,상해없음,남,48세,자전거,중상,차대차 - 기타,기타,맑음,2016-12-20_10시,ID_2440
2017,남,55세,승용차,상해없음,남,77세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2017-10-09_11시,ID_4637
2016,여,35세,승용차,상해없음,남,67세,자전거,경상,차대차 - 측면직각충돌,신호위반,맑음,2016-12-13_18시,ID_2555
2015,여,53세,자전거,상해없음,남,19세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-06-07_21시,ID_267
2015,남,45세,자전거,상해없음,남,19세,보행자,중상,차대사람 - 차도통행중,안전운전불이행,맑음,2015-10-28_19시,ID_443
2020,남,30세,자전거,상해없음,여,61세,보행자,경상,차대사람 - 횡단중,안전운전불이행,맑음,2020-04-28_19시,ID_7528
2015,여,28세,승용차,상해없음,남,19세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-10-15_17시,ID_1860
2018,남,51세,승용차,상해없음,남,26세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2018-06-10_1시,ID_5217
2015,남,50세,승용차,상해없음,남,10세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-04-26_13시,ID_1751
2015,남,20세,자전거,상해없음,여,46세,보행자,중상,차대사람 - 기타,기타,맑음,2015-05-07_17시,ID_345
2020,여,82세,승용차,상해없음,남,11세,자전거,경상,차대차 - 정면충돌,안전운전불이행,맑음,2020-07-21_15시,ID_6903
2017,남,37세,승용차,상해없음,남,60세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2017-05-01_19시,ID_4104
2016,남,20세,자전거,경상,남,31세,보행자,경상,차대사람 - 기타,안전운전불이행,맑음,2016-02-25_14시,ID_2570
2017,남,40세,자전거,상해없음,남,15세,자전거,경상,차대차 - 정면충돌,중앙선침범,맑음,2017-08-01_21시,ID_4362
2017,남,17세,자전거,상해없음,남,11세,보행자,경상,차대사람 - 보도통행중,안전운전불이행,맑음,2017-09-15_16시,ID_4424
2019,남,50세,승용차,상해없음,남,61세,자전거,중상,차대차 - 측면충돌,신호위반,맑음,2019-02-15_2시,ID_6747
2016,남,68세,자전거,상해없음,남,54세,보행자,경상,차대사람 - 기타,안전운전불이행,맑음,2016-09-03_16시,ID_3227
2020,남,46세,승용차,상해없음,남,21세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2020-07-18_21시,ID_7718
2016,여,54세,승용차,상해없음,여,78세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-08-10_10시,ID_3504
2016,남,27세,승용차,상해없음,남,72세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-02-26_10시,ID_2119
2016,남,41세,승용차,상해없음,남,8세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2016-06-04_10시,ID_2601
2016,남,15세,자전거,상해없음,여,51세,보행자,중상,차대사람 - 횡단중,기타,맑음,2016-12-15_17시,ID_3143
2018,남,34세,승용차,상해없음,여,65세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2018-03-23_21시,ID_5227
2017,남,74세,승용차,상해없음,남,48세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2017-03-28_14시,ID_4295
2017,여,42세,승용차,상해없음,여,40세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2017-06-10_19시,ID_4184
2015,남,55세,승용차,상해없음,여,19세,자전거,경상,차대차 - 기타,기타,맑음,2015-10-23_19시,ID_322
2015,여,50세,승용차,상해없음,남,24세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-09-04_9시,ID_1791
2016,남,41세,승용차,상해없음,남,59세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-07-21_18시,ID_3390
2020,남,43세,자전거,상해없음,여,70세,보행자,경상,차대사람 - 기타,안전운전불이행,맑음,2020-09-09_11시,ID_7631
2019,남,47세,승합차,상해없음,남,62세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2019-03-28_17시,ID_6228
2015,남,33세,이륜차,상해없음,남,61세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-12-01_23시,ID_1756
2017,남,69세,승용차,상해없음,남,9세,자전거,경상,차대차 - 정면충돌,신호위반,맑음,2017-06-06_12시,ID_3851
2015,남,22세,이륜차,상해없음,남,25세,자전거,중상,차대차 - 기타,안전거리미확보,맑음,2015-01-14_18시,ID_1151
2020,남,30세,승용차,상해없음,남,58세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2020-06-30_13시,ID_6957
2016,남,53세,화물차,상해없음,남,79세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2016-01-29_14시,ID_3092
2015,남,45세,승용차,상해없음,남,76세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-06-19_20시,ID_1634
2016,남,65세,승용차,상해없음,남,68세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-12-05_5시,ID_2492
2017,남,69세,승합차,상해없음,여,58세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2017-11-13_15시,ID_4296
2020,남,36세,이륜차,상해없음,남,57세,자전거,중상,차대차 - 측면충돌,신호위반,맑음,2020-09-19_21시,ID_7812
2017,여,46세,승용차,상해없음,남,76세,자전거,경상,차대차 - 측면충돌,신호위반,맑음,2017-03-13_8시,ID_4511
2015,남,60세,승용차,상해없음,남,8세,자전거,중상,차대차 - 측면직각충돌,미분류,맑음,2015-06-07_18시,ID_1605
2016,남,46세,승용차,상해없음,남,43세,자전거,경상,차대차 - 측면직각충돌,교차로운행방법위반,맑음,2016-02-27_6시,ID_3552
2017,남,49세,승용차,상해없음,여,65세,자전거,경상,차대차 - 측면충돌,기타,맑음,2017-05-24_14시,ID_3625
2019,남,27세,화물차,상해없음,남,59세,자전거,경상,차대차 - 정면충돌,안전운전불이행,맑음,2019-05-23_18시,ID_6662
2017,남,38세,승용차,상해없음,여,27세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2017-07-10_9시,ID_4172
2015,남,51세,건설기계,상해없음,남,57세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-05-06_8시,ID_750
2019,남,66세,승합차,상해없음,남,51세,자전거,경상,차대차 - 측면충돌,신호위반,맑음,2019-10-29_15시,ID_6607
2020,여,43세,승용차,상해없음,남,61세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2020-09-21_18시,ID_7571
2019,여,48세,승용차,상해없음,여,65세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2019-04-03_8시,ID_6293
2015,여,41세,승용차,상해없음,남,38세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-09-08_19시,ID_1426
2019,남,66세,승용차,상해없음,남,9세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2019-07-24_15시,ID_5950
2017,남,48세,승용차,상해없음,여,28세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2017-10-25_18시,ID_4212
2016,여,47세,승용차,상해없음,남,15세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-06-29_8시,ID_3413
2015,남,34세,승용차,상해없음,남,73세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-03-30_14시,ID_868
2020,남,57세,화물차,상해없음,남,32세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2020-11-07_20시,ID_6847
2015,남,34세,원동기장치자전거,상해없음,남,69세,자전거,경상,차대차 - 기타,신호위반,맑음,2015-09-23_22시,ID_402
2020,여,28세,자전거,상해없음,남,62세,보행자,경상,차대사람 - 보도통행중,기타,맑음,2020-07-25_22시,ID_7081
2015,남,58세,승용차,상해없음,남,24세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-07-30_17시,ID_998
2015,남,58세,승합차,상해없음,남,67세,자전거,중상,차대차 - 정면충돌,신호위반,맑음,2015-09-03_16시,ID_1170
2016,남,42세,이륜차,상해없음,남,39세,자전거,경상,차대차 - 추돌 - 진행중,안전거리미확보,맑음,2016-02-01_19시,ID_3272
2015,남,59세,원동기장치자전거,상해없음,남,68세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-10-21_13시,ID_1925
2018,남,71세,화물차,상해없음,남,76세,자전거,경상,차대차 - 기타,중앙선침범,맑음,2018-04-03_16시,ID_5013
2019,남,29세,승용차,상해없음,남,18세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2019-11-30_2시,ID_5984
2017,여,30세,승용차,상해없음,남,53세,자전거,중상,차대차 - 기타,교차로운행방법위반,맑음,2017-03-16_21시,ID_4805
2017,남,63세,승용차,상해없음,여,56세,자전거,경상,차대차 - 측면충돌,기타,흐림,2017-06-13_19시,ID_3692
2018,남,69세,승용차,상해없음,남,13세,자전거,경상,차대차 - 기타,신호위반,맑음,2018-04-15_18시,ID_5091
2015,남,57세,화물차,상해없음,남,16세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-05-09_15시,ID_1954
2018,남,69세,승용차,상해없음,여,43세,자전거,중상,차대차 - 측면충돌,교차로통행방법위반,맑음,2018-07-25_17시,ID_5728
2016,남,53세,승합차,상해없음,남,50세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-06-29_8시,ID_2649
2019,남,22세,화물차,상해없음,남,85세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2019-10-09_10시,ID_6427
2018,남,43세,승용차,상해없음,남,73세,자전거,경상,차대차 - 정면충돌,안전운전불이행,맑음,2018-04-10_8시,ID_5362
2019,여,50세,승용차,상해없음,남,58세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2019-10-10_22시,ID_6394
2016,남,15세,자전거,상해없음,여,77세,보행자,경상,차대사람 - 보도통행중,안전운전불이행,맑음,2016-08-27_15시,ID_3155
2015,여,40세,승용차,상해없음,남,15세,자전거,경상,차대차 - 추돌 - 진행중,안전운전불이행,맑음,2015-01-26_21시,ID_609
2015,남,34세,자전거,상해없음,남,35세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-05-31_18시,ID_442
2016,남,58세,승용차,상해없음,남,68세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2016-11-20_16시,ID_3405
2018,여,50세,승용차,상해없음,여,67세,자전거,중상,차대차 - 정면충돌,안전운전불이행,맑음,2018-02-24_9시,ID_5698
2019,남,59세,승용차,상해없음,남,54세,자전거,경상,차대차 - 측면충돌,기타,맑음,2019-11-19_21시,ID_5785
2018,남,52세,승용차,상해없음,남,65세,자전거,중상,차대차 - 측면충돌,신호위반,맑음,2018-08-20_5시,ID_5540
2015,여,58세,승용차,상해없음,남,78세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-10-12_14시,ID_1700
2016,여,59세,승용차,상해없음,여,21세,자전거,중상,차대차 - 정면충돌,안전운전불이행,맑음,2016-09-07_18시,ID_3033
2017,여,47세,승용차,상해없음,여,50세,자전거,경상,차대차 - 정면충돌,안전운전불이행,맑음,2017-02-03_9시,ID_4165
2016,남,52세,자전거,상해없음,남,55세,자전거,중상,차대차 - 추돌 - 진행중,안전운전불이행,맑음,2016-07-23_10시,ID_2557
2015,남,54세,화물차,상해없음,남,65세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-10-19_4시,ID_663
2017,남,72세,승용차,상해없음,남,59세,자전거,경상,차대차 - 측면충돌,안전운전불이행,비,2017-03-26_15시,ID_4193
2015,남,25세,승용차,상해없음,남,22세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-06-28_3시,ID_976
2020,남,81세,승용차,상해없음,여,76세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2020-10-09_10시,ID_7791
2020,남,10세,자전거,기타불명,남,47세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2020-05-05_18시,ID_7604
2016,남,54세,승용차,상해없음,남,12세,자전거,경상,차대차 - 기타,기타,맑음,2016-03-31_16시,ID_2129
2016,남,22세,자전거,상해없음,남,61세,자전거,중상,차대차 - 정면충돌,안전운전불이행,맑음,2016-05-30_9시,ID_3067
2015,여,32세,승용차,상해없음,남,16세,자전거,중상,차대차 - 기타,신호위반,비,2015-06-20_20시,ID_1255
2018,여,46세,승용차,상해없음,여,65세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2018-04-24_22시,ID_5649
2018,여,53세,승용차,상해없음,여,29세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2018-10-02_16시,ID_5114
2019,남,50세,화물차,상해없음,남,44세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2019-09-29_17시,ID_6613
2016,남,39세,승용차,상해없음,여,56세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-04-18_8시,ID_2800
2020,남,50세,승용차,상해없음,남,47세,자전거,경상,차대차 - 기타,신호위반,맑음,2020-11-04_10시,ID_6974
2015,여,27세,승용차,상해없음,남,67세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-01-20_18시,ID_1864
2017,남,60세,승용차,상해없음,남,80세,자전거,경상,차대차 - 기타,신호위반,맑음,2017-09-27_14시,ID_4647
2016,여,48세,승용차,상해없음,남,12세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2016-04-29_21시,ID_2827
2016,여,66세,승용차,상해없음,남,11세,자전거,중상,차대차 - 기타,신호위반,맑음,2016-11-05_13시,ID_2998
2016,남,32세,이륜차,상해없음,여,6세,자전거,중상,차대차 - 측면직각충돌,교차로운행방법위반,맑음,2016-07-03_13시,ID_3091
2019,남,59세,승용차,상해없음,남,46세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2019-11-22_18시,ID_6416
2017,남,39세,자전거,상해없음,남,4세,보행자,경상,차대사람 - 차도통행중,안전운전불이행,맑음,2017-05-20_13시,ID_3791
2019,남,26세,이륜차,상해없음,여,62세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2019-03-19_21시,ID_6080
2017,남,63세,승용차,상해없음,남,67세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2017-06-16_15시,ID_4733
2015,남,64세,승용차,상해없음,여,70세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-09-30_9시,ID_694
2019,남,37세,승용차,상해없음,남,81세,자전거,중상,차대차 - 측면충돌,신호위반,맑음,2019-02-27_13시,ID_6632
2020,여,36세,승용차,상해없음,남,11세,자전거,경상,차대차 - 측면충돌,기타,맑음,2020-01-20_17시,ID_7494
2018,남,27세,화물차,상해없음,여,68세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2018-11-03_13시,ID_5209
2017,남,60세,승합차,상해없음,남,75세,자전거,경상,차대차 - 후진중충돌,안전운전불이행,맑음,2017-11-02_18시,ID_4672
2020,남,32세,승용차,상해없음,남,57세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2020-04-09_10시,ID_7771
2017,남,46세,승용차,상해없음,여,16세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2017-04-26_22시,ID_3617
2016,남,29세,승용차,상해없음,여,61세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-06-19_17시,ID_2613
2016,남,44세,승용차,상해없음,여,45세,자전거,중상,차대차 - 측면직각충돌,신호위반,맑음,2016-06-01_9시,ID_2371
2017,여,54세,승용차,상해없음,남,81세,자전거,중상,차대차 - 측면충돌,직진우회전진행방해,맑음,2017-02-17_11시,ID_4272
2015,남,47세,자전거,부상신고,남,27세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-05-10_9시,ID_468
2015,남,70세,화물차,상해없음,여,27세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-10-20_9시,ID_1046
2020,남,63세,자전거,상해없음,여,54세,보행자,중상,차대사람 - 횡단중,중앙선침범,맑음,2020-09-02_15시,ID_7808
2017,남,19세,승용차,상해없음,여,68세,자전거,경상,차대차 - 후진중충돌,안전운전불이행,맑음,2017-12-14_12시,ID_4190
2016,남,77세,승용차,상해없음,남,56세,자전거,중상,차대차 - 정면충돌,안전운전불이행,맑음,2016-08-08_14시,ID_2910
2016,여,42세,승용차,상해없음,남,45세,자전거,경상,차대차 - 기타,신호위반,맑음,2016-02-03_8시,ID_3196
2015,남,22세,승용차,상해없음,남,18세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-02-11_19시,ID_1173
2020,남,64세,승용차,상해없음,여,38세,자전거,경상,차대차 - 기타,신호위반,맑음,2020-02-27_16시,ID_7574
2019,남,75세,승용차,상해없음,남,45세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2019-08-08_7시,ID_6100
2020,여,63세,자전거,상해없음,남,70세,보행자,경상,차대사람 - 보도통행중,안전운전불이행,맑음,2020-07-22_13시,ID_7602
2016,남,43세,화물차,상해없음,남,70세,자전거,중상,차대차 - 측면직각충돌,교차로운행방법위반,맑음,2016-10-12_5시,ID_3138
2019,여,41세,자전거,상해없음,남,40세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2019-09-01_14시,ID_6044
2019,여,58세,승용차,상해없음,남,65세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2019-04-07_17시,ID_5911
2016,여,47세,승용차,상해없음,남,13세,자전거,경상,차대차 - 정면충돌,교차로운행방법위반,맑음,2016-06-20_7시,ID_3392
2019,남,55세,승용차,상해없음,여,56세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2019-06-06_16시,ID_6706
2018,남,50세,자전거,상해없음,남,64세,보행자,경상,차대사람 - 기타,안전운전불이행,맑음,2018-07-25_20시,ID_5021
2019,남,67세,승용차,상해없음,남,14세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2019-07-10_13시,ID_6109
2019,남,67세,승용차,상해없음,남,77세,자전거,경상,차대차 - 추돌,안전운전불이행,맑음,2019-08-06_8시,ID_6404
2020,남,52세,승용차,상해없음,남,13세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2020-06-09_16시,ID_7798
2019,남,58세,승용차,상해없음,남,44세,자전거,경상,차대차 - 정면충돌,신호위반,맑음,2019-02-23_9시,ID_5997
2015,남,62세,자전거,상해없음,여,44세,보행자,경상,차대사람 - 기타,안전운전불이행,맑음,2015-08-17_16시,ID_167
2019,남,73세,승용차,상해없음,여,68세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2019-03-28_14시,ID_6713
2015,남,70세,승용차,상해없음,여,42세,자전거,경상,차대차 - 측면직각충돌,신호위반,맑음,2015-06-29_14시,ID_1687
2019,남,69세,화물차,상해없음,남,84세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2019-05-08_13시,ID_6776
2017,남,59세,화물차,상해없음,남,33세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2017-06-04_17시,ID_3619
2016,남,45세,화물차,상해없음,여,50세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-06-14_18시,ID_2734
2015,여,37세,승용차,상해없음,남,16세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-10-08_17시,ID_1733
2016,남,41세,승합차,상해없음,남,63세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,흐림,2016-12-09_6시,ID_2911
2016,남,38세,승용차,상해없음,남,59세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-01-08_21시,ID_3293
2016,남,45세,승용차,상해없음,남,51세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-05-11_11시,ID_2290
2020,남,49세,승용차,상해없음,남,39세,자전거,경상,차대차 - 기타,신호위반,비,2020-09-11_23시,ID_7118
2016,남,18세,자전거,상해없음,여,39세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-09-25_17시,ID_2514
2016,남,66세,승용차,상해없음,남,17세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-03-28_7시,ID_2340
2018,남,28세,승용차,상해없음,남,14세,자전거,경상,차대차 - 추돌,안전운전불이행,맑음,2018-01-25_13시,ID_4877
2015,남,57세,승합차,상해없음,남,13세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-04-04_10시,ID_2037
2017,남,59세,승용차,상해없음,남,81세,자전거,중상,차대차 - 측면충돌,교차로운행방법위반,맑음,2017-10-12_13시,ID_4565
2020,여,57세,승용차,상해없음,여,59세,자전거,경상,차대차 - 측면충돌,신호위반,맑음,2020-06-21_7시,ID_7752
2020,남,12세,자전거,상해없음,여,58세,보행자,중상,차대사람 - 보도통행중,안전운전불이행,맑음,2020-07-07_15시,ID_7380
2018,여,51세,자전거,상해없음,여,20세,보행자,경상,차대사람 - 기타,기타,맑음,2018-03-13_13시,ID_4979
2016,남,53세,화물차,상해없음,여,51세,자전거,경상,차대차 - 정면충돌,안전운전불이행,맑음,2016-03-25_7시,ID_2543
2016,남,41세,자전거,상해없음,남,29세,자전거,경상,차대차 - 정면충돌,안전운전불이행,맑음,2016-06-14_20시,ID_3288
2017,여,62세,승용차,상해없음,남,17세,자전거,경상,차대차 - 측면충돌,신호위반,맑음,2017-09-23_23시,ID_4694
2016,남,67세,승용차,상해없음,남,81세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2016-08-01_20시,ID_2646
2015,남,42세,자전거,상해없음,여,19세,보행자,중상,차대사람 - 기타,안전운전불이행,맑음,2015-08-31_20시,ID_71
2019,남,50세,이륜차,상해없음,여,48세,자전거,경상,차대차 - 측면충돌,기타,맑음,2019-10-29_14시,ID_6489
2016,남,52세,승용차,상해없음,여,12세,자전거,경상,차대차 - 추돌 - 진행중,안전운전불이행,맑음,2016-06-05_16시,ID_3253
2020,남,63세,승용차,상해없음,여,29세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2020-01-17_9시,ID_6982
2015,여,30세,자전거,상해없음,여,66세,보행자,경상,차대사람 - 횡단중,보행자보호위반,흐림,2015-11-23_8시,ID_179
2017,남,54세,자전거,상해없음,남,22세,자전거,경상,차대차 - 측면충돌,중앙선침범,맑음,2017-09-20_21시,ID_4126
