A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,E1,E2,E3,E4,E5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5,ID
4.0,3.0,6.0,6.0,3.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,6.0,6.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,6,6.0,3.0,2.0,ID_13
4.0,6.0,6.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,1,5.0,6.0,3.0,ID_14
5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,4.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,1,4.0,5.0,4.0,ID_15
4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,6.0,1.0,2.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,2.0,4.0,2,2.0,4.0,2.0,ID_16
4.0,4.0,6.0,5.0,5.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,4.0,5.0,6.0,5.0,5.0,5.0,1.0,1.0,4.0,1,5.0,3.0,2.0,ID_17
5.0,4.0,2.0,1.0,2.0,4.0,6.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,1.0,3.0,3.0,2.0,1.0,6.0,1,3.0,2.0,4.0,ID_18
1.0,6.0,6.0,1.0,5.0,5.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,6.0,5.0,1,6.0,6.0,2.0,ID_19
1.0,5.0,6.0,5.0,6.0,4.0,3.0,2.0,4.0,5.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1,5.0,5.0,2.0,ID_20
2.0,6.0,5.0,6.0,5.0,3.0,5.0,6.0,3.0,6.0,2.0,2.0,4.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,6.0,1,5.0,6.0,1.0,ID_21
4.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,1.0,1.0,3.0,2.0,5.0,5.0,6.0,2.0,3.0,3.0,1.0,1.0,6.0,2,5.0,6.0,2.0,ID_22
1.0,6.0,6.0,1.0,6.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,2.0,3.0,1.0,2.0,1.0,6.0,4,5.0,5.0,3.0,ID_23
2.0,4.0,4.0,4.0,3.0,6.0,5.0,6.0,1.0,1.0,2.0,4.0,4.0,2.0,6.0,3.0,3.0,5.0,3.0,2.0,5.0,2,6.0,6.0,1.0,ID_24
2.0,5.0,6.0,6.0,6.0,4.0,5.0,4.0,3.0,4.0,1.0,2.0,6.0,6.0,6.0,4.0,4.0,5.0,2.0,3.0,6.0,1,6.0,4.0,3.0,ID_25
2.0,5.0,1.0,3.0,5.0,5.0,4.0,5.0,2.0,5.0,1.0,2.0,6.0,5.0,4.0,1.0,4.0,2.0,2.0,5.0,2.0,4,5.0,4.0,1.0,ID_26
4.0,5.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,1.0,2.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,1.0,4.0,4,6.0,5.0,1.0,ID_27
1.0,6.0,5.0,6.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0,6.0,6.0,4.0,3,3.0,6.0,5.0,ID_28
2.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0,3.0,2.0,4.0,1.0,2.0,5.0,2,5.0,5.0,2.0,ID_29
1.0,5.0,6.0,5.0,4.0,1.0,5.0,6.0,4.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,6.0,6,5.0,6.0,1.0,ID_30
2.0,4.0,5.0,6.0,5.0,4.0,6.0,4.0,2.0,4.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,1.0,3.0,5.0,5,5.0,4.0,2.0,ID_31
5.0,3.0,5.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,5,4.0,4.0,3.0,ID_32
1.0,6.0,4.0,6.0,4.0,5.0,6.0,3.0,1.0,5.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,5,4.0,5.0,3.0,ID_33
1.0,4.0,4.0,2.0,3.0,6.0,5.0,6.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5,4.0,5.0,2.0,ID_34
1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,1,6.0,6.0,1.0,ID_35
1.0,5.0,4.0,3.0,5.0,6.0,5.0,5.0,2.0,2.0,3.0,2.0,3.0,6.0,5.0,1.0,2.0,1.0,2.0,1.0,5.0,1,6.0,6.0,1.0,ID_36
1.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,3,2.0,5.0,2.0,ID_37
1.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,3,5.0,4.0,3.0,ID_38
5.0,6.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,6.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,5,4.0,4.0,4.0,ID_39
2.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,2,5.0,5.0,1.0,ID_40
1.0,6.0,6.0,6.0,6.0,5.0,2.0,1.0,2.0,1.0,6.0,5.0,6.0,6.0,5.0,2.0,1.0,4.0,6.0,5.0,6.0,5,6.0,6.0,1.0,ID_41
5.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,3.0,5.0,2.0,3.0,5,4.0,4.0,2.0,ID_42
2.0,6.0,4.0,5.0,5.0,3.0,2.0,3.0,4.0,6.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,5.0,4,5.0,3.0,2.0,ID_43
1.0,5.0,3.0,2.0,3.0,3.0,6.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3,2.0,5.0,1.0,ID_44
1.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,1.0,2.0,1.0,1.0,6.0,6.0,6.0,4.0,4.0,1.0,1.0,1.0,6.0,3,6.0,6.0,1.0,ID_45
1.0,6.0,6.0,6.0,4.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,6.0,6.0,6.0,3.0,3.0,3.0,1,4.0,6.0,2.0,ID_46
1.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,2.0,4.0,4.0,4.0,3.0,6.0,1.0,1.0,1.0,6.0,5.0,5.0,6,3.0,6.0,3.0,ID_47
3.0,6.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,1.0,1.0,4.0,6.0,5.0,2.0,2.0,1.0,1.0,1.0,5.0,1,5.0,5.0,6.0,ID_48
4.0,3.0,5.0,6.0,3.0,5.0,6.0,2.0,5.0,2.0,3.0,5.0,2.0,6.0,2.0,6.0,5.0,5.0,5.0,6.0,2.0,5,2.0,6.0,4.0,ID_49
1.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0,1.0,2.0,5.0,6.0,5.0,2.0,3.0,2.0,3.0,2.0,5.0,3,5.0,5.0,2.0,ID_50
1.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,3.0,5.0,1,6.0,6.0,1.0,ID_51
1.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4,6.0,6.0,3.0,ID_52
3.0,4.0,5.0,2.0,4.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,2,5.0,5.0,5.0,ID_53
1.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,1.0,4.0,4.0,4.0,1.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4,4.0,2.0,1.0,ID_54
3.0,3.0,5.0,4.0,5.0,6.0,4.0,4.0,2.0,2.0,2.0,1.0,4.0,6.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,3,5.0,5.0,2.0,ID_55
2.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,6.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,6.0,5.0,2.0,2.0,4,3.0,5.0,5.0,ID_56
2.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,6.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,6,4.0,6.0,2.0,ID_57
4.0,5.0,3.0,5.0,4.0,6.0,5.0,5.0,2.0,2.0,1.0,1.0,5.0,6.0,6.0,3.0,5.0,3.0,1.0,3.0,4.0,1,4.0,6.0,1.0,ID_58
2.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,1.0,4.0,3.0,6.0,5.0,4.0,4.0,4.0,3.0,6.0,6.0,4.0,4.0,1,6.0,6.0,3.0,ID_59
1.0,5.0,4.0,2.0,5.0,1.0,2.0,2.0,2.0,6.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,5.0,4.0,2.0,5.0,4,4.0,6.0,1.0,ID_60
4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,1.0,2.0,1.0,5.0,2.0,6.0,1,6.0,6.0,1.0,ID_61
2.0,3.0,4.0,5.0,6.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,3.0,2,5.0,5.0,2.0,ID_62
1.0,6.0,6.0,3.0,6.0,6.0,5.0,6.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,5.0,2.0,6.0,2,3.0,5.0,2.0,ID_63
4.0,5.0,6.0,6.0,4.0,4.0,6.0,6.0,1.0,2.0,4.0,3.0,5.0,5.0,5.0,2.0,3.0,3.0,1.0,3.0,4.0,1,4.0,6.0,2.0,ID_64
4.0,4.0,4.0,5.0,3.0,5.0,4.0,6.0,2.0,4.0,2.0,2.0,4.0,6.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,1,4.0,2.0,3.0,ID_65
1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,2.0,4.0,4.0,3.0,2.0,5.0,1.0,2.0,4.0,4.0,4.0,5.0,1,5.0,4.0,2.0,ID_66
3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0,3.0,5.0,1,5.0,4.0,2.0,ID_67
2.0,5.0,5.0,6.0,5.0,5.0,4.0,6.0,3.0,2.0,1.0,1.0,4.0,6.0,5.0,2.0,2.0,3.0,3.0,2.0,5.0,1,4.0,3.0,4.0,ID_68
2.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,6.0,6.0,5.0,2.0,4.0,2.0,1.0,1.0,6.0,3,5.0,4.0,1.0,ID_69
5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,3.0,4.0,1.0,2.0,5.0,6.0,6.0,4.0,3.0,4.0,4.0,6.0,5.0,4,5.0,6.0,3.0,ID_70
1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3,4.0,2.0,4.0,ID_71
2.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,4.0,5.0,2.0,4.0,4,3.0,5.0,1.0,ID_72
1.0,5.0,6.0,5.0,3.0,6.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,6.0,2,5.0,6.0,2.0,ID_73
1.0,6.0,3.0,3.0,1.0,6.0,6.0,5.0,1.0,6.0,4.0,5.0,3.0,5.0,1.0,4.0,4.0,6.0,6.0,5.0,6.0,1,6.0,6.0,1.0,ID_74
1.0,4.0,6.0,2.0,6.0,3.0,3.0,4.0,4.0,5.0,6.0,4.0,5.0,6.0,2.0,3.0,5.0,4.0,6.0,4.0,6.0,2,5.0,6.0,1.0,ID_75
1.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,1.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,5,4.0,5.0,2.0,ID_76
1.0,6.0,5.0,2.0,6.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,5.0,6.0,6.0,6.0,5,4.0,6.0,1.0,ID_77
4.0,4.0,4.0,6.0,5.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,2.0,4.0,3.0,4,3.0,4.0,4.0,ID_78
1.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,5,5.0,4.0,4.0,ID_79
1.0,6.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,4.0,5.0,5.0,1.0,3.0,2.0,2.0,2.0,5.0,1,4.0,5.0,2.0,ID_80
1.0,6.0,4.0,6.0,4.0,4.0,4.0,5.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,4.0,2,3.0,4.0,2.0,ID_81
1.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,1.0,6.0,1,5.0,5.0,2.0,ID_82
1.0,5.0,6.0,2.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,1,5.0,6.0,2.0,ID_83
2.0,4.0,5.0,4.0,5.0,2.0,2.0,3.0,4.0,4.0,1.0,5.0,2.0,6.0,2.0,2.0,3.0,6.0,4.0,6.0,3.0,2,2.0,2.0,5.0,ID_84
1.0,6.0,6.0,3.0,6.0,6.0,6.0,5.0,1.0,1.0,1.0,3.0,5.0,6.0,6.0,2.0,5.0,4.0,6.0,1.0,6.0,2,5.0,6.0,1.0,ID_85
2.0,6.0,4.0,6.0,4.0,4.0,5.0,6.0,3.0,1.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,2.0,3.0,6.0,3.0,4,3.0,5.0,6.0,ID_86
2.0,3.0,3.0,4.0,3.0,5.0,6.0,4.0,1.0,4.0,5.0,6.0,2.0,2.0,4.0,3.0,4.0,6.0,6.0,6.0,5.0,2,3.0,5.0,4.0,ID_87
3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,3.0,5.0,4.0,4.0,4.0,5.0,1,3.0,6.0,1.0,ID_88
1.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,1.0,1.0,5.0,1.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,5.0,1,5.0,6.0,1.0,ID_89
4.0,3.0,2.0,6.0,5.0,4.0,5.0,6.0,2.0,6.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,5.0,1,2.0,6.0,4.0,ID_90
2.0,6.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,5.0,5.0,3.0,2.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1,5.0,3.0,3.0,ID_91
3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,4.0,4.0,2,5.0,4.0,2.0,ID_92
2.0,5.0,5.0,5.0,2.0,6.0,6.0,4.0,1.0,5.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,6.0,2,5.0,6.0,1.0,ID_93
1.0,4.0,5.0,2.0,6.0,2.0,1.0,2.0,4.0,6.0,6.0,5.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,3,4.0,5.0,6.0,ID_94
1.0,6.0,4.0,1.0,1.0,6.0,4.0,5.0,2.0,1.0,6.0,6.0,3.0,1.0,1.0,4.0,3.0,6.0,6.0,5.0,2.0,3,3.0,6.0,3.0,ID_95
1.0,6.0,5.0,6.0,6.0,5.0,3.0,4.0,6.0,5.0,2.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4,4.0,6.0,2.0,ID_96
6.0,1.0,1.0,1.0,2.0,3.0,6.0,3.0,3.0,4.0,1.0,4.0,5.0,2.0,6.0,6.0,6.0,3.0,2.0,5.0,6.0,1,6.0,5.0,2.0,ID_97
2.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,6.0,1.0,3.0,4.0,6.0,4.0,5.0,6.0,2.0,4.0,6.0,6.0,5,6.0,6.0,2.0,ID_98
3.0,6.0,5.0,6.0,4.0,3.0,5.0,2.0,3.0,4.0,2.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,5.0,4,4.0,6.0,4.0,ID_99
1.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,1,5.0,6.0,1.0,ID_100
1.0,6.0,6.0,5.0,4.0,5.0,3.0,5.0,1.0,2.0,2.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,2,4.0,6.0,2.0,ID_101
1.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,6.0,5.0,5.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,6.0,6.0,1,6.0,6.0,2.0,ID_102
1.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0,1.0,1.0,6.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,6.0,1,5.0,4.0,1.0,ID_103
4.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,6.0,6.0,5.0,5.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,6,3.0,5.0,5.0,ID_104
1.0,5.0,4.0,3.0,4.0,5.0,6.0,4.0,1.0,4.0,3.0,2.0,4.0,5.0,6.0,1.0,2.0,2.0,4.0,1.0,4.0,1,6.0,5.0,1.0,ID_105
5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,6.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,5.0,1,5.0,5.0,2.0,ID_106
2.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,2.0,3.0,1.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,6.0,1,5.0,5.0,2.0,ID_107
1.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,2.0,6.0,1.0,2.0,5.0,6.0,6.0,1.0,2.0,2.0,2.0,4.0,6.0,1,6.0,6.0,1.0,ID_108
4.0,6.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,2.0,1.0,3.0,6.0,6.0,6.0,4.0,3.0,1.0,3.0,4.0,6.0,3,6.0,5.0,3.0,ID_109
2.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,6.0,2.0,4,4.0,6.0,4.0,ID_110
6.0,5.0,5.0,2.0,5.0,5.0,5.0,6.0,1.0,1.0,1.0,2.0,5.0,5.0,6.0,5.0,4.0,4.0,3.0,1.0,6.0,2,6.0,5.0,1.0,ID_111
2.0,5.0,5.0,1.0,6.0,5.0,5.0,5.0,3.0,6.0,2.0,4.0,6.0,6.0,5.0,4.0,4.0,3.0,3.0,1.0,5.0,3,6.0,4.0,2.0,ID_112
2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,2.0,4.0,2.0,5.0,2,5.0,6.0,1.0,ID_113
2.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,6.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,1,6.0,6.0,1.0,ID_114
2.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,3,5.0,4.0,2.0,ID_115
2.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,3.0,5.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,5.0,2,6.0,6.0,2.0,ID_116
2.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,5.0,6.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,2,4.0,6.0,2.0,ID_117
2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,6.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,2,4.0,6.0,3.0,ID_118
3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,3,4.0,5.0,2.0,ID_119
2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,6.0,2.0,5.0,3.0,2.0,5.0,4.0,6.0,4.0,4.0,5.0,3.0,5,3.0,5.0,3.0,ID_120
1.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,6,6.0,6.0,2.0,ID_121
1.0,6.0,6.0,5.0,6.0,6.0,1.0,3.0,4.0,5.0,3.0,4.0,4.0,6.0,3.0,5.0,5.0,2.0,5.0,2.0,4.0,4,6.0,6.0,1.0,ID_122
1.0,6.0,5.0,6.0,5.0,6.0,6.0,4.0,1.0,1.0,1.0,2.0,5.0,4.0,5.0,4.0,6.0,2.0,1.0,2.0,6.0,1,6.0,5.0,3.0,ID_123
1.0,6.0,5.0,6.0,5.0,5.0,5.0,4.0,1.0,4.0,2.0,3.0,6.0,6.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,2,5.0,6.0,4.0,ID_124
3.0,6.0,6.0,4.0,6.0,2.0,3.0,2.0,5.0,5.0,1.0,1.0,6.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,6.0,3,4.0,5.0,2.0,ID_125
2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,6.0,6.0,6.0,1.0,1.0,3.0,5.0,4.0,3.0,6.0,4.0,2.0,2,1.0,5.0,3.0,ID_126
2.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,4.0,2.0,1.0,2.0,4.0,6.0,5.0,6.0,6.0,4.0,4.0,6.0,4.0,4,3.0,4.0,5.0,ID_127
2.0,5.0,3.0,5.0,1.0,6.0,5.0,4.0,2.0,2.0,1.0,1.0,5.0,6.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,2,5.0,4.0,3.0,ID_128
1.0,6.0,5.0,6.0,6.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,4,4.0,5.0,3.0,ID_129
5.0,4.0,4.0,5.0,6.0,3.0,5.0,3.0,3.0,6.0,4.0,4.0,6.0,5.0,5.0,2.0,5.0,2.0,1.0,2.0,6.0,2,5.0,5.0,2.0,ID_130
2.0,5.0,4.0,3.0,3.0,6.0,4.0,4.0,2.0,4.0,6.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,6.0,1,4.0,6.0,1.0,ID_131
1.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,1.0,5.0,1.0,4.0,5.0,5.0,6.0,3.0,6.0,4.0,4.0,6.0,5.0,1,4.0,6.0,1.0,ID_132
2.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4,5.0,5.0,2.0,ID_133
