Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
105,326,112,3,3.5,3.0,9.05,1,0.74
285,340,112,4,5.0,4.5,9.66,1,0.94
82,340,120,4,5.0,5.0,9.5,1,0.96
64,315,107,2,4.0,3.0,8.5,1,0.56
70,328,115,4,4.5,4.0,9.16,1,0.78
131,339,114,5,4.0,4.5,9.76,1,0.96
438,317,106,1,1.5,3.5,7.65,1,0.61
284,321,111,3,2.5,3.0,8.9,1,0.8
286,331,116,5,4.0,4.0,9.26,1,0.93
183,299,100,2,3.0,3.5,7.88,0,0.68
76,329,114,2,2.0,4.0,8.56,1,0.72
492,297,99,4,3.0,3.5,7.81,0,0.54
449,312,109,2,2.5,4.0,9.02,0,0.8
236,326,111,5,4.5,4.0,9.23,1,0.88
325,315,104,3,3.0,2.5,8.33,0,0.67
3,316,104,3,3.0,3.5,8.0,1,0.72
247,316,105,3,3.0,3.5,8.73,0,0.72
363,338,115,5,4.5,5.0,9.23,1,0.91
135,333,113,5,4.0,4.0,9.28,1,0.89
26,340,120,5,4.5,4.5,9.6,1,0.94
289,314,104,4,5.0,5.0,9.02,0,0.82
271,306,105,2,2.5,3.0,8.22,1,0.72
282,317,110,3,4.0,4.5,9.11,1,0.8
86,319,103,4,4.5,3.5,8.66,0,0.76
383,324,110,4,4.5,4.0,9.15,1,0.82
275,315,100,1,2.0,2.5,7.95,0,0.58
402,315,105,2,3.0,3.0,8.34,0,0.66
230,324,111,4,3.0,3.0,9.01,1,0.82
326,326,116,3,3.5,4.0,9.14,1,0.81
170,311,99,2,2.5,3.0,7.98,0,0.65
397,325,107,3,3.0,3.5,9.11,1,0.84
387,302,101,2,2.5,3.5,7.96,0,0.46
219,324,110,4,3.0,3.5,8.97,1,0.84
209,305,106,2,3.0,3.0,8.16,0,0.64
251,320,104,3,3.0,2.5,8.57,1,0.74
483,328,113,4,4.0,2.5,8.77,1,0.83
122,334,119,5,4.5,4.5,9.48,1,0.94
5,314,103,2,2.0,3.0,8.21,0,0.65
384,300,100,3,3.0,3.5,8.26,0,0.62
173,322,110,4,4.0,5.0,9.13,1,0.86
194,336,118,5,4.5,5.0,9.53,1,0.94
186,327,113,4,4.5,4.5,9.11,1,0.89
372,324,110,3,3.5,3.0,9.22,1,0.89
361,322,110,3,4.0,5.0,8.64,1,0.85
227,306,110,2,3.5,4.0,8.45,0,0.63
355,297,98,2,2.5,3.0,7.67,0,0.59
262,312,104,3,3.5,4.0,8.09,0,0.71
348,299,94,1,1.0,1.0,7.34,0,0.42
394,317,104,2,3.0,3.0,8.76,0,0.77
455,310,105,2,3.0,3.5,8.01,0,0.71
259,326,102,4,5.0,5.0,8.76,1,0.77
90,316,109,4,4.5,3.5,8.76,1,0.74
166,322,110,5,4.5,4.0,8.97,0,0.78
268,314,107,3,3.0,3.5,8.17,1,0.73
360,321,107,2,2.0,1.5,8.44,0,0.81
159,306,106,2,2.0,2.5,8.14,0,0.61
491,307,105,2,2.5,4.5,8.12,1,0.67
207,315,99,2,3.5,3.0,7.89,0,0.63
248,311,104,2,2.5,3.5,8.48,0,0.71
117,299,102,3,4.0,3.5,8.62,0,0.56
74,314,108,4,4.5,4.0,9.04,1,0.84
103,314,106,2,4.0,3.5,8.25,0,0.62
306,321,109,3,3.5,3.5,8.8,1,0.74
138,316,100,2,1.5,3.0,8.16,1,0.71
180,307,102,3,3.0,3.0,8.27,0,0.73
302,319,108,2,2.5,3.0,8.76,0,0.66
472,311,103,3,2.0,4.0,8.09,0,0.64
399,312,103,3,3.5,4.0,8.78,0,0.67
67,327,114,3,3.0,3.0,9.02,0,0.61
442,332,112,1,1.5,3.0,8.66,1,0.79
214,333,119,5,5.0,4.5,9.78,1,0.96
253,318,100,2,2.5,3.5,8.54,1,0.71
81,312,105,3,2.0,3.0,8.02,1,0.5
395,329,111,4,4.5,4.0,9.23,1,0.89
457,299,100,2,2.0,2.0,7.88,0,0.51
330,297,96,2,2.5,1.5,7.89,0,0.43
322,323,104,3,4.0,4.0,8.44,1,0.73
200,313,107,3,4.0,4.5,8.69,0,0.72
441,305,104,2,2.5,1.5,7.79,0,0.53
56,320,103,3,3.0,3.0,7.7,0,0.64
11,325,106,3,3.5,4.0,8.4,1,0.52
179,309,108,3,2.5,3.0,8.12,0,0.72
242,317,103,2,2.5,2.0,8.15,0,0.65
192,323,110,5,4.0,5.0,8.98,1,0.87
181,300,104,3,3.5,3.0,8.16,0,0.71
114,320,110,2,4.0,3.5,8.56,0,0.72
469,323,110,4,4.0,5.0,8.88,1,0.81
75,314,106,3,3.0,5.0,8.9,0,0.74
266,313,102,3,2.5,2.5,8.68,0,0.71
429,316,103,2,2.0,4.5,8.74,0,0.69
319,324,111,3,2.5,2.0,8.8,1,0.79
333,308,106,3,3.5,2.5,8.21,1,0.75
371,310,103,2,2.5,2.5,8.24,0,0.72
343,308,106,3,3.0,3.0,8.24,0,0.58
370,301,98,1,2.0,3.0,8.03,1,0.67
177,329,119,4,4.5,4.5,9.16,1,0.9
304,323,107,3,3.5,3.5,8.55,1,0.73
317,298,101,2,1.5,2.0,7.86,0,0.54
184,314,110,3,4.0,4.0,8.8,0,0.75
434,316,111,4,4.0,5.0,8.54,0,0.71
4,322,110,3,3.5,2.5,8.67,1,0.8
364,306,103,2,2.5,3.0,8.36,0,0.69
212,328,110,4,5.0,4.0,9.14,1,0.82
87,315,106,3,4.5,3.5,8.42,0,0.72
178,319,110,3,3.5,3.5,9.04,0,0.82
408,298,100,3,2.5,4.0,7.95,1,0.58
381,322,104,3,3.5,4.0,8.84,1,0.78
296,317,100,2,3.0,2.5,8.57,0,0.68
465,298,97,2,2.0,3.0,7.21,0,0.45
378,290,100,1,1.5,2.0,7.56,0,0.47
443,331,116,4,4.5,4.5,9.44,1,0.92
154,324,105,3,3.0,4.0,8.75,0,0.79
55,322,110,3,3.0,3.5,8.0,0,0.7
269,327,113,4,4.5,5.0,9.14,0,0.83
419,309,111,2,2.5,4.0,8.03,0,0.6
125,301,106,4,2.5,3.0,8.47,0,0.57
143,331,115,5,4.0,3.5,9.44,1,0.92
84,322,115,5,4.0,4.5,9.36,1,0.92
98,331,120,3,4.0,4.0,8.96,1,0.86
228,312,110,2,3.5,3.0,8.53,0,0.64
301,309,106,2,2.5,2.5,8.0,0,0.62
206,295,99,2,2.5,3.0,7.65,0,0.57
188,335,118,5,4.5,3.5,9.44,1,0.93
238,329,114,5,4.5,5.0,9.19,1,0.86
332,311,105,2,3.0,2.0,8.12,1,0.73
437,310,110,1,1.5,4.0,7.23,1,0.58
316,308,104,2,2.5,3.0,8.07,0,0.65
481,321,102,3,3.5,4.0,9.01,1,0.8
60,311,104,2,2.0,2.0,8.3,0,0.42
396,324,110,3,3.5,3.5,9.04,1,0.82
367,320,104,3,3.5,4.5,8.34,1,0.74
500,327,113,4,4.5,4.5,9.04,0,0.84
468,318,101,5,3.5,5.0,8.78,1,0.78
353,303,100,2,3.0,3.5,8.06,1,0.64
210,301,104,3,3.5,4.0,8.12,1,0.68
495,301,99,3,2.5,2.0,8.45,1,0.68
323,314,107,2,2.5,4.0,8.27,0,0.72
340,324,107,5,3.5,4.0,8.66,1,0.81
439,318,110,1,2.5,3.5,8.54,1,0.67
69,318,109,3,3.5,4.0,9.22,1,0.68
418,316,103,3,3.5,2.0,7.68,0,0.52
313,311,107,4,4.5,4.5,9.0,1,0.78
160,297,100,1,1.5,2.0,7.9,0,0.52
43,313,107,2,2.5,2.0,8.5,1,0.53
17,317,107,3,4.0,3.0,8.7,0,0.66
121,335,117,5,5.0,5.0,9.56,1,0.94
377,297,96,2,2.5,2.0,7.43,0,0.34
294,312,98,1,3.5,3.0,8.18,1,0.64
83,320,110,5,5.0,4.5,9.22,1,0.92
130,333,118,5,5.0,5.0,9.35,1,0.92
152,332,116,5,5.0,5.0,9.28,1,0.94
12,327,111,4,4.0,4.5,9.0,1,0.84
382,319,105,3,3.0,3.5,8.67,1,0.73
485,317,106,3,3.5,3.0,7.89,1,0.73
422,321,112,3,3.0,4.5,8.95,1,0.77
141,329,110,2,4.0,3.0,9.15,1,0.84
25,336,119,5,4.0,3.5,9.8,1,0.97
473,327,116,4,4.0,4.5,9.48,1,0.9
162,298,99,1,1.5,3.0,7.46,0,0.53
327,299,100,3,2.0,2.0,8.02,0,0.63
97,306,100,2,3.0,3.0,8.0,0,0.48
499,312,103,4,4.0,5.0,8.43,0,0.73
203,340,120,5,4.5,4.5,9.91,1,0.97
46,322,110,5,5.0,4.0,9.1,1,0.88
336,325,111,4,4.0,4.5,9.11,1,0.83
45,326,113,5,4.5,4.0,9.4,1,0.91
390,320,108,3,3.5,4.0,8.44,1,0.76
279,308,103,2,3.0,3.5,8.49,0,0.66
254,335,115,4,4.5,4.5,9.68,1,0.93
347,304,97,2,1.5,2.0,7.64,0,0.47
345,295,96,2,1.5,2.0,7.34,0,0.47
410,300,98,1,2.0,2.5,8.02,0,0.61
291,307,105,2,2.5,3.0,7.65,0,0.58
413,314,102,4,2.5,2.0,7.88,1,0.59
119,296,99,2,3.0,3.5,7.28,0,0.47
144,340,120,4,4.5,4.0,9.92,1,0.97
386,335,117,5,5.0,5.0,9.82,1,0.96
339,323,108,5,4.0,4.0,8.74,1,0.81
49,321,110,3,3.5,5.0,8.85,1,0.82
404,330,116,4,4.0,3.5,9.23,1,0.91
488,327,115,4,3.5,4.0,9.14,0,0.79
255,321,114,4,4.0,5.0,9.12,0,0.85
393,326,112,4,4.0,3.5,9.12,1,0.84
281,311,102,3,4.5,4.0,8.64,1,0.68
182,305,107,2,2.5,2.5,8.42,0,0.71
139,326,116,2,4.5,3.0,9.08,1,0.8
467,314,99,4,3.5,4.5,8.73,1,0.71
61,309,100,2,3.0,3.0,8.1,0,0.48
93,298,98,2,4.0,3.0,8.03,0,0.34
409,297,101,3,2.0,4.0,7.67,1,0.57
427,312,106,3,3.0,5.0,8.57,0,0.71
435,306,103,3,3.5,3.0,8.21,0,0.64
476,300,101,3,3.5,2.5,7.88,0,0.59
369,298,92,1,2.0,2.0,7.88,0,0.51
276,322,110,3,3.5,3.0,8.96,1,0.78
389,296,97,2,1.5,2.0,7.8,0,0.49
431,311,104,3,4.0,3.5,8.13,1,0.74
37,299,106,2,4.0,4.0,8.4,0,0.64
283,312,106,3,4.0,3.5,8.79,1,0.81
415,321,110,4,3.5,4.0,8.35,1,0.72
40,307,108,2,4.0,3.5,7.7,0,0.48
337,319,110,3,3.0,2.5,8.79,0,0.72
113,301,107,3,3.5,3.5,8.34,1,0.62
185,316,106,2,2.5,4.0,8.32,0,0.72
68,316,107,2,3.5,3.5,8.64,1,0.57
107,329,111,4,4.5,4.5,9.18,1,0.87
477,304,104,3,2.5,2.0,8.12,0,0.62
29,295,93,1,2.0,2.0,7.2,0,0.46
234,304,100,2,2.5,3.5,8.07,0,0.64
303,322,105,2,3.0,3.0,8.45,1,0.65
478,309,105,4,3.5,2.0,8.18,0,0.65
270,308,108,4,4.5,5.0,8.34,0,0.77
462,301,102,3,2.5,2.0,8.13,1,0.68
290,313,109,3,4.0,3.5,9.0,0,0.79
448,320,108,3,3.5,5.0,8.97,1,0.84
320,327,113,4,3.5,3.0,8.69,1,0.8
63,304,105,2,3.0,3.0,8.2,1,0.54
111,305,108,5,3.0,3.0,8.48,0,0.61
23,328,116,5,5.0,5.0,9.5,1,0.94
50,327,111,4,3.0,4.0,8.4,1,0.78
237,325,112,4,4.0,4.5,9.17,1,0.85
440,312,105,2,1.5,3.0,8.46,0,0.66
267,312,105,2,2.0,2.5,8.45,0,0.72
432,320,112,2,3.5,3.5,8.78,1,0.73
250,321,111,3,3.5,4.0,8.83,1,0.77
33,338,118,4,3.0,4.5,9.4,1,0.91
273,294,95,1,1.5,1.5,7.64,0,0.49
129,326,112,3,3.5,3.0,9.1,1,0.84
44,332,117,4,4.5,4.0,9.1,0,0.87
54,324,112,4,4.0,2.5,8.1,1,0.72
20,303,102,3,3.5,3.0,8.5,0,0.62
493,298,101,4,2.5,4.5,7.69,1,0.53
148,326,114,3,3.0,3.0,9.11,1,0.83
424,334,119,5,4.5,5.0,9.54,1,0.94
150,311,106,2,3.5,3.0,8.26,1,0.79
406,302,99,3,2.5,3.0,7.45,0,0.52
85,340,115,5,4.5,4.5,9.45,1,0.94
133,309,105,5,3.5,3.5,8.56,0,0.71
451,320,112,4,3.0,4.5,8.86,1,0.82
225,305,105,2,3.0,2.0,8.23,0,0.67
328,295,101,2,2.5,2.0,7.86,0,0.69
147,315,105,3,2.0,2.5,8.48,0,0.75
95,303,99,3,2.0,2.5,7.66,0,0.36
101,322,107,3,3.5,3.5,8.46,1,0.71
42,316,105,2,2.5,2.5,8.2,1,0.49
461,319,105,4,4.0,4.5,8.66,1,0.77
176,320,111,4,4.5,3.5,8.87,1,0.85
48,339,119,5,4.5,4.0,9.7,0,0.89
280,304,102,2,3.0,4.0,8.73,0,0.67
260,331,119,4,5.0,4.5,9.34,1,0.9
190,324,112,5,5.0,5.0,9.08,1,0.88
145,325,112,2,3.0,3.5,8.96,1,0.8
447,327,118,4,5.0,5.0,9.67,1,0.93
189,331,115,5,4.5,3.5,9.36,1,0.93
272,299,96,2,1.5,2.0,7.86,0,0.54
331,327,113,3,3.5,3.0,8.66,1,0.8
128,319,112,3,2.5,2.0,8.71,1,0.78
211,325,108,4,4.5,4.0,9.06,1,0.79
222,316,110,3,3.5,4.0,8.56,0,0.75
226,296,99,2,2.5,2.5,8.03,0,0.61
484,304,103,5,5.0,3.0,7.92,0,0.71
19,318,110,3,4.0,3.0,8.8,0,0.63
80,294,93,1,1.5,2.0,7.36,0,0.46
134,323,112,5,4.0,4.5,8.78,0,0.79
400,333,117,4,5.0,4.0,9.66,1,0.95
99,332,119,4,5.0,4.5,9.24,1,0.9
221,313,103,3,4.0,4.0,8.75,0,0.76
35,331,112,5,4.0,5.0,9.8,1,0.94
454,319,103,3,2.5,4.0,8.76,1,0.73
198,310,106,2,3.5,2.5,8.33,0,0.73
398,330,116,4,5.0,4.5,9.45,1,0.91
357,327,109,3,3.5,4.0,8.77,1,0.79
421,299,100,3,2.0,3.0,7.42,0,0.42
77,327,112,3,3.0,3.0,8.72,1,0.74
88,317,107,2,3.5,3.0,8.28,0,0.66
423,322,112,4,3.5,2.5,9.02,1,0.73
403,324,109,3,3.5,3.0,8.94,1,0.78
172,334,117,5,4.0,4.5,9.07,1,0.89
132,303,105,5,5.0,4.5,8.65,0,0.77
297,310,107,3,3.5,3.5,8.67,0,0.76
489,322,112,3,3.0,4.0,8.62,1,0.76
258,324,100,3,4.0,5.0,8.64,1,0.78
116,310,106,4,4.5,4.5,9.04,1,0.66
39,304,105,1,3.0,1.5,7.5,0,0.52
464,304,107,3,3.5,3.0,7.86,0,0.57
8,308,101,2,3.0,4.0,7.9,0,0.68
22,325,114,4,3.0,2.0,8.4,0,0.7
174,323,113,4,4.0,4.5,9.23,1,0.89
356,317,106,2,2.0,3.5,8.12,0,0.73
196,307,107,2,3.0,3.5,8.52,1,0.78
482,323,107,4,3.0,2.5,8.48,1,0.78
24,334,119,5,5.0,4.5,9.7,1,0.95
426,323,111,5,4.0,5.0,9.86,1,0.92
202,315,110,2,3.5,3.0,8.46,1,0.72
401,304,100,2,3.5,3.0,8.22,0,0.63
293,302,99,2,1.0,2.0,7.97,0,0.56
245,314,107,2,2.5,4.0,8.56,0,0.63
428,310,101,3,3.5,5.0,8.65,1,0.71
118,290,104,4,2.0,2.5,7.46,0,0.45
96,304,100,4,1.5,2.5,7.84,0,0.42
264,324,111,3,2.5,1.5,8.79,1,0.7
9,302,102,1,2.0,1.5,8.0,0,0.5
92,299,97,3,5.0,3.5,7.66,0,0.38
456,305,102,2,1.5,2.5,7.64,0,0.59
115,311,105,3,3.5,3.0,8.45,1,0.59
34,340,114,5,4.0,4.0,9.6,1,0.9
341,312,107,3,3.0,3.0,8.46,1,0.75
334,319,108,3,3.0,3.5,8.54,1,0.71
486,311,101,2,2.5,3.5,8.34,1,0.7
359,314,105,2,2.5,2.0,7.64,0,0.7
416,327,106,4,4.0,4.5,8.75,1,0.76
445,324,113,5,4.0,5.0,9.25,1,0.92
312,328,108,4,4.5,4.0,9.18,1,0.84
335,312,107,4,4.5,4.0,8.65,1,0.73
71,332,118,5,5.0,5.0,9.64,1,0.94
124,308,108,3,3.5,3.5,8.22,0,0.61
479,318,103,3,4.0,4.5,8.49,1,0.71
36,320,110,5,5.0,5.0,9.2,1,0.88
158,309,104,2,2.0,2.5,8.26,0,0.65
474,316,102,2,4.0,3.5,8.15,0,0.67
112,321,109,4,4.0,4.0,8.68,1,0.69
349,302,99,1,2.0,2.0,7.25,0,0.57
318,300,99,1,1.0,2.5,8.01,0,0.58
233,312,107,2,2.5,3.5,8.27,0,0.69
72,336,112,5,5.0,5.0,9.76,1,0.96
490,302,110,3,4.0,4.5,8.5,0,0.65
232,319,106,3,3.5,2.5,8.33,1,0.74
385,340,113,4,5.0,5.0,9.74,1,0.96
224,308,109,2,3.0,4.0,8.45,0,0.71
169,293,97,2,2.0,4.0,7.8,1,0.64
261,327,108,5,5.0,3.5,9.13,1,0.87
411,301,96,1,3.0,4.0,7.56,0,0.54
241,296,101,1,2.5,3.0,7.68,0,0.6
420,308,102,2,2.0,3.5,7.98,1,0.58
278,320,101,2,2.5,3.0,8.62,0,0.7
32,327,103,3,4.0,4.0,8.3,1,0.74
305,313,106,2,2.5,2.0,8.43,0,0.62
494,300,95,2,3.0,1.5,8.22,1,0.62
165,329,111,4,4.5,4.0,9.01,1,0.81
351,318,107,3,3.0,3.5,8.27,1,0.74
10,323,108,3,3.5,3.0,8.6,0,0.45
450,315,101,3,3.5,4.5,9.13,0,0.79
47,329,114,5,4.0,5.0,9.3,1,0.86
14,307,109,3,4.0,3.0,8.0,1,0.62
28,298,98,2,1.5,2.5,7.5,1,0.44
149,339,116,4,4.0,3.5,9.8,1,0.96
470,326,114,4,4.0,3.5,9.16,1,0.86
