target,v1,v2,v3,v4
47.14,36.9,90.1,44.8,6.3
42.95,20.5,177.1,45.1,8.9
59.0,33.8,103.4,34.4,13.4
67.75,39.4,168.5,23.3,13.8
45.4,36.2,95.1,24.9,5.9
60.51,34.1,153.4,31.8,11.9
47.66,34.2,163.3,12.5,7.3
45.43,25.2,156.8,11.9,5.0
57.06,32.6,104.9,46.3,8.8
42.28,29.8,108.0,20.4,7.2
50.17,38.5,101.8,13.5,13.2
53.44,33.1,116.0,24.9,13.3
50.78,39.9,122.2,38.6,4.4
61.45,33.7,162.5,39.4,8.8
46.73,23.6,101.4,36.7,5.0
60.44,36.1,158.8,44.5,12.0
56.83,39.4,145.4,12.5,10.0
46.78,23.2,158.8,38.7,9.8
48.27,21.8,167.2,15.0,6.4
39.33,27.7,117.6,16.9,5.2
54.83,30.7,178.6,43.5,6.2
53.56,36.1,118.5,45.9,8.1
47.59,38.9,119.3,16.8,7.5
43.01,27.7,96.1,20.8,10.8
48.43,24.7,90.7,40.9,7.4
50.33,35.7,109.2,20.4,13.9
43.11,36.9,97.3,43.6,8.0
41.48,20.7,102.3,47.6,10.3
55.05,27.4,125.9,32.1,9.7
62.64,38.4,168.6,26.7,12.7
58.75,37.4,134.3,36.3,8.4
34.55,20.6,131.4,12.6,5.4
56.59,38.2,149.7,40.8,5.5
41.42,20.7,168.1,41.3,4.8
55.32,25.0,131.8,11.2,13.4
46.58,32.7,101.5,30.6,6.5
53.67,27.0,150.1,33.7,8.7
49.91,30.7,127.1,25.3,9.5
55.76,24.4,135.7,32.9,12.8
53.18,25.7,138.9,14.7,4.1
47.66,36.2,159.9,12.7,5.8
57.17,21.7,170.5,11.5,10.2
51.54,20.9,128.7,29.5,13.4
39.71,26.4,103.7,32.0,6.8
49.66,25.3,133.7,22.9,11.9
52.62,26.9,147.1,32.5,13.2
51.43,20.5,110.4,43.5,7.4
41.2,34.1,123.1,12.7,7.8
56.29,26.6,158.5,20.0,9.7
61.1,34.9,156.2,14.7,12.9
55.25,35.5,142.1,24.7,12.3
40.42,23.9,127.2,25.9,9.9
59.02,36.1,173.9,18.7,13.3
51.48,23.6,153.9,18.5,4.4
48.97,35.1,113.4,23.9,9.5
50.8,22.6,124.9,20.4,12.6
51.73,37.8,136.6,16.9,12.1
43.74,21.7,131.3,42.2,5.9
50.42,29.9,99.1,23.3,8.8
26.25,21.5,90.8,24.3,4.3
67.63,28.0,145.4,36.2,14.0
60.78,20.3,176.7,33.1,13.2
60.72,35.5,138.2,18.2,11.8
41.88,21.0,107.3,15.1,12.5
48.65,20.7,111.8,35.2,13.4
49.73,24.0,113.1,15.6,10.5
39.6,22.6,112.2,24.2,7.5
45.42,33.7,176.5,19.9,5.7
54.19,30.1,165.4,15.9,9.6
38.1,20.9,136.0,11.3,4.5
48.46,21.7,98.0,31.3,13.3
65.47,38.8,129.5,24.8,13.7
51.42,39.4,168.0,18.4,4.2
53.42,22.4,161.0,38.1,8.0
36.51,37.5,93.5,13.2,7.2
36.19,21.8,124.6,23.6,4.4
64.49,34.6,168.4,21.5,13.0
48.51,32.4,174.9,20.8,8.1
49.66,39.0,95.5,21.5,13.4
51.28,26.8,168.9,23.1,5.1
57.9,33.6,132.9,42.9,8.8
48.49,24.6,129.5,33.4,6.2
60.58,37.9,140.0,24.2,11.4
43.19,23.3,107.8,34.8,5.2
43.24,28.3,163.9,36.0,4.5
43.56,26.8,144.3,27.5,7.3
44.53,36.6,146.1,18.6,4.3
52.15,34.2,123.8,49.2,5.2
58.07,38.7,145.0,18.8,9.4
48.35,26.5,143.3,36.3,4.4
52.05,30.1,93.3,43.1,7.8
45.78,26.4,177.9,31.2,5.3
51.64,39.8,168.7,15.7,9.5
66.56,35.7,164.0,40.0,13.8
56.66,38.1,173.8,32.5,4.6
52.91,25.3,92.8,27.7,9.6
63.76,30.0,98.6,29.1,14.0
39.89,20.8,117.5,16.4,5.7
50.99,31.3,130.5,37.9,8.6
46.45,24.6,167.4,29.0,11.1
54.4,20.6,175.5,45.6,7.0
51.79,33.6,161.0,25.2,6.1
53.22,39.7,126.9,30.3,6.9
46.22,20.4,90.9,50.0,12.5
49.97,38.3,141.1,46.7,4.9
53.23,37.3,120.8,45.4,9.2
59.07,29.9,164.4,48.7,9.3
58.76,34.0,176.1,13.7,5.2
44.92,33.3,131.8,16.8,12.0
48.53,20.2,131.4,38.3,6.0
40.26,27.2,122.3,14.5,4.5
56.59,38.7,113.9,38.6,10.7
63.03,38.8,176.7,31.9,12.6
47.17,23.5,150.1,27.3,9.8
47.37,30.6,172.2,25.9,4.5
33.14,22.8,100.1,18.4,6.0
49.24,20.1,135.5,34.9,4.5
49.41,35.9,121.4,26.7,7.1
43.09,22.8,98.9,22.3,6.6
59.76,33.4,152.1,28.8,12.2
43.01,31.2,136.8,28.6,4.5
54.24,20.9,173.4,38.4,4.2
54.89,33.7,121.5,20.3,13.9
51.54,31.6,135.1,43.3,6.3
59.63,23.2,145.9,29.7,11.4
57.15,22.3,157.6,48.7,8.3
64.24,27.1,146.8,39.0,10.4
49.87,26.4,120.1,27.2,9.2
39.62,20.7,127.0,17.0,7.4
46.58,31.6,178.9,12.8,5.3
64.17,31.9,164.5,12.1,12.0
47.49,29.4,137.7,34.3,7.9
58.85,23.1,140.2,26.9,10.9
51.25,20.4,141.6,42.7,9.7
49.37,39.0,161.9,25.7,4.4
58.49,21.0,135.6,29.6,11.0
65.84,36.5,179.4,14.8,13.3
51.55,20.2,130.4,18.8,13.4
40.7,38.7,124.6,31.5,5.3
54.45,27.4,145.8,13.3,12.9
53.28,39.0,179.7,16.7,6.2
56.94,23.6,162.0,48.1,9.7
49.95,23.5,158.5,17.8,6.9
41.74,33.3,138.0,16.5,4.5
44.94,32.1,124.2,30.9,7.0
41.02,28.5,91.1,20.7,8.1
66.95,32.1,128.9,46.8,12.3
47.04,34.4,101.0,46.8,4.2
57.7,22.0,142.2,40.3,13.7
54.65,33.8,133.5,33.1,11.7
31.43,29.7,122.0,10.8,10.0
34.26,27.7,144.1,19.6,4.0
58.26,39.0,115.3,25.4,12.2
51.51,38.0,164.3,24.9,9.1
55.74,29.8,138.6,20.6,10.8
58.95,27.8,147.7,46.2,8.8
49.67,24.6,144.3,28.3,13.6
62.13,34.4,130.6,17.5,13.6
42.02,37.9,130.7,43.9,7.0
39.59,26.2,94.5,24.9,7.3
65.48,39.5,142.0,31.3,12.4
62.75,37.4,161.4,49.8,12.8
70.58,37.1,171.6,34.3,13.5
55.23,32.3,121.8,44.7,9.1
50.23,20.5,139.8,39.2,14.0
43.24,22.5,108.4,20.6,11.3
44.46,20.9,97.4,18.0,8.1
62.0,37.6,146.4,23.7,6.8
51.92,35.4,163.1,18.0,4.7
61.41,32.7,121.9,26.7,13.6
62.28,32.6,147.3,33.5,9.7
56.08,39.2,108.8,39.1,10.5
51.34,31.4,139.7,37.1,11.7
55.99,38.9,102.6,47.7,5.6
47.6,20.7,113.2,40.0,8.2
53.64,37.9,123.6,49.2,7.4
59.98,31.3,147.1,43.8,9.1
47.8,21.7,102.3,20.6,10.3
67.7,24.8,158.9,12.1,13.1
70.62,39.9,170.4,12.1,13.7
47.13,25.4,134.8,34.7,4.8
43.72,32.2,149.1,12.7,10.5
51.98,24.1,99.1,47.7,12.6
48.43,29.9,147.1,39.7,7.6
62.89,29.9,162.1,48.7,10.1
65.26,37.3,165.8,41.7,10.5
57.97,35.4,166.1,29.0,9.8
47.61,24.5,104.6,33.2,5.2
43.93,32.7,96.6,20.4,13.3
36.83,22.4,121.1,27.5,5.6
43.24,33.7,96.5,36.5,10.8
28.68,21.3,115.7,18.6,4.4
61.98,36.0,168.9,36.9,8.7
68.76,29.0,173.5,30.9,13.9
53.82,20.9,147.3,26.3,13.6
59.86,39.4,157.8,47.3,10.8
47.59,36.3,116.7,27.4,7.6
51.94,22.7,95.7,13.3,13.5
57.87,33.2,140.6,42.7,13.0
58.34,26.7,146.1,31.3,9.0
67.29,21.0,175.0,42.4,12.5
35.15,29.0,128.5,33.5,5.7
64.58,37.5,130.4,19.2,9.5
57.0,36.7,94.3,41.9,11.4
48.48,21.7,124.2,39.5,10.3
63.88,37.5,172.7,27.7,12.7
54.14,26.4,97.2,28.7,12.5
53.77,36.6,139.3,19.9,4.1
47.78,27.4,165.1,22.1,7.8
56.99,38.1,145.8,37.0,12.3
46.44,27.9,169.0,36.5,5.1
62.96,23.7,159.2,37.4,13.3
50.85,25.8,173.6,12.8,11.7
63.48,31.0,171.0,47.1,9.3
56.5,22.8,155.8,42.1,7.3
59.02,27.1,146.8,37.1,9.8
53.45,37.2,175.7,19.1,5.6
48.52,28.6,179.9,23.5,8.6
57.11,39.1,123.5,24.8,12.7
56.99,33.0,166.0,13.7,10.0
53.2,38.9,118.7,37.1,9.5
48.93,30.6,119.1,40.6,6.0
51.9,32.7,105.1,49.0,12.1
40.08,23.4,106.9,45.1,5.3
53.74,25.5,143.4,10.1,13.0
45.17,37.9,131.7,34.9,4.8
52.39,25.2,155.0,39.3,4.9
41.7,20.2,109.4,10.5,10.3
46.32,26.6,177.2,10.6,6.2
49.34,32.4,156.4,48.3,9.4
65.07,31.8,174.4,29.6,8.0
45.4,35.5,159.0,11.3,5.3
55.87,39.3,119.2,48.7,6.3
39.54,34.5,145.8,12.9,4.1
49.09,30.4,115.7,35.2,8.2
43.4,26.2,136.1,20.9,10.0
67.6,36.8,159.7,28.4,11.3
43.17,30.4,103.7,32.6,7.2
52.62,34.7,133.9,43.6,6.0
57.1,33.9,127.0,11.6,12.5
50.84,21.5,125.1,28.8,7.8
53.33,24.5,133.7,38.2,9.4
48.49,29.0,114.9,19.7,12.2
52.37,34.8,94.7,33.3,10.9
52.18,24.9,149.8,26.9,7.3
67.17,37.8,179.7,35.7,13.8
52.3,27.5,160.4,24.8,9.8
48.65,29.1,131.5,18.1,9.7
54.7,22.0,124.3,25.2,10.5
54.94,40.0,155.2,11.2,8.5
73.31,31.2,178.1,38.2,13.9
50.24,39.0,105.7,33.6,7.8
51.56,31.0,155.4,44.1,11.7
64.57,37.4,148.9,41.3,9.1
53.11,29.4,133.9,13.1,10.3
50.28,38.3,106.7,24.2,8.1
35.6,20.7,102.8,30.0,4.1
58.6,34.9,133.3,24.2,13.1
47.53,28.8,135.8,47.8,4.2
53.13,27.8,100.3,46.3,7.3
44.88,28.3,135.2,42.0,4.8
55.28,23.4,154.7,38.2,5.8
54.38,20.9,164.3,30.4,5.2
50.11,28.7,146.1,38.6,8.5
55.16,37.5,90.5,41.7,11.5
50.75,31.7,133.9,34.9,9.2
51.68,31.5,131.4,24.1,12.8
45.11,32.6,148.6,10.3,6.1
46.75,31.7,143.8,34.2,5.5
48.94,32.4,142.2,20.9,8.4
39.16,21.6,91.7,24.4,8.6
46.63,27.2,90.5,29.6,7.9
55.14,20.1,144.7,29.1,12.9
40.62,20.5,152.5,29.5,6.4
48.28,30.2,140.5,19.8,6.5
46.11,32.8,101.8,26.5,8.5
44.94,23.5,144.5,45.4,4.9
45.28,28.6,116.9,42.2,4.6
63.8,24.0,159.8,43.0,12.0
40.06,31.9,129.6,30.0,4.1
60.32,26.4,147.3,41.7,11.4
59.11,28.9,120.5,36.5,13.1
59.28,37.9,135.7,41.3,6.4
45.1,36.3,115.2,48.9,4.8
51.86,26.5,92.7,41.4,13.9
46.67,39.7,90.8,43.6,7.4
59.7,32.4,161.5,16.6,12.1
57.6,37.5,164.0,27.5,10.1
43.97,24.8,130.4,49.8,4.4
50.29,31.6,176.8,22.5,6.1
47.09,36.4,107.6,17.9,10.9
31.99,34.3,96.6,33.8,6.1
63.03,32.2,112.2,41.6,13.5
43.99,25.3,129.6,10.3,10.2
54.27,27.4,99.1,18.9,13.0
43.61,38.0,120.7,48.4,5.7
57.86,26.8,150.0,48.3,13.9
57.43,31.1,129.4,14.2,12.4
44.4,23.3,130.3,19.1,10.0
35.97,30.7,109.9,14.6,4.2
62.35,34.1,179.4,24.7,5.7
46.44,28.6,176.0,13.1,7.0
43.12,20.6,126.2,43.2,7.5
41.94,25.4,138.6,22.2,4.6
48.46,33.9,150.1,30.7,6.4
57.51,24.7,151.1,29.5,10.2
47.77,21.1,97.5,19.3,8.4
44.69,23.0,132.4,49.2,6.3
49.46,35.4,114.7,31.6,4.3
33.99,22.8,129.2,18.4,6.3
55.33,30.0,154.7,38.3,8.3
40.03,24.0,106.3,25.8,9.4
54.05,38.6,114.3,23.9,11.0
36.76,30.7,113.6,27.3,6.0
65.16,37.3,156.3,45.7,8.4
40.76,31.7,99.5,19.7,5.4
39.22,24.5,91.6,16.5,4.9
46.42,25.6,90.5,30.1,9.1
55.61,20.8,152.3,39.0,9.3
60.36,37.2,156.0,12.8,10.7
35.36,22.4,130.9,21.9,4.6
52.3,24.6,170.1,23.8,4.7
37.28,31.9,95.6,36.3,4.6
59.96,32.3,158.0,14.1,13.3
35.22,21.6,148.6,10.1,9.9
63.0,24.8,164.3,48.4,10.2
47.28,37.9,99.5,43.3,4.8
49.66,31.8,157.9,23.4,5.7
50.12,25.6,151.5,35.4,6.0
39.4,35.9,111.0,22.2,4.9
42.8,35.2,98.0,16.4,8.1
70.14,31.4,160.7,45.8,14.0
55.61,32.5,125.2,43.4,12.1
49.72,37.4,149.3,31.3,9.8
58.96,20.5,158.8,47.5,9.8
50.77,21.7,159.6,22.3,10.3
46.51,31.3,111.4,41.1,10.0
52.93,30.4,123.4,30.0,10.0
64.07,30.7,156.4,39.9,9.2
58.69,39.0,138.8,17.4,8.8
54.28,32.7,138.0,36.3,13.7
43.03,28.8,169.2,19.2,5.1
46.27,23.6,138.5,11.3,11.8
51.91,22.2,177.8,36.3,9.4
43.34,22.1,147.6,26.8,12.2
35.71,29.1,96.6,20.2,8.7
44.79,24.4,130.2,42.1,4.0
58.16,34.6,149.3,12.5,13.9
37.95,24.6,111.5,40.4,4.5
49.17,25.0,100.2,47.1,11.4
60.99,35.3,168.5,12.8,12.9
65.31,27.5,158.4,25.9,12.3
46.31,36.2,159.2,10.5,4.2
37.31,35.2,105.3,10.4,11.5
40.49,37.0,95.2,26.1,7.3
54.59,20.3,163.7,23.7,11.2
42.14,21.5,100.3,13.8,8.9
40.86,26.6,152.6,26.2,4.4
50.4,36.0,92.1,29.9,9.8
59.29,33.9,171.2,45.3,4.7
45.11,37.8,110.9,23.3,8.0
38.16,33.9,92.4,24.7,6.7
67.94,30.3,161.1,37.5,10.6
56.55,31.9,156.9,17.8,10.0
29.28,37.2,92.3,16.3,5.4
59.47,32.4,131.6,37.8,12.4
52.95,25.2,117.0,27.6,9.0
43.69,31.9,95.4,16.1,7.4
42.07,26.4,93.7,41.2,10.7
62.83,28.5,176.9,22.1,12.2
58.94,27.1,158.1,33.6,11.0
66.35,32.2,140.0,35.3,13.4
51.79,32.6,147.7,38.2,6.1
60.01,29.4,171.6,38.4,8.9
51.78,34.8,128.1,33.2,7.9
39.49,25.9,130.7,24.1,5.0
56.2,25.6,152.5,48.8,7.9
53.82,21.7,133.1,46.3,8.3
52.61,25.6,176.2,17.3,12.1
56.62,26.7,177.0,40.5,6.0
52.68,25.2,170.0,33.8,5.2
40.11,33.0,111.9,10.4,5.4
51.99,28.2,176.0,13.7,4.5
40.32,21.7,164.5,17.2,8.4
41.93,22.0,141.5,41.7,6.3
45.67,24.3,149.1,10.9,9.2
45.99,34.3,142.2,30.8,6.7
62.76,35.8,119.5,44.8,10.7
51.47,25.9,131.4,44.5,5.6
73.02,39.9,150.9,47.9,12.7
55.66,34.3,95.4,38.5,10.1
34.46,25.4,96.3,41.2,8.0
59.98,36.6,121.3,29.4,12.1
51.07,39.0,160.3,22.3,5.2
56.71,32.2,138.2,49.4,10.4
51.92,21.5,94.1,44.4,5.8
46.66,34.1,172.4,12.7,6.5
63.43,32.9,136.4,23.8,12.8
33.64,31.6,108.3,12.7,4.5
69.51,39.2,118.3,49.8,13.9
51.59,29.2,172.7,23.4,8.1
42.27,32.2,128.7,41.0,7.4
54.45,32.1,144.2,42.9,12.1
41.8,22.3,131.2,18.6,4.5
57.2,26.5,162.0,19.0,9.4
67.67,36.9,145.2,26.3,11.7
31.45,31.7,93.8,11.2,5.9
48.59,26.9,108.4,23.1,12.0
45.07,22.8,122.2,32.3,9.4
39.14,21.7,100.5,12.5,6.6
41.83,20.3,149.8,13.1,7.6
43.12,32.5,91.6,49.0,4.1
56.49,38.4,125.6,33.1,13.8
46.23,30.1,93.6,27.4,7.4
59.13,22.6,174.0,15.7,9.6
38.09,22.0,161.0,11.3,8.9
71.42,38.8,179.3,44.3,10.6
58.51,37.9,150.9,25.2,9.6
45.16,39.4,112.9,16.2,5.5
46.58,35.2,101.2,36.3,8.8
37.91,23.1,138.0,13.8,4.7
61.85,31.5,130.2,42.3,8.0
42.85,31.6,96.2,13.0,6.3
53.57,29.0,179.5,23.4,5.8
54.75,35.0,105.6,37.0,8.4
48.08,28.8,110.3,33.9,11.5
44.59,33.9,126.5,25.8,8.3
45.52,37.3,91.9,13.7,10.4
62.28,29.3,142.9,19.7,11.5
41.57,22.2,158.1,18.7,7.6
44.35,33.3,138.7,31.1,5.1
36.12,20.9,114.9,18.5,4.5
57.04,25.7,128.5,42.4,10.9
67.56,26.2,149.1,23.5,12.2
50.4,37.8,104.4,23.7,10.7
33.03,23.2,100.1,30.7,7.9
47.64,36.8,108.2,15.2,8.6
55.01,21.3,157.4,35.9,13.9
44.85,23.7,101.0,49.0,13.0
51.21,20.8,153.2,41.9,6.0
48.99,29.3,142.4,32.6,5.5
51.72,29.8,116.8,42.6,9.9
60.42,39.3,177.7,38.5,7.1
52.38,34.1,159.9,27.8,8.0
46.88,31.1,97.3,13.0,13.7
52.38,33.8,162.7,11.8,8.3
65.21,31.8,154.6,43.4,11.0
61.47,30.8,161.5,45.9,8.3
55.96,20.4,128.7,14.5,11.1
45.19,25.6,156.0,34.3,4.1
47.63,25.9,148.7,19.5,8.8
67.19,39.8,158.3,24.0,13.0
47.34,29.6,115.4,42.2,6.7
64.13,23.0,168.4,41.1,12.9
36.32,28.6,114.8,21.2,8.5
49.53,36.0,145.0,48.1,7.2
57.75,32.3,150.2,16.2,13.4
42.0,21.8,96.5,46.7,10.8
38.97,36.4,108.1,22.0,4.4
41.81,27.5,96.9,32.3,4.9
50.28,23.9,128.0,44.0,8.2
42.96,26.7,112.9,29.3,6.0
51.73,28.8,165.7,34.0,6.5
52.8,39.7,156.0,48.8,4.5
47.93,21.6,154.3,26.1,6.8
51.33,30.1,144.9,36.5,6.2
58.22,23.5,137.5,27.7,13.3
58.28,27.0,138.8,42.7,9.9
36.36,20.4,95.3,26.6,5.7
43.23,35.2,108.1,23.0,5.1
59.1,36.0,168.6,16.8,10.7
39.44,31.1,109.1,30.2,4.1
33.54,28.6,102.2,22.4,5.5
30.77,20.6,91.3,25.4,4.2
55.47,25.7,168.1,34.9,8.1
66.73,29.8,121.1,48.8,9.5
60.67,37.7,177.3,29.7,7.4
47.98,22.0,151.2,40.4,5.6
42.41,28.0,127.6,11.6,8.2
50.37,25.9,153.2,36.7,5.5
58.83,28.4,169.1,15.8,10.3
48.32,24.8,131.5,31.4,11.4
62.87,35.5,103.2,25.9,13.1
51.19,32.6,179.7,17.2,4.9
39.1,22.6,97.0,48.8,10.5
51.96,33.9,150.3,36.5,12.2
42.45,31.4,155.5,25.5,7.9
63.91,33.9,177.8,19.4,11.3
52.57,33.3,171.9,15.5,7.8
41.47,34.5,96.2,30.9,5.1
36.97,27.5,151.8,10.8,4.1
39.83,20.6,105.0,30.9,9.7
55.21,37.2,163.9,10.0,8.7
58.21,37.2,171.5,17.3,9.7
55.4,26.8,125.2,44.2,10.7
40.01,38.3,109.7,19.2,5.5
52.16,36.8,148.0,39.3,7.2
50.04,20.1,166.9,38.5,6.8
58.58,36.3,125.7,48.4,5.3
38.63,28.7,104.8,14.2,5.6
53.58,38.8,145.1,43.1,8.0
49.81,28.5,95.6,37.7,13.7
67.19,31.0,167.5,38.2,12.3
46.73,21.9,121.6,35.4,11.0
30.92,22.4,134.0,12.3,4.8
51.18,27.5,92.8,35.2,8.3
50.45,33.6,103.3,26.5,10.5
62.94,37.9,167.8,45.4,11.8
48.29,24.6,142.7,10.7,10.8
40.96,21.7,101.8,21.1,7.8
50.92,30.6,160.8,33.9,9.1
56.19,31.8,149.3,29.8,10.9
61.34,36.1,167.6,48.7,10.0
57.94,27.1,97.6,36.9,12.4
50.01,30.1,118.1,20.0,11.6
52.1,35.1,139.5,44.9,10.0
50.07,26.5,153.7,37.9,6.8
63.02,38.3,167.7,26.8,9.3
43.52,27.3,108.2,48.5,10.6
50.91,22.8,154.4,15.5,7.1
41.94,20.7,147.8,14.2,9.7
37.04,20.5,100.0,42.1,4.7
58.31,24.8,109.4,38.3,12.9
29.63,28.0,128.7,29.4,6.1
55.33,28.2,167.0,38.0,12.2
57.14,38.6,118.0,43.9,7.4
47.72,36.3,106.7,28.1,13.3
43.53,27.3,123.1,39.9,4.2
52.81,30.9,178.9,27.3,5.6
60.36,25.8,168.5,27.4,11.8
57.78,31.0,163.2,19.9,9.6
60.43,22.4,157.1,37.1,9.0
39.54,21.5,106.2,39.5,9.9
59.45,39.0,152.3,24.0,7.2
49.83,28.0,109.0,28.7,9.5
45.73,30.5,155.8,20.8,7.5
