date,category,item,price
2023-01-09,C,C008,3258
2023-01-09,A,A002,2831
2023-01-10,A,A003,5228
2023-01-10,C,C007,8605
2023-01-10,A,A006,4708
2023-01-10,A,A003,7979
2023-01-10,C,C003,7227
2023-01-10,D,D003,6044
2023-01-10,A,A003,8416
2023-01-10,C,C004,9168
2023-01-10,B,B001,6592
2023-01-11,D,D002,6880
2023-01-11,C,C002,9831
2023-01-11,B,B002,5218
2023-01-11,A,A004,7609
2023-01-11,D,D010,2728
2023-01-11,B,B010,2379
2023-01-11,C,C001,1671
2023-01-12,A,A010,6037
2023-01-12,B,B006,4872
2023-01-12,B,B010,2129
2023-01-12,A,A004,6778
2023-01-12,B,B002,5995
2023-01-12,C,C003,4080
2023-01-12,D,D010,5584
2023-01-12,C,C008,6520
2023-01-12,B,B004,8345
2023-01-12,D,D003,4775
2023-01-12,D,D005,3939
2023-01-12,D,D003,9493
2023-01-12,C,C009,3354
2023-01-12,C,C003,1496
2023-01-12,C,C006,5349
2023-01-12,D,D005,4231
2023-01-12,A,A009,5295
2023-01-13,D,D007,4822
2023-01-13,A,A005,9994
2023-01-13,D,D003,4587
2023-01-13,C,C008,3492
2023-01-13,B,B004,5512
2023-01-13,C,C007,8174
2023-01-13,B,B010,1561
2023-01-13,B,B002,2103
2023-01-14,B,B005,3328
2023-01-14,B,B006,6173
2023-01-14,C,C006,5677
2023-01-14,A,A009,6318
2023-01-14,D,D009,8098
2023-01-14,B,B001,9640
2023-01-14,D,D007,9234
2023-01-14,B,B005,4785
2023-01-14,A,A006,8833
2023-01-14,C,C005,1745
2023-01-14,B,B003,5782
2023-01-14,C,C001,8001
2023-01-14,D,D004,5155
2023-01-14,B,B006,7531
2023-01-15,D,D010,4244
2023-01-15,C,C001,1952
2023-01-15,A,A005,5055
2023-01-15,A,A002,5076
2023-01-15,A,A005,4185
2023-01-15,A,A004,1938
2023-01-15,D,D003,1012
2023-01-15,A,A004,8785
2023-01-16,C,C004,7461
2023-01-16,A,A002,2848
2023-01-16,A,A003,5112
2023-01-17,C,C004,6591
2023-01-17,D,D003,3107
2023-01-17,A,A001,6640
2023-01-17,C,C003,9954
2023-01-17,A,A009,1414
2023-01-17,C,C006,7282
2023-01-17,D,D006,2682
2023-01-17,D,D009,1010
2023-01-17,D,D008,8246
2023-01-17,B,B009,8073
2023-01-18,D,D002,4083
2023-01-18,D,D009,7037
2023-01-18,C,C002,6591
2023-01-18,A,A009,5537
2023-01-19,D,D001,4659
2023-01-19,B,B006,5330
2023-01-19,A,A008,4724
2023-01-19,D,D004,5053
2023-01-19,C,C003,2779
2023-01-19,A,A002,1754
2023-01-19,A,A002,1597
2023-01-19,A,A010,6755
2023-01-20,A,A007,8060
2023-01-20,A,A009,8338
2023-01-20,C,C003,6141
2023-01-20,C,C010,8412
2023-01-20,A,A007,2563
2023-01-20,B,B008,3599
2023-01-20,A,A001,9281
2023-01-20,D,D010,7278
2023-01-20,D,D007,7044
2023-01-20,B,B003,4182
2023-01-20,B,B010,2041
2023-01-20,A,A008,5888
2023-01-21,D,D002,8192
2023-01-21,D,D007,8630
2023-01-21,A,A005,5182
2023-01-21,A,A007,7457
2023-01-21,A,A004,5868
2023-01-21,C,C004,9521
2023-01-21,D,D008,1330
2023-01-21,D,D004,8492
2023-01-22,D,D004,9572
2023-01-22,A,A003,8759
2023-01-22,B,B007,2777
2023-01-22,C,C004,7393
2023-01-22,D,D003,8843
2023-01-22,C,C003,1818
2023-01-22,D,D004,3532
2023-01-22,A,A010,9699
2023-01-23,C,C004,1939
2023-01-23,B,B004,7127
2023-01-23,D,D004,3268
2023-01-23,A,A006,2495
2023-01-23,B,B005,3347
2023-01-23,C,C006,1386
2023-01-24,A,A004,2079
2023-01-24,B,B010,6616
2023-01-24,B,B002,1076
2023-01-24,C,C010,6041
2023-01-25,A,A009,1780
2023-01-25,C,C010,1502
2023-01-25,B,B001,8862
2023-01-25,A,A002,7976
2023-01-25,A,A010,4088
2023-01-25,C,C001,7957
2023-01-25,C,C003,7902
2023-01-25,A,A007,5240
2023-01-25,B,B001,2502
2023-01-25,D,D003,6202
2023-01-25,B,B002,5515
2023-01-25,A,A010,4740
2023-01-26,C,C004,3949
2023-01-26,C,C004,6255
2023-01-26,D,D001,6212
2023-01-26,B,B006,4391
2023-01-26,B,B008,3529
2023-01-26,A,A007,5568
2023-01-26,C,C005,3708
2023-01-26,B,B009,3514
2023-01-27,B,B008,9343
2023-01-27,B,B002,4983
2023-01-27,B,B009,4612
2023-01-27,C,C008,7176
2023-01-27,C,C010,1144
2023-01-27,C,C007,8953
2023-01-27,B,B002,6830
2023-01-28,D,D006,2515
2023-01-28,C,C010,5898
2023-01-28,A,A007,9563
2023-01-28,C,C010,9490
2023-01-28,C,C010,2420
2023-01-28,B,B010,1889
2023-01-28,A,A006,6406
2023-01-28,D,D004,8482
2023-01-29,C,C008,6289
2023-01-29,A,A001,8345
2023-01-29,D,D006,3693
2023-01-29,B,B003,7780
2023-01-29,D,D008,6622
2023-01-29,D,D004,4345
2023-01-29,D,D004,5300
2023-01-29,A,A005,2721
2023-01-29,C,C008,6790
2023-01-29,D,D010,1986
2023-01-30,B,B003,2421
2023-01-30,A,A010,8740
2023-01-30,B,B004,8756
2023-01-30,C,C004,1726
2023-01-31,B,B009,3185
2023-01-31,C,C010,3800
2023-01-31,A,A007,9719
2023-01-31,B,B010,5431
2023-02-01,B,B004,1906
2023-02-01,D,D002,9401
2023-02-01,B,B003,2265
2023-02-01,B,B007,2671
2023-02-01,D,D003,2774
2023-02-02,C,C007,4179
2023-02-02,C,C010,1495
2023-02-02,B,B008,5232
2023-02-02,A,A010,9015
2023-02-03,C,C009,5102
2023-02-03,D,D001,3963
2023-02-03,C,C010,1105
2023-02-03,D,D005,7912
2023-02-03,B,B003,6247
2023-02-03,B,B003,1832
2023-02-03,A,A004,4258
2023-02-04,D,D002,9592
2023-02-04,D,D010,6977
2023-02-04,C,C007,7214
2023-02-04,D,D004,9216
2023-02-04,B,B002,7629
2023-02-04,C,C002,9539
2023-02-04,A,A008,5640
2023-02-04,C,C007,7642
2023-02-04,C,C003,7370
2023-02-05,C,C004,2754
2023-02-05,D,D008,4523
2023-02-05,C,C005,3316
2023-02-05,A,A009,4621
2023-02-05,A,A009,5326
2023-02-05,A,A002,6957
2023-02-05,D,D010,1432
2023-02-05,A,A010,2278
2023-02-05,B,B008,3486
2023-02-05,A,A004,5853
2023-02-06,D,D004,4041
2023-02-06,D,D006,7121
2023-02-06,D,D002,8280
2023-02-06,D,D003,7883
2023-02-06,D,D003,5419
2023-02-06,B,B010,3634
2023-02-07,C,C005,5659
2023-02-07,C,C003,2777
2023-02-07,B,B003,7991
2023-02-07,C,C002,9084
2023-02-07,A,A001,9201
2023-02-07,D,D009,7255
2023-02-07,A,A007,1244
2023-02-07,B,B008,9593
2023-02-07,C,C009,3731
2023-02-08,D,D002,2025
2023-02-08,D,D010,3577
2023-02-08,A,A002,2156
2023-02-08,C,C010,5368
2023-02-08,A,A003,1788
2023-02-08,D,D004,2349
2023-02-08,C,C004,8825
2023-02-08,A,A005,6692
2023-02-08,A,A006,1021
2023-02-08,A,A005,4273
2023-02-08,B,B002,9795
2023-02-08,D,D010,5503
2023-02-08,C,C009,1834
2023-02-08,A,A004,3268
2023-02-08,D,D002,3646
2023-02-08,A,A001,1966
2023-02-09,D,D005,3750
2023-02-09,D,D004,5382
2023-02-09,D,D007,8641
2023-02-09,C,C003,8086
2023-02-09,C,C010,9494
2023-02-09,B,B010,6672
2023-02-09,C,C001,8804
2023-02-09,C,C005,1929
2023-02-09,B,B003,4928
2023-02-10,D,D010,5233
2023-02-10,A,A004,8710
2023-02-10,B,B003,6266
2023-02-10,B,B005,6448
2023-02-10,C,C008,4542
2023-02-10,C,C006,7843
2023-02-10,C,C008,8151
2023-02-11,C,C004,4216
2023-02-11,D,D008,9879
2023-02-11,D,D007,7302
2023-02-11,D,D002,8044
2023-02-11,C,C009,8939
2023-02-11,D,D009,5636
2023-02-11,A,A006,6295
2023-02-11,A,A003,8192
2023-02-11,B,B008,4809
2023-02-11,D,D002,3651
2023-02-11,B,B010,4185
2023-02-11,D,D005,6801
2023-02-11,C,C001,5260
2023-02-11,C,C008,2746
2023-02-12,A,A009,8973
2023-02-12,D,D005,9458
2023-02-12,B,B003,3367
2023-02-12,A,A007,1890
2023-02-12,B,B008,2417
2023-02-12,B,B004,2426
2023-02-13,C,C010,2860
2023-02-13,D,D009,7945
2023-02-13,C,C001,6649
2023-02-13,D,D002,8013
2023-02-13,A,A002,4768
2023-02-13,B,B008,5512
2023-02-13,A,A004,9860
2023-02-13,D,D004,8647
2023-02-13,B,B001,6947
2023-02-14,A,A006,8282
2023-02-14,D,D004,2241
2023-02-14,C,C009,6330
2023-02-15,C,C010,1415
2023-02-15,A,A005,8678
2023-02-15,A,A009,4758
2023-02-15,C,C001,9378
2023-02-15,D,D010,3001
2023-02-15,A,A010,8982
2023-02-15,D,D004,9026
2023-02-16,D,D003,7200
2023-02-16,A,A007,3338
2023-02-16,C,C001,9736
2023-02-16,A,A001,4621
2023-02-16,A,A002,4727
2023-02-16,B,B009,8838
2023-02-16,D,D005,7229
2023-02-16,A,A001,5968
2023-02-16,A,A007,5482
2023-02-16,A,A008,8637
2023-02-16,C,C001,1391
2023-02-16,B,B007,6679
2023-02-17,A,A003,6087
2023-02-17,B,B007,6008
2023-02-17,D,D004,6822
2023-02-17,D,D004,8910
2023-02-18,A,A004,6494
2023-02-18,A,A001,2181
2023-02-18,B,B009,7860
2023-02-18,C,C007,2569
2023-02-18,C,C003,8254
2023-02-18,D,D003,8062
2023-02-18,B,B009,7461
2023-02-18,B,B007,8607
2023-02-18,B,B003,5511
2023-02-18,C,C001,9775
2023-02-18,C,C003,8272
2023-02-19,B,B009,6559
2023-02-19,D,D001,5867
2023-02-19,B,B009,6906
2023-02-19,B,B005,3428
2023-02-19,C,C002,1793
2023-02-19,A,A004,3196
2023-02-19,A,A008,2212
2023-02-20,C,C009,7169
2023-02-20,A,A010,9893
2023-02-20,B,B003,1574
2023-02-20,D,D009,9414
2023-02-20,D,D002,4243
2023-02-20,B,B009,1256
2023-02-20,C,C006,3593
2023-02-20,A,A002,9953
2023-02-20,C,C008,5287
2023-02-20,A,A010,6539
2023-02-20,A,A006,9023
2023-02-21,D,D010,1572
2023-02-21,C,C004,5765
2023-02-21,B,B001,4959
2023-02-21,D,D010,2074
2023-02-21,B,B003,9405
2023-02-21,C,C005,4428
2023-02-22,A,A009,1358
2023-02-22,C,C002,5795
2023-02-22,B,B009,5975
2023-02-22,A,A006,9290
2023-02-22,A,A008,2030
2023-02-22,D,D009,6660
2023-02-22,B,B001,8313
2023-02-22,D,D009,7131
2023-02-22,C,C005,4793
2023-02-23,D,D010,9296
2023-02-23,A,A009,3464
2023-02-23,D,D008,6559
2023-02-23,C,C003,4370
2023-02-23,A,A003,2915
2023-02-23,A,A010,8211
2023-02-23,D,D009,2469
2023-02-23,D,D010,2386
2023-02-23,A,A004,6061
2023-02-23,D,D006,6344
2023-02-24,A,A004,2660
2023-02-24,A,A002,7502
2023-02-24,A,A008,5793
2023-02-24,A,A005,4046
2023-02-24,D,D002,8385
2023-02-24,A,A005,6095
2023-02-24,B,B005,9895
2023-02-24,B,B005,7203
2023-02-24,B,B008,1909
2023-02-25,A,A007,6615
2023-02-25,B,B004,9592
2023-02-25,D,D010,7107
2023-02-25,D,D006,4203
2023-02-26,B,B002,2721
2023-02-26,D,D007,7875
2023-02-26,B,B001,4466
2023-02-26,B,B001,4219
2023-02-26,B,B006,3347
2023-02-27,A,A005,4858
2023-02-27,A,A001,5846
2023-02-27,A,A006,5298
2023-02-27,C,C003,7766
2023-02-27,A,A007,2356
2023-02-27,A,A005,5725
2023-02-27,D,D010,1949
2023-02-27,C,C007,9445
2023-02-27,A,A007,2110
2023-02-27,C,C008,5261
2023-02-28,B,B007,1527
2023-02-28,D,D001,7343
2023-02-28,C,C006,2211
2023-02-28,B,B009,9741
2023-02-28,A,A003,3322
2023-02-28,B,B001,8939
2023-02-28,D,D004,2189
2023-02-28,B,B007,9044
2023-02-28,D,D004,2986
2023-03-01,A,A010,4110
2023-03-01,A,A004,6775
2023-03-01,C,C001,5267
2023-03-01,A,A001,4374
2023-03-01,A,A002,3397
2023-03-01,A,A003,7684
2023-03-01,B,B010,6644
2023-03-01,D,D002,6355
2023-03-01,D,D007,5070
2023-03-02,B,B005,8394
2023-03-02,D,D010,5109
2023-03-02,D,D006,6356
2023-03-02,A,A007,4019
2023-03-02,D,D003,6247
2023-03-02,D,D004,6121
2023-03-02,C,C007,7460
2023-03-02,B,B010,7127
2023-03-03,C,C008,3588
2023-03-03,B,B010,3072
2023-03-03,C,C008,4384
2023-03-03,D,D008,8849
2023-03-03,B,B003,2649
2023-03-03,B,B005,5655
2023-03-03,B,B008,2821
2023-03-03,D,D002,5861
2023-03-03,A,A004,1777
2023-03-04,A,A010,3338
2023-03-04,D,D006,9215
2023-03-04,D,D005,2907
2023-03-04,C,C008,4690
2023-03-04,D,D005,2610
2023-03-04,D,D008,3860
2023-03-04,A,A003,6403
2023-03-04,D,D009,2568
2023-03-04,D,D004,5348
2023-03-04,B,B005,1120
2023-03-04,A,A006,4653
2023-03-05,C,C009,2883
2023-03-05,A,A007,6729
2023-03-05,C,C001,2597
2023-03-06,D,D009,9289
2023-03-06,A,A002,2672
2023-03-06,B,B009,7539
2023-03-06,D,D002,8641
2023-03-06,B,B008,8614
2023-03-06,B,B009,2726
2023-03-06,D,D006,5566
2023-03-07,A,A007,3511
2023-03-07,D,D005,2361
2023-03-07,C,C001,1294
2023-03-07,A,A002,2906
2023-03-07,C,C006,8701
2023-03-07,C,C002,7783
2023-03-07,C,C001,5276
2023-03-07,A,A009,1768
2023-03-07,D,D006,9620
2023-03-08,B,B009,2543
2023-03-08,D,D006,5967
2023-03-08,D,D006,1481
2023-03-08,C,C004,6298
2023-03-08,A,A004,6756
2023-03-09,C,C004,2525
2023-03-09,B,B006,1174
2023-03-09,D,D008,8034
2023-03-09,B,B010,3322
2023-03-09,D,D003,4551
2023-03-09,B,B002,5727
2023-03-09,C,C007,1922
2023-03-10,D,D008,9333
2023-03-10,C,C006,9401
2023-03-10,C,C008,7857
2023-03-10,C,C008,5050
2023-03-10,B,B003,1974
2023-03-10,C,C007,4688
2023-03-10,C,C008,6703
2023-03-10,C,C005,9047
2023-03-10,D,D002,9652
2023-03-10,A,A008,6932
2023-03-10,D,D002,8971
2023-03-10,A,A008,8804
2023-03-11,A,A005,3429
2023-03-11,B,B010,6614
2023-03-11,C,C003,6263
2023-03-11,D,D001,4176
2023-03-11,C,C004,2480
2023-03-11,A,A002,4092
2023-03-11,D,D002,5922
2023-03-12,B,B004,8980
2023-03-12,B,B009,7554
2023-03-13,A,A008,5648
2023-03-13,B,B001,4683
2023-03-13,A,A002,8790
2023-03-13,A,A007,6442
2023-03-13,B,B001,9464
2023-03-13,B,B009,2626
2023-03-13,C,C003,9934
2023-03-13,C,C005,7963
2023-03-13,C,C005,7327
2023-03-14,C,C007,5311
2023-03-14,C,C006,7035
2023-03-14,A,A003,4395
2023-03-14,D,D007,1489
2023-03-14,A,A005,4430
2023-03-14,C,C005,3102
2023-03-14,B,B005,1329
2023-03-14,C,C004,3218
2023-03-15,B,B005,9168
2023-03-15,C,C004,6340
2023-03-15,B,B002,1979
2023-03-15,C,C005,5292
2023-03-15,D,D009,3373
2023-03-16,C,C009,8848
2023-03-16,A,A006,7596
2023-03-16,A,A004,2403
2023-03-16,B,B009,7999
2023-03-16,A,A009,2146
2023-03-16,C,C008,4598
2023-03-16,C,C007,6499
2023-03-16,D,D001,1233
2023-03-16,A,A002,7906
2023-03-17,A,A008,3829
2023-03-17,D,D009,3419
2023-03-17,C,C004,6228
2023-03-17,A,A010,3399
2023-03-17,D,D009,8244
2023-03-17,D,D001,2374
2023-03-17,A,A007,9427
2023-03-17,C,C005,2075
2023-03-17,B,B009,4088
2023-03-17,D,D008,3775
2023-03-18,A,A004,9606
2023-03-18,C,C004,9724
2023-03-18,B,B007,8548
2023-03-18,B,B009,8188
2023-03-18,D,D009,9524
2023-03-19,A,A001,3511
2023-03-19,D,D010,1865
2023-03-19,A,A009,9984
2023-03-19,C,C010,6396
2023-03-19,A,A010,4933
2023-03-19,B,B006,4878
2023-03-19,A,A008,2245
2023-03-19,A,A007,1958
2023-03-19,A,A003,2312
2023-03-20,B,B008,7283
2023-03-20,A,A002,2291
2023-03-20,A,A010,7742
2023-03-20,D,D005,6828
2023-03-20,D,D006,8938
2023-03-20,B,B007,1096
2023-03-21,C,C007,3934
2023-03-21,D,D002,1569
2023-03-21,D,D009,6944
2023-03-21,D,D006,5637
2023-03-21,A,A009,5183
2023-03-22,B,B010,8644
2023-03-22,D,D008,1066
2023-03-22,C,C002,4253
2023-03-22,D,D006,4095
2023-03-22,D,D010,7849
2023-03-22,B,B002,4574
2023-03-22,D,D003,4644
2023-03-22,B,B001,5700
2023-03-23,B,B004,4985
2023-03-23,C,C007,9125
2023-03-23,B,B010,4951
2023-03-23,C,C010,1897
2023-03-23,B,B003,8863
2023-03-23,C,C005,4705
2023-03-23,C,C009,5549
2023-03-23,C,C003,5242
2023-03-23,A,A002,4756
2023-03-23,D,D005,6134
2023-03-24,D,D001,6935
2023-03-24,D,D007,4416
2023-03-24,B,B004,5811
2023-03-25,A,A007,6150
2023-03-25,C,C010,1689
2023-03-25,B,B005,1065
2023-03-25,A,A002,8358
2023-03-25,C,C008,2525
2023-03-25,C,C001,1028
2023-03-25,B,B007,1430
2023-03-25,D,D005,2388
2023-03-25,B,B002,2100
2023-03-25,C,C006,1613
2023-03-25,C,C005,7553
2023-03-25,A,A008,9634
2023-03-26,C,C007,7697
2023-03-26,A,A010,1011
2023-03-26,D,D004,5108
2023-03-26,D,D006,1901
2023-03-26,A,A005,1107
2023-03-27,A,A004,5890
2023-03-27,B,B001,7929
2023-03-27,A,A002,9437
2023-03-27,C,C007,1110
2023-03-27,A,A003,6273
2023-03-27,D,D009,9183
2023-03-27,B,B003,8095
2023-03-27,B,B006,4849
2023-03-27,B,B007,4389
2023-03-27,C,C003,2509
2023-03-27,C,C009,9471
2023-03-27,C,C009,9457
2023-03-27,A,A005,3538
2023-03-28,B,B009,7644
2023-03-28,C,C005,2501
2023-03-28,B,B006,8436
2023-03-28,B,B009,9633
2023-03-28,A,A008,6794
2023-03-28,C,C004,1661
2023-03-28,D,D007,9328
2023-03-29,C,C010,5102
2023-03-29,B,B004,7157
2023-03-29,A,A004,3418
2023-03-29,B,B009,8012
2023-03-30,B,B002,3837
2023-03-30,B,B004,7222
2023-03-30,D,D001,4891
2023-03-30,C,C004,5701
2023-03-30,A,A010,1537
2023-03-30,B,B005,5241
2023-03-30,A,A010,5945
2023-03-30,A,A002,6279
2023-03-30,B,B001,2179
2023-03-31,C,C010,5810
2023-03-31,D,D009,3210
2023-03-31,D,D010,9051
2023-03-31,A,A002,2019
2023-03-31,B,B008,8444
2023-03-31,C,C001,5879
2023-03-31,D,D004,5784
2023-03-31,A,A010,8636
2023-03-31,B,B005,2780
2023-03-31,B,B001,1598
2023-03-31,A,A003,6920
2023-03-31,C,C007,2912
2023-04-01,D,D001,6463
2023-04-02,C,C004,8972
2023-04-02,A,A007,1386
2023-04-02,C,C007,8595
2023-04-02,A,A004,6565
2023-04-02,C,C007,7476
2023-04-02,A,A008,2184
2023-04-02,B,B001,2176
2023-04-02,A,A001,9298
2023-04-02,D,D008,2409
2023-04-02,C,C008,6695
2023-04-02,D,D008,8764
2023-04-02,C,C005,6674
2023-04-03,D,D010,8041
2023-04-03,D,D001,4133
2023-04-03,C,C005,3739
2023-04-03,C,C008,3083
2023-04-03,D,D001,8743
2023-04-03,A,A007,8126
2023-04-04,B,B005,4928
2023-04-04,B,B006,4175
2023-04-04,D,D006,3625
2023-04-05,A,A002,6799
2023-04-05,A,A006,5218
2023-04-05,C,C006,4849
2023-04-05,D,D005,3939
2023-04-05,D,D002,6316
2023-04-05,A,A009,4262
2023-04-05,C,C002,1686
2023-04-05,D,D004,4033
2023-04-05,C,C007,7564
2023-04-05,D,D006,1669
2023-04-06,C,C005,4515
2023-04-06,C,C010,4237
2023-04-06,C,C004,1419
2023-04-06,A,A002,2763
2023-04-06,A,A004,6153
2023-04-06,A,A008,7571
2023-04-06,C,C006,6969
2023-04-06,A,A007,6392
2023-04-06,D,D007,1243
2023-04-07,C,C001,3400
2023-04-07,D,D008,5144
2023-04-07,A,A002,9737
2023-04-07,B,B003,3722
2023-04-07,C,C009,8460
2023-04-07,C,C007,7802
2023-04-07,A,A005,1625
2023-04-08,C,C010,2884
2023-04-08,D,D001,4988
2023-04-08,B,B009,5287
2023-04-08,A,A002,1760
2023-04-08,C,C003,8391
2023-04-08,A,A007,3504
2023-04-08,B,B010,5381
2023-04-08,D,D002,4006
2023-04-08,D,D004,5239
2023-04-08,B,B001,4499
2023-04-08,B,B010,7581
2023-04-08,A,A002,2816
2023-04-09,D,D010,1948
2023-04-09,B,B006,1723
2023-04-09,A,A001,6914
2023-04-09,D,D006,3568
2023-04-09,B,B004,4949
2023-04-09,D,D007,4845
2023-04-09,A,A005,2658
2023-04-09,A,A010,3355
2023-04-09,C,C010,5542
2023-04-09,B,B010,8396
2023-04-09,B,B003,1421
2023-04-09,D,D009,1325
2023-04-09,A,A002,1737
2023-04-10,B,B001,7475
2023-04-10,D,D006,6062
2023-04-10,D,D006,1581
2023-04-10,B,B004,9751
2023-04-10,D,D007,9500
2023-04-10,B,B006,3722
2023-04-10,A,A006,3738
2023-04-11,A,A005,4285
2023-04-11,C,C009,5183
2023-04-11,D,D005,5971
2023-04-11,C,C004,1818
2023-04-11,D,D005,6976
2023-04-11,C,C002,2660
2023-04-11,A,A008,6959
2023-04-11,D,D009,7680
2023-04-11,B,B005,7333
2023-04-11,D,D006,8593
2023-04-11,D,D010,2244
2023-04-11,A,A006,2193
2023-04-11,C,C003,3362
2023-04-11,B,B002,3873
2023-04-12,D,D009,2116
2023-04-12,A,A002,3142
2023-04-12,A,A009,9015
2023-04-12,D,D009,1594
2023-04-12,C,C008,9494
2023-04-12,A,A003,7200
2023-04-12,C,C006,4751
2023-04-13,C,C005,1080
2023-04-13,C,C010,1768
2023-04-13,B,B003,1270
2023-04-13,C,C009,4457
2023-04-13,C,C001,1783
2023-04-13,B,B002,6599
2023-04-13,C,C010,1012
2023-04-14,C,C003,7449
2023-04-14,D,D001,2975
2023-04-14,B,B007,1588
2023-04-14,C,C004,5408
2023-04-14,A,A003,6534
2023-04-14,D,D001,1874
2023-04-14,B,B009,6985
2023-04-14,B,B005,4293
2023-04-14,A,A010,4414
2023-04-14,A,A005,5784
2023-04-14,C,C009,5083
2023-04-15,C,C001,5150
2023-04-15,B,B005,4659
2023-04-15,A,A005,1246
2023-04-15,D,D002,1784
2023-04-15,D,D006,8705
2023-04-15,B,B010,3870
2023-04-16,D,D001,7732
2023-04-16,B,B007,1358
2023-04-16,D,D007,6789
2023-04-16,D,D009,7895
2023-04-16,D,D005,5656
2023-04-16,A,A001,8874
2023-04-16,D,D008,1770
2023-04-16,B,B009,9480
2023-04-16,B,B004,2425
2023-04-17,B,B007,9846
2023-04-17,C,C001,8579
2023-04-17,D,D004,9184
2023-04-17,D,D008,8234
2023-04-17,B,B007,9741
2023-04-17,D,D002,9209
2023-04-17,C,C005,4275
2023-04-17,B,B006,9077
2023-04-18,A,A002,7123
2023-04-18,B,B008,3015
2023-04-18,A,A009,2461
2023-04-18,C,C003,5529
2023-04-18,B,B001,4641
2023-04-18,C,C001,3022
2023-04-18,A,A007,7982
2023-04-18,C,C002,7172
2023-04-18,B,B007,3649
2023-04-19,D,D007,4696
2023-04-19,C,C009,4659
2023-04-19,C,C010,7386
2023-04-19,A,A007,4675
2023-04-19,C,C003,7620
2023-04-19,B,B007,4118
2023-04-20,B,B009,6302
2023-04-20,A,A005,7852
2023-04-20,A,A010,2031
2023-04-21,D,D005,6190
2023-04-21,B,B004,8522
2023-04-21,D,D007,1039
2023-04-21,D,D009,2734
2023-04-21,B,B007,2098
2023-04-21,D,D003,8581
2023-04-21,B,B008,6902
2023-04-21,B,B007,1256
2023-04-21,C,C001,4807
2023-04-21,B,B004,1227
2023-04-21,C,C007,9911
2023-04-21,B,B009,5310
2023-04-21,C,C009,1583
2023-04-22,D,D004,6594
2023-04-22,A,A009,5392
2023-04-22,B,B007,8494
2023-04-22,A,A005,3196
2023-04-22,A,A008,1148
2023-04-22,A,A006,1792
2023-04-22,D,D004,1145
2023-04-22,D,D006,1224
2023-04-23,D,D003,8844
2023-04-23,C,C005,8450
2023-04-23,C,C010,1378
2023-04-23,C,C009,9014
2023-04-23,B,B010,2207
2023-04-23,A,A008,3335
2023-04-23,A,A010,3756
2023-04-23,A,A002,2658
2023-04-23,B,B007,3321
2023-04-23,D,D003,9949
2023-04-23,A,A002,2070
2023-04-23,D,D006,8741
2023-04-23,B,B001,5262
2023-04-23,C,C002,7050
2023-04-23,A,A007,8864
2023-04-24,A,A004,3415
2023-04-24,B,B009,6105
2023-04-24,D,D008,7107
2023-04-24,C,C009,9123
2023-04-24,A,A003,7528
2023-04-24,C,C009,7078
2023-04-24,B,B001,3686
