age,category,num1,num2,num3,num4,target
34,B,60.021,71.17,25.293,202.374,72.037
53,C,55.172,89.522,19.552,111.013,45.675
67,B,52.299,128.94,36.584,261.863,88.927
57,B,64.799,126.568,28.868,155.257,63.866
21,B,52.984,109.114,30.248,145.238,75.346
19,B,43.651,113.262,34.984,201.469,53.971
23,C,52.917,141.216,39.394,179.778,45.277
59,B,48.168,111.425,33.6,212.617,95.314
21,B,55.033,112.884,30.515,226.075,70.405
46,C,58.131,68.708,32.314,189.136,90.325
35,A,41.409,77.747,28.526,141.928,55.476
43,C,61.953,99.346,30.181,236.525,94.0
61,A,47.451,83.851,30.724,165.33,77.524
51,C,54.436,80.041,26.067,156.546,52.494
27,C,56.17,82.351,30.106,207.133,53.835
53,B,53.674,71.529,31.836,103.567,59.684
31,A,48.909,84.172,32.585,219.544,56.464
48,B,45.114,106.789,32.187,209.788,65.732
65,A,47.31,135.926,23.305,256.091,55.307
32,C,65.652,115.94,36.146,174.98,36.874
25,C,41.341,112.723,35.731,266.242,66.251
31,A,42.808,67.529,29.519,226.482,76.215
40,B,42.369,102.386,32.278,198.661,71.479
57,B,51.358,98.661,28.917,290.835,73.914
38,B,34.753,105.815,33.76,204.761,81.565
33,B,36.464,92.786,25.929,174.082,55.944
62,C,47.39,133.242,36.712,206.192,54.304
35,C,37.122,101.056,33.511,173.052,52.29
64,C,37.937,103.004,33.627,218.682,65.09
41,C,37.197,60.751,29.475,266.034,40.904
43,C,41.534,97.866,22.937,199.6,49.094
42,B,57.312,122.985,34.42,204.507,75.851
62,B,59.557,111.112,23.102,239.892,74.84
58,B,69.19,56.888,34.48,259.362,90.923
46,B,68.824,91.006,26.139,177.368,65.739
32,C,57.863,134.638,22.065,208.617,52.258
62,C,60.277,96.987,30.005,240.113,81.972
18,C,51.311,106.448,35.914,216.498,52.667
42,A,55.199,132.38,25.172,106.896,53.374
24,B,69.436,96.908,37.995,249.136,83.267
26,B,53.712,115.821,33.284,226.144,62.201
41,C,61.532,108.228,30.784,229.697,68.162
18,B,40.656,112.503,27.822,140.392,38.033
61,B,43.338,107.584,28.171,207.619,90.688
25,C,53.121,89.047,32.151,242.167,48.813
41,A,51.499,91.044,34.23,155.971,70.66
28,A,43.801,82.908,27.033,168.973,58.744
68,A,74.074,67.206,25.967,243.024,94.687
34,C,51.726,124.891,28.931,166.645,62.728
25,B,45.573,100.202,36.968,189.575,41.916
52,C,51.516,123.883,23.916,148.269,51.658
52,C,50.254,131.307,35.712,290.997,66.401
50,B,51.878,101.068,30.211,226.031,83.337
22,A,34.063,73.73,21.736,187.23,50.544
59,A,62.919,96.076,27.692,177.881,74.136
56,C,63.488,86.577,33.048,138.582,56.452
58,A,64.703,60.397,39.009,194.495,86.598
45,C,53.254,89.965,23.363,233.253,92.465
24,C,56.625,98.569,15.904,159.509,47.404
26,B,41.338,87.134,23.452,205.277,70.858
25,B,58.329,84.569,35.652,181.631,72.916
29,B,52.518,74.449,21.031,269.006,65.239
51,C,45.396,103.918,37.486,168.165,68.784
50,B,58.647,137.385,36.074,238.858,60.554
65,A,59.034,125.572,30.955,269.701,74.13
40,A,50.606,113.073,26.868,181.143,55.752
41,C,54.384,113.508,30.276,170.571,64.518
54,C,39.683,97.347,33.055,246.135,68.767
52,B,62.432,63.91,32.292,110.939,76.233
61,C,41.012,92.611,38.698,221.53,74.085
57,C,42.946,80.614,28.699,121.234,51.501
39,A,50.623,103.094,23.496,261.121,77.002
44,A,61.145,124.664,22.614,187.395,63.032
52,B,61.139,139.468,21.614,195.461,82.477
18,C,49.952,101.292,30.981,163.788,45.503
52,C,57.73,66.657,28.828,120.865,75.537
54,A,33.109,101.254,30.163,263.293,68.868
64,C,42.807,101.797,27.315,191.447,51.268
31,A,43.01,113.577,24.449,360.438,94.709
20,B,62.522,99.616,33.072,159.491,82.841
18,A,56.547,101.33,17.685,167.665,51.665
22,C,51.847,87.359,25.992,155.138,56.019
43,B,52.817,93.762,33.932,191.192,66.001
31,A,65.683,110.265,25.496,278.761,62.893
56,A,48.298,59.83,31.958,250.507,95.741
44,B,36.859,93.654,25.999,124.772,56.223
26,B,60.872,113.758,27.721,260.206,72.123
32,A,51.818,132.815,32.875,234.14,60.781
32,C,59.537,92.033,23.611,224.069,60.778
43,A,49.552,123.707,33.726,165.788,58.952
59,B,41.613,133.8,30.23,169.504,42.559
30,A,54.028,92.292,36.282,206.853,86.425
68,B,50.102,88.836,31.041,172.342,78.645
49,B,51.849,96.359,24.653,265.632,95.954
56,C,66.166,98.361,38.64,170.202,57.521
66,B,39.013,121.816,25.07,102.662,37.604
69,B,52.859,84.525,28.864,134.927,74.054
49,C,41.81,130.761,34.787,138.102,57.868
21,B,24.095,83.985,20.6,186.833,34.517
47,C,49.51,74.712,37.198,210.803,59.167
54,C,50.31,110.476,24.246,202.69,59.645
40,B,56.235,124.611,27.725,223.045,66.551
56,B,47.825,103.573,31.444,187.386,79.333
62,A,35.11,108.702,29.791,189.155,59.214
32,C,41.776,139.086,33.946,287.593,59.438
60,A,63.17,124.893,21.996,260.268,86.891
46,B,41.634,100.619,33.637,220.415,61.269
53,A,65.832,91.377,34.036,245.834,99.201
30,C,60.5,121.901,35.146,103.689,33.314
49,A,46.822,116.586,22.052,158.873,59.416
24,C,42.709,108.372,22.655,178.39,54.036
68,B,60.479,93.46,28.288,159.462,75.284
39,B,47.591,98.472,23.196,122.713,63.075
45,C,34.543,97.05,20.98,221.027,42.378
19,B,55.623,93.793,28.073,269.287,79.994
59,B,54.173,87.977,31.17,199.36,59.478
62,B,61.377,105.304,43.995,232.409,98.286
23,B,53.496,87.074,32.743,197.873,76.169
45,C,44.509,103.548,38.761,177.918,74.292
45,A,62.697,58.003,29.779,245.96,95.92
61,A,63.67,88.003,32.798,128.59,75.019
61,B,52.332,121.967,29.269,106.83,66.852
37,A,50.603,81.991,43.416,127.885,58.063
47,A,36.767,111.842,26.572,242.679,77.082
28,B,43.925,83.654,27.25,204.361,72.779
45,B,57.608,115.516,33.983,218.827,59.661
42,A,44.427,94.058,31.037,283.846,76.676
56,C,35.432,93.267,27.879,141.833,52.572
50,B,84.959,101.087,34.802,260.209,93.385
18,C,35.366,73.131,29.794,180.184,48.279
44,A,72.568,119.442,29.759,172.582,62.916
69,B,46.926,126.069,31.153,204.061,60.232
30,C,49.154,92.799,21.329,211.887,44.136
58,B,43.277,110.484,22.034,189.473,65.232
20,A,57.828,115.578,35.434,230.516,77.481
56,C,35.602,98.175,26.615,204.262,54.383
23,A,31.597,77.835,29.335,190.033,63.984
25,A,66.102,131.882,38.062,179.186,74.03
44,B,41.96,92.15,29.561,211.917,60.237
26,C,57.461,87.817,28.95,132.167,58.754
54,A,39.145,132.776,34.48,146.277,63.117
50,A,57.084,112.201,27.009,181.627,83.29
68,C,66.835,105.149,36.015,227.244,85.431
59,A,44.729,80.585,34.378,307.143,74.817
61,A,30.666,116.056,39.152,192.034,60.405
41,C,66.888,157.93,26.548,111.288,25.0
32,C,59.262,117.61,36.835,160.488,63.331
49,C,45.264,109.922,32.77,232.945,78.398
49,C,47.82,114.422,23.373,151.486,22.662
41,B,38.893,93.438,17.019,134.713,67.108
58,C,64.203,93.247,26.01,232.683,76.9
69,B,44.653,92.991,31.462,223.244,71.156
66,B,35.813,88.501,32.187,126.373,70.96
66,B,52.136,92.951,29.705,155.25,66.123
69,A,41.4,92.858,29.749,262.234,82.255
29,B,39.7,95.106,29.37,242.642,67.923
56,B,45.699,94.546,35.156,140.131,76.172
19,A,50.864,104.86,22.819,100.556,34.281
20,A,36.189,101.576,31.341,213.426,47.462
66,A,63.851,103.347,25.886,185.197,80.303
54,C,56.772,130.446,25.467,209.087,51.752
66,A,46.346,101.535,35.881,231.733,81.035
34,A,40.967,144.218,25.084,152.187,46.655
66,B,49.108,107.054,29.302,178.393,72.001
19,A,58.994,91.055,39.792,155.047,80.876
19,C,57.446,126.992,34.19,156.838,47.205
45,A,60.585,98.409,27.725,228.238,71.959
40,C,45.196,52.126,28.138,207.203,58.087
54,A,20.751,99.92,23.864,121.853,53.268
49,A,62.478,95.016,36.503,236.255,77.692
50,A,48.328,132.131,35.057,182.496,76.578
18,A,56.662,82.049,33.433,238.558,74.554
36,C,66.692,93.347,33.984,149.263,91.411
19,C,74.344,125.353,26.127,153.716,44.47
61,B,43.502,107.888,22.26,212.586,80.292
43,C,51.34,96.571,32.803,145.177,62.118
49,A,63.668,84.87,34.443,186.256,75.602
23,B,41.557,107.035,38.035,139.496,65.886
49,B,44.179,99.414,28.996,180.432,72.896
21,B,44.12,84.643,28.266,198.407,60.565
28,A,49.719,85.683,28.804,200.763,68.525
34,C,47.799,83.711,33.354,181.763,70.851
55,A,44.062,80.149,28.59,216.668,77.153
41,B,40.342,118.681,29.739,207.39,59.073
22,A,58.119,115.988,34.155,195.532,59.584
69,A,63.378,118.713,26.871,168.707,71.14
51,C,64.827,100.09,36.956,253.412,90.726
23,C,45.189,95.147,33.165,219.314,48.391
39,B,58.537,95.512,20.712,148.195,67.176
28,A,52.363,120.422,27.423,232.444,45.056
65,A,44.293,63.597,19.878,243.775,80.153
33,C,57.342,89.71,29.017,195.922,67.952
50,A,43.834,82.253,27.508,199.246,87.674
26,A,46.238,127.198,34.174,97.056,56.778
23,A,36.233,90.451,25.595,157.828,44.173
33,C,45.358,67.28,31.939,242.185,50.546
46,B,52.539,104.468,32.844,160.869,76.68
20,B,65.689,92.598,31.286,192.008,71.282
37,A,46.465,88.861,35.701,157.069,69.169
53,B,39.618,86.799,40.341,211.541,74.575
36,C,64.974,86.01,30.56,219.687,67.769
43,C,44.954,114.171,32.026,221.024,40.266
20,B,32.516,104.476,25.599,143.032,35.683
36,B,51.331,96.041,24.902,205.335,55.84
37,A,46.752,78.035,35.169,278.828,88.615
49,B,73.004,96.622,34.508,237.424,84.953
24,A,54.754,105.213,24.852,204.667,72.662
69,A,48.537,105.973,23.459,103.451,49.711
58,C,40.755,103.218,26.756,187.532,75.252
50,C,53.302,81.548,29.293,282.318,54.519
57,C,64.567,51.936,27.954,265.93,89.196
56,C,53.118,135.992,30.803,223.071,60.496
35,B,41.526,73.807,34.585,164.033,58.459
57,C,55.388,60.701,32.311,202.614,70.254
18,B,49.514,102.61,32.681,238.674,67.034
28,C,54.486,65.83,17.742,247.027,60.872
45,B,46.452,83.904,21.93,215.631,59.688
42,A,46.217,110.977,26.018,242.752,67.856
67,B,45.822,135.454,26.843,197.065,68.299
40,B,59.422,107.75,34.199,194.855,84.798
48,C,46.318,91.217,25.605,177.054,45.882
47,B,45.403,98.972,33.335,221.227,71.704
59,A,40.579,63.828,26.074,250.017,90.506
52,A,54.54,90.985,23.996,235.422,63.351
24,C,53.117,91.004,24.228,139.098,31.925
33,A,45.512,103.067,41.291,141.776,57.944
43,B,42.906,138.844,25.963,255.182,45.114
65,A,68.762,61.264,33.455,208.829,111.004
69,C,31.196,91.846,22.209,210.782,50.946
66,B,54.932,63.33,37.095,209.656,92.51
19,C,62.914,89.933,31.745,287.582,77.75
18,B,16.132,82.708,31.37,177.686,42.533
65,A,57.941,70.113,32.069,255.832,88.527
29,C,47.797,118.262,32.62,211.68,45.691
22,C,52.561,105.113,34.045,119.974,30.541
54,B,46.768,115.917,27.005,158.757,64.387
49,C,60.754,89.367,26.712,169.648,72.795
26,B,53.631,98.586,30.246,254.655,75.354
58,B,51.317,131.893,33.422,261.365,88.752
52,B,41.011,99.946,29.667,217.693,60.661
36,B,68.823,116.159,33.87,173.861,68.921
65,A,50.099,87.651,33.089,154.451,60.993
33,B,72.898,114.32,28.915,256.879,85.971
20,C,69.276,89.022,21.264,135.772,47.246
37,A,32.216,62.072,27.482,194.805,57.71
41,C,43.451,99.848,38.714,318.224,80.539
50,A,39.63,90.594,31.7,174.011,59.728
41,B,49.518,67.504,26.802,136.415,79.438
69,A,51.872,103.83,31.253,111.727,69.402
28,A,52.299,82.129,33.383,320.2,78.189
66,C,60.541,161.853,26.805,217.431,42.371
25,C,64.936,70.711,36.177,156.546,74.055
53,B,59.675,75.742,32.478,190.543,88.456
55,A,44.391,117.391,24.5,166.852,59.813
57,A,42.18,97.34,34.282,106.822,65.459
37,A,50.028,116.984,27.952,239.406,58.728
52,B,54.261,107.608,29.104,201.691,73.148
65,B,48.168,88.354,24.92,235.249,74.789
42,B,36.545,72.418,33.157,200.328,85.448
52,B,56.821,121.422,29.256,206.562,71.036
42,B,46.077,74.231,33.369,88.259,60.121
46,C,45.775,111.178,27.245,245.392,70.975
35,A,49.454,118.38,26.673,145.585,64.547
63,A,47.601,97.462,26.268,158.396,67.426
35,A,46.335,93.917,31.98,173.606,61.53
19,A,37.199,80.325,26.598,97.066,40.424
52,A,48.878,109.255,28.984,170.872,63.023
33,A,57.03,39.081,27.408,167.391,65.517
58,A,52.646,114.315,32.2,181.108,74.565
53,A,59.481,102.39,21.323,114.941,75.241
50,C,42.715,95.544,31.235,246.385,69.501
21,A,37.219,104.846,38.657,219.903,50.824
50,C,47.542,72.529,36.18,156.798,70.44
31,B,43.858,51.74,26.917,170.923,71.452
38,A,44.897,109.372,32.473,241.907,71.606
65,B,52.117,126.331,31.503,187.126,66.012
37,B,44.969,65.212,37.347,137.973,74.251
25,B,37.499,78.95,17.449,195.82,62.832
24,C,44.41,115.046,35.564,145.608,35.708
20,B,53.401,107.178,28.662,164.606,56.164
34,B,56.715,159.262,26.284,197.469,54.6
50,B,56.614,121.513,26.141,252.761,85.177
65,A,54.245,116.708,23.5,301.166,88.673
29,A,48.319,84.724,26.929,268.131,50.12
68,C,54.049,110.496,24.601,196.407,71.622
39,C,49.577,129.908,30.901,312.867,75.304
39,A,51.131,96.712,32.95,227.913,83.221
63,C,40.607,97.656,28.717,151.016,49.451
47,A,50.439,102.827,37.499,204.727,71.928
55,B,53.787,86.71,27.258,167.154,58.899
55,B,53.411,105.379,28.456,137.605,47.705
62,C,37.125,104.879,27.635,141.289,45.808
68,A,50.963,129.6,32.993,192.638,71.384
25,A,35.561,96.212,33.498,237.71,63.375
44,C,51.737,113.495,32.477,253.41,72.903
44,A,42.987,96.809,29.379,137.764,88.223
51,B,67.056,112.795,23.297,184.837,69.43
38,C,51.192,94.999,28.403,224.33,49.596
47,C,58.012,111.469,37.391,207.593,73.945
50,A,71.109,114.565,35.066,234.727,86.39
45,C,41.826,78.667,31.47,178.265,52.937
64,A,54.357,122.048,28.078,263.646,84.904
50,A,38.141,96.67,29.932,199.788,55.541
22,A,53.449,90.604,28.1,237.886,65.187
65,A,67.657,85.8,35.965,180.961,87.328
36,A,43.721,105.964,25.805,202.92,47.927
21,C,41.14,99.908,34.618,120.199,26.506
52,B,49.088,107.416,27.354,158.162,68.55
66,B,70.458,107.804,36.605,189.627,105.402
34,C,57.71,112.172,32.134,205.003,69.437
61,C,40.951,155.526,26.253,334.06,69.357
45,B,64.551,100.794,28.453,180.905,68.48
47,B,33.449,85.309,33.558,131.168,65.867
46,B,71.366,59.604,27.504,285.124,83.836
63,B,58.565,76.094,30.111,253.942,94.135
23,B,67.636,124.707,27.435,142.174,75.83
52,A,33.522,114.398,38.796,223.263,82.042
58,C,51.694,73.0,39.655,241.76,101.852
54,A,48.661,149.284,37.316,208.191,76.237
41,B,39.93,106.535,29.378,216.291,70.847
46,B,37.04,109.206,27.986,168.387,68.454
66,B,55.071,144.885,26.104,225.189,78.567
63,A,55.977,134.789,37.679,175.432,64.544
48,A,63.0,115.623,34.654,67.73,47.118
52,B,44.966,116.584,34.894,209.813,82.49
50,A,48.584,118.456,28.75,116.203,76.155
69,A,36.175,95.181,21.211,250.675,76.027
38,B,65.408,105.736,22.36,143.459,46.304
49,A,50.695,111.486,30.288,77.35,49.523
40,C,57.226,97.464,27.387,111.535,49.216
50,C,57.579,80.692,26.811,197.926,47.333
20,C,64.591,94.677,31.726,209.325,48.904
35,C,41.686,80.241,35.068,129.368,52.915
42,B,56.976,101.287,26.494,146.381,69.28
59,B,49.75,64.391,23.472,199.597,68.574
48,B,71.057,106.821,26.613,248.611,70.486
20,C,41.656,67.375,24.78,139.496,56.06
57,C,61.714,91.931,32.964,218.959,71.013
63,A,53.503,110.082,29.979,113.065,61.531
41,A,52.979,115.823,39.402,215.794,68.259
67,C,50.54,113.447,33.673,237.79,62.687
49,C,63.467,106.395,39.069,226.21,89.059
64,C,52.639,77.615,22.981,249.72,61.555
39,C,34.756,119.612,13.736,246.387,39.58
40,A,62.195,78.072,31.215,292.347,86.777
19,C,60.362,121.892,30.616,205.431,34.057
44,A,55.871,112.554,29.386,292.495,78.793
59,C,38.715,127.178,30.479,152.795,32.845
19,C,40.269,100.497,24.38,189.733,47.567
43,C,31.226,83.625,32.816,194.25,42.601
34,A,54.603,74.147,33.681,147.861,74.623
57,A,36.505,76.368,24.001,81.967,48.181
50,B,32.812,67.265,28.232,243.465,68.142
26,C,62.75,118.84,28.541,153.503,52.695
60,B,57.682,121.348,26.646,179.959,57.165
65,B,46.668,111.074,24.194,279.229,77.206
56,A,48.66,99.339,30.063,228.604,80.995
46,A,25.927,141.219,31.304,287.011,67.69
59,B,59.167,98.037,26.949,206.027,75.212
43,C,43.073,104.418,24.546,227.775,49.8
52,A,53.303,99.043,32.053,187.966,56.963
67,C,25.114,93.234,26.163,157.565,40.191
42,C,59.776,112.619,28.454,227.59,46.885
41,B,42.472,87.33,27.82,178.205,70.547
30,B,36.24,85.988,36.229,232.226,80.549
24,B,46.604,113.629,26.393,171.477,51.496
53,B,44.036,90.048,38.628,191.231,69.351
62,A,60.743,102.67,33.762,195.236,83.052
37,A,45.796,93.173,39.104,253.848,68.352
18,B,63.626,99.769,33.323,178.783,78.515
25,A,53.301,86.534,28.895,259.35,90.249
63,B,58.944,87.188,25.413,154.757,67.896
33,C,49.978,83.605,28.223,213.493,51.679
31,C,62.721,116.867,37.436,165.62,46.202
29,C,38.464,103.438,29.76,255.787,55.092
68,B,51.136,118.371,33.305,159.067,75.626
40,C,46.036,120.508,31.035,164.163,46.455
32,A,63.966,90.802,31.248,137.185,67.301
45,C,64.99,117.632,31.441,205.152,54.7
51,C,50.004,99.718,32.477,229.552,49.663
19,C,37.085,96.827,25.929,224.156,37.446
49,A,54.271,125.047,28.625,192.788,44.85
40,B,33.354,111.075,31.547,166.973,49.551
39,A,66.261,92.952,30.817,186.066,77.598
68,B,45.268,109.776,27.694,187.974,72.628
42,B,49.694,74.686,32.083,212.631,61.702
39,C,43.19,104.946,26.144,209.193,61.634
39,B,40.982,70.008,23.885,286.986,74.05
66,A,57.373,80.312,31.475,201.982,69.809
69,A,48.414,111.693,24.008,218.04,64.935
59,B,50.425,46.595,31.401,203.573,83.241
23,C,39.961,136.05,20.227,183.663,22.541
32,C,58.561,116.69,26.375,217.704,63.539
60,A,59.578,63.229,28.362,178.967,69.666
54,C,47.911,147.97,21.967,197.089,46.69
50,B,62.679,153.482,28.137,257.963,60.536
25,B,48.959,96.39,35.925,175.732,68.646
61,A,57.798,81.47,23.648,219.367,79.414
61,B,33.771,133.726,28.273,75.933,51.325
22,A,53.534,93.124,38.513,190.733,70.434
56,B,47.285,103.221,24.691,175.394,64.7
21,A,51.555,124.346,36.986,206.013,51.758
23,C,51.107,96.93,28.605,188.188,41.245
62,B,51.257,95.179,30.51,207.076,83.296
49,B,56.157,74.552,36.457,181.067,72.527
69,A,44.348,87.389,27.575,219.317,59.481
47,A,55.691,94.785,33.155,114.268,80.237
64,B,62.325,75.229,34.423,205.571,90.815
52,A,35.899,77.041,26.746,153.146,66.203
57,B,42.195,100.672,26.193,258.393,83.591
69,C,42.615,63.006,28.857,152.339,65.237
33,A,39.08,82.417,29.013,249.761,62.375
30,B,45.253,138.892,24.605,199.423,49.877
67,C,60.331,93.091,26.792,108.562,77.018
59,C,64.476,90.586,12.665,156.187,48.984
47,B,51.062,93.001,28.329,242.39,79.697
36,A,46.758,93.317,34.472,239.55,78.821
34,B,58.029,111.497,21.667,135.032,60.259
36,C,26.36,110.097,27.684,278.143,59.766
45,B,39.448,92.185,42.212,198.772,74.567
43,A,26.784,95.723,29.887,244.242,67.215
54,C,39.343,126.255,36.784,139.408,33.042
43,B,42.33,69.794,24.94,177.203,81.248
40,A,64.777,98.848,32.244,220.795,88.725
26,C,22.389,102.705,24.089,184.342,30.115
29,A,45.833,84.466,32.005,53.96,55.112
18,C,56.196,97.697,34.211,190.461,66.284
18,B,54.107,81.766,33.025,101.765,52.319
64,A,64.617,112.743,28.275,146.465,69.782
51,C,51.611,73.236,31.375,129.857,48.486
49,A,53.743,121.247,31.422,256.628,84.507
65,A,31.615,98.534,33.33,272.318,82.724
42,B,40.117,91.039,29.381,217.078,66.854
57,A,32.173,79.906,34.656,188.497,64.81
62,C,55.726,120.613,37.173,201.417,67.731
18,C,53.487,86.963,28.411,256.593,51.166
33,C,53.135,76.655,30.232,100.829,50.665
56,C,41.186,121.029,25.476,146.245,34.815
22,B,40.271,81.914,31.701,250.202,79.717
39,A,52.094,98.11,31.733,260.614,85.942
46,B,43.306,116.376,30.29,229.486,78.81
20,A,39.796,103.159,30.667,147.751,37.633
29,A,44.916,134.617,39.609,249.477,63.785
43,A,43.393,83.301,15.566,268.072,68.044
33,B,41.333,95.79,27.517,235.913,74.701
68,A,37.742,97.336,28.281,75.3,36.57
54,B,54.487,112.425,37.285,206.23,88.814
39,C,65.56,125.772,32.376,229.262,52.72
46,C,49.61,101.472,32.498,174.219,57.192
31,A,52.224,97.247,36.299,209.334,83.511
45,B,55.364,70.34,29.1,174.327,89.047
22,C,53.666,102.248,33.262,156.92,65.546
64,B,41.531,86.994,27.346,275.53,71.334
66,B,67.198,112.369,24.733,210.753,73.595
47,A,42.427,91.806,38.971,144.701,61.971
63,C,56.481,95.187,31.845,131.17,62.232
69,A,55.302,70.795,33.223,156.951,83.633
22,A,30.416,63.771,24.599,157.221,62.228
29,C,46.412,137.22,32.552,207.327,38.95
33,C,50.566,102.594,38.891,224.278,58.917
43,B,51.332,108.087,28.613,224.224,86.497
43,C,53.014,81.754,23.721,162.494,43.692
65,B,57.577,117.51,30.92,246.032,91.394
38,B,49.925,113.903,24.821,261.392,68.691
56,B,53.546,83.951,22.211,187.002,77.133
53,C,49.55,78.81,26.326,148.396,49.7
50,A,39.827,85.349,27.537,205.014,72.446
47,B,50.324,99.434,25.064,308.004,73.684
54,A,57.491,103.342,36.632,147.085,59.095
40,A,61.088,100.768,39.448,173.692,81.118
27,C,55.373,125.975,33.09,202.872,29.32
22,A,63.344,85.701,31.921,227.083,68.697
53,A,54.189,78.267,29.29,100.721,68.756
51,C,58.639,100.002,25.518,265.294,76.141
69,B,59.374,66.138,38.015,264.615,116.298
48,A,47.766,113.915,29.686,178.76,79.9
27,C,57.26,101.959,27.687,335.331,83.738
36,A,40.594,93.239,35.074,261.385,73.562
49,A,53.498,92.129,29.632,258.722,88.857
18,B,55.77,118.2,34.886,259.378,75.253
22,A,60.511,117.563,27.951,257.936,73.357
62,C,58.208,95.073,35.088,198.905,67.657
21,A,60.641,111.835,34.899,193.952,71.189
33,B,49.006,117.267,36.624,152.821,60.799
41,B,46.546,106.711,26.453,171.131,60.771
33,C,47.251,95.891,29.585,184.455,58.113
19,B,52.663,107.623,39.739,203.273,93.539
66,A,31.913,79.218,28.768,279.915,79.866
45,B,63.318,101.422,34.055,94.875,71.489
49,C,50.439,95.337,41.453,267.247,69.421
44,B,45.85,92.203,20.755,149.406,68.191
37,B,24.703,65.47,28.602,194.774,59.362
41,B,49.632,79.448,30.009,163.78,75.353
29,C,48.015,90.282,21.006,292.714,64.746
67,B,41.03,117.901,27.72,175.002,79.352
52,B,43.27,105.716,25.143,226.072,77.237
50,A,49.734,118.793,34.288,228.663,59.171
50,C,44.118,124.858,21.337,142.0,23.185
68,B,55.719,106.586,39.447,195.161,95.03
60,C,42.512,102.806,33.449,260.216,69.336
54,B,51.546,80.54,24.731,156.338,75.198
29,B,61.8,139.733,35.132,241.448,91.102
20,B,49.634,71.643,32.985,183.446,65.055
18,A,53.56,102.375,29.806,258.183,79.282
50,A,52.927,116.656,26.393,287.375,66.917
57,A,50.08,116.935,32.738,99.608,75.557
27,C,49.33,76.898,30.615,133.093,59.692
60,C,44.286,91.602,26.554,178.075,42.802
61,A,51.51,84.021,23.284,273.271,74.032
46,C,47.167,60.391,25.747,226.623,84.722
30,B,65.461,102.607,27.484,137.762,84.874
29,B,58.111,85.648,35.812,233.946,88.713
48,B,35.472,130.11,34.304,154.313,62.531
63,A,36.028,112.303,27.75,243.527,68.403
19,C,48.695,100.828,27.944,226.948,56.302
68,A,46.047,90.546,34.957,154.094,72.281
67,C,48.168,102.302,31.337,196.702,77.573
