,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
51,467879,Female,Yes,51,Yes,Artist,2.6852106227106227,High,4.0,Cat_6,A
52,462488,Male,No,33,Yes,Healthcare,0.0,Low,5.0,Cat_6,D
53,459162,Female,Yes,83,Yes,Lawyer,0.0,High,2.0,Cat_6,C
54,460443,Female,No,38,Yes,Doctor,0.0,Low,1.0,Cat_6,A
55,465591,Male,Yes,65,No,Artist,0.0,Average,2.0,Cat_4,A
56,466415,Male,Yes,71,No,Marketing,1.0,Low,1.0,Cat_6,D
57,466427,Female,Yes,25,No,Marketing,1.0,Low,4.0,Cat_4,D
58,464012,Female,Yes,75,Yes,Lawyer,3.0,High,2.0,Cat_6,A
59,464330,Male,No,38,Yes,Artist,2.6852106227106227,Low,2.0,Cat_6,A
60,462723,Female,Yes,46,No,Artist,8.0,Average,2.0,Cat_6,B
61,461977,Female,No,49,Yes,Artist,3.0,Low,1.0,Cat_6,C
62,461530,Male,Yes,42,Yes,Engineer,1.0,Low,2.0,Cat_6,A
63,459154,Male,Yes,88,Yes,Lawyer,0.0,High,2.0,Cat_6,A
64,462913,Female,No,25,Yes,Artist,4.0,Low,5.0,Cat_6,C
65,459210,Female,Yes,71,Yes,Artist,1.0,High,2.0,Cat_6,C
66,460598,Female,Yes,36,Yes,Doctor,0.0,Average,3.0,Cat_3,B
67,464128,Male,Yes,52,No,Entertainment,0.0,Average,4.0,Cat_5,B
68,461788,Female,Yes,79,Yes,Lawyer,1.0,High,2.0,Cat_6,A
69,459321,Male,Yes,81,Yes,Entertainment,1.0,Low,1.0,Cat_6,B
70,465476,Female,No,28,No,Healthcare,3.0,Low,2.0,Cat_6,A
71,461203,Female,Yes,26,No,Lawyer,0.0,Low,9.0,Cat_7,C
72,467260,Male,No,27,No,Doctor,9.0,Low,4.0,Cat_6,D
73,463467,Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_6,D
74,465163,Male,Yes,46,Yes,Artist,11.0,Average,5.0,Cat_6,C
75,463926,Female,No,27,No,Engineer,0.0,Low,6.0,Cat_6,D
76,463738,Male,Yes,43,No,Executive,0.0,High,4.0,Cat_6,A
77,463644,Female,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_7,D
78,462099,Female,Yes,47,Yes,Doctor,2.6852106227106227,Average,5.0,Cat_2,C
79,459806,Female,Yes,50,No,Engineer,1.0,Average,4.0,Cat_6,B
80,464949,Male,Yes,19,No,Executive,0.0,High,3.0,Cat_4,A
81,463106,Female,Yes,79,Yes,Lawyer,0.0,Low,1.0,Cat_6,C
82,467365,Male,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A
83,461822,Male,Yes,36,Yes,Artist,8.0,High,2.0,Cat_6,A
84,459111,Male,Yes,41,Yes,Executive,0.0,Low,4.0,Cat_6,B
85,465249,Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_6,B
86,466109,Male,Yes,51,Yes,Entertainment,1.0,Average,4.0,Cat_6,B
87,459852,Male,No,40,Yes,Artist,7.0,Low,1.0,Cat_6,A
88,465054,Male,Yes,67,Yes,Executive,1.0,High,3.0,Cat_6,C
89,461280,Male,No,20,No,Healthcare,7.0,Low,4.0,Cat_2,D
90,466969,Female,No,43,Yes,Homemaker,9.0,Low,1.0,Cat_6,A
91,467628,Male,Yes,73,No,Executive,2.6852106227106227,High,3.0,Cat_6,C
92,463341,Female,Yes,53,No,Engineer,0.0,Average,6.0,Cat_3,A
93,464318,Male,Yes,88,Yes,Executive,1.0,Low,1.0,Cat_6,D
94,466778,Male,Yes,35,Yes,Entertainment,1.0,Low,2.0,Cat_3,A
95,464817,Male,No,31,Yes,Artist,5.0,Low,1.0,Cat_4,D
96,462209,Female,Yes,41,No,Artist,0.0,Low,1.0,Cat_4,B
97,463070,Male,Yes,68,No,Entertainment,1.0,Low,1.0,Cat_6,D
98,465008,Female,Yes,70,Yes,Artist,0.0,High,2.0,Cat_6,C
99,464585,Male,Yes,66,Yes,Lawyer,1.0,High,2.0,Cat_4,C
100,464706,Female,No,32,No,Doctor,1.0,Low,3.0,Cat_4,D
101,465449,Female,No,43,Yes,Artist,9.0,Low,2.0,Cat_6,B
102,467880,Female,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,C
103,460952,Male,Yes,38,No,Doctor,0.0,Average,5.0,Cat_6,A
104,464618,Male,Yes,35,Yes,Artist,5.0,Low,1.0,Cat_6,B
105,462630,Male,No,32,No,Doctor,2.6852106227106227,Low,6.0,Cat_4,D
106,465969,Female,No,28,Yes,Doctor,12.0,Low,2.0,Cat_7,D
107,462892,Male,Yes,33,No,Healthcare,8.0,Average,3.0,Cat_6,C
108,467132,Female,Yes,66,Yes,Engineer,0.0,Low,2.0,Cat_6,B
109,459383,Male,Yes,43,No,Engineer,0.0,Low,1.0,Cat_6,D
110,459946,Female,Yes,37,Yes,Artist,0.0,Average,2.0,Cat_6,D
111,462604,Female,Yes,38,No,Doctor,1.0,Average,3.0,Cat_4,A
112,461965,Male,No,19,No,Healthcare,0.0,Low,6.0,Cat_6,D
113,462105,Male,Yes,47,No,Executive,2.6852106227106227,High,4.0,Cat_4,B
114,464280,Male,Yes,47,Yes,Entertainment,1.0,Low,4.0,Cat_6,C
115,462492,Male,Yes,43,No,Artist,0.0,Average,4.0,Cat_2,A
116,464315,Male,Yes,71,No,Executive,1.0,Average,2.0,Cat_6,C
117,465653,Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6,A
118,460362,Male,Yes,59,Yes,Healthcare,0.0,Low,3.0,Cat_4,D
119,466017,Female,Yes,45,Yes,Homemaker,0.0,Low,1.0,Cat_3,A
120,459558,Male,No,28,Yes,Entertainment,1.0,Low,3.0,Cat_6,A
121,466413,Male,Yes,62,Yes,Artist,1.0,Average,5.0,Cat_6,A
122,467111,Male,Yes,66,Yes,Artist,1.0,Low,1.0,Cat_6,D
123,466679,Female,No,43,Yes,Artist,8.0,Low,2.0,Cat_6,B
124,462142,Female,No,42,Yes,Artist,2.6852106227106227,Low,1.0,Cat_6,B
125,460342,Female,No,29,Yes,Engineer,10.0,Low,1.0,Cat_6,D
126,467862,Female,Yes,47,Yes,Artist,0.0,Low,3.0,Cat_6,C
127,460753,Female,No,33,No,Healthcare,1.0,Low,6.0,Cat_6,A
128,460624,Male,Yes,57,Yes,Homemaker,5.0,High,2.0,Cat_6,A
129,466686,Female,No,22,No,Healthcare,0.0,Low,4.0,Cat_6,D
130,459042,Female,Yes,41,Yes,Engineer,1.0,Average,3.0,Cat_6,C
131,466229,Male,Yes,56,Yes,Executive,0.0,High,1.0,Cat_6,B
132,465874,Female,No,26,Yes,Artist,1.0,Low,2.0,Cat_6,D
133,466828,Male,Yes,50,Yes,Executive,0.0,High,4.0,Cat_6,B
134,462244,Male,Yes,83,No,Executive,1.0,High,3.0,Cat_6,B
135,462664,Male,Yes,69,No,Artist,2.0,Low,2.0,Cat_6,A
136,466515,Male,Yes,52,No,Executive,9.0,Average,4.0,Cat_6,A
137,465489,Female,No,53,Yes,Engineer,1.0,Low,5.0,Cat_6,D
138,462484,Male,Yes,67,Yes,Artist,0.0,Low,1.0,Cat_6,D
139,467366,Male,No,42,Yes,Artist,2.6852106227106227,Low,1.0,Cat_4,A
140,462297,Female,No,31,Yes,Artist,14.0,Low,2.0,Cat_6,D
141,466909,Male,Yes,63,Yes,Artist,1.0,Low,2.0,Cat_6,D
142,467399,Male,Yes,29,Yes,Doctor,1.0,Low,3.0,Cat_6,D
143,466892,Male,Yes,51,Yes,Artist,1.0,Average,3.0,Cat_6,C
144,464410,Male,Yes,40,Yes,Artist,0.0,Average,2.0,Cat_6,C
145,465264,Male,Yes,80,No,Executive,0.0,Low,1.0,Cat_6,D
146,459938,Male,No,61,Yes,Artist,1.0,Low,1.0,Cat_6,B
147,465849,Female,No,25,Yes,Doctor,7.0,Low,3.0,Cat_4,D
148,466799,Female,No,21,No,Healthcare,2.0,Low,3.0,Cat_6,D
149,466702,Male,Yes,62,Yes,Lawyer,0.0,Low,1.0,Cat_6,C
150,465425,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,B
151,461539,Male,Yes,42,No,Entertainment,6.0,Average,2.0,Cat_2,A
152,459981,Male,No,36,Yes,Artist,5.0,Low,1.0,Cat_6,A
153,462421,Male,No,48,Yes,Artist,1.0,Low,2.0,Cat_6,C
154,465443,Male,Yes,38,Yes,Artist,0.0,Low,4.0,Cat_6,A
155,462446,Male,No,22,No,Healthcare,0.0,Low,4.0,Cat_6,D
156,460511,Female,No,31,No,Doctor,0.0,Low,4.0,Cat_3,D
157,467550,Male,No,27,Yes,Doctor,0.0,Low,2.0,Cat_3,A
158,466672,Male,Yes,62,Yes,Artist,0.0,Low,3.0,Cat_6,C
159,462118,Male,No,30,Yes,Artist,1.0,Low,3.0,Cat_6,C
160,464845,Male,Yes,29,No,Engineer,0.0,Average,3.0,Cat_4,A
161,461065,Male,Yes,61,Yes,Executive,2.6852106227106227,Low,6.0,Cat_3,B
162,460158,Female,No,51,No,Engineer,8.0,Low,6.0,Cat_4,D
163,461715,Male,No,43,Yes,Entertainment,0.0,Low,5.0,Cat_2,A
164,465272,Male,Yes,39,Yes,Executive,0.0,High,6.0,Cat_6,C
165,464627,Male,Yes,37,Yes,Artist,0.0,Low,4.0,Cat_3,A
166,465611,Male,No,53,Yes,Doctor,0.0,Low,1.0,Cat_6,B
167,464444,Male,Yes,36,Yes,Artist,8.0,Average,2.0,Cat_6,C
168,467468,Female,No,25,No,Healthcare,2.6852106227106227,Low,5.0,Cat_7,D
169,461186,Female,No,18,No,Healthcare,2.6852106227106227,Low,3.0,Cat_3,D
170,466568,Female,Yes,35,Yes,Artist,2.6852106227106227,Average,2.0,Cat_6,B
171,464799,Male,No,36,No,Marketing,0.0,Low,4.0,Cat_4,B
172,462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,B
173,465807,Female,No,42,Yes,Artist,1.0,Low,1.0,Cat_3,B
174,459151,Male,Yes,60,Yes,Lawyer,9.0,Low,2.0,Cat_6,B
175,462151,Female,No,42,Yes,Artist,9.0,Low,1.0,Cat_6,C
176,466618,Male,Yes,49,Yes,Artist,3.0,Average,2.0,Cat_6,C
177,463235,Female,No,21,No,Artist,1.0,Low,4.0,Cat_6,D
178,464891,Male,Yes,42,No,Entertainment,1.0,Low,3.0,Cat_4,A
179,463286,Male,Yes,35,Yes,Artist,1.0,Average,3.0,Cat_6,C
180,464392,Male,Yes,58,Yes,Artist,1.0,Average,2.0,Cat_6,B
181,465539,Female,Yes,50,Yes,Artist,1.0,High,5.0,Cat_6,D
182,466825,Female,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_6,A
183,461131,Male,Yes,68,Yes,Artist,0.0,High,2.8381317978246963,Cat_6,A
184,464328,Male,Yes,84,No,Lawyer,1.0,High,2.0,Cat_6,B
185,467866,Male,Yes,50,Yes,Artist,1.0,Average,3.0,Cat_6,C
186,465620,Male,No,37,Yes,Artist,8.0,Low,3.0,Cat_6,C
187,467295,Male,No,29,No,Healthcare,0.0,Low,3.0,Cat_6,C
188,465160,Male,Yes,62,Yes,Executive,1.0,High,3.0,Cat_6,C
189,461226,Male,Yes,45,Yes,Artist,1.0,Low,2.0,Cat_6,A
190,464688,Male,Yes,28,Yes,Doctor,0.0,Low,9.0,Cat_4,D
191,464346,Male,Yes,55,Yes,Executive,2.0,High,3.0,Cat_6,C
192,463880,Female,Yes,36,No,Engineer,0.0,Low,3.0,Cat_2,B
193,464981,Male,Yes,49,Yes,Artist,0.0,Average,4.0,Cat_6,C
194,464413,Female,Yes,36,Yes,Engineer,0.0,Low,1.0,Cat_3,B
195,462311,Male,Yes,56,Yes,Executive,2.6852106227106227,High,9.0,Cat_6,B
196,460281,Female,No,30,Yes,Doctor,10.0,Low,5.0,Cat_6,B
197,465026,Female,No,25,No,Doctor,0.0,Low,2.0,Cat_6,B
198,461723,Male,No,26,Yes,Healthcare,8.0,Low,2.0,Cat_6,C
199,465706,Female,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_6,C
200,464780,Female,No,33,No,Engineer,1.0,Low,9.0,Cat_4,B
201,464370,Male,Yes,65,Yes,Entertainment,0.0,Average,2.0,Cat_6,B
202,460269,Male,No,31,Yes,Healthcare,8.0,Low,2.8381317978246963,Cat_7,D
203,466743,Male,No,26,No,Entertainment,1.0,Low,2.0,Cat_6,A
204,467468,Female,No,27,No,Healthcare,2.6852106227106227,Low,5.0,Cat_7,D
205,459409,Female,Yes,76,Yes,Lawyer,0.0,High,2.0,Cat_6,B
206,466394,Female,Yes,42,No,Entertainment,6.0,Average,5.0,Cat_6,A
207,459408,Male,No,28,No,Doctor,2.6852106227106227,Low,1.0,Cat_6,D
208,467218,Female,No,32,Yes,Artist,9.0,Low,1.0,Cat_6,D
209,460804,Female,No,30,Yes,Artist,0.0,Low,5.0,Cat_2,A
210,461482,Female,No,52,Yes,Artist,9.0,Low,1.0,Cat_6,C
211,466682,Male,Yes,62,Yes,Entertainment,2.0,Average,4.0,Cat_3,C
212,460932,Female,No,32,Yes,Doctor,8.0,Low,1.0,Cat_6,D
213,460855,Male,Yes,45,Yes,Artist,2.6852106227106227,Low,2.0,Cat_6,A
214,459632,Female,Yes,52,No,Marketing,1.0,High,3.0,Cat_4,D
215,463357,Male,Yes,27,Yes,Doctor,0.0,Average,2.0,Cat_5,D
216,464023,Male,No,22,No,Healthcare,0.0,Low,5.0,Cat_7,D
217,464748,Female,Yes,52,No,Engineer,9.0,Average,5.0,Cat_4,B
218,459850,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,B
219,464373,Female,No,46,Yes,Artist,0.0,Low,2.0,Cat_6,B
220,462811,Male,Yes,37,Yes,Marketing,2.6852106227106227,High,2.0,Cat_6,B
221,464086,Male,Yes,42,Yes,Artist,1.0,Average,4.0,Cat_6,B
222,466848,Female,Yes,65,Yes,Artist,1.0,Low,2.0,Cat_6,B
223,459748,Male,Yes,51,No,Executive,1.0,High,2.0,Cat_6,B
224,461177,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,B
225,464555,Male,Yes,32,Yes,Marketing,13.0,High,4.0,Cat_4,A
226,467513,Female,Yes,36,No,Engineer,2.6852106227106227,Average,4.0,Cat_4,D
227,460425,Female,No,27,No,Doctor,2.6852106227106227,Low,3.0,Cat_7,A
228,459746,Male,Yes,56,Yes,Artist,1.0,Average,2.0,Cat_6,B
229,463559,Female,Yes,48,Yes,Engineer,1.0,High,3.0,Cat_6,B
230,463755,Female,Yes,63,No,Artist,0.0,High,2.0,Cat_6,B
231,466339,Male,No,23,No,Healthcare,0.0,Low,2.0,Cat_4,D
232,461091,Female,Yes,37,Yes,Artist,3.0,Average,3.0,Cat_3,B
233,463153,Female,No,26,Yes,Homemaker,9.0,Low,1.0,Cat_2,D
234,464088,Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6,D
235,462234,Male,Yes,32,No,Artist,1.0,Average,6.0,Cat_4,B
236,459866,Female,No,49,Yes,Artist,2.6852106227106227,Low,1.0,Cat_6,D
237,459292,Male,No,46,Yes,Artist,0.0,Low,2.0,Cat_6,B
238,461426,Male,Yes,51,Yes,Artist,7.0,Average,2.0,Cat_6,C
239,462938,Female,No,50,Yes,Artist,6.0,Low,1.0,Cat_6,B
240,465942,Female,Yes,33,Yes,Marketing,8.0,High,2.0,Cat_6,D
241,460331,Female,No,35,No,Artist,5.0,Low,1.0,Cat_6,A
242,460019,Female,No,46,Yes,Doctor,6.0,Low,2.8381317978246963,Cat_6,C
243,466480,Female,Yes,40,Yes,Artist,2.6852106227106227,Average,2.0,Cat_4,C
244,465631,Male,No,35,Yes,Artist,9.0,Low,1.0,Cat_6,A
245,467585,Male,Yes,40,Yes,Healthcare,6.0,High,2.0,Cat_6,A
246,461678,Female,Yes,87,No,Lawyer,1.0,Low,1.0,Cat_6,A
247,459041,Male,Yes,55,Yes,Artist,8.0,Low,1.0,Cat_6,B
248,464139,Female,No,25,No,Healthcare,14.0,Low,1.0,Cat_6,D
249,462540,Male,Yes,32,Yes,Entertainment,6.0,Low,2.0,Cat_2,B
250,466971,Male,No,65,Yes,Executive,9.0,Low,3.0,Cat_6,D
251,459362,Male,Yes,60,No,Executive,0.0,Low,2.0,Cat_6,D
252,462476,Male,Yes,45,Yes,Artist,4.0,Average,2.0,Cat_6,C
253,460444,Male,Yes,60,No,Artist,0.0,Low,1.0,Cat_6,B
254,458982,Male,Yes,61,Yes,Executive,1.0,High,3.0,Cat_6,C
255,460898,Male,Yes,52,No,Artist,2.0,Average,4.0,Cat_6,D
256,459181,Male,Yes,58,No,Artist,0.0,High,3.0,Cat_6,D
257,460998,Male,No,27,Yes,Artist,0.0,Low,3.0,Cat_3,B
258,462762,Male,Yes,48,Yes,Artist,0.0,High,4.0,Cat_6,B
259,462445,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_6,D
260,464638,Male,No,39,Yes,Artist,2.0,Low,3.0,Cat_4,B
261,467589,Male,No,32,No,Entertainment,0.0,Low,1.0,Cat_6,B
262,464886,Male,Yes,38,Yes,Engineer,0.0,Average,4.0,Cat_4,B
263,462092,Female,Yes,35,Yes,Homemaker,7.0,Average,4.0,Cat_6,B
264,462047,Female,Yes,26,Yes,Artist,12.0,Average,2.0,Cat_6,B
265,462693,Female,No,35,Yes,Artist,1.0,Low,1.0,Cat_6,A
266,462704,Male,Yes,52,Yes,Executive,5.0,High,5.0,Cat_6,A
267,459779,Female,Yes,62,Yes,Entertainment,1.0,Low,1.0,Cat_6,B
268,461626,Male,Yes,73,Yes,Executive,0.0,High,2.0,Cat_6,C
269,464156,Male,Yes,62,Yes,Artist,10.0,Low,1.0,Cat_6,B
270,466161,Male,Yes,47,No,Artist,1.0,Average,2.8381317978246963,Cat_6,D
271,462139,Female,No,27,Yes,Healthcare,1.0,Low,4.0,Cat_2,C
272,465317,Male,No,23,No,Healthcare,0.0,Low,4.0,Cat_4,D
273,459497,Female,Yes,80,Yes,Lawyer,0.0,Low,1.0,Cat_6,C
274,460654,Female,Yes,48,No,Marketing,0.0,Average,2.0,Cat_4,D
275,466277,Male,No,18,No,Healthcare,0.0,Low,5.0,Cat_3,D
276,466506,Male,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_6,A
277,459692,Female,Yes,72,Yes,Lawyer,8.0,High,2.0,Cat_6,A
278,459223,Female,Yes,47,Yes,Doctor,1.0,Average,4.0,Cat_6,C
279,467559,Male,Yes,58,Yes,Executive,0.0,Average,4.0,Cat_6,C
280,466019,Female,Yes,63,Yes,Artist,5.0,Low,1.0,Cat_3,C
281,465403,Female,No,27,No,Healthcare,9.0,Low,5.0,Cat_7,A
282,462627,Male,Yes,27,No,Entertainment,2.6852106227106227,Average,3.0,Cat_4,D
283,459327,Male,No,50,No,Doctor,9.0,Low,3.0,Cat_6,D
284,459830,Female,No,27,Yes,Doctor,8.0,Low,1.0,Cat_6,A
285,465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,A
286,464227,Male,Yes,89,Yes,Lawyer,0.0,High,2.0,Cat_6,C
287,461611,Female,Yes,38,Yes,Artist,5.0,Average,2.0,Cat_6,C
288,461609,Female,Yes,45,Yes,Artist,5.0,Average,2.0,Cat_6,B
289,459119,Male,Yes,61,Yes,Executive,9.0,High,3.0,Cat_6,C
290,459308,Female,Yes,47,Yes,Artist,0.0,Average,2.0,Cat_6,C
291,460522,Female,Yes,32,No,Homemaker,2.6852106227106227,Average,2.0,Cat_4,D
292,464528,Male,Yes,46,Yes,Entertainment,4.0,High,4.0,Cat_2,B
293,464307,Female,Yes,50,Yes,Artist,1.0,Average,2.0,Cat_6,C
294,464918,Male,No,39,No,Artist,1.0,Low,1.0,Cat_4,D
295,467614,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,B
296,462041,Female,No,22,No,Doctor,0.0,Low,2.0,Cat_4,D
297,460888,Male,Yes,42,No,Homemaker,8.0,Low,1.0,Cat_6,A
298,459081,Male,Yes,63,Yes,Artist,0.0,Average,4.0,Cat_6,C
299,459418,Male,Yes,69,No,Executive,0.0,High,2.0,Cat_6,C
300,465684,Female,No,47,Yes,Entertainment,0.0,Low,1.0,Cat_3,A
301,467673,Male,Yes,45,No,Executive,1.0,High,4.0,Cat_6,B
302,467028,Male,No,27,Yes,Artist,0.0,Low,1.0,Cat_6,D
303,463110,Male,Yes,68,No,Executive,1.0,High,2.0,Cat_6,A
304,462320,Female,Yes,51,Yes,Artist,0.0,Average,2.0,Cat_2,C
305,464150,Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6,C
306,459871,Female,Yes,85,No,Entertainment,2.0,Average,2.0,Cat_6,C
307,460683,Male,Yes,59,No,Entertainment,6.0,Average,3.0,Cat_3,B
308,464169,Male,Yes,83,No,Lawyer,0.0,High,2.0,Cat_6,A
309,464202,Male,Yes,43,Yes,Artist,13.0,Low,1.0,Cat_6,A
310,461994,Male,Yes,18,No,Doctor,10.0,Low,2.0,Cat_6,D
311,461979,Male,Yes,35,Yes,Artist,9.0,Average,2.0,Cat_6,C
312,463374,Female,No,19,No,Healthcare,0.0,Low,3.0,Cat_6,D
313,467746,Male,Yes,50,Yes,Executive,0.0,High,3.0,Cat_6,B
314,466308,Male,No,33,Yes,Healthcare,0.0,Low,2.0,Cat_6,C
315,459656,Male,No,22,No,Artist,2.6852106227106227,Low,6.0,Cat_1,D
316,467383,Female,Yes,77,Yes,Lawyer,0.0,High,2.0,Cat_6,B
317,465066,Male,Yes,47,Yes,Executive,7.0,High,4.0,Cat_6,C
318,466507,Male,Yes,51,Yes,Entertainment,1.0,Average,5.0,Cat_6,B
319,463891,Male,Yes,75,Yes,Lawyer,1.0,Low,1.0,Cat_6,A
320,465388,Female,No,31,Yes,Marketing,0.0,Low,1.0,Cat_6,D
321,459594,Female,Yes,42,Yes,Artist,5.0,Low,1.0,Cat_6,A
322,461120,Male,No,20,No,Healthcare,1.0,Low,3.0,Cat_3,D
323,465960,Female,No,28,Yes,Marketing,9.0,Low,1.0,Cat_6,B
324,459824,Male,No,38,Yes,Entertainment,8.0,Low,1.0,Cat_6,D
325,460134,Male,Yes,39,Yes,Entertainment,9.0,High,3.0,Cat_6,D
326,462766,Female,No,32,No,Homemaker,8.0,Low,1.0,Cat_6,D
327,463548,Female,No,20,No,Healthcare,3.0,Low,4.0,Cat_4,D
328,462699,Female,Yes,61,Yes,Lawyer,2.6852106227106227,High,4.0,Cat_2,B
329,467407,Male,No,27,Yes,Artist,7.0,Low,3.0,Cat_6,D
330,466605,Female,No,32,No,Healthcare,0.0,Low,4.0,Cat_3,B
331,461618,Female,Yes,42,Yes,Artist,2.6852106227106227,High,3.0,Cat_6,C
332,466917,Male,Yes,43,No,Executive,3.0,Low,2.8381317978246963,Cat_6,B
333,461780,Female,No,65,Yes,Lawyer,0.0,Low,5.0,Cat_6,A
334,461663,Male,No,23,No,Healthcare,1.0,Low,3.0,Cat_6,D
335,461746,Male,Yes,53,Yes,Artist,2.0,Average,3.0,Cat_6,C
336,467439,Male,Yes,37,Yes,Entertainment,1.0,Low,4.0,Cat_6,A
337,462959,Female,Yes,56,Yes,Engineer,2.0,High,2.0,Cat_6,B
338,464322,Male,Yes,79,Yes,Lawyer,0.0,Low,2.0,Cat_6,A
