,ID,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance
306,39,33,Private Sector/Self Employed,Yes,1500000,5.0,1,Yes,Yes,1
307,1629,34,Private Sector/Self Employed,Yes,1000000,5.0,0,Yes,No,0
308,492,34,Private Sector/Self Employed,Yes,500000,3.0,0,No,No,0
309,717,28,Private Sector/Self Employed,Yes,800000,4.0,0,No,No,0
310,282,26,Private Sector/Self Employed,Yes,1400000,4.0,0,No,Yes,1
311,790,32,Government Sector,Yes,900000,4.0,1,No,No,1
312,1872,29,Private Sector/Self Employed,Yes,1050000,7.0,0,No,No,0
313,1911,27,Private Sector/Self Employed,No,1550000,6.0,1,Yes,No,1
314,682,26,Private Sector/Self Employed,Yes,1500000,5.0,1,Yes,Yes,1
315,1704,26,Private Sector/Self Employed,Yes,1400000,3.0,1,No,Yes,0
316,399,35,Private Sector/Self Employed,No,800000,5.0,0,No,No,0
317,1416,26,Private Sector/Self Employed,Yes,600000,6.0,1,No,No,0
318,1176,34,Private Sector/Self Employed,No,1300000,5.0,0,No,No,0
319,172,27,Private Sector/Self Employed,No,600000,8.0,0,No,No,0
320,831,27,Government Sector,Yes,1050000,6.0,1,No,No,0
321,1900,27,Private Sector/Self Employed,No,1000000,3.0,1,No,No,0
322,721,34,Private Sector/Self Employed,Yes,1050000,4.0,0,No,No,0
323,1261,33,Government Sector,Yes,800000,6.0,1,No,No,1
324,1128,33,Government Sector,Yes,700000,4.0,0,No,No,0
325,330,35,Private Sector/Self Employed,No,800000,4.0,0,No,No,0
326,1194,31,Private Sector/Self Employed,Yes,1350000,3.0,0,No,Yes,1
327,1399,25,Private Sector/Self Employed,No,600000,3.0,1,No,No,0
328,1438,32,Government Sector,Yes,850000,3.0,0,Yes,No,0
329,49,31,Private Sector/Self Employed,Yes,1350000,3.0,0,No,Yes,1
330,283,26,Private Sector/Self Employed,Yes,600000,4.0,0,Yes,No,0
331,1570,28,Private Sector/Self Employed,Yes,700000,5.0,0,No,Yes,0
332,387,28,Government Sector,Yes,300000,5.0,0,No,No,0
333,1521,29,Private Sector/Self Employed,Yes,1350000,5.0,0,No,Yes,1
334,1492,27,Private Sector/Self Employed,No,1000000,6.0,0,No,No,0
335,1571,34,Private Sector/Self Employed,Yes,1500000,6.0,0,Yes,Yes,1
336,1631,33,Government Sector,Yes,1000000,3.0,0,No,No,0
337,1425,28,Government Sector,Yes,600000,4.0,0,No,No,0
338,1100,27,Private Sector/Self Employed,No,450000,3.0,0,No,No,1
339,1233,27,Government Sector,Yes,1050000,5.0,1,No,No,0
340,202,28,Private Sector/Self Employed,Yes,600000,7.0,0,No,No,1
341,1064,29,Private Sector/Self Employed,Yes,1200000,5.0,0,No,No,0
342,1025,31,Government Sector,Yes,1300000,4.0,1,No,No,1
343,687,28,Private Sector/Self Employed,Yes,1150000,3.0,0,No,No,0
344,251,28,Government Sector,Yes,300000,5.0,0,No,No,0
345,460,25,Private Sector/Self Employed,No,1350000,6.0,0,No,Yes,1
346,1435,34,Private Sector/Self Employed,Yes,500000,4.0,0,No,No,1
347,931,28,Government Sector,Yes,1200000,6.0,1,No,No,0
348,567,35,Private Sector/Self Employed,No,800000,7.0,1,No,Yes,1
349,471,26,Private Sector/Self Employed,Yes,1250000,3.0,0,No,No,0
350,735,28,Government Sector,Yes,300000,4.0,0,No,No,0
351,91,28,Government Sector,Yes,300000,4.0,1,No,No,0
352,1331,31,Private Sector/Self Employed,Yes,1250000,5.0,0,No,No,1
353,261,28,Private Sector/Self Employed,Yes,1100000,4.0,1,No,No,1
354,1659,29,Private Sector/Self Employed,Yes,500000,3.0,0,No,No,0
355,1778,28,Private Sector/Self Employed,Yes,750000,4.0,0,Yes,No,0
356,1907,28,Private Sector/Self Employed,Yes,600000,5.0,0,Yes,No,1
357,725,30,Private Sector/Self Employed,No,800000,4.0,0,No,No,1
358,911,27,Government Sector,Yes,1050000,5.0,0,Yes,No,0
359,1006,28,Private Sector/Self Employed,Yes,1100000,6.0,0,No,No,0
360,1346,29,Private Sector/Self Employed,Yes,1100000,4.0,0,No,No,0
361,1945,28,Private Sector/Self Employed,No,550000,4.0,1,No,Yes,1
362,1939,27,Private Sector/Self Employed,No,450000,8.0,0,No,No,0
363,1673,28,Private Sector/Self Employed,Yes,700000,3.0,0,No,No,0
364,1084,29,Private Sector/Self Employed,Yes,1050000,4.0,0,No,No,0
365,706,34,Private Sector/Self Employed,Yes,700000,4.0,0,No,No,0
366,422,34,Private Sector/Self Employed,Yes,1500000,7.0,1,Yes,Yes,1
367,1088,28,Private Sector/Self Employed,Yes,1250000,9.0,1,No,No,0
368,1010,27,Government Sector,Yes,500000,8.0,0,No,No,0
369,1749,33,Government Sector,Yes,1100000,4.0,1,No,Yes,0
370,1929,28,Government Sector,Yes,600000,7.0,1,No,No,1
371,1553,28,Private Sector/Self Employed,Yes,1450000,3.0,0,Yes,Yes,1
372,1459,34,Private Sector/Self Employed,Yes,1500000,5.0,1,Yes,Yes,1
373,1696,28,Private Sector/Self Employed,Yes,800000,2.0,1,No,No,0
374,731,28,Private Sector/Self Employed,Yes,800000,5.0,0,No,No,0
