ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
6547,D,Ship,6,3,287.0,4,medium,F,8,1850,1
8492,F,Flight,3,1,244.0,3,medium,M,6,4062,1
4131,A,Ship,6,3,100.0,4,low,M,3,5756,0
3281,C,Road,4,3,196.0,2,medium,F,7,4116,1
621,A,Ship,2,5,265.0,2,low,F,50,3859,1
5233,D,Ship,3,3,259.0,3,medium,F,4,4259,0
7041,A,Ship,4,1,260.0,2,medium,F,2,4529,0
3333,A,Ship,3,1,187.0,5,low,F,6,4698,0
9198,F,Ship,5,3,255.0,6,medium,F,1,5874,0
10878,F,Ship,4,4,151.0,2,low,M,8,5724,0
7582,B,Ship,5,4,199.0,4,low,F,7,5740,0
7086,F,Ship,6,1,260.0,3,medium,M,1,5134,0
2873,C,Flight,4,2,257.0,4,high,M,58,2269,1
8532,F,Ship,4,2,233.0,4,high,F,1,4316,0
9729,A,Flight,4,2,257.0,3,medium,M,8,5772,0
5653,D,Ship,3,5,196.0,3,medium,F,9,4741,1
10642,B,Ship,3,4,133.0,4,low,F,10,4571,0
6940,B,Ship,4,2,224.0,3,low,M,1,5821,0
844,B,Ship,5,4,182.0,5,medium,F,23,3398,1
8040,F,Ship,4,1,245.0,5,low,F,3,1537,0
2638,B,Ship,3,1,254.0,4,low,F,33,2542,1
9614,F,Ship,4,4,256.0,3,low,F,5,5399,0
5794,B,Ship,5,5,247.0,3,low,M,1,5226,0
4316,F,Ship,4,3,151.0,3,medium,F,6,5379,1
7524,F,Road,4,1,252.0,3,low,M,4,5119,1
1320,F,Ship,4,3,205.0,3,medium,F,44,2291,1
8580,F,Ship,5,1,181.0,3,low,F,3,5118,0
10592,F,Ship,4,2,222.0,2,low,M,1,5028,1
5529,A,Ship,6,4,248.0,4,low,F,6,1851,0
6253,D,Ship,5,2,241.0,2,medium,M,6,4741,0
7322,F,Ship,6,2,226.0,4,high,F,7,5600,0
4988,F,Ship,6,4,260.0,4,medium,M,1,1726,0
4896,F,Ship,3,3,162.0,2,low,F,9,4903,0
9151,D,Ship,$7,5,255.0,4,low,F,9,1367,0
10067,C,Ship,3,3,209.0,3,low,M,1,5186,0
2287,D,Ship,5,4,234.0,2,high,F,61,3084,1
9279,A,Ship,5,5,221.0,2,medium,M,10,4255,1
9068,F,Ship,4,2,184.0,2,medium,F,10,5959,0
822,F,Flight,2,1,98.0,3,low,F,29,1806,1
6632,F,Ship,3,4,248.0,3,medium,F,6,4932,0
3358,B,Ship,3,3,211.0,6,low,M,5,5777,1
5625,A,Flight,5,3,143.0,2,medium,M,5,5612,1
9445,D,Road,$7,1,269.0,5,medium,F,5,1402,0
6370,B,Ship,3,2,154.0,3,medium,M,1,5322,1
5640,F,Ship,3,3,183.0,3,low,F,3,5538,0
1345,D,Road,3,4,147.0,3,low,F,2,1307,1
8961,A,Ship,3,3,206.0,3,low,F,3,5746,1
4256,F,Flight,4,3,235.0,3,medium,F,6,4832,1
4016,F,Ship,2,5,116.0,3,low,F,1,4091,1
10092,F,Ship,4,2,201.0,2,medium,M,6,5729,0
9163,D,Road,5,3,222.0,6,low,M,9,1656,0
6255,A,Ship,6,1,282.0,4,low,M,1,1434,0
3485,C,Ship,4,4,223.0,4,low,M,1,4219,0
1606,B,Ship,5,2,140.0,4,high,M,58,1175,1
10120,B,Road,3,4,257.0,3,low,F,4,4883,0
7025,C,Ship,5,1,153.0,2,low,F,7,4944,1
10413,A,Flight,5,5,248.0,5,medium,M,8,1881,1
1616,F,Ship,4,5,198.0,2,medium,M,51,2820,1
4921,D,Road,4,3,208.0,3,medium,F,3,4837,1
3318,F,Ship,5,3,141.0,3,low,M,9,4857,0
10351,D,Ship,5,2,241.0,2,medium,F,2,5448,0
8633,C,Flight,$7,1,255.0,4,medium,F,3,1450,0
10656,F,Ship,4,4,255.0,6,low,M,5,1708,1
4121,C,Flight,4,3,208.0,2,medium,F,1,5826,0
10096,B,Ship,4,5,243.0,3,low,M,9,5263,0
5696,F,Ship,4,2,175.0,3,medium,M,7,4874,1
3887,C,Ship,5,4,230.0,3,low,M,1,4727,0
9210,F,Ship,5,3,227.0,5,medium,F,9,4990,0
9269,C,Ship,3,1,170.0,3,high,F,6,5750,0
481,D,Ship,5,4,168.0,3,low,F,13,1317,1
5853,A,Ship,3,4,206.0,4,medium,M,2,4372,0
2953,D,Ship,3,3,162.0,3,low,M,3,1693,1
3658,B,Ship,3,2,265.0,6,low,M,9,5936,0
6166,B,Flight,5,5,267.0,3,medium,M,9,4775,1
6923,C,Ship,4,1,293.0,3,low,M,8,1326,1
840,F,Ship,5,2,151.0,6,medium,M,12,1920,1
9855,A,Road,3,3,274.0,3,low,F,5,5981,1
879,A,Ship,6,1,205.0,5,low,M,14,3213,1
5698,B,Ship,3,1,191.0,5,medium,M,2,4956,1
10446,F,Ship,5,5,239.0,6,low,M,9,1417,1
2606,F,Flight,3,5,258.0,3,low,M,21,3446,1
9452,F,Flight,5,3,228.0,5,high,M,9,1924,0
1529,C,Ship,4,5,146.0,4,low,F,25,1606,1
9078,F,Ship,3,2,247.0,2,high,M,1,4242,0
7766,F,Ship,5,3,257.0,5,low,M,7,1090,0
6724,B,Flight,5,4,99.0,2,high,F,4,4259,0
5154,F,Ship,3,4,162.0,2,medium,F,8,4972,0
7424,F,Ship,4,2,184.0,3,low,M,3,1705,1
1294,B,Ship,5,5,254.0,5,low,F,35,2508,1
112,B,Road,4,2,239.0,3,low,F,65,3679,1
7806,F,Flight,3,2,219.0,6,low,F,9,5263,1
4578,F,Ship,4,4,157.0,4,low,M,6,4175,0
3329,C,Ship,5,5,219.0,2,medium,M,4,4289,0
2569,D,Ship,4,2,141.0,2,low,F,8,1495,1
10236,F,Ship,4,3,199.0,2,low,M,4,5855,0
3020,F,Flight,4,5,253.0,2,low,F,36,3389,1
4029,A,Ship,4,1,261.0,3,medium,M,7,4314,1
8110,B,Ship,4,3,160.0,2,low,M,5,4522,1
107,C,Ship,3,1,238.0,3,low,M,17,2624,1
2985,A,Ship,3,3,273.0,6,low,M,6,1771,1
1336,B,Ship,4,2,256.0,2,medium,M,10,3128,1
441,A,Ship,3,5,251.0,2,high,M,23,2426,1
745,D,Ship,2,4,280.0,4,low,M,48,1463,1
9958,B,Ship,$7,4,282.0,4,low,M,6,1800,0
4500,F,Road,3,5,170.0,3,low,F,5,5064,0
2118,F,Ship,3,2,135.0,2,medium,F,2,1150,1
1206,F,Ship,3,3,218.0,3,medium,M,48,3425,1
209,C,Ship,2,4,152.0,3,low,M,55,1498,1
4977,A,Ship,4,5,261.0,3,high,F,2,4954,1
8818,B,Ship,6,3,137.0,8,low,F,6,5992,1
955,D,Flight,3,1,214.0,2,low,F,50,2720,1
9765,A,Ship,3,5,161.0,2,low,F,8,5021,0
5863,D,Ship,3,3,269.0,3,low,M,4,4309,0
293,C,Ship,4,3,211.0,4,medium,M,40,3106,1
6417,A,Road,4,3,143.0,4,medium,F,2,4919,0
10205,C,Ship,5,2,248.0,5,medium,F,1,1845,1
4257,A,Flight,3,1,166.0,2,low,F,10,5932,1
8887,D,Road,$7,3,305.0,4,medium,F,5,1198,0
8544,F,Ship,4,2,167.0,4,high,M,5,5250,0
6222,F,Ship,5,1,227.0,5,low,M,6,1667,0
1853,C,Ship,3,5,190.0,10,medium,F,27,2739,1
5751,A,Flight,5,4,250.0,4,medium,M,4,4531,0
2061,A,Flight,3,2,173.0,3,high,M,60,1582,1
8083,D,Flight,4,4,115.0,3,medium,M,7,4609,0
3251,C,Ship,4,1,181.0,2,low,F,3,5877,0
5962,B,Ship,6,1,249.0,4,medium,M,2,1326,1
9918,F,Ship,5,5,243.0,5,medium,M,2,1817,0
7611,A,Ship,3,4,173.0,3,low,F,8,5979,0
7628,F,Ship,5,5,223.0,3,low,M,5,4373,1
9738,F,Flight,3,2,210.0,3,low,F,9,4731,1
7794,F,Road,3,5,241.0,3,low,F,5,4861,1
1713,A,Ship,3,4,242.0,5,low,M,5,2307,1
4801,D,Flight,$7,1,291.0,4,low,M,2,1216,1
6365,C,Ship,2,4,221.0,3,low,F,3,4076,0
26,F,Ship,3,1,225.0,4,low,M,29,3496,1
901,D,Ship,5,5,253.0,6,medium,M,59,2627,1
1692,F,Ship,4,2,189.0,3,medium,M,6,3671,1
10589,C,Ship,4,1,193.0,3,low,F,3,5919,0
1189,D,Ship,4,5,143.0,8,low,M,38,1095,1
626,F,Ship,3,2,238.0,3,high,F,54,3142,1
4143,A,Ship,3,1,149.0,2,medium,F,7,4147,1
3216,F,Ship,3,1,196.0,3,low,M,10,4546,0
4390,B,Flight,3,3,201.0,2,medium,F,8,5032,1
9361,D,Ship,$7,2,244.0,4,medium,F,8,1477,1
5658,F,Ship,4,4,217.0,5,medium,M,6,5891,1
1143,A,Ship,6,3,269.0,2,high,M,43,2300,1
9937,D,Ship,4,5,251.0,6,low,F,1,1625,0
736,B,Ship,4,1,259.0,3,low,M,39,2427,1
6375,A,Ship,4,1,245.0,3,medium,F,5,4173,0
9320,F,Flight,4,1,189.0,3,medium,M,5,4133,0
3565,D,Flight,3,3,263.0,3,medium,F,9,5665,1
6011,C,Road,5,1,227.0,5,low,M,7,1620,1
4194,F,Ship,5,2,233.0,3,low,F,5,5756,1
10851,A,Ship,4,1,202.0,3,low,M,7,4788,0
1504,B,Flight,5,2,200.0,2,low,F,2,2075,1
1092,F,Flight,3,5,154.0,3,medium,M,46,1312,1
7261,D,Flight,4,5,184.0,4,medium,F,3,5430,1
2317,D,Road,5,5,234.0,2,high,M,50,3914,1
3799,D,Ship,5,1,241.0,3,high,M,8,5306,1
4188,F,Ship,4,4,206.0,3,medium,F,10,4262,0
10888,B,Ship,4,1,275.0,3,medium,F,7,5382,1
9378,F,Ship,3,1,154.0,3,low,M,5,4720,1
7324,B,Ship,5,1,151.0,6,medium,M,2,4529,0
2213,C,Ship,6,1,105.0,5,low,F,57,1784,1
2324,F,Road,3,4,164.0,3,low,M,5,1408,1
471,A,Ship,4,1,140.0,2,low,M,61,1770,1
2296,B,Ship,4,2,223.0,3,medium,F,56,3158,1
8947,D,Ship,4,3,236.0,3,low,M,1,4752,0
8317,D,Ship,6,5,263.0,4,low,M,10,1669,0
5991,A,Ship,3,2,153.0,3,medium,M,6,4056,0
10038,F,Ship,3,2,222.0,2,medium,M,1,4021,1
2151,A,Ship,4,3,214.0,2,low,M,57,2078,1
199,D,Ship,2,3,142.0,3,medium,F,38,7640,1
4849,D,Ship,3,1,175.0,3,medium,M,1,4872,0
9110,F,Ship,5,4,231.0,2,medium,F,7,5491,1
7575,A,Ship,3,5,270.0,3,medium,M,5,4843,1
8334,F,Road,4,1,262.0,6,low,M,1,1627,1
828,F,Flight,4,2,209.0,2,low,F,23,2533,1
8022,F,Ship,5,1,258.0,5,low,F,4,1032,0
8261,C,Ship,6,5,264.0,4,medium,F,9,1922,1
10542,F,Road,5,4,228.0,4,low,F,8,4831,1
4389,A,Flight,5,4,175.0,4,low,M,4,4505,0
6264,F,Ship,$7,2,276.0,4,low,M,9,1022,1
8810,F,Ship,3,1,203.0,10,medium,F,7,5917,1
561,A,Flight,3,1,185.0,2,medium,F,34,3299,1
5306,F,Ship,4,2,146.0,2,medium,M,4,4348,1
9687,A,Ship,5,5,218.0,5,medium,F,7,1692,0
442,B,Ship,5,3,190.0,3,high,M,45,2628,1
10281,A,Flight,5,3,167.0,3,low,M,9,5026,0
10869,A,Ship,4,4,219.0,3,medium,M,10,4947,0
1777,D,Flight,6,1,154.0,5,medium,M,19,1842,1
9664,B,Ship,5,2,172.0,2,low,F,2,1680,0
9316,B,Flight,5,4,260.0,4,low,M,4,5911,1
8706,F,Ship,3,1,204.0,3,medium,M,4,4619,1
8306,F,Ship,5,4,254.0,6,low,M,4,1850,1
5428,B,Ship,5,4,237.0,6,medium,M,2,4541,0
4470,F,Ship,4,4,135.0,2,low,F,10,4508,1
9577,D,Road,3,4,192.0,4,medium,M,3,4030,0
9133,D,Ship,4,5,251.0,5,medium,F,7,1381,0
1332,F,Ship,4,4,255.0,2,medium,M,29,2267,1
4058,F,Ship,2,1,166.0,3,medium,M,6,4280,0
9920,F,Ship,6,3,277.0,4,medium,M,6,1623,1
6027,A,Flight,4,1,270.0,5,medium,M,9,1280,1
4020,F,Ship,3,5,226.0,3,low,M,8,5203,1
9528,F,Ship,4,1,164.0,4,medium,M,3,5318,1
10518,F,Ship,5,5,141.0,3,low,M,4,4534,0
651,A,Ship,3,4,164.0,3,medium,M,13,1158,1
6101,C,Ship,4,3,163.0,3,low,F,7,4556,0
5190,F,Road,5,1,171.0,5,medium,F,8,4699,0
3128,F,Road,3,3,193.0,2,low,M,19,3097,1
5613,A,Flight,5,1,182.0,5,high,F,6,5398,0
7343,C,Ship,4,4,238.0,3,low,F,7,4709,0
7157,C,Ship,4,5,246.0,6,low,M,1,1400,1
39,A,Ship,5,1,215.0,4,low,F,56,3905,1
4028,F,Ship,4,5,249.0,2,medium,F,10,4562,0
1257,A,Ship,2,2,180.0,3,low,M,33,1217,1
7143,A,Ship,6,5,139.0,6,medium,F,10,1081,1
10647,A,Ship,3,2,159.0,2,medium,M,8,4326,0
5410,B,Ship,5,5,186.0,4,medium,F,9,5592,1
9342,F,Ship,6,1,141.0,3,low,F,2,5144,0
2913,A,Ship,3,2,182.0,3,low,F,54,3972,1
3993,A,Ship,5,4,178.0,5,low,F,9,4729,1
4072,B,Ship,3,3,228.0,3,medium,F,8,4927,0
2378,F,Ship,3,2,167.0,4,medium,M,49,1973,1
3686,F,Road,4,2,262.0,2,medium,M,3,4090,1
5951,C,Ship,4,4,184.0,8,low,M,7,5235,1
4666,B,Flight,3,4,184.0,4,medium,M,2,4052,0
8735,C,Ship,3,2,186.0,2,medium,M,3,5712,0
1546,B,Ship,4,3,251.0,3,medium,F,46,2632,1
3039,A,Ship,4,3,276.0,4,low,F,3,3889,1
6825,A,Road,5,3,240.0,6,medium,F,3,1321,0
10211,C,Ship,5,5,270.0,5,low,M,5,1852,1
10690,B,Flight,4,1,260.0,3,medium,M,6,4816,0
811,D,Road,5,3,216.0,3,medium,F,1,2434,1
7653,A,Road,3,1,164.0,10,medium,F,6,5603,0
8015,C,Ship,4,1,263.0,5,low,M,8,1426,1
1612,B,Ship,3,5,153.0,2,low,F,44,1585,1
10102,B,Ship,4,3,203.0,2,low,M,8,5597,0
902,F,Ship,5,3,208.0,3,medium,M,35,3884,1
7840,B,Ship,3,4,273.0,2,medium,F,5,5223,0
8990,F,Ship,4,4,174.0,2,low,F,1,4541,1
7871,C,Ship,5,4,223.0,3,low,M,7,4671,1
5840,F,Ship,3,5,147.0,4,high,M,10,5164,1
50,F,Ship,5,3,216.0,3,low,F,40,2146,1
2786,F,Ship,5,3,149.0,7,medium,F,51,1425,1
1669,D,Ship,3,5,223.0,4,low,F,46,3938,1
10486,B,Ship,4,2,259.0,6,medium,M,8,1096,1
2731,D,Road,3,4,144.0,3,low,M,56,1496,1
8859,A,Ship,4,5,234.0,5,low,F,3,1469,1
2508,F,Ship,3,1,183.0,2,low,M,58,3027,1
8595,A,Ship,2,4,245.0,2,medium,F,10,5389,0
4739,C,Ship,3,5,244.0,2,medium,F,10,4064,1
4262,F,Flight,5,1,171.0,4,medium,F,9,4418,1
5412,F,Ship,4,4,246.0,3,low,M,2,5473,1
9192,F,Flight,6,3,266.0,4,low,F,9,1106,1
2293,D,Ship,3,5,268.0,4,high,M,5,3446,1
6694,B,Road,3,5,213.0,4,medium,M,9,5550,1
5258,F,Ship,6,1,275.0,4,low,F,5,1228,0
9967,D,Ship,6,5,310.0,4,medium,F,10,1553,0
4761,A,Ship,6,5,290.0,4,medium,M,2,1867,1
6573,A,Flight,$7,5,302.0,4,low,M,3,1597,1
5061,A,Road,5,1,135.0,3,low,M,3,4939,1
5789,C,Ship,5,3,220.0,6,medium,F,6,1830,1
3808,B,Ship,3,4,172.0,6,medium,F,1,4618,0
3989,C,Flight,3,1,155.0,3,medium,F,6,5113,1
6227,C,Ship,4,4,227.0,5,low,M,8,1982,1
8068,B,Road,3,1,225.0,2,low,F,2,4438,1
10803,A,Road,4,5,229.0,5,low,F,3,1954,0
3096,F,Ship,4,4,179.0,2,low,M,18,1369,1
1037,C,Ship,4,3,261.0,2,high,M,47,2336,1
125,C,Road,5,5,222.0,3,low,M,10,2280,1
3473,C,Ship,5,4,134.0,3,medium,M,4,4908,0
6146,F,Road,3,5,193.0,3,medium,F,6,5302,0
6741,A,Ship,6,3,210.0,4,medium,M,9,5440,0
1508,F,Flight,4,1,135.0,2,medium,F,64,1471,1
3624,F,Ship,3,3,155.0,3,low,F,3,5768,0
10711,D,Ship,4,2,262.0,6,medium,F,2,1069,0
9480,F,Ship,4,3,250.0,2,high,F,10,4885,1
2668,B,Ship,5,3,162.0,4,medium,M,38,1407,1
2277,A,Ship,3,4,209.0,2,low,M,62,2935,1
5837,C,Ship,4,2,168.0,3,low,M,3,4653,1
2702,F,Ship,3,2,132.0,2,medium,M,6,1185,1
3118,B,Ship,4,3,142.0,4,low,M,29,1420,1
10904,F,Ship,3,5,241.0,4,low,F,9,5526,1
8803,D,Ship,3,3,211.0,3,medium,M,3,5379,1
2854,B,Road,4,4,158.0,3,low,F,61,1507,1
4164,F,Ship,2,5,221.0,3,low,M,2,5847,0
5041,D,Ship,$7,3,310.0,4,medium,F,7,1989,0
2790,F,Ship,5,2,263.0,2,medium,F,51,1657,1
3017,C,Flight,5,5,195.0,3,low,M,55,2641,1
6194,F,Ship,4,4,133.0,4,high,F,10,5296,0
7616,F,Ship,4,4,175.0,3,low,M,8,5944,1
8354,F,Flight,6,1,272.0,4,low,F,2,1018,0
8553,A,Ship,4,4,228.0,5,low,F,1,1788,1
3884,F,Ship,3,4,238.0,3,medium,F,8,5337,1
5191,D,Road,4,4,231.0,2,low,F,4,5825,0
2990,F,Road,5,1,206.0,4,low,M,62,1137,1
8671,D,Ship,3,1,159.0,3,low,M,10,4784,1
9860,F,Flight,4,4,160.0,4,low,M,1,5520,1
5883,A,Road,3,5,246.0,3,low,F,2,5556,1
10272,F,Flight,3,3,220.0,3,low,F,2,5065,1
1313,C,Ship,2,2,139.0,3,medium,F,23,1283,1
4375,D,Road,6,1,246.0,3,medium,M,7,4733,1
4004,F,Ship,2,2,158.0,3,medium,F,2,4153,0
3475,D,Ship,2,2,161.0,5,medium,M,3,4138,0
5527,D,Ship,6,5,252.0,4,low,F,9,1460,0
7787,C,Road,5,4,222.0,3,low,M,1,4834,1
9968,F,Ship,5,4,266.0,2,medium,M,1,5494,0
9183,A,Flight,6,3,266.0,4,medium,F,8,1547,0
2049,A,Road,3,2,185.0,2,high,F,49,3864,1
4793,C,Flight,5,3,272.0,2,low,F,4,5112,0
7248,F,Road,3,2,185.0,4,low,F,8,5545,0
2011,D,Ship,4,5,264.0,3,medium,M,57,3753,1
2301,A,Ship,4,1,251.0,3,low,F,33,2502,1
241,D,Ship,4,5,270.0,4,low,M,65,1818,1
9721,D,Road,4,2,147.0,3,low,M,3,4152,1
1050,F,Ship,6,5,237.0,5,high,F,63,2573,1
7886,F,Ship,4,1,139.0,3,low,F,7,5317,0
486,F,Ship,5,5,263.0,8,medium,F,9,2236,1
5296,B,Ship,3,4,169.0,3,low,F,4,5716,0
3680,F,Road,4,3,240.0,2,medium,F,2,5588,0
5330,F,Road,5,1,234.0,3,high,F,9,5548,0
10165,D,Ship,4,3,147.0,2,low,M,2,5431,0
4043,C,Ship,2,3,187.0,3,medium,F,6,5547,0
8503,D,Flight,5,1,179.0,2,high,M,8,5301,1
2698,B,Ship,3,5,272.0,2,medium,M,31,2438,1
202,B,Ship,2,3,160.0,3,low,F,43,1251,1
6312,F,Flight,6,5,269.0,4,low,M,9,1826,0
1444,B,Ship,5,3,184.0,4,medium,F,2,3798,1
9863,C,Flight,4,5,171.0,2,medium,F,1,4439,0
8253,A,Ship,5,2,158.0,3,low,M,4,4324,0
185,C,Ship,3,3,146.0,2,low,M,50,1486,1
1784,F,Flight,5,4,206.0,3,low,M,53,2182,1
7084,B,Ship,5,1,198.0,4,low,F,5,5719,0
7842,F,Ship,2,2,201.0,3,high,M,2,4865,1
10621,D,Ship,4,3,156.0,3,medium,F,8,4701,1
2777,C,Ship,3,3,192.0,7,high,F,36,3634,1
4667,C,Flight,3,5,202.0,3,low,M,2,5208,0
2609,C,Flight,5,1,265.0,3,medium,M,6,2452,1
3056,F,Ship,4,2,247.0,5,medium,F,17,3630,1
4716,F,Ship,3,3,204.0,4,high,M,9,4712,0
10235,C,Ship,5,5,226.0,4,low,F,10,5676,1
7912,B,Ship,3,3,239.0,3,medium,M,7,4942,0
9959,C,Ship,5,2,250.0,6,low,M,1,1296,1
1520,F,Flight,3,3,172.0,4,low,F,33,1989,1
10259,C,Road,3,3,155.0,3,medium,M,5,4957,1
7892,F,Ship,4,4,166.0,2,low,M,8,5192,0
6004,B,Road,6,5,295.0,4,medium,M,2,1981,0
10632,F,Ship,4,2,230.0,3,high,F,5,5888,0
5517,A,Ship,6,2,290.0,4,medium,M,2,1070,1
3362,F,Ship,5,2,250.0,3,medium,F,6,5298,0
530,F,Road,6,1,243.0,4,high,F,22,3537,1
5891,C,Flight,3,4,138.0,2,medium,F,8,4837,0
3240,F,Ship,4,2,145.0,3,medium,F,4,5122,1
8042,F,Ship,6,2,272.0,5,low,M,8,1045,0
320,F,Ship,4,5,213.0,4,low,M,39,2381,1
4463,C,Ship,5,4,182.0,3,medium,F,7,5677,1
4812,F,Flight,6,5,245.0,4,low,F,8,1403,0
10820,F,Flight,4,4,249.0,3,medium,F,4,5809,1
7598,F,Ship,5,4,201.0,3,low,F,5,5137,0
1312,B,Ship,3,4,161.0,3,low,F,25,1048,1
2220,F,Ship,6,5,240.0,4,medium,M,62,2400,1
10992,F,Ship,5,2,261.0,5,medium,M,9,1227,1
10082,F,Ship,3,2,215.0,2,low,F,7,4305,0
9772,B,Ship,3,5,211.0,2,low,F,5,5877,1
7561,D,Ship,2,2,169.0,3,medium,F,4,5485,1
4098,F,Road,6,1,139.0,5,medium,M,1,4243,0
5779,D,Ship,4,2,243.0,5,medium,F,8,1922,0
