발전기명,일자,설비용량,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
c,2020-01-09,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,7.486000000000001,18.757,37.112,38.197,37.302,33.582,23.701999999999998,18.484,12.597,3.5460000000000003,0.12000000000000001,0.956,0.164,0.032,0.0,0.0
d,2020-01-09,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,8.741000000000001,18.436,32.873000000000005,38.151,35.785,35.96,26.950999999999997,19.716,12.384,3.3640000000000003,0.134,0.921,0.151,0.028999999999999998,0.0,0.0
a,2020-01-10,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,21.71,85.3,143.15,172.64,171.13,167.43,142.32,95.42,21.81,5.64,4.12,4.53,1.84,0.68,0.05,0.0
b,2020-01-10,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536,19.990000000000002,77.374,156.517,188.84099999999998,154.019,173.18200000000002,147.602,98.398,23.256,6.183,4.502,4.149,1.7710000000000001,0.682,0.048,0.0
c,2020-01-10,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5920000000000001,22.445,82.083,129.294,184.402,171.906,184.043,128.505,88.766,19.819,5.093999999999999,4.445,4.7700000000000005,1.868,0.686,0.054000000000000006,0.0
d,2020-01-10,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536,23.032,84.48,138.76000000000002,178.034,157.916,174.96200000000002,132.22799999999998,100.766,22.511,5.379,4.074,4.231,1.6980000000000002,0.671,0.052000000000000005,0.0
a,2020-01-11,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,7.93,36.45,76.85,49.34,36.24,35.43,29.05,23.76,11.98,4.3,0.55,1.24,0.76,0.1,0.0,0.0
b,2020-01-11,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277,8.668,39.689,82.184,46.932,37.86,37.883,29.400000000000002,23.770000000000003,11.526,3.981,0.52,1.173,0.6930000000000001,0.094,0.0,0.0
c,2020-01-11,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28200000000000003,8.642,37.59,70.17599999999999,44.5,32.828,38.49,29.263,24.080000000000002,11.290000000000001,4.47,0.516,1.274,0.773,0.097,0.0,0.0
d,2020-01-11,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,7.516,35.352000000000004,82.797,54.143,39.602000000000004,35.792,30.763,25.374000000000002,11.389000000000001,4.695,0.5700000000000001,1.301,0.776,0.092,0.0,0.0
a,2020-01-12,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,7.72,28.1,51.65,51.58,69.52,55.0,74.69,52.38,20.85,5.81,2.06,1.5,0.4,0.02,0.0,0.0
b,2020-01-12,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,7.045999999999999,27.981,49.167,54.309,65.824,51.627,78.03399999999999,49.114000000000004,21.432000000000002,5.702999999999999,1.923,1.644,0.388,0.018000000000000002,0.0,0.0
c,2020-01-12,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,7.486,27.824,51.839,51.698,74.699,52.022,71.77199999999999,48.959,19.794,6.388,1.925,1.505,0.41600000000000004,0.018000000000000002,0.0,0.0
d,2020-01-12,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055999999999999994,7.826,27.455000000000002,52.381,54.452999999999996,68.211,55.878,81.595,53.271,22.650000000000002,5.6209999999999996,2.25,1.6280000000000001,0.402,0.019,0.0,0.0
a,2020-01-13,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,8.22,32.72,69.08,119.34,125.21,110.04,101.31,65.43,21.96,6.19,3.86,2.51,1.23,0.5,0.0,0.0
b,2020-01-13,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,8.110000000000001,30.288999999999998,67.038,129.019,127.464,101.736,101.10300000000001,60.36500000000001,19.783,6.509,3.621,2.5999999999999996,1.1139999999999999,0.534,0.0,0.0
c,2020-01-13,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13999999999999999,8.824,31.45,70.114,109.60900000000001,133.684,107.349,96.299,64.32400000000001,20.435000000000002,6.133,3.665,2.7089999999999996,1.2369999999999999,0.521,0.0,0.0
d,2020-01-13,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,7.524000000000001,33.612,68.139,122.10000000000001,130.516,118.19500000000001,92.32600000000001,59.913000000000004,21.736,6.752000000000001,4.028,2.626,1.24,0.46,0.0,0.0
a,2020-01-14,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.76,3.7,6.04,10.66,15.5,28.89,67.12,70.28,35.55,8.54,3.18,1.34,0.65,0.04,0.0,0.0
b,2020-01-14,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.714,3.3960000000000004,5.973,10.674,14.142,26.563000000000002,62.32000000000001,76.455,37.04,8.219999999999999,3.357,1.3230000000000002,0.596,0.04,0.0,0.0
c,2020-01-14,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.751,3.7030000000000003,6.58,11.407,14.234,31.719,69.837,73.155,32.285999999999994,8.167,3.16,1.344,0.633,0.037,0.0,0.0
d,2020-01-14,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.751,3.5660000000000003,5.969,9.973,15.194,30.501,65.98100000000001,71.531,36.687,8.844,3.357,1.221,0.617,0.042,0.0,0.0
a,2020-01-15,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,13.73,58.21,75.15,79.6,83.5,94.78,59.16,29.31,19.35,6.78,4.47,3.03,0.91,0.09,0.01,0.0
b,2020-01-15,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,13.415000000000001,57.802,76.799,82.37299999999999,84.893,102.123,53.943999999999996,31.576999999999998,18.033,7.425000000000001,4.653,3.3209999999999997,0.8240000000000001,0.098,0.01,0.0
c,2020-01-15,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301,14.075000000000001,56.452,80.283,79.24799999999999,84.541,96.526,58.541999999999994,31.846,18.362000000000002,6.875,4.733,2.8449999999999998,0.854,0.09,0.01,0.0
d,2020-01-15,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338,12.712,59.568,67.921,79.005,91.58,91.392,62.684,30.171999999999997,19.428,7.321000000000001,4.6499999999999995,3.1529999999999996,0.9570000000000001,0.097,0.01,0.0
a,2020-01-16,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,4.79,15.63,40.22,78.44,80.17,88.94,83.72,42.76,23.0,7.25,2.91,1.61,1.03,0.16,0.02,0.0
b,2020-01-16,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,5.252,14.146,40.129,73.342,86.102,88.41199999999999,86.956,46.394999999999996,21.061,7.723,2.845,1.4620000000000002,1.12,0.159,0.018000000000000002,0.0
c,2020-01-16,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,5.167,15.317,38.971,76.93299999999999,84.32900000000001,94.477,84.692,42.596,25.006,7.669,2.7560000000000002,1.522,0.98,0.163,0.021,0.0
d,2020-01-16,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,4.367,16.002000000000002,36.25,77.113,74.785,80.532,76.959,41.595,21.451999999999998,7.358,2.673,1.488,0.997,0.168,0.021,0.0
a,2020-01-17,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,17.39,50.73,123.2,152.97,159.6,139.92,122.25,91.58,38.22,7.62,4.41,4.99,1.86,0.64,0.05,0.0
b,2020-01-17,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11900000000000001,16.533,51.26,130.276,157.981,171.162,142.68099999999998,132.799,98.16199999999999,40.385,7.566,4.542,4.815,2.011,0.646,0.049,0.0
c,2020-01-17,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,18.292,47.727999999999994,133.395,149.513,151.594,136.879,117.44200000000001,90.609,37.885999999999996,7.901,3.979,5.3870000000000005,1.977,0.702,0.049,0.0
d,2020-01-17,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,18.653,50.721,132.388,151.772,151.755,126.53699999999999,114.819,87.15599999999999,36.049,6.977,4.625,5.346,1.9760000000000002,0.626,0.048,0.0
a,2020-01-18,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,21.77,75.73,111.46,136.19,139.64,135.85,116.05,80.54,31.83,7.27,3.52,2.05,0.8,0.1,0.05,0.0
b,2020-01-18,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681,19.747,70.468,108.91099999999999,129.551,139.63799999999998,148.992,125.562,82.102,32.214999999999996,7.257,3.447,1.9789999999999999,0.781,0.10400000000000001,0.052000000000000005,0.0
c,2020-01-18,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633,23.049,79.912,117.47699999999999,144.624,144.78799999999998,142.102,110.207,81.985,31.794999999999998,7.7459999999999996,3.257,2.1919999999999997,0.8420000000000001,0.109,0.049,0.0
d,2020-01-18,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,22.209,75.02000000000001,122.038,142.42,131.856,129.166,105.102,83.65,28.718999999999998,6.984999999999999,3.699,1.878,0.8550000000000001,0.101,0.053000000000000005,0.0
a,2020-01-19,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,7.36,22.36,43.31,58.85,32.22,21.93,8.0,10.89,12.38,3.56,0.04,0.79,0.04,0.01,0.01,0.0
b,2020-01-19,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,7.738,21.515,39.845,57.449,31.195999999999998,19.968,7.559,11.286000000000001,13.384,3.586,0.039,0.8250000000000001,0.037,0.011,0.009000000000000001,0.0
c,2020-01-19,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,7.001,24.342,43.888000000000005,61.773,34.918,23.931,8.038,11.194,13.262,3.299,0.039,0.868,0.039,0.011,0.011,0.0
d,2020-01-19,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,7.042000000000001,21.184,39.635000000000005,61.045,30.669999999999998,22.157,7.362,10.147,13.171000000000001,3.5540000000000003,0.039,0.739,0.043000000000000003,0.009000000000000001,0.011,0.0
a,2020-01-20,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,7.88,39.58,83.61,131.53,170.62,159.21,125.83,105.41,49.64,10.19,4.35,4.91,1.76,0.6,0.05,0.0
b,2020-01-20,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15300000000000002,7.373,39.725,78.63,135.407,186.30100000000002,156.056,113.779,107.121,50.425,10.953999999999999,4.603,4.715,1.908,0.657,0.049,0.0
c,2020-01-20,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,8.347,38.077999999999996,88.389,137.32,178.115,148.78,124.003,99.991,51.325,10.251,4.425,4.884,1.709,0.5499999999999999,0.048,0.0
d,2020-01-20,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,8.100999999999999,37.617,78.118,140.095,155.636,172.95000000000002,134.97899999999998,108.696,51.859,9.363,3.9529999999999994,5.3180000000000005,1.725,0.658,0.048,0.0
a,2020-01-21,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,27.83,105.08,159.69,186.13,189.72,182.83,163.52,128.67,59.43,10.15,4.41,4.9,1.98,0.77,0.05,0.0
b,2020-01-21,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8170000000000001,29.659,114.649,170.602,192.82399999999998,191.887,164.572,157.196,126.65099999999998,60.81,10.145,4.667,4.722,2.114,0.728,0.052000000000000005,0.0
c,2020-01-21,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6970000000000001,27.229999999999997,113.228,154.893,193.54999999999998,208.46699999999998,187.312,156.02,121.09299999999999,57.728,9.312000000000001,4.6610000000000005,4.82,2.163,0.772,0.047,0.0
d,2020-01-21,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778,29.24,113.593,166.7,199.276,186.12,182.616,161.723,123.14499999999998,55.019999999999996,9.32,4.2620000000000005,5.306,1.982,0.8130000000000001,0.05,0.0
a,2020-01-22,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.32,3.46,16.72,17.38,12.99,9.88,6.74,3.63,1.69,1.01,0.11,0.77,0.32,0.26,0.02,0.01
b,2020-01-22,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,1.4380000000000002,3.625,18.32,18.204,12.672,10.74,6.9430000000000005,3.783,1.762,0.926,0.101,0.761,0.331,0.23900000000000002,0.019,0.009000000000000001
c,2020-01-22,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043000000000000003,1.2770000000000001,3.568,16.351,17.506,13.788,9.243,7.123,3.7489999999999997,1.523,1.097,0.109,0.7110000000000001,0.339,0.268,0.021,0.009000000000000001
d,2020-01-22,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,1.282,3.191,16.244999999999997,16.549,14.119,10.771,6.6290000000000004,3.628,1.6179999999999999,0.925,0.114,0.835,0.307,0.263,0.02,0.01
a,2020-01-23,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,3.46,8.12,17.44,40.9,60.9,60.64,79.21,84.37,39.16,9.27,4.1,2.36,0.61,0.04,0.0,0.0
b,2020-01-23,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386,3.801,8.921,16.309,39.419,61.942,66.552,71.86399999999999,79.92,41.022999999999996,8.979,3.937,2.202,0.606,0.041,0.0,0.0
c,2020-01-23,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357,3.71,8.135,17.759,37.238,60.902,60.665,82.967,86.10300000000001,41.918,8.735,4.438,2.3939999999999997,0.661,0.043000000000000003,0.0,0.0
d,2020-01-23,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32899999999999996,3.804,7.441999999999999,16.17,37.622,66.687,58.296,74.02199999999999,83.32600000000001,36.385999999999996,8.625,3.784,2.585,0.664,0.039,0.0,0.0
a,2020-01-24,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,12.37,45.1,56.54,74.97,97.21,113.57,91.77,44.61,27.36,8.74,4.1,2.05,1.15,0.33,0.03,0.0
b,2020-01-24,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,12.963999999999999,45.215,59.278999999999996,74.597,93.606,108.464,91.89,41.505,26.189999999999998,9.015,4.074,1.9389999999999998,1.123,0.315,0.033,0.0
c,2020-01-24,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,13.056999999999999,45.176,55.083999999999996,71.999,105.09599999999999,120.729,90.503,41.339,26.427,9.043000000000001,4.255,1.9379999999999997,1.0619999999999998,0.35700000000000004,0.027,0.0
d,2020-01-24,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,13.303999999999998,43.296,53.753,82.222,95.69999999999999,121.143,86.84299999999999,46.222,26.961,7.893000000000001,4.428,1.9349999999999998,1.261,0.306,0.031,0.0
a,2020-01-25,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,12.25,25.12,21.19,29.5,35.75,31.68,14.38,5.59,1.75,2.2,0.12,0.91,0.15,0.02,0.01,0.01
b,2020-01-25,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7210000000000001,11.885,24.375,19.769000000000002,30.488,35.568,28.608999999999998,14.209000000000001,6.077,1.698,2.0570000000000004,0.11299999999999999,0.9590000000000001,0.162,0.021,0.009000000000000001,0.009000000000000001
c,2020-01-25,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.622,12.167,24.934,22.374000000000002,27.195,36.312,29.773,14.279,5.768,1.786,2.3560000000000003,0.11399999999999999,0.9520000000000001,0.155,0.021,0.01,0.01
d,2020-01-25,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.663,12.863,24.753,21.068,30.305,33.348,31.084,13.457,5.1979999999999995,1.576,2.035,0.125,0.873,0.152,0.021,0.009000000000000001,0.01
a,2020-01-26,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,9.78,28.45,50.42,50.2,35.64,26.09,17.5,16.89,8.93,3.69,0.15,1.05,0.25,0.03,0.0,0.0
b,2020-01-26,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,10.53,29.416,45.428000000000004,49.370000000000005,36.480000000000004,27.55,16.631,18.175,9.265,3.757,0.13899999999999998,1.085,0.227,0.03,0.0,0.0
c,2020-01-26,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,10.446,30.03,54.543,46.605000000000004,38.617,24.185,16.26,18.14,8.592,3.597,0.13699999999999998,0.9540000000000001,0.247,0.03,0.0,0.0
d,2020-01-26,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,10.524999999999999,29.115,45.83,51.432,37.638,23.789,17.774,15.481,9.501999999999999,4.019,0.15,1.127,0.235,0.027999999999999997,0.0,0.0
a,2020-01-27,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.38,3.6,10.18,15.47,18.7,17.56,29.7,30.94,18.22,7.3,0.57,1.05,0.12,0.0,0.0,0.0
b,2020-01-27,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.41200000000000003,3.915,11.041,16.792,18.889,16.099999999999998,27.771,32.814,16.893,7.768,0.621,1.014,0.12,0.0,0.0,0.0
c,2020-01-27,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.405,3.3000000000000003,10.775,16.285,19.980999999999998,16.317,28.564,32.533,19.926,6.9079999999999995,0.5299999999999999,0.9810000000000001,0.124,0.0,0.0,0.0
d,2020-01-27,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.365,3.474,10.129999999999999,14.422,18.317,16.020999999999997,28.832,32.668,17.253,7.3629999999999995,0.575,1.0150000000000001,0.131,0.0,0.0,0.0
a,2020-01-28,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,3.81,20.02,40.62,68.92,78.4,70.11,55.19,43.98,38.05,11.5,2.59,1.23,0.08,0.03,0.01,0.0
b,2020-01-28,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055999999999999994,3.9090000000000003,20.963,41.281,74.58200000000001,74.122,73.735,52.711999999999996,43.699999999999996,41.428,11.128,2.7199999999999998,1.284,0.078,0.03,0.009000000000000001,0.0
c,2020-01-28,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,3.46,21.61,41.695,62.747,73.74300000000001,69.893,57.178,45.766,35.479,10.813,2.605,1.21,0.083,0.032,0.011,0.0
d,2020-01-28,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,3.611,20.413,44.457,73.892,71.742,72.855,59.375,47.168,39.980999999999995,12.097,2.73,1.197,0.082,0.027999999999999997,0.01,0.0
