ID,motion_0,motion_1,motion_2,motion_3,motion_4,motion_5,motion_6,motion_7,motion_8,motion_9,motion_10,motion_11,motion_12,motion_13,motion_14,motion_15,motion_16,motion_17,motion_18,motion_19,motion_20,motion_21,motion_22,motion_23,motion_24,motion_25,motion_26,motion_27,motion_28,motion_29,motion_30,motion_31,motion_32,motion_33,motion_34,motion_35,motion_36,motion_37,motion_38,motion_39,motion_40,motion_41,motion_42,motion_43,motion_44,motion_45,motion_46,motion_47,motion_48,motion_49,motion_50,motion_51,motion_52,motion_53,motion_54,motion_55,motion_56,motion_57,motion_58,motion_59,motion_60,motion_61,motion_62,motion_63
14,13.0,-1.0,4.0,1.0,-7.0,-3.0,35.0,13.0,-63.0,11.0,5.0,1.0,11.0,-22.0,-31.0,9.0,47.0,-6.0,-7.0,-5.0,-6.0,10.0,16.0,-15.0,-39.0,-3.0,-4.0,1.0,2.0,4.0,-59.0,-27.0,41.0,4.0,-3.0,-3.0,13.0,-4.0,-56.0,-43.0,-18.0,-5.0,-2.0,6.0,2.0,28.0,61.0,47.0,-15.0,9.0,4.0,5.0,-1.0,17.0,76.0,26.0,25.0,7.0,0.0,-7.0,-27.0,8.0,23.0,42.0
15,3.0,1.0,0.0,0.0,-4.0,-4.0,-4.0,-3.0,7.0,16.0,4.0,7.0,-9.0,-19.0,5.0,11.0,-11.0,-14.0,3.0,3.0,-10.0,-16.0,-3.0,0.0,-7.0,0.0,-1.0,-3.0,-17.0,-29.0,-4.0,-6.0,-7.0,-2.0,0.0,-3.0,26.0,15.0,2.0,-7.0,27.0,-5.0,-3.0,-4.0,-11.0,3.0,2.0,23.0,9.0,8.0,1.0,5.0,1.0,-21.0,-2.0,-9.0,11.0,-5.0,-4.0,-7.0,12.0,18.0,2.0,8.0
16,-3.0,-2.0,-5.0,-3.0,20.0,14.0,-1.0,0.0,0.0,-2.0,-6.0,-7.0,-5.0,20.0,0.0,-5.0,4.0,4.0,4.0,2.0,-13.0,-20.0,-3.0,6.0,10.0,0.0,-2.0,1.0,3.0,3.0,2.0,-3.0,-9.0,-2.0,-1.0,-2.0,1.0,-2.0,2.0,-3.0,-10.0,-4.0,-4.0,-7.0,8.0,19.0,-1.0,5.0,2.0,-1.0,4.0,6.0,-11.0,12.0,-2.0,-6.0,-2.0,-1.0,-2.0,-2.0,-5.0,-13.0,1.0,5.0
18,-7.0,2.0,1.0,-2.0,-17.0,0.0,-1.0,-4.0,13.0,0.0,-1.0,1.0,-5.0,0.0,2.0,12.0,-44.0,-6.0,-5.0,-5.0,26.0,30.0,-3.0,-20.0,28.0,2.0,7.0,11.0,-47.0,-53.0,0.0,6.0,12.0,6.0,-1.0,-1.0,20.0,11.0,-2.0,-6.0,32.0,2.0,-2.0,-1.0,2.0,14.0,-2.0,-3.0,-1.0,-4.0,0.0,2.0,-14.0,-15.0,4.0,31.0,-27.0,-5.0,-2.0,-3.0,19.0,16.0,-3.0,-8.0
19,5.0,-8.0,11.0,-7.0,-5.0,-11.0,-25.0,-4.0,-17.0,-12.0,-2.0,10.0,-3.0,-25.0,6.0,-3.0,-13.0,4.0,-4.0,-1.0,13.0,12.0,14.0,7.0,-13.0,1.0,3.0,-4.0,3.0,19.0,1.0,11.0,-5.0,7.0,-10.0,17.0,-12.0,-7.0,-26.0,-11.0,-1.0,-11.0,10.0,-22.0,1.0,-12.0,-22.0,-2.0,5.0,13.0,-4.0,2.0,1.0,0.0,7.0,-15.0,12.0,-6.0,0.0,6.0,-1.0,14.0,54.0,5.0
20,41.0,11.0,4.0,3.0,-64.0,-41.0,-5.0,7.0,-1.0,-3.0,-1.0,0.0,-13.0,-8.0,1.0,-5.0,2.0,-1.0,-5.0,-6.0,9.0,13.0,1.0,1.0,-4.0,-2.0,3.0,3.0,4.0,2.0,2.0,2.0,-17.0,-2.0,-1.0,2.0,31.0,4.0,-5.0,-9.0,4.0,-2.0,1.0,-1.0,-27.0,-23.0,1.0,6.0,5.0,1.0,-4.0,-3.0,0.0,-8.0,0.0,1.0,11.0,-1.0,0.0,2.0,-3.0,14.0,2.0,19.0
21,2.0,0.0,-1.0,-4.0,-5.0,-1.0,-2.0,-6.0,0.0,0.0,-4.0,-4.0,15.0,13.0,0.0,-3.0,7.0,-1.0,-1.0,4.0,1.0,-14.0,-3.0,5.0,-14.0,-2.0,0.0,1.0,12.0,7.0,-1.0,-6.0,-4.0,-1.0,3.0,2.0,-25.0,-14.0,-3.0,0.0,-12.0,-1.0,-2.0,0.0,7.0,-4.0,2.0,-4.0,19.0,0.0,-2.0,-7.0,-24.0,-10.0,-1.0,1.0,-2.0,0.0,-1.0,1.0,0.0,-20.0,1.0,4.0
22,14.0,1.0,0.0,4.0,-10.0,31.0,1.0,17.0,22.0,4.0,0.0,-10.0,0.0,16.0,-9.0,10.0,5.0,-2.0,-2.0,-4.0,-10.0,-5.0,-16.0,-16.0,-30.0,3.0,-1.0,3.0,3.0,-2.0,-30.0,-2.0,-22.0,4.0,9.0,9.0,-8.0,-30.0,5.0,-12.0,-11.0,-17.0,-7.0,-3.0,-5.0,-9.0,-97.0,-22.0,0.0,3.0,-9.0,-29.0,8.0,22.0,100.0,27.0,12.0,4.0,1.0,6.0,-2.0,3.0,-59.0,-18.0
24,-7.0,-2.0,0.0,5.0,13.0,-10.0,-2.0,3.0,-10.0,-3.0,-1.0,-3.0,-21.0,-1.0,-3.0,-9.0,-3.0,2.0,-2.0,0.0,1.0,-11.0,2.0,3.0,-9.0,-2.0,-1.0,-6.0,-11.0,7.0,-1.0,-1.0,19.0,-2.0,-1.0,-1.0,14.0,6.0,4.0,10.0,-8.0,-1.0,-1.0,1.0,-18.0,-10.0,-4.0,-7.0,-9.0,1.0,0.0,0.0,9.0,12.0,-2.0,-5.0,-16.0,-5.0,-4.0,-8.0,-17.0,-7.0,-2.0,-5.0
25,29.0,-2.0,-5.0,3.0,17.0,10.0,40.0,2.0,4.0,10.0,5.0,6.0,-5.0,-18.0,-48.0,33.0,-14.0,-22.0,0.0,8.0,5.0,-24.0,-17.0,-39.0,15.0,9.0,4.0,-11.0,12.0,20.0,66.0,65.0,-9.0,7.0,-6.0,-6.0,-6.0,-6.0,63.0,-13.0,-3.0,-11.0,-4.0,-3.0,9.0,27.0,-3.0,-8.0,1.0,8.0,18.0,9.0,-3.0,-4.0,-65.0,7.0,0.0,18.0,0.0,1.0,-9.0,-44.0,-23.0,-25.0
26,3.0,0.0,0.0,-2.0,-3.0,-6.0,-29.0,-13.0,-25.0,2.0,5.0,10.0,-2.0,0.0,15.0,26.0,29.0,-4.0,-3.0,-2.0,9.0,4.0,-26.0,-22.0,-9.0,-6.0,-1.0,-12.0,-25.0,-29.0,-78.0,-4.0,-42.0,1.0,0.0,-4.0,7.0,22.0,85.0,11.0,70.0,1.0,-3.0,-3.0,5.0,5.0,-29.0,-13.0,-10.0,1.0,-1.0,2.0,5.0,9.0,-22.0,14.0,-10.0,6.0,9.0,22.0,-28.0,-25.0,-16.0,-18.0
27,-1.0,1.0,-3.0,-8.0,4.0,-1.0,0.0,-5.0,0.0,-2.0,1.0,0.0,-10.0,3.0,-1.0,-6.0,-13.0,-1.0,-3.0,1.0,0.0,8.0,-2.0,1.0,-1.0,-5.0,-9.0,-13.0,66.0,39.0,0.0,-13.0,21.0,10.0,0.0,2.0,-48.0,-26.0,-8.0,-1.0,-28.0,-12.0,4.0,16.0,-44.0,-33.0,-7.0,9.0,1.0,1.0,4.0,-2.0,-5.0,-11.0,3.0,1.0,27.0,3.0,2.0,4.0,-12.0,-16.0,-5.0,-6.0
28,10.0,-2.0,1.0,4.0,0.0,-3.0,78.0,12.0,-30.0,0.0,1.0,0.0,19.0,42.0,33.0,14.0,10.0,3.0,-1.0,-4.0,-14.0,-1.0,18.0,-24.0,-10.0,-2.0,-4.0,1.0,18.0,-9.0,-31.0,-3.0,-6.0,4.0,1.0,-2.0,-4.0,-4.0,-56.0,-7.0,25.0,-4.0,-4.0,1.0,2.0,-3.0,14.0,12.0,-15.0,-1.0,-2.0,6.0,-6.0,-20.0,-21.0,-10.0,1.0,-2.0,6.0,9.0,16.0,2.0,47.0,22.0
29,-27.0,-15.0,-6.0,0.0,-5.0,-16.0,-81.0,-19.0,-13.0,3.0,-5.0,8.0,1.0,-2.0,43.0,-8.0,27.0,-11.0,5.0,-31.0,-7.0,6.0,-61.0,-6.0,-33.0,-3.0,-4.0,1.0,-2.0,-9.0,54.0,-5.0,-17.0,12.0,-1.0,-14.0,-10.0,17.0,29.0,25.0,24.0,-16.0,-1.0,6.0,-1.0,-1.0,8.0,4.0,6.0,2.0,2.0,5.0,8.0,1.0,72.0,-2.0,-28.0,-14.0,15.0,44.0,16.0,-16.0,-70.0,-16.0
30,-6.0,1.0,5.0,5.0,-29.0,-21.0,-1.0,-4.0,4.0,2.0,-2.0,0.0,6.0,-7.0,5.0,2.0,-6.0,-2.0,0.0,0.0,6.0,-1.0,-2.0,-2.0,-2.0,0.0,-3.0,-3.0,4.0,20.0,-1.0,1.0,-5.0,-1.0,-4.0,4.0,41.0,34.0,2.0,0.0,-25.0,2.0,9.0,9.0,-70.0,-87.0,-2.0,-4.0,-13.0,-2.0,-1.0,-2.0,7.0,-13.0,0.0,-5.0,40.0,10.0,0.0,-2.0,13.0,19.0,-1.0,11.0
31,-7.0,0.0,-2.0,3.0,10.0,3.0,-19.0,-22.0,-35.0,-1.0,2.0,1.0,-16.0,-5.0,-38.0,4.0,22.0,-1.0,-3.0,-4.0,23.0,2.0,-42.0,-22.0,10.0,-1.0,-1.0,6.0,-13.0,2.0,-7.0,32.0,-4.0,-4.0,-3.0,-11.0,6.0,5.0,85.0,-10.0,0.0,-2.0,0.0,1.0,-2.0,-18.0,-98.0,-27.0,4.0,3.0,3.0,4.0,6.0,35.0,92.0,31.0,-10.0,-1.0,-3.0,-3.0,-1.0,0.0,-64.0,-44.0
32,19.0,6.0,3.0,3.0,3.0,-6.0,-11.0,5.0,-52.0,0.0,-6.0,-9.0,-12.0,0.0,-1.0,-10.0,43.0,-11.0,-1.0,-1.0,-1.0,-4.0,-47.0,1.0,18.0,1.0,2.0,3.0,1.0,-23.0,-9.0,5.0,10.0,-3.0,-1.0,6.0,2.0,10.0,-14.0,-10.0,3.0,10.0,-4.0,-7.0,0.0,-13.0,-4.0,6.0,-30.0,14.0,-5.0,-6.0,2.0,16.0,23.0,35.0,-21.0,-21.0,0.0,-5.0,-3.0,-12.0,-3.0,-8.0
34,-4.0,-26.0,1.0,-10.0,1.0,15.0,-41.0,4.0,-5.0,19.0,6.0,-4.0,-2.0,-8.0,-17.0,3.0,-13.0,-32.0,-19.0,-17.0,-20.0,10.0,-16.0,-11.0,-11.0,-7.0,6.0,9.0,12.0,-21.0,-17.0,-4.0,-20.0,14.0,-1.0,6.0,-13.0,0.0,56.0,18.0,15.0,-8.0,-5.0,-11.0,7.0,1.0,-17.0,-11.0,10.0,4.0,-2.0,1.0,6.0,2.0,-110.0,-15.0,-65.0,2.0,-7.0,7.0,-20.0,-21.0,116.0,18.0
36,-6.0,-1.0,0.0,3.0,-4.0,-11.0,-6.0,-20.0,-5.0,0.0,0.0,7.0,0.0,-7.0,-6.0,6.0,2.0,3.0,1.0,3.0,-2.0,-1.0,1.0,10.0,-37.0,-4.0,-1.0,2.0,-21.0,-9.0,-17.0,-19.0,72.0,0.0,-10.0,-8.0,45.0,5.0,-16.0,4.0,-6.0,-8.0,4.0,7.0,-12.0,4.0,8.0,1.0,-4.0,1.0,-1.0,-10.0,-8.0,-1.0,-9.0,-1.0,0.0,-1.0,-1.0,-1.0,12.0,3.0,44.0,-13.0
37,-12.0,1.0,-1.0,1.0,-3.0,-27.0,-3.0,-29.0,4.0,-2.0,-1.0,0.0,22.0,4.0,1.0,9.0,-1.0,-2.0,-3.0,-3.0,-11.0,-1.0,-3.0,-7.0,-16.0,-1.0,0.0,-1.0,22.0,23.0,-4.0,-3.0,-8.0,-5.0,-1.0,-1.0,-1.0,20.0,1.0,-6.0,12.0,3.0,0.0,-3.0,-13.0,-15.0,-2.0,1.0,0.0,-7.0,-2.0,-4.0,28.0,23.0,1.0,3.0,-1.0,6.0,-2.0,0.0,-15.0,-1.0,-2.0,-7.0
38,-7.0,1.0,0.0,-3.0,-15.0,-20.0,-3.0,-1.0,-2.0,-2.0,2.0,2.0,18.0,5.0,0.0,-4.0,1.0,-3.0,-7.0,-4.0,-6.0,21.0,-1.0,0.0,-4.0,0.0,2.0,5.0,4.0,-6.0,2.0,-1.0,0.0,-3.0,1.0,0.0,7.0,3.0,-5.0,-4.0,-7.0,-4.0,-1.0,-2.0,-18.0,-5.0,-2.0,-3.0,-12.0,1.0,-2.0,-3.0,-2.0,2.0,-1.0,-3.0,44.0,3.0,-6.0,-6.0,-10.0,8.0,-1.0,12.0
39,18.0,8.0,0.0,-2.0,5.0,-8.0,-5.0,-3.0,-8.0,-10.0,0.0,-6.0,-2.0,4.0,-2.0,7.0,-26.0,-7.0,-9.0,-13.0,16.0,33.0,-3.0,-7.0,-7.0,0.0,2.0,8.0,-11.0,-20.0,0.0,5.0,-5.0,-3.0,0.0,3.0,31.0,2.0,2.0,-15.0,4.0,8.0,3.0,5.0,-2.0,-16.0,-1.0,2.0,11.0,-1.0,-2.0,-8.0,-4.0,26.0,1.0,-2.0,-4.0,-1.0,1.0,0.0,-5.0,-8.0,-2.0,5.0
40,5.0,1.0,2.0,2.0,-30.0,-31.0,-1.0,-2.0,-4.0,-1.0,-5.0,-5.0,29.0,21.0,-1.0,-4.0,1.0,-4.0,-5.0,-2.0,4.0,2.0,-2.0,4.0,-4.0,2.0,0.0,3.0,-38.0,-34.0,-2.0,-3.0,-23.0,-4.0,-5.0,-3.0,22.0,30.0,0.0,-9.0,-1.0,0.0,5.0,2.0,3.0,-16.0,-3.0,5.0,1.0,-3.0,-1.0,-2.0,25.0,46.0,1.0,-8.0,8.0,7.0,-2.0,-2.0,-19.0,-28.0,-3.0,4.0
41,2.0,46.0,8.0,-13.0,-11.0,-4.0,-81.0,-31.0,-16.0,-33.0,-21.0,-4.0,-17.0,-36.0,23.0,6.0,-17.0,14.0,21.0,8.0,17.0,12.0,71.0,17.0,34.0,-4.0,-6.0,-10.0,1.0,9.0,12.0,14.0,2.0,-8.0,1.0,8.0,12.0,-7.0,-20.0,-11.0,-12.0,19.0,2.0,-8.0,-10.0,1.0,1.0,-11.0,-8.0,-7.0,8.0,5.0,5.0,-11.0,-17.0,4.0,17.0,-13.0,5.0,16.0,25.0,-25.0,35.0,-9.0
43,-2.0,0.0,-2.0,-2.0,28.0,27.0,2.0,-1.0,10.0,-1.0,3.0,3.0,-29.0,-10.0,0.0,0.0,-28.0,-1.0,-2.0,-1.0,-23.0,-21.0,-2.0,-1.0,2.0,0.0,0.0,3.0,8.0,-4.0,-1.0,-4.0,-7.0,0.0,-1.0,-1.0,5.0,9.0,-5.0,-8.0,-8.0,-2.0,-4.0,-5.0,8.0,14.0,4.0,-10.0,-8.0,-1.0,1.0,3.0,12.0,-12.0,-7.0,-9.0,10.0,0.0,0.0,0.0,-47.0,-16.0,3.0,10.0
44,6.0,63.0,9.0,-1.0,-21.0,-1.0,-14.0,-12.0,-20.0,-94.0,-13.0,11.0,28.0,25.0,32.0,12.0,0.0,16.0,12.0,18.0,19.0,-13.0,-20.0,4.0,-5.0,21.0,-3.0,-27.0,-19.0,-27.0,-36.0,-57.0,9.0,7.0,-9.0,4.0,-34.0,-4.0,23.0,2.0,1.0,-26.0,-6.0,-24.0,38.0,-25.0,-64.0,24.0,-31.0,-63.0,2.0,16.0,-9.0,30.0,108.0,50.0,10.0,-29.0,-12.0,16.0,2.0,5.0,-39.0,18.0
45,-8.0,-5.0,-6.0,-5.0,-14.0,13.0,-3.0,-10.0,-16.0,-1.0,0.0,5.0,-7.0,-11.0,5.0,28.0,-35.0,-1.0,-3.0,-4.0,5.0,10.0,1.0,-12.0,79.0,5.0,0.0,-1.0,-8.0,-6.0,-1.0,13.0,5.0,0.0,-2.0,0.0,26.0,15.0,-2.0,3.0,4.0,-2.0,0.0,4.0,-31.0,-17.0,-1.0,-8.0,-18.0,-3.0,-1.0,-2.0,-11.0,-3.0,-3.0,0.0,-19.0,-3.0,0.0,-1.0,18.0,0.0,2.0,-11.0
46,-7.0,-2.0,-11.0,-6.0,-13.0,5.0,7.0,-11.0,2.0,-1.0,6.0,4.0,-5.0,-2.0,-13.0,2.0,7.0,3.0,12.0,18.0,-9.0,-1.0,39.0,11.0,-17.0,-14.0,-5.0,5.0,35.0,5.0,-25.0,-28.0,-47.0,-6.0,5.0,18.0,3.0,-10.0,-20.0,-2.0,78.0,20.0,-10.0,-27.0,-3.0,18.0,55.0,0.0,-4.0,-9.0,-1.0,16.0,-4.0,5.0,-16.0,3.0,3.0,-1.0,-3.0,-5.0,8.0,-3.0,-11.0,-7.0
48,-42.0,-6.0,0.0,-26.0,-3.0,11.0,26.0,-3.0,58.0,4.0,-4.0,-10.0,2.0,-9.0,-22.0,5.0,-12.0,1.0,0.0,10.0,8.0,38.0,-27.0,30.0,7.0,-8.0,-3.0,-3.0,9.0,25.0,58.0,-8.0,32.0,-1.0,7.0,11.0,9.0,-2.0,41.0,-12.0,-20.0,5.0,-1.0,-4.0,-2.0,-1.0,-45.0,-39.0,-7.0,-1.0,-2.0,-1.0,-4.0,-12.0,82.0,41.0,-11.0,7.0,4.0,-3.0,-4.0,-15.0,-73.0,-11.0
49,-12.0,0.0,1.0,1.0,-29.0,-18.0,-1.0,-4.0,10.0,4.0,-4.0,-2.0,41.0,25.0,3.0,10.0,-31.0,-16.0,1.0,2.0,-16.0,-12.0,-6.0,-7.0,37.0,7.0,3.0,-2.0,-5.0,-11.0,-2.0,-9.0,-3.0,2.0,-6.0,-7.0,1.0,-4.0,0.0,8.0,1.0,0.0,1.0,3.0,-2.0,1.0,3.0,-1.0,-3.0,-4.0,-4.0,-6.0,-3.0,11.0,-2.0,-7.0,-16.0,-5.0,-1.0,3.0,23.0,21.0,2.0,-4.0
51,66.0,-1.0,-2.0,-5.0,-14.0,-15.0,61.0,-13.0,4.0,-2.0,-4.0,-8.0,-8.0,27.0,23.0,8.0,-12.0,0.0,-2.0,-2.0,-5.0,3.0,1.0,9.0,3.0,-5.0,-4.0,-2.0,8.0,2.0,-43.0,-8.0,-22.0,-1.0,4.0,13.0,18.0,-16.0,-32.0,-23.0,0.0,8.0,3.0,-20.0,-22.0,-11.0,-77.0,25.0,19.0,1.0,-3.0,3.0,5.0,15.0,96.0,23.0,-6.0,-4.0,-5.0,-14.0,0.0,15.0,21.0,27.0
52,14.0,2.0,0.0,-5.0,3.0,3.0,0.0,5.0,-9.0,-5.0,-4.0,0.0,34.0,44.0,1.0,2.0,-4.0,0.0,2.0,-2.0,-41.0,-34.0,-3.0,-8.0,5.0,0.0,-1.0,-4.0,17.0,-14.0,0.0,0.0,-8.0,-5.0,-3.0,0.0,0.0,6.0,-1.0,0.0,-14.0,-1.0,1.0,-1.0,7.0,5.0,-1.0,-5.0,36.0,4.0,-2.0,-3.0,-13.0,-8.0,-5.0,-1.0,0.0,1.0,2.0,3.0,-8.0,-14.0,-4.0,-3.0
53,-3.0,-2.0,-2.0,3.0,-21.0,-7.0,0.0,-5.0,-11.0,0.0,3.0,4.0,-40.0,-47.0,-2.0,1.0,19.0,2.0,-4.0,-3.0,33.0,8.0,2.0,19.0,7.0,3.0,2.0,0.0,8.0,-3.0,-5.0,1.0,1.0,-3.0,-2.0,-1.0,22.0,16.0,2.0,1.0,-4.0,-4.0,0.0,0.0,-5.0,2.0,-3.0,-6.0,-29.0,-2.0,3.0,0.0,-23.0,-21.0,-4.0,-12.0,13.0,-2.0,-3.0,-5.0,1.0,16.0,2.0,6.0
55,-1.0,2.0,-2.0,-4.0,22.0,14.0,2.0,-2.0,1.0,-3.0,0.0,-1.0,12.0,22.0,0.0,5.0,-37.0,-5.0,2.0,6.0,-3.0,12.0,1.0,-6.0,25.0,3.0,-3.0,-4.0,-5.0,-28.0,-3.0,1.0,25.0,2.0,-2.0,-2.0,6.0,23.0,-2.0,-1.0,5.0,1.0,-3.0,-1.0,-23.0,-28.0,-2.0,2.0,-3.0,-4.0,0.0,-1.0,-23.0,-22.0,-4.0,2.0,-29.0,-4.0,1.0,-1.0,19.0,0.0,-1.0,-11.0
56,-6.0,-2.0,0.0,-1.0,-6.0,3.0,-2.0,-16.0,-3.0,0.0,-3.0,-4.0,-10.0,-8.0,-1.0,2.0,-6.0,-4.0,1.0,1.0,38.0,16.0,0.0,-9.0,-18.0,2.0,-1.0,3.0,22.0,8.0,1.0,-1.0,-11.0,-10.0,-6.0,-8.0,-19.0,15.0,1.0,-3.0,36.0,3.0,0.0,0.0,-16.0,-24.0,-5.0,5.0,-31.0,-1.0,3.0,3.0,-6.0,-20.0,-2.0,-5.0,21.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0
