ID,model,year,transmission,mileage,fuelType,tax(£),mpg,engineSize
36, I20,2016,Manual,19398,Petrol,30,58.9,1.2
37, I10,2018,Manual,9209,Petrol,145,57.6,1.2
39, I10,2016,Manual,23340,Petrol,20,60.1,1.0
40, I30,2018,Manual,12933,Petrol,145,57.7,1.0
41, I20,2015,Manual,44226,Petrol,30,55.4,1.2
42, IX20,2016,Manual,20063,Petrol,125,50.4,1.4
43, Tucson,2017,Manual,35160,Diesel,30,61.7,1.7
44, Tucson,2018,Manual,12964,Petrol,150,44.8,1.6
46, I30,2018,Manual,17271,Petrol,145,52.3,1.4
47, I10,2018,Manual,24040,Petrol,145,57.7,1.2
48, IX35,2015,Manual,59629,Diesel,150,53.3,1.7
49, Kona,2019,Manual,3624,Petrol,145,44.1,1.0
50, Tucson,2017,Manual,5067,Petrol,145,44.8,1.6
51, I20,2018,Manual,22875,Petrol,145,58.9,1.2
52, I10,2017,Manual,20945,Petrol,145,60.1,1.0
53, I10,2018,Manual,10293,Petrol,145,57.6,1.2
54, I10,2019,Manual,8104,Petrol,145,60.1,1.0
55, I20,2016,Manual,64074,Petrol,20,62.8,1.0
56, IX35,2015,Automatic,39661,Diesel,265,41.5,2.0
57, Tucson,2017,Manual,40195,Diesel,30,61.7,1.7
58, I20,2016,Manual,11869,Petrol,30,56.5,1.2
60, I20,2016,Automatic,2000,Petrol,160,44.1,1.4
61, I20,2019,Manual,11166,Petrol,145,46.3,1.2
62, I20,2017,Manual,16416,Petrol,150,58.9,1.2
63, I10,2019,Manual,10,Petrol,145,49.6,1.0
64, I10,2017,Manual,14528,Petrol,145,60.1,1.0
66, I20,2018,Manual,12100,Petrol,145,46.3,1.2
67, Tucson,2017,Semi-Auto,35043,Diesel,125,57.6,1.7
69, Ioniq,2018,Semi-Auto,6897,Hybrid,135,78.5,1.6
72, Tucson,2015,Manual,21904,Diesel,30,61.7,1.7
73, Tucson,2016,Manual,51963,Diesel,30,61.7,1.7
74, I30,2019,Manual,3241,Petrol,145,41.5,1.4
75, I10,2017,Manual,27604,Petrol,150,60.1,1.0
76, IX35,2014,Manual,35541,Diesel,145,53.3,1.7
77, I30,2018,Semi-Auto,9578,Petrol,145,52.3,1.4
79, Tucson,2016,Manual,42252,Diesel,205,47.9,2.0
81, Tucson,2017,Manual,39530,Diesel,30,61.7,1.7
82, Tucson,2017,Manual,17528,Diesel,150,61.7,1.7
84, I10,2017,Manual,9647,Petrol,145,60.1,1.0
86, I20,2016,Manual,8598,Petrol,30,55.4,1.2
87, I20,2018,Manual,21199,Petrol,145,58.9,1.2
88, Tucson,2019,Semi-Auto,9898,Petrol,150,35.8,1.6
91, I30,2016,Semi-Auto,37023,Diesel,20,72.4,1.6
93, I800,2019,Manual,17124,Diesel,150,31.7,2.5
94, Tucson,2019,Automatic,2003,Hybrid,145,50.4,1.6
95, I800,2019,Manual,14329,Diesel,150,31.7,2.5
96, I30,2019,Manual,3391,Petrol,145,34.0,2.0
97, Tucson,2016,Semi-Auto,37452,Diesel,125,57.6,1.7
99, I30,2016,Automatic,6839,Petrol,200,41.5,1.6
100, Santa Fe,2017,Automatic,18543,Diesel,140,42.8,2.2
101, I20,2017,Manual,9903,Petrol,30,55.4,1.2
102, I10,2014,Manual,37973,Petrol,30,57.6,1.2
103, I20,2018,Manual,20953,Diesel,150,72.4,1.4
104, IX20,2016,Manual,21304,Diesel,30,64.2,1.6
105, I10,2016,Manual,33318,Petrol,20,60.1,1.0
106, I40,2015,Manual,25350,Diesel,20,67.3,1.7
108, I40,2017,Manual,30043,Diesel,145,65.7,1.7
109, I10,2017,Manual,27000,Petrol,145,57.7,1.2
111, Tucson,2020,Semi-Auto,8000,Hybrid,150,50.4,1.6
112, Tucson,2016,Manual,27517,Diesel,30,61.7,1.7
114, Santa Fe,2020,Semi-Auto,5000,Diesel,145,39.2,2.2
115, Tucson,2019,Manual,16449,Petrol,145,34.9,1.6
116, Tucson,2019,Semi-Auto,10,Petrol,145,36.2,1.6
117, I10,2018,Manual,19087,Petrol,145,60.1,1.0
118, Tucson,2017,Semi-Auto,8465,Petrol,150,39.8,1.6
119, I10,2016,Semi-Auto,21473,Petrol,150,47.9,1.2
120, Santa Fe,2019,Automatic,100,Diesel,145,39.8,2.2
121, Tucson,2016,Manual,52532,Diesel,30,61.7,1.7
123, Tucson,2019,Manual,13076,Petrol,150,34.9,1.6
124, IX35,2014,Manual,22632,Diesel,145,53.3,1.7
127, IX35,2013,Manual,80465,Diesel,145,53.3,1.7
128, I10,2016,Manual,38000,Petrol,20,60.1,1.0
129, Tucson,2017,Manual,26421,Diesel,150,61.7,1.7
130, Tucson,2015,Manual,16212,Diesel,125,58.9,2.0
131, I10,2020,Semi-Auto,1200,Petrol,145,52.3,1.2
132, I10,2018,Manual,7804,Petrol,145,57.7,1.2
133, I10,2018,Manual,5406,Petrol,145,60.1,1.0
134, I800,2018,Manual,20896,Diesel,145,37.7,2.5
135, Tucson,2018,Manual,25295,Petrol,145,44.8,1.6
136, Tucson,2016,Manual,35600,Diesel,30,61.7,1.7
138, Kona,2018,Manual,17789,Petrol,145,52.3,1.0
139, I10,2019,Manual,4000,Petrol,145,49.6,1.0
140, Santa Fe,2019,Semi-Auto,7919,Diesel,145,39.2,2.2
142, Tucson,2017,Semi-Auto,20940,Diesel,125,57.6,1.7
143, I800,2017,Manual,44812,Diesel,300,37.7,2.5
145, IX20,2017,Manual,15956,Petrol,145,50.4,1.4
146, I10,2018,Manual,5713,Petrol,145,60.1,1.0
147, I10,2018,Manual,5800,Petrol,145,60.1,1.0
148, IX35,2013,Manual,34500,Diesel,145,53.3,1.7
149, Tucson,2019,Manual,17815,Petrol,145,34.9,1.6
150, IX20,2017,Automatic,15000,Petrol,160,43.5,1.6
151, I10,2017,Manual,30351,Petrol,145,60.1,1.0
153, I800,2018,Manual,33113,Diesel,145,31.7,2.5
154, Tucson,2016,Manual,31724,Diesel,30,61.7,1.7
155, I10,2019,Manual,16330,Petrol,145,60.1,1.0
156, I30,2017,Manual,19273,Diesel,150,74.3,1.6
157, I30,2014,Manual,45449,Petrol,145,47.1,1.4
158, Tucson,2018,Manual,19000,Petrol,145,34.9,1.6
159, Tucson,2016,Manual,41374,Diesel,30,61.7,1.7
160, Tucson,2017,Manual,12185,Diesel,145,61.7,1.7
162, I20,2014,Manual,31946,Petrol,30,57.6,1.2
163, I10,2017,Manual,19000,Petrol,30,57.6,1.2
164, Tucson,2017,Manual,36750,Diesel,30,61.7,1.7
165, I10,2016,Manual,9723,Petrol,20,60.1,1.0
166, I30,2018,Manual,29225,Petrol,150,34.0,2.0
167, I40,2016,Manual,29347,Diesel,30,65.7,1.7
168, IX20,2017,Automatic,21156,Petrol,145,43.5,1.6
169, Tucson,2018,Manual,7874,Diesel,145,48.7,1.6
170, I30,2018,Manual,12223,Petrol,145,57.7,1.0
171, I10,2013,Manual,34655,Petrol,20,61.4,1.2
173, Tucson,2018,Manual,6816,Petrol,145,44.8,1.6
174, Kona,2019,Manual,20189,Petrol,150,44.1,1.0
176, I10,2018,Manual,2442,Petrol,145,57.7,1.2
177, I30,2016,Manual,28390,Petrol,235,38.7,1.6
180, I30,2013,Manual,40029,Petrol,145,47.1,1.4
181, I30,2016,Manual,20153,Diesel,0,78.4,1.6
182, Ioniq,2018,Automatic,13727,Hybrid,135,78.5,1.6
183, Tucson,2018,Manual,14427,Petrol,145,44.8,1.6
185, I40,2017,Manual,9225,Diesel,145,65.7,1.7
186, I10,2017,Manual,13810,Petrol,20,60.1,1.0
187, Tucson,2019,Semi-Auto,9153,Petrol,145,36.2,1.6
189, Tucson,2018,Manual,18045,Diesel,150,61.7,1.7
191, I20,2013,Manual,41232,Petrol,30,57.6,1.2
192, Tucson,2019,Manual,3737,Petrol,145,34.9,1.6
193, I10,2018,Manual,11642,Petrol,145,60.1,1.0
194, Tucson,2019,Semi-Auto,5000,Hybrid,145,50.4,1.6
195, IX20,2017,Automatic,8314,Petrol,160,43.5,1.6
197, Ioniq,2017,Automatic,38249,Hybrid,140,78.5,1.6
198, I10,2017,Manual,21786,Petrol,145,60.1,1.0
199, I20,2017,Manual,28502,Petrol,145,55.4,1.2
200, I10,2018,Manual,16048,Petrol,150,57.7,1.2
202, Kona,2018,Manual,19,Petrol,145,44.1,1.0
204, Tucson,2018,Manual,10354,Petrol,145,44.8,1.6
205, I10,2015,Manual,13637,Petrol,30,57.6,0.0
206, I10,2018,Manual,10512,Petrol,145,60.1,1.0
208, Santa Fe,2017,Semi-Auto,39990,Diesel,235,42.8,2.2
212, Tucson,2018,Manual,9206,Petrol,145,44.8,1.6
213, Tucson,2016,Manual,35988,Diesel,30,61.7,1.7
214, I10,2017,Manual,20200,Petrol,145,60.1,1.0
215, Tucson,2019,Manual,13684,Petrol,145,34.9,1.6
217, I10,2017,Manual,44013,Petrol,145,60.1,1.0
221, IX35,2014,Manual,82203,Diesel,145,53.3,1.7
222, I30,2018,Manual,24512,Petrol,150,56.5,1.0
223, Tucson,2017,Manual,16353,Diesel,30,61.7,1.7
224, I30,2018,Manual,12098,Petrol,150,57.7,1.0
225, I10,2020,Manual,1900,Petrol,145,56.5,1.0
226, Tucson,2017,Manual,19098,Diesel,30,61.7,1.7
227, I20,2019,Manual,13879,Petrol,145,46.3,1.2
228, Tucson,2016,Manual,57535,Diesel,30,61.7,1.7
229, Tucson,2017,Semi-Auto,13037,Diesel,145,57.7,1.7
230, I30,2018,Manual,9558,Petrol,145,52.3,1.4
231, Tucson,2016,Manual,18504,Diesel,30,61.7,1.7
234, Tucson,2019,Manual,17948,Petrol,145,34.9,1.6
235, Kona,2019,Manual,14587,Petrol,145,44.1,1.0
236, I10,2014,Manual,62500,Petrol,30,57.6,1.2
238, I10,2018,Manual,7594,Petrol,145,60.1,1.0
240, Kona,2018,Manual,8361,Petrol,145,44.1,1.0
241, Tucson,2017,Semi-Auto,15948,Diesel,125,57.6,1.7
242, Tucson,2017,Semi-Auto,24163,Diesel,125,57.6,1.7
243, Tucson,2017,Manual,19179,Diesel,30,61.4,1.7
244, I10,2018,Manual,10858,Petrol,145,60.1,1.0
245, I20,2016,Manual,27780,Petrol,30,55.4,1.2
246, Ioniq,2019,Automatic,2000,Hybrid,135,62.8,1.6
247, I30,2015,Manual,21575,Diesel,20,72.4,1.6
248, I10,2017,Manual,16512,Petrol,145,57.7,1.2
249, I10,2018,Manual,28890,Petrol,145,60.1,1.0
250, Tucson,2019,Semi-Auto,9733,Petrol,150,35.8,1.6
251, I10,2014,Automatic,227,Petrol,160,45.6,1.2
252, I10,2017,Manual,5970,Petrol,150,60.1,1.0
253, I10,2020,Manual,2255,Petrol,145,49.6,1.0
254, Tucson,2015,Automatic,21000,Diesel,240,43.5,2.0
255, I20,2013,Automatic,12508,Petrol,145,47.1,1.4
257, Santa Fe,2019,Automatic,5000,Diesel,145,39.8,2.2
260, Santa Fe,2019,Automatic,1173,Diesel,145,39.2,2.2
261, Ioniq,2018,Automatic,19348,Hybrid,135,78.5,1.6
262, Santa Fe,2016,Manual,21972,Diesel,200,47.1,2.2
263, I10,2017,Manual,21107,Petrol,145,60.1,1.0
264, I10,2020,Manual,4550,Petrol,145,51.4,1.2
265, Tucson,2016,Manual,30082,Diesel,30,61.7,1.7
266, Santa Fe,2019,Semi-Auto,2390,Diesel,145,39.2,2.2
267, Tucson,2017,Manual,19687,Petrol,165,44.8,1.6
271, Tucson,2016,Manual,17103,Diesel,30,61.7,1.7
272, Ioniq,2018,Automatic,16428,Hybrid,135,78.5,1.6
274, IX35,2015,Manual,47049,Diesel,160,51.4,2.0
275, Tucson,2016,Manual,4859,Petrol,160,44.8,1.6
276, I30,2018,Automatic,39893,Petrol,145,51.4,1.4
277, I10,2019,Manual,497,Petrol,150,60.1,1.0
278, I30,2017,Manual,38982,Diesel,145,74.3,1.6
279, I10,2019,Manual,10332,Petrol,145,60.1,1.0
280, Kona,2019,Manual,7540,Petrol,145,44.1,1.0
281, I30,2020,Manual,2936,Petrol,145,45.6,1.0
283, I30,2019,Manual,4765,Petrol,145,42.2,1.4
284, I10,2017,Manual,32278,Petrol,145,60.1,1.0
285, I40,2017,Manual,17393,Diesel,145,65.7,1.7
287, I800,2019,Manual,6483,Diesel,145,31.7,2.5
288, Tucson,2007,Manual,90631,Petrol,300,35.3,2.0
289, I30,2019,Manual,2112,Petrol,145,41.5,1.4
290, Tucson,2019,Manual,17970,Petrol,150,34.9,1.6
291, I30,2019,Manual,10100,Petrol,145,44.8,1.0
292, I20,2015,Automatic,18784,Petrol,165,42.2,1.4
293, I10,2020,Manual,921,Petrol,145,55.4,1.2
294, IX20,2014,Manual,42000,Petrol,125,50.4,1.4
295, I30,2018,Manual,23064,Petrol,145,56.5,1.0
296, I30,2019,Manual,4700,Petrol,150,34.0,2.0
297, I10,2017,Manual,12645,Petrol,145,60.1,1.0
298, I40,2014,Automatic,56078,Diesel,200,47.1,1.7
299, Ioniq,2019,Automatic,8972,Hybrid,135,78.5,1.6
300, I20,2019,Manual,2946,Petrol,145,46.3,1.2
301, Ioniq,2019,Automatic,10547,Hybrid,135,78.5,1.6
302, Tucson,2016,Manual,25329,Diesel,30,61.7,1.7
303, Tucson,2016,Manual,21240,Diesel,30,61.7,1.7
304, Santa Fe,2018,Manual,27410,Diesel,145,47.1,2.2
305, Kona,2018,Manual,6922,Petrol,145,44.1,1.0
306, Tucson,2015,Manual,57000,Diesel,30,61.7,1.7
307, I10,2013,Automatic,46211,Petrol,125,51.4,1.2
308, Kona,2018,Manual,10200,Petrol,145,52.3,1.0
309, Tucson,2017,Manual,50408,Diesel,30,61.7,1.7
310, Tucson,2018,Manual,22115,Petrol,150,44.8,1.6
312, I30,2019,Manual,2851,Petrol,145,34.0,2.0
313, I800,2019,Manual,3844,Diesel,145,31.7,2.5
314, I30,2016,Manual,47978,Diesel,0,78.4,1.6
316, Tucson,2016,Manual,23257,Diesel,30,61.7,1.7
317, I10,2018,Manual,15207,Petrol,145,60.1,1.0
319, I40,2019,Manual,30,Diesel,145,54.3,1.6
320, I20,2017,Manual,17007,Petrol,145,65.7,1.0
321, Santa Fe,2019,Automatic,9970,Diesel,145,39.2,2.2
323, I20,2014,Manual,41500,Petrol,30,57.6,1.2
324, Tucson,2016,Manual,42231,Diesel,145,54.3,2.0
325, I10,2018,Manual,13365,Petrol,145,60.1,1.0
327, IX20,2017,Manual,11567,Petrol,145,50.4,1.4
328, I30,2018,Manual,12955,Petrol,145,52.3,1.4
329, Tucson,2017,Semi-Auto,9196,Diesel,125,57.6,1.7
330, Santa Fe,2017,Manual,30131,Diesel,150,47.1,2.2
331, Kona,2019,Semi-Auto,1527,Petrol,150,34.0,1.6
332, Tucson,2016,Manual,31237,Diesel,30,61.7,1.7
333, I20,2009,Manual,70151,Petrol,125,54.3,1.2
334, Ioniq,2017,Automatic,11062,Hybrid,0,78.5,1.6
335, Tucson,2019,Manual,6155,Hybrid,145,51.4,1.6
337, I10,2018,Manual,8623,Petrol,145,60.1,1.0
338, I10,2017,Manual,9859,Petrol,145,60.1,1.0
339, I10,2017,Manual,20863,Petrol,145,60.1,1.0
340, Tucson,2019,Manual,10,Hybrid,145,47.9,1.6
341, Tucson,2017,Manual,30806,Diesel,30,61.7,1.7
342, I20,2017,Manual,37500,Petrol,30,58.9,1.2
343, I20,2020,Manual,101,Petrol,145,46.3,1.2
344, I10,2015,Semi-Auto,20761,Petrol,165,45.6,1.2
346, Ioniq,2018,Semi-Auto,12050,Hybrid,135,78.5,1.6
347, I10,2014,Manual,23928,Petrol,20,60.1,1.0
348, I10,2017,Manual,21070,Petrol,145,60.1,1.0
349, Ioniq,2019,Automatic,6771,Hybrid,135,78.5,1.6
351, I10,2018,Manual,15885,Petrol,145,60.1,1.0
352, Kona,2018,Manual,24364,Petrol,150,52.3,1.0
353, I40,2018,Manual,30734,Diesel,145,67.3,1.7
354, I30,2018,Manual,15448,Petrol,150,57.7,1.0
355, IX20,2016,Manual,19999,Petrol,125,50.4,1.4
356, I10,2019,Manual,1000,Petrol,145,60.1,1.0
357, I10,2019,Semi-Auto,6000,Petrol,145,47.9,1.2
359, Santa Fe,2017,Semi-Auto,35406,Diesel,235,42.8,2.2
360, Tucson,2017,Automatic,7457,Diesel,125,57.6,0.0
361, I30,2018,Manual,17774,Petrol,145,56.5,1.0
362, Ioniq,2018,Semi-Auto,37445,Hybrid,135,78.5,1.6
363, Kona,2018,Manual,8085,Petrol,145,44.1,1.0
365, Kona,2020,Manual,6000,Petrol,150,44.1,1.0
366, I10,2018,Semi-Auto,4826,Petrol,145,47.9,1.2
367, Tucson,2016,Manual,30022,Diesel,30,61.7,1.7
370, Tucson,2017,Automatic,6987,Petrol,145,39.8,1.6
371, Ioniq,2017,Automatic,31171,Hybrid,0,78.5,1.6
372, Kona,2019,Manual,17815,Petrol,145,44.1,1.0
373, Tucson,2019,Semi-Auto,3500,Diesel,145,47.1,1.6
374, I10,2019,Manual,5000,Petrol,145,60.1,1.0
377, I10,2018,Semi-Auto,8033,Petrol,145,47.9,1.2
378, I20,2015,Manual,28300,Petrol,125,51.4,1.4
379, Tucson,2019,Manual,11915,Petrol,150,34.9,1.6
380, I10,2019,Manual,3103,Petrol,150,60.1,1.0
381, I40,2019,Manual,10,Diesel,145,52.3,1.6
382, I10,2019,Manual,100,Petrol,145,49.6,1.0
383, Tucson,2017,Manual,13943,Diesel,145,61.7,1.7
384, Tucson,2016,Automatic,27458,Diesel,200,46.3,2.0
386, I10,2018,Manual,10936,Petrol,145,60.1,1.0
387, Tucson,2019,Semi-Auto,12,Diesel,145,46.3,1.6
388, I10,2018,Manual,13303,Petrol,145,60.1,1.0
390, I20,2016,Automatic,28560,Petrol,160,42.2,1.4
392, Tucson,2019,Semi-Auto,4338,Hybrid,145,50.4,1.6
393, Tucson,2009,Manual,93890,Diesel,300,39.8,2.0
394, I10,2019,Manual,1150,Petrol,145,60.1,1.0
396, I10,2017,Manual,6919,Petrol,20,60.1,1.0
399, Kona,2018,Manual,76,Petrol,145,44.1,1.0
400, I10,2017,Manual,12607,Petrol,145,60.1,1.0
401, Tucson,2017,Manual,12287,Petrol,160,44.8,1.6
402, I10,2015,Manual,42761,Petrol,20,60.1,1.0
403, I10,2020,Manual,1600,Petrol,145,53.3,1.0
404, Santa Fe,2017,Manual,28366,Diesel,150,47.1,2.2
406, Tucson,2018,Semi-Auto,31222,Diesel,150,57.7,1.7
407, Tucson,2017,Manual,19366,Diesel,125,58.9,2.0
408, IX20,2016,Manual,21941,Petrol,125,50.4,1.4
409, I30,2019,Manual,1232,Petrol,145,44.8,1.0
411, I30,2017,Manual,33860,Diesel,145,74.3,1.6
412, Tucson,2017,Semi-Auto,23941,Diesel,125,57.6,1.7
413, Kona,2019,Semi-Auto,6439,Petrol,145,37.7,1.6
414, I10,2020,Manual,2000,Petrol,145,53.3,1.0
415, I30,2017,Automatic,19367,Petrol,145,51.4,1.4
416, Tucson,2017,Manual,20274,Diesel,30,61.7,1.7
417, Tucson,2018,Semi-Auto,8443,Petrol,145,36.2,1.6
418, Ioniq,2019,Automatic,9950,Hybrid,135,78.5,1.6
420, I800,2018,Manual,38984,Diesel,150,37.7,2.5
421, I30,2015,Automatic,24503,Petrol,205,41.5,1.6
422, I10,2013,Manual,58000,Petrol,20,61.4,1.2
423, Tucson,2020,Manual,3850,Hybrid,145,48.7,1.6
424, I30,2014,Manual,47210,Petrol,150,47.1,1.4
425, I30,2018,Manual,14147,Petrol,145,56.5,1.0
426, Santa Fe,2015,Automatic,91700,Diesel,265,41.5,2.2
427, Tucson,2016,Manual,59271,Diesel,30,61.7,1.7
428, Tucson,2017,Manual,19349,Diesel,145,54.3,2.0
429, Ioniq,2020,Automatic,5213,Hybrid,135,1.1,1.6
431, I40,2017,Manual,34328,Diesel,145,67.3,1.7
432, I10,2018,Manual,9031,Petrol,150,57.7,1.2
433, I20,2019,Manual,11435,Petrol,150,46.3,1.2
434, Tucson,2017,Manual,33585,Diesel,145,54.3,2.0
435, I30,2018,Manual,10429,Petrol,150,56.5,1.0
436, I30,2018,Automatic,38082,Petrol,145,51.4,1.4
437, I10,2018,Manual,6753,Petrol,145,60.1,1.0
438, Tucson,2019,Manual,9109,Petrol,145,35.3,1.6
439, I20,2017,Manual,17630,Petrol,20,62.8,1.0
440, Kona,2019,Manual,6717,Petrol,150,44.1,1.0
441, I30,2017,Manual,18027,Petrol,145,48.7,1.4
442, Tucson,2017,Manual,19052,Diesel,145,61.7,1.7
443, Ioniq,2017,Automatic,7955,Hybrid,135,78.5,1.6
444, Tucson,2017,Manual,22714,Diesel,145,61.7,1.7
445, Tucson,2016,Manual,35870,Diesel,30,61.7,1.7
446, Tucson,2016,Manual,22686,Diesel,145,54.3,2.0
447, Tucson,2018,Manual,7894,Petrol,145,34.9,1.6
448, I30,2016,Manual,28290,Petrol,145,48.7,1.4
449, Tucson,2017,Semi-Auto,31474,Diesel,150,57.6,1.7
450, Tucson,2017,Manual,28499,Diesel,145,61.7,1.7
451, Tucson,2017,Manual,34794,Diesel,30,61.7,1.7
452, I20,2016,Manual,13643,Petrol,20,62.8,1.0
454, I10,2017,Manual,13820,Petrol,145,60.1,1.0
455, Tucson,2019,Semi-Auto,15487,Petrol,145,36.2,1.6
456, Tucson,2017,Manual,39144,Diesel,145,61.4,1.7
458, I20,2017,Manual,20677,Petrol,145,58.9,1.0
459, I20,2014,Manual,44509,Petrol,30,57.6,1.2
461, IX20,2016,Manual,17611,Petrol,125,50.4,1.4
463, I20,2017,Manual,8474,Petrol,145,58.9,1.2
464, Tucson,2016,Manual,87146,Petrol,160,44.8,1.6
465, I20,2019,Manual,14600,Petrol,145,46.3,1.2
466, Tucson,2019,Semi-Auto,6648,Hybrid,145,50.4,1.6
467, Tucson,2019,Automatic,2000,Hybrid,145,50.4,1.6
468, Kona,2019,Automatic,1486,Hybrid,135,52.3,1.6
469, I10,2017,Manual,34871,Petrol,145,57.7,1.2
471, I10,2017,Manual,29051,Petrol,150,60.1,1.0
472, IX20,2016,Manual,28221,Diesel,30,64.2,1.6
473, Tucson,2016,Manual,17604,Petrol,160,44.8,1.6
474, I20,2016,Manual,15701,Petrol,30,55.4,1.2
475, Tucson,2017,Manual,15783,Diesel,30,61.7,1.7
476, Tucson,2016,Manual,44268,Diesel,30,61.7,1.7
477, I30,2019,Manual,5496,Petrol,150,34.0,2.0
478, IX20,2018,Manual,15853,Petrol,150,50.4,1.4
479, I10,2016,Manual,19390,Petrol,20,60.1,1.0
480, I30,2020,Manual,1000,Petrol,145,34.0,2.0
485, Tucson,2016,Semi-Auto,23529,Diesel,125,57.6,1.7
486, I20,2019,Manual,7097,Petrol,145,46.3,1.2
487, I10,2017,Manual,9748,Petrol,30,57.7,1.2
488, Tucson,2019,Manual,5000,Petrol,145,34.9,1.6
489, Tucson,2018,Manual,14427,Petrol,150,44.8,1.6
490, I20,2018,Manual,5921,Petrol,145,47.9,1.0
491, I10,2018,Manual,7552,Petrol,145,57.7,1.2
492, I20,2015,Manual,39547,Petrol,30,55.4,1.2
493, I10,2018,Manual,9493,Petrol,150,60.1,1.0
494, Tucson,2016,Manual,17947,Diesel,30,61.7,1.7
495, I20,2018,Manual,10348,Petrol,150,46.3,1.2
496, Tucson,2015,Manual,7900,Diesel,30,61.7,1.7
497, I20,2018,Manual,3920,Petrol,150,46.3,0.0
498, I10,2018,Manual,6012,Petrol,145,60.1,1.0
499, I20,2017,Manual,20000,Petrol,30,55.4,1.2
500, Tucson,2016,Manual,28000,Diesel,30,61.7,1.7
501, Tucson,2018,Automatic,6000,Petrol,145,36.2,1.6
503, I10,2015,Manual,27390,Petrol,30,57.6,1.2
504, Tucson,2016,Manual,31054,Diesel,30,61.7,1.7
506, Santa Fe,2017,Semi-Auto,26385,Diesel,235,42.8,2.2
507, Ioniq,2017,Automatic,20005,Hybrid,140,78.5,1.6
509, I10,2018,Manual,24532,Petrol,150,60.1,1.0
510, I20,2016,Manual,20219,Petrol,30,58.9,1.0
511, I30,2018,Manual,11156,Petrol,150,45.6,1.0
512, Santa Fe,2020,Semi-Auto,1088,Diesel,145,39.2,2.2
513, I10,2018,Manual,8000,Petrol,150,60.1,1.0
514, I10,2017,Manual,7808,Petrol,30,57.7,1.2
516, I10,2014,Manual,19874,Petrol,30,57.6,1.2
517, I30,2019,Manual,1853,Petrol,145,34.0,2.0
518, I10,2017,Manual,15061,Petrol,30,57.7,1.2
519, I20,2013,Automatic,30536,Petrol,145,47.1,1.4
520, Santa Fe,2018,Semi-Auto,31350,Diesel,145,42.8,2.2
521, Tucson,2016,Manual,42850,Diesel,30,61.7,1.7
522, Ioniq,2017,Automatic,20513,Hybrid,135,78.5,1.6
523, IX35,2015,Manual,26564,Petrol,200,41.5,0.0
524, I20,2019,Manual,8195,Petrol,150,46.3,1.2
525, I20,2017,Manual,24533,Petrol,145,58.9,1.2
526, IX20,2013,Automatic,26289,Petrol,200,43.6,1.6
527, I30,2018,Semi-Auto,9870,Diesel,145,68.9,1.6
528, IX35,2015,Manual,40096,Diesel,145,54.3,1.7
529, I10,2017,Manual,41592,Petrol,145,60.1,1.0
530, I10,2019,Manual,14614,Petrol,145,60.1,1.0
531, I10,2016,Manual,14959,Petrol,30,57.6,1.2
532, I30,2017,Manual,18539,Diesel,145,78.4,1.6
533, Tucson,2017,Semi-Auto,5060,Diesel,125,57.6,1.7
534, Kona,2019,Manual,1442,Petrol,145,44.1,1.0
535, Santa Fe,2015,Automatic,28700,Diesel,260,42.2,2.2
