ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
108,B,Ship,2,3,140,3,low,F,2,4691
109,C,Ship,3,2,177,2,medium,M,4,4417
110,F,Road,3,4,136,3,medium,M,6,4631
111,F,Road,3,1,228,2,low,M,45,2257
112,C,Road,6,4,289,4,low,F,1,1656
113,A,Flight,5,5,213,3,medium,M,5,5247
114,F,Road,3,5,241,3,low,F,5,4861
116,A,Ship,4,3,154,3,medium,M,10,1711
117,A,Ship,5,1,241,3,low,F,7,5134
118,A,Road,4,4,204,4,medium,F,35,2513
119,D,Ship,6,5,280,4,low,F,3,1819
120,D,Ship,3,4,257,4,medium,F,8,4780
122,B,Road,5,4,169,2,low,F,20,1765
124,A,Ship,3,3,159,3,low,M,3,5230
125,D,Ship,3,4,236,4,medium,F,43,2584
126,C,Ship,3,5,188,4,medium,M,3,4033
128,A,Ship,5,5,235,5,low,M,8,1332
129,B,Road,5,5,265,3,high,F,3,5837
130,F,Road,5,4,242,5,low,F,10,1365
131,F,Ship,4,2,272,2,low,M,21,3271
132,A,Ship,4,4,171,3,medium,F,11,1594
133,C,Flight,6,3,296,4,low,F,4,1650
135,B,Ship,5,3,201,2,low,M,4,3757
136,D,Ship,3,4,140,2,medium,M,48,1102
138,F,Ship,3,3,221,2,medium,F,26,3120
139,F,Ship,5,1,134,2,low,F,7,5610
140,F,Ship,3,4,165,2,medium,F,8,4280
141,F,Ship,3,2,109,3,low,F,30,1597
142,A,Ship,5,2,254,5,high,M,6,1491
143,D,Ship,4,2,161,4,low,F,10,5322
144,F,Ship,3,3,254,3,medium,M,3,2837
145,F,Flight,5,2,165,2,medium,F,6,4819
146,F,Ship,2,1,222,2,medium,M,5,3778
147,B,Road,5,4,212,2,low,F,9,4925
148,B,Ship,6,1,232,6,low,M,4,5877
149,C,Ship,5,5,143,2,high,F,18,1066
151,D,Road,6,1,282,4,medium,M,4,1716
153,F,Ship,3,4,181,3,low,M,45,2486
154,A,Ship,3,1,221,2,medium,F,6,5267
155,F,Ship,3,5,152,4,medium,M,2,4809
156,B,Ship,4,2,225,3,low,M,52,3189
157,A,Flight,4,3,238,2,medium,F,2,5328
160,A,Ship,5,4,265,2,low,F,2,5164
161,B,Ship,5,3,145,3,medium,M,1,5783
162,F,Flight,2,3,257,4,medium,F,52,2073
163,A,Road,5,5,170,2,medium,F,36,1278
166,F,Road,4,4,217,2,low,M,6,4029
167,F,Ship,4,5,116,3,medium,F,9,1314
170,B,Ship,5,5,257,5,low,M,5,1657
171,A,Ship,3,3,132,3,low,M,6,5721
172,F,Flight,4,4,175,3,low,F,6,4600
173,A,Ship,3,3,158,2,low,M,10,4061
175,C,Ship,3,1,202,3,medium,F,9,4322
176,B,Ship,4,5,136,3,medium,M,7,4817
177,C,Ship,4,5,243,2,low,M,19,2829
179,D,Ship,6,5,261,4,low,F,3,1217
180,B,Flight,3,5,165,4,low,M,6,4795
181,C,Ship,3,3,260,2,low,M,7,5738
182,C,Flight,3,1,138,3,medium,F,7,5534
183,D,Ship,3,5,257,3,low,F,52,2170
184,C,Flight,2,1,111,3,medium,M,16,1882
186,F,Ship,3,2,132,4,medium,F,3,4512
187,B,Road,4,4,204,3,medium,M,8,5614
189,F,Ship,$7,1,289,4,low,F,4,1543
191,D,Flight,$7,5,269,4,medium,M,2,1592
192,C,Ship,5,4,230,3,low,F,39,3989
193,C,Road,5,1,152,3,medium,F,3,5981
194,A,Ship,2,1,255,3,medium,F,1,5929
195,C,Ship,5,5,175,6,low,F,2,4883
196,C,Ship,4,2,179,3,low,M,3,5284
198,B,Flight,6,2,259,4,medium,M,6,1066
199,F,Ship,3,2,233,3,low,M,63,2143
200,F,Flight,6,4,266,4,low,M,9,1253
202,F,Flight,6,2,293,4,low,F,4,1764
203,D,Ship,5,1,186,2,high,F,52,3981
206,A,Ship,6,3,269,2,high,M,43,2300
207,F,Ship,4,2,170,10,medium,F,4,4696
208,F,Road,3,4,176,3,high,M,36,1779
209,B,Flight,5,5,148,2,medium,M,4,4812
213,C,Flight,3,4,138,3,medium,F,10,4327
215,F,Ship,4,3,242,2,low,M,3,4811
216,F,Ship,4,5,226,6,medium,F,10,1348
218,B,Flight,3,3,260,4,low,M,8,5595
220,C,Ship,4,3,207,3,low,F,7,4220
222,C,Ship,3,3,147,3,low,M,4,5805
223,F,Flight,3,3,270,3,low,M,7,4152
225,F,Road,5,1,238,3,high,M,2,5369
230,F,Ship,5,4,219,2,medium,F,5,4919
231,F,Road,3,4,226,2,high,F,8,5793
232,B,Road,4,4,192,4,low,F,2,5856
233,B,Ship,5,5,254,5,low,F,35,2508
234,A,Ship,3,5,169,3,low,M,1,4636
235,D,Ship,4,4,209,6,low,M,62,3532
238,C,Flight,5,5,268,3,medium,M,2,4459
240,C,Ship,6,5,264,4,medium,F,9,1922
241,F,Ship,3,4,181,4,medium,F,3,5163
242,D,Ship,5,1,279,4,medium,F,24,3440
244,F,Ship,4,3,255,2,high,M,47,2956
245,F,Road,5,2,251,3,low,M,9,4298
246,D,Ship,4,2,224,2,medium,F,8,4781
247,C,Ship,3,5,256,3,low,M,7,4366
250,F,Ship,5,4,256,5,low,M,2,1723
251,C,Ship,6,5,305,4,medium,F,9,1072
252,F,Ship,4,3,254,5,low,F,3,1248
253,A,Ship,4,2,271,3,medium,F,4,5902
254,F,Flight,4,2,238,2,low,M,1,5229
256,F,Ship,4,4,272,2,low,M,7,4042
257,F,Flight,5,3,238,5,medium,M,2,1150
258,B,Ship,5,4,285,2,low,M,2,4505
259,F,Ship,3,4,266,2,high,M,49,2643
263,A,Ship,3,5,247,3,medium,M,10,4286
264,F,Ship,5,1,103,5,low,F,10,5413
265,F,Ship,6,3,272,4,low,M,5,1355
266,D,Ship,4,5,267,3,low,F,53,3742
267,C,Ship,4,5,240,6,medium,F,9,5498
271,F,Road,3,3,155,3,low,M,20,1830
272,F,Ship,2,2,146,4,low,M,4,5817
274,F,Ship,5,5,265,3,medium,M,46,3997
278,D,Ship,4,3,233,2,medium,F,3,4748
279,D,Ship,2,3,206,4,medium,F,2,5443
280,D,Ship,3,3,114,6,low,F,26,1825
281,A,Road,2,3,263,3,low,M,10,5997
282,A,Road,3,1,155,2,low,M,7,4221
284,B,Ship,2,4,248,3,low,F,5,5441
285,D,Ship,4,5,163,3,low,M,38,1146
286,D,Ship,4,4,184,3,low,F,52,3128
288,F,Ship,4,1,132,2,medium,M,1,5025
291,A,Road,2,3,126,4,high,F,3,1364
293,D,Ship,4,4,229,5,low,M,7,1049
295,C,Ship,3,5,184,3,low,F,2,4357
296,B,Ship,4,1,194,3,medium,F,6,5282
297,F,Flight,5,4,259,5,low,F,2,1627
298,A,Flight,6,4,260,3,medium,M,9,4730
299,D,Ship,4,1,258,4,high,F,1,5476
300,F,Ship,2,3,247,4,low,M,5,5725
301,F,Ship,3,5,226,3,low,M,8,5203
302,D,Ship,3,5,254,3,medium,M,3,4072
303,D,Ship,5,1,249,3,low,F,8,5940
305,D,Ship,5,2,274,4,medium,F,7,4929
306,F,Ship,5,2,149,2,medium,F,8,5396
309,B,Ship,5,2,239,5,medium,F,6,1365
310,C,Ship,3,3,257,2,medium,M,5,4681
311,F,Ship,5,2,254,2,medium,M,4,4180
312,A,Ship,2,1,139,2,medium,F,2,4520
314,A,Ship,5,1,267,5,medium,F,10,1818
315,C,Ship,2,5,176,3,low,F,4,5463
316,D,Ship,5,1,181,2,medium,F,4,5578
317,B,Ship,2,5,189,5,low,M,3,5292
320,D,Flight,3,1,231,6,medium,F,64,3627
321,F,Ship,4,2,268,4,low,F,3,5275
322,D,Ship,4,4,266,6,low,F,2,1776
323,F,Flight,6,4,247,4,low,F,2,1326
324,F,Road,5,1,206,4,low,M,62,1137
325,F,Ship,4,1,269,2,medium,F,8,4930
326,D,Road,6,5,278,4,medium,F,6,1140
328,C,Ship,4,1,239,2,high,M,16,2504
332,D,Flight,4,5,219,2,medium,F,21,3830
333,F,Ship,4,3,244,3,low,M,9,5339
334,F,Ship,6,1,287,4,medium,F,1,1581
336,B,Ship,3,5,144,2,medium,M,2,4629
337,D,Road,3,4,144,3,low,M,56,1496
338,C,Ship,4,5,223,3,medium,F,9,5279
339,B,Ship,5,5,245,5,low,M,5,1252
340,F,Ship,4,4,224,2,high,F,31,2084
341,F,Ship,4,5,200,4,medium,F,2,4947
343,C,Ship,4,2,174,2,low,F,8,4295
344,D,Ship,3,4,244,8,low,M,1,2703
345,D,Ship,5,5,239,3,high,M,18,2495
347,F,Flight,5,2,240,3,low,M,7,4744
348,F,Road,4,2,248,2,low,F,10,5783
350,F,Flight,5,2,152,4,medium,M,6,5596
352,F,Ship,4,5,135,3,low,F,3,4760
354,A,Ship,4,2,217,6,medium,F,3,1732
355,B,Ship,5,4,255,4,medium,F,38,2771
357,D,Flight,6,4,258,4,low,F,2,1051
358,A,Road,6,2,304,4,low,M,2,1256
359,B,Road,2,4,179,2,low,F,19,1900
360,D,Ship,5,3,274,5,medium,M,7,1696
361,B,Ship,3,4,250,3,low,M,6,5565
363,C,Ship,5,4,208,2,low,M,9,4569
364,D,Ship,5,3,243,6,medium,F,9,5640
366,A,Ship,3,3,140,2,medium,F,30,1547
367,F,Road,5,4,274,3,medium,F,1,4030
368,B,Road,5,3,160,3,high,M,25,1977
369,F,Road,5,2,191,4,low,F,3,5578
372,F,Ship,5,2,192,7,medium,M,2,4045
373,A,Flight,4,5,150,3,low,M,5,4512
374,D,Ship,3,2,155,3,low,M,1,5731
376,F,Road,4,4,218,6,medium,M,8,5101
377,F,Road,5,3,232,7,medium,M,6,5285
378,A,Road,4,1,162,2,low,F,47,1540
380,D,Ship,4,3,260,5,low,M,10,1832
381,A,Flight,4,3,181,3,medium,M,10,4541
383,D,Flight,4,2,136,3,low,F,65,1962
386,F,Ship,5,5,155,3,medium,F,6,4109
387,F,Flight,3,1,192,2,low,M,6,4056
388,D,Ship,5,5,272,5,medium,F,5,1868
389,B,Flight,6,3,245,4,low,F,3,1982
391,C,Ship,3,1,209,2,low,M,43,2237
394,F,Ship,5,2,234,5,medium,M,6,1703
395,C,Ship,3,4,252,2,medium,F,6,4040
396,D,Ship,4,1,165,3,medium,F,10,4574
397,A,Ship,6,4,168,2,high,M,6,5686
398,B,Ship,3,5,190,3,low,M,9,4468
400,B,Flight,4,2,238,3,low,M,30,3423
401,F,Flight,4,5,183,2,medium,F,2,4533
405,F,Ship,5,1,167,3,low,M,9,4660
406,F,Road,3,3,259,2,high,M,8,4481
407,A,Ship,3,1,151,2,low,M,29,1328
408,F,Ship,5,5,224,8,low,F,48,2627
409,D,Flight,4,1,228,5,low,F,6,1727
410,F,Ship,3,4,218,3,low,M,22,3818
411,D,Flight,3,5,132,3,low,M,7,4013
413,F,Flight,3,2,210,3,low,F,9,4731
414,D,Ship,4,2,221,2,low,F,13,3097
415,C,Ship,2,3,144,4,low,F,10,4075
417,A,Road,6,1,278,4,medium,M,6,1576
418,B,Road,3,2,239,2,low,F,3,5099
419,C,Flight,5,5,246,5,low,F,6,1300
421,B,Ship,4,2,256,4,medium,M,4,5469
424,D,Ship,4,3,127,5,low,F,5,1205
427,F,Ship,6,4,257,4,low,F,4,1451
428,D,Road,3,2,125,3,medium,F,12,1212
429,C,Ship,3,2,209,2,low,M,9,5203
430,F,Ship,4,4,209,3,medium,M,8,5884
431,F,Ship,4,3,164,2,low,M,3,5735
432,F,Flight,2,4,264,3,medium,F,6,4025
433,D,Ship,5,5,191,2,high,M,34,2708
434,A,Flight,4,5,295,3,low,F,2,1693
435,F,Ship,4,4,255,6,low,M,5,1708
436,F,Ship,6,3,306,4,high,F,5,1261
437,C,Road,3,5,179,2,low,F,17,1364
439,C,Ship,5,4,243,3,low,F,35,2899
442,F,Ship,3,2,144,3,high,M,1,5307
446,F,Ship,3,3,181,2,high,M,65,3234
448,F,Road,6,1,277,5,low,F,2,1190
449,C,Ship,3,4,245,3,medium,F,7,5429
450,F,Ship,5,2,183,5,high,F,8,4820
451,C,Ship,4,3,264,2,low,F,38,3877
453,D,Ship,4,4,260,5,low,F,5,1952
454,F,Ship,3,3,181,2,medium,M,58,3719
456,D,Ship,3,4,185,2,low,M,4,5926
457,B,Ship,3,3,198,3,low,M,49,2446
458,F,Ship,3,4,163,3,high,F,6,5912
459,F,Ship,4,2,280,4,low,M,9,5288
460,B,Flight,5,4,258,2,medium,F,24,2878
461,F,Ship,3,4,220,3,medium,F,5,5078
462,B,Ship,4,2,257,3,medium,M,8,5045
463,F,Ship,4,5,162,2,medium,F,57,1715
465,B,Ship,2,2,161,3,low,F,5,5999
466,D,Flight,4,1,274,6,low,M,8,1141
467,A,Road,5,3,201,2,low,F,1,4548
469,B,Road,5,1,109,2,high,M,23,1479
470,A,Road,4,2,144,3,low,M,2,4264
471,C,Ship,5,1,257,5,medium,M,1,1102
472,B,Ship,3,1,206,3,medium,M,5,5676
475,A,Flight,5,1,267,5,low,F,4,1097
476,C,Ship,4,4,201,10,low,M,3,4202
477,F,Road,4,3,161,3,low,F,52,1199
478,F,Ship,3,3,190,7,medium,F,7,2400
479,F,Road,5,2,245,5,low,F,9,1466
480,D,Ship,5,3,270,2,low,F,7,5248
481,F,Ship,5,2,139,3,low,M,9,5920
482,A,Road,3,2,234,3,low,F,10,4781
483,A,Ship,5,1,175,3,medium,F,64,1110
484,D,Road,4,1,241,3,low,M,4,4493
485,C,Ship,5,2,191,2,high,F,6,2059
486,D,Ship,5,3,150,2,high,F,9,4446
487,D,Ship,4,1,202,3,low,M,4,4029
490,A,Flight,6,2,243,4,high,M,2,1665
491,B,Ship,5,2,199,4,low,F,59,2885
492,B,Ship,4,1,231,2,medium,M,3,4696
493,A,Flight,3,3,176,3,medium,M,14,1705
494,D,Road,5,5,189,4,high,F,16,3564
495,F,Flight,4,3,167,3,medium,F,1,4621
496,A,Ship,4,5,178,3,high,M,22,1907
497,F,Ship,3,3,218,3,low,M,19,3770
498,F,Ship,4,5,152,3,medium,M,25,1222
499,F,Ship,3,3,203,3,high,M,3,5440
500,A,Ship,3,1,145,3,high,F,10,4364
501,D,Ship,4,4,145,3,medium,M,8,5780
502,D,Ship,2,1,140,2,medium,F,8,4965
503,F,Ship,4,1,160,2,low,M,28,1276
504,A,Ship,5,3,199,10,medium,F,1,5865
505,A,Ship,3,3,187,3,low,F,63,2481
506,F,Ship,2,2,259,3,low,M,6,4840
507,D,Flight,6,3,191,6,medium,F,2,4471
508,B,Ship,3,2,243,3,medium,M,31,3943
509,D,Ship,4,5,239,5,low,M,6,1336
510,A,Ship,5,1,216,3,low,M,40,2668
511,C,Ship,4,2,271,3,medium,M,4,4743
512,F,Ship,4,1,261,4,medium,F,10,4632
513,A,Ship,3,3,193,3,medium,M,11,3188
514,F,Road,5,3,277,3,medium,M,1,4186
517,C,Ship,$7,1,285,4,low,M,2,1516
518,A,Flight,3,5,151,3,low,F,1,4088
520,A,Ship,6,4,284,4,low,F,7,1518
521,C,Road,3,5,135,2,medium,M,7,5331
522,D,Ship,4,1,184,7,medium,F,6,4956
523,F,Ship,5,2,173,2,low,M,7,5836
525,A,Road,5,3,204,2,low,M,40,2181
526,C,Ship,6,5,225,6,low,F,55,2052
528,F,Ship,3,4,209,3,low,M,37,2215
529,A,Flight,3,4,149,3,low,F,5,5467
530,F,Ship,5,2,248,5,low,F,3,1046
533,C,Ship,5,4,158,3,low,F,10,4670
535,A,Ship,5,4,209,4,low,F,10,5461
541,F,Road,3,5,234,2,medium,F,1,4455
542,D,Flight,3,2,154,3,low,F,8,5149
543,F,Ship,4,1,224,2,low,M,8,3638
544,F,Ship,5,5,247,10,medium,F,61,2206
546,B,Road,5,3,197,5,low,F,1,5581
548,D,Flight,3,4,209,3,high,F,37,3650
549,F,Ship,4,3,287,4,low,M,6,5889
552,F,Flight,4,5,247,5,medium,M,6,1737
553,A,Ship,4,1,247,2,low,M,3,4113
554,D,Flight,4,3,192,4,high,M,7,4949
555,F,Ship,4,4,135,2,low,M,4,4684
557,D,Road,2,4,201,2,high,M,2,5115
558,B,Road,6,1,237,5,medium,M,3,5299
559,F,Flight,4,5,236,7,medium,F,44,3808
561,B,Road,4,4,238,3,low,F,13,2042
562,D,Road,3,5,251,3,low,F,21,2476
563,D,Ship,4,4,106,2,low,M,6,5984
564,A,Ship,6,5,279,4,low,M,7,1447
565,F,Ship,3,5,187,3,low,M,20,2374
566,A,Ship,4,5,188,3,low,F,13,2409
568,C,Ship,3,1,238,3,low,M,17,2624
569,D,Ship,5,2,246,3,medium,M,49,3236
570,D,Ship,4,1,240,2,low,M,14,2437
571,D,Flight,3,2,209,5,medium,F,12,3054
572,C,Road,3,1,186,2,medium,M,3,5818
573,F,Ship,6,5,211,6,low,M,3,4957
574,B,Ship,5,4,164,3,low,M,9,5135
576,F,Road,3,1,160,10,medium,F,29,1952
577,D,Ship,5,2,244,5,medium,F,7,5515
578,A,Ship,3,1,235,10,low,M,56,2175
579,B,Ship,5,4,244,6,high,F,3,4089
581,D,Flight,4,5,243,2,low,M,23,2686
582,B,Ship,4,3,192,3,low,M,1,4045
583,A,Flight,4,5,196,5,low,F,2,5840
584,B,Ship,3,4,231,6,medium,F,3,5910
586,A,Ship,6,1,282,4,low,M,1,1434
591,A,Ship,5,4,236,5,low,M,6,1829
592,A,Road,5,2,256,7,low,F,41,2758
593,F,Ship,5,1,244,2,low,F,5,4125
595,F,Ship,4,1,267,3,medium,M,37,2716
596,A,Road,5,5,176,3,medium,F,8,5335
597,F,Road,6,5,246,4,medium,M,2,1581
598,D,Ship,5,5,229,5,medium,M,2,1975
599,B,Ship,6,2,245,4,low,F,9,1594
600,A,Flight,5,4,250,3,low,F,11,3373
601,F,Flight,4,5,258,5,low,M,3,1162
602,C,Ship,4,4,176,6,high,M,5,4494
604,A,Flight,4,2,166,3,low,M,5,1610
605,D,Ship,3,3,144,3,low,M,1,1274
607,C,Road,4,3,274,5,low,F,3,1637
608,D,Ship,5,4,131,8,low,M,7,4471
611,A,Flight,3,1,154,2,low,F,10,5594
614,D,Flight,3,3,203,3,medium,M,7,4977
616,D,Flight,4,4,178,6,low,F,9,5279
617,D,Ship,5,1,154,2,low,M,37,1671
618,F,Road,2,4,239,5,low,F,59,2181
621,A,Ship,4,1,153,2,low,F,1,4027
622,F,Ship,3,1,254,2,low,M,56,3463
623,F,Flight,5,3,218,6,low,F,6,1519
626,C,Road,6,2,191,6,medium,M,7,5333
630,F,Ship,3,4,272,3,low,M,44,2548
631,F,Ship,3,2,133,3,medium,M,10,5803
633,C,Flight,4,1,190,4,medium,F,5,5570
634,F,Ship,4,4,223,3,high,F,5,5654
635,B,Ship,$7,3,286,4,low,F,5,1866
636,C,Road,3,3,162,2,medium,M,7,5719
639,D,Ship,4,2,220,3,low,M,3,5020
640,F,Ship,3,3,149,4,medium,F,3,5944
641,A,Road,3,1,145,4,low,F,58,1751
642,F,Ship,4,2,232,2,low,M,5,4907
643,D,Ship,2,5,155,3,low,M,23,1602
644,D,Ship,4,1,139,3,low,F,25,1152
645,A,Ship,3,4,100,3,medium,M,4,4191
646,A,Ship,5,4,275,2,medium,M,10,5395
649,A,Flight,3,2,227,3,medium,M,21,2351
651,F,Ship,$7,3,244,4,medium,M,10,1629
652,F,Ship,4,4,138,5,low,M,10,5401
654,F,Road,3,1,177,2,low,M,38,1099
655,F,Road,3,2,185,4,low,F,8,5545
656,D,Ship,3,1,190,3,medium,F,2,4312
658,C,Road,5,2,222,3,medium,M,10,5644
660,A,Ship,4,3,145,4,medium,M,2,5735
661,D,Ship,6,4,112,4,medium,F,9,4005
662,D,Ship,2,4,176,3,low,M,1,4509
664,F,Road,4,3,136,3,low,M,6,4911
665,F,Ship,3,3,204,2,medium,F,5,5399
666,F,Road,4,1,258,3,medium,M,53,2428
667,B,Ship,3,5,153,2,low,F,44,1585
670,F,Flight,3,1,170,3,low,M,3,4454
672,A,Flight,5,3,244,2,low,M,5,4713
674,F,Ship,4,5,268,2,low,M,2,4721
676,D,Ship,6,3,257,4,low,F,2,1694
677,C,Ship,4,4,217,3,high,F,26,2875
680,F,Ship,5,5,286,3,low,F,18,3163
681,F,Ship,$7,4,269,4,medium,M,5,1073
682,F,Ship,3,1,252,2,low,M,4,5559
684,F,Ship,3,2,189,2,medium,F,4,4160
685,B,Ship,3,2,294,4,low,F,15,1318
686,F,Ship,4,2,201,3,medium,F,6,5616
687,F,Ship,3,5,271,4,medium,M,1,5852
688,F,Road,4,5,222,3,medium,F,7,5844
690,D,Ship,5,3,219,5,low,F,6,1553
691,D,Ship,3,4,122,3,high,F,15,1354
692,F,Road,3,5,241,3,medium,M,10,5099
693,C,Ship,5,3,184,5,low,M,3,5219
695,C,Road,4,3,180,3,low,M,7,5718
697,F,Flight,3,3,172,4,low,F,33,1989
698,B,Road,5,4,145,6,medium,M,6,4403
700,F,Flight,5,2,217,3,high,M,21,2600
702,B,Ship,5,1,249,3,medium,F,5,4392
704,D,Road,3,2,188,3,low,M,4,5376
706,C,Road,4,2,268,3,medium,M,1,4927
708,F,Ship,3,2,204,2,high,F,2,5526
710,F,Ship,3,4,186,3,medium,F,4,5501
712,F,Ship,3,3,174,3,medium,F,2,4221
714,D,Road,2,3,215,2,medium,F,3,5052
715,D,Ship,3,5,156,4,medium,F,26,1769
716,A,Ship,3,3,205,3,high,M,1,5851
717,A,Ship,3,1,201,3,low,F,3,4556
718,C,Road,6,5,282,4,low,M,4,1035
719,A,Flight,$7,5,302,4,low,M,3,1597
720,F,Ship,4,2,230,3,high,F,5,5888
722,F,Ship,3,3,113,3,low,F,43,1518
723,A,Ship,4,2,144,5,low,F,3,5807
724,F,Road,3,3,176,2,low,F,58,1730
726,B,Ship,3,3,132,2,medium,F,8,5810
727,F,Flight,4,3,246,2,low,M,60,2086
728,C,Ship,4,2,216,3,low,F,12,2273
729,A,Ship,3,3,265,3,medium,F,3,5986
730,F,Ship,3,3,152,2,low,M,32,1665
731,C,Ship,4,5,162,2,medium,F,9,5345
732,A,Road,2,3,142,3,low,F,46,1694
733,C,Ship,4,1,187,3,medium,M,8,5872
734,A,Flight,5,2,146,3,low,F,7,4524
738,D,Road,3,2,250,3,medium,F,4,5361
739,F,Ship,$7,2,276,4,low,M,9,1022
740,A,Road,2,1,258,5,low,F,9,1548
741,F,Flight,5,5,180,2,high,M,5,4585
743,D,Ship,4,5,271,4,low,M,6,5078
745,A,Ship,3,5,190,10,medium,M,32,2931
746,A,Ship,4,2,139,3,medium,M,5,1674
747,A,Ship,4,3,225,5,medium,F,6,1573
748,A,Road,4,5,199,3,low,M,2,4462
750,D,Ship,3,4,222,3,medium,M,3,4068
751,D,Ship,3,2,214,3,medium,M,1,5362
752,B,Flight,4,1,245,5,medium,F,8,1923
756,B,Road,3,2,271,2,medium,M,6,5280
757,C,Flight,5,4,275,4,low,F,7,4597
758,C,Road,5,2,205,3,low,F,3,5182
759,F,Ship,5,3,202,2,low,F,6,5716
760,C,Ship,5,1,259,3,high,F,37,3023
761,C,Ship,4,4,135,10,medium,F,57,1361
762,B,Road,5,2,227,6,medium,F,6,1620
766,F,Ship,3,3,270,3,high,F,7,4690
767,D,Flight,4,2,164,2,medium,F,43,1976
768,F,Ship,4,2,170,2,low,M,3,4299
769,C,Ship,5,4,224,6,low,F,6,1049
770,F,Ship,5,4,149,3,medium,F,44,1811
771,D,Ship,5,1,207,2,high,M,3,4083
774,A,Ship,4,1,237,4,medium,F,22,2231
775,F,Road,4,2,227,3,low,M,2,4318
776,B,Ship,4,5,101,6,medium,M,8,4146
777,F,Ship,3,3,209,3,high,F,2,4036
778,A,Flight,4,5,273,5,low,M,2,1441
779,F,Flight,5,2,143,4,low,F,10,5400
