ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Reached.on.Time_Y.N
4338,F,Ship,3,2,160,3,low,F,4,0
9785,C,Ship,4,4,267,3,medium,M,9,0
9488,F,Ship,4,2,216,3,low,M,2,1
1702,B,Ship,3,1,138,3,low,F,41,1
8819,C,Ship,4,5,234,5,low,F,2,1
9677,C,Ship,6,2,259,4,low,M,5,1
6001,D,Ship,4,5,239,6,low,M,4,0
9390,F,Ship,4,2,210,3,low,F,9,1
5369,C,Ship,3,4,175,2,medium,M,9,1
10621,D,Ship,4,3,156,3,medium,F,8,1
10233,A,Ship,3,3,262,2,low,F,10,1
8436,F,Ship,3,3,234,3,low,F,6,0
6439,D,Flight,5,3,154,2,low,M,3,1
9634,B,Ship,2,4,181,5,medium,F,9,0
5829,A,Ship,3,3,261,4,low,F,9,1
10804,B,Road,5,2,250,5,low,F,9,0
406,B,Road,2,2,124,3,low,F,56,1
5932,B,Ship,2,5,189,5,low,M,3,0
9758,F,Ship,2,5,249,3,low,F,3,0
3955,D,Road,3,2,269,4,medium,M,1,0
259,D,Road,2,3,158,3,low,F,13,1
1711,D,Ship,4,1,227,3,low,M,54,1
9090,F,Ship,$7,1,308,4,medium,F,2,0
7109,C,Road,6,2,279,4,low,F,5,0
3349,D,Ship,3,1,234,4,high,M,6,0
6963,A,Road,3,1,269,4,low,F,7,0
3122,F,Ship,4,1,182,3,medium,F,49,1
6795,A,Ship,4,3,134,10,medium,M,8,0
89,C,Ship,3,3,229,3,low,M,49,1
7184,F,Ship,6,4,257,4,medium,F,9,1
383,C,Ship,5,4,215,2,low,F,45,1
5812,B,Ship,5,4,285,2,low,M,2,1
5408,F,Ship,3,3,192,3,low,F,1,1
10449,A,Ship,6,4,271,4,low,F,6,0
5906,F,Flight,4,5,143,2,low,M,1,0
1910,F,Road,4,4,224,3,low,M,29,1
5764,B,Flight,5,4,219,5,low,M,5,0
4398,F,Flight,5,2,143,4,low,F,10,0
1409,C,Ship,5,3,274,3,medium,F,54,1
99,A,Ship,3,5,144,4,medium,M,5,1
6543,A,Ship,$7,5,296,4,low,F,2,1
242,F,Ship,2,4,140,3,low,F,33,1
1742,F,Ship,3,3,237,3,medium,M,47,1
10970,F,Flight,5,2,234,5,medium,M,7,0
9031,D,Road,6,2,240,6,low,M,3,1
1334,F,Ship,5,5,260,2,low,F,23,1
6145,D,Road,5,5,161,3,low,F,1,1
3304,B,Flight,4,2,222,2,medium,M,5,0
1694,F,Ship,6,1,183,2,low,M,57,1
3055,D,Ship,4,3,233,3,medium,M,26,1
2181,A,Road,4,1,242,3,high,M,47,1
7435,D,Ship,5,1,171,2,low,M,9,0
6357,A,Ship,3,5,238,6,medium,M,8,0
6811,D,Ship,5,2,259,5,low,F,7,0
5082,F,Flight,5,4,240,4,medium,F,2,0
9615,A,Ship,5,1,176,6,medium,M,9,1
6995,C,Flight,4,3,254,2,low,M,3,0
7292,F,Ship,4,4,194,4,low,F,10,0
9868,B,Flight,3,3,220,3,low,F,10,1
142,B,Flight,5,4,149,3,low,M,51,1
9791,C,Ship,3,2,162,3,medium,M,4,1
2215,D,Ship,4,2,182,2,medium,F,54,1
4202,F,Ship,4,4,270,2,low,F,1,1
3878,F,Ship,4,3,250,6,medium,M,7,1
3410,F,Road,3,4,202,3,medium,M,5,0
4879,D,Ship,2,1,148,2,low,M,10,1
7006,B,Ship,3,5,141,2,medium,F,9,0
6042,F,Flight,6,4,253,4,low,F,7,0
7087,D,Ship,4,1,266,4,low,M,3,1
8783,C,Flight,3,2,273,3,high,M,8,1
6130,B,Ship,4,2,266,3,medium,M,7,0
6518,F,Ship,3,5,270,3,high,F,7,1
6613,D,Ship,5,2,260,5,low,M,9,1
2013,A,Ship,3,4,195,3,medium,M,23,1
2624,F,Ship,4,1,152,3,high,M,26,1
6566,F,Road,5,2,259,5,low,F,3,1
7159,D,Ship,6,1,305,4,low,M,5,0
9971,C,Ship,5,5,163,2,high,M,6,1
8147,C,Ship,2,5,233,3,low,M,9,1
6722,F,Flight,4,2,180,4,medium,M,9,0
5434,B,Ship,3,5,212,4,low,F,9,0
9948,F,Ship,4,2,245,5,medium,M,10,1
5407,D,Ship,4,3,161,2,medium,M,3,1
634,B,Ship,2,3,164,2,low,M,56,1
4300,B,Ship,3,3,214,3,medium,F,9,0
6552,F,Road,$7,3,264,4,medium,M,3,0
3892,B,Ship,3,4,243,2,high,M,7,0
5741,C,Road,4,1,260,3,medium,M,9,1
4726,B,Ship,4,1,194,3,medium,F,6,0
1705,D,Ship,3,3,245,2,medium,F,16,1
5683,D,Ship,2,2,182,3,high,M,6,1
9622,B,Ship,3,2,158,2,medium,F,8,0
7216,B,Ship,6,2,254,5,low,M,7,1
7728,F,Ship,5,2,274,6,medium,M,2,1
10961,C,Flight,4,4,258,3,medium,M,4,0
8516,F,Ship,3,5,193,2,low,F,10,0
4354,B,Ship,3,2,208,2,low,F,7,1
10400,F,Road,4,2,189,10,medium,F,5,0
2446,B,Road,4,3,216,3,medium,M,35,1
9577,D,Road,3,4,192,4,medium,M,3,0
5072,F,Flight,4,5,228,4,low,M,4,0
1050,F,Ship,6,5,237,5,high,F,63,1
7862,F,Ship,4,2,255,3,low,F,8,0
6804,F,Ship,3,3,153,10,medium,M,10,0
2854,B,Road,4,4,158,3,low,F,61,1
7695,A,Ship,3,5,159,2,high,F,6,0
9011,C,Ship,4,2,210,3,low,M,8,1
3103,D,Ship,3,3,227,2,medium,F,24,1
10964,F,Flight,4,5,220,10,medium,M,8,1
5351,C,Flight,5,5,103,6,medium,F,2,0
2346,F,Flight,4,5,216,3,low,F,20,1
5398,B,Ship,5,3,202,4,low,M,6,0
2466,F,Flight,4,2,182,3,medium,M,14,1
4403,C,Ship,4,2,193,2,medium,F,1,0
1442,F,Ship,3,4,133,3,low,M,17,1
6978,F,Road,6,2,215,5,low,F,7,0
8267,C,Ship,6,4,263,4,low,M,3,0
9904,B,Ship,3,3,202,4,medium,M,10,1
572,F,Ship,4,1,132,3,low,M,63,1
77,C,Ship,2,3,158,2,medium,F,36,1
3577,D,Flight,4,5,168,4,medium,F,4,1
7699,D,Ship,3,4,252,2,low,M,6,1
9101,C,Ship,5,1,240,5,low,M,2,1
10398,F,Road,5,2,171,3,low,M,6,1
2407,D,Ship,3,5,115,3,medium,M,60,1
5277,A,Ship,6,5,294,4,low,M,4,0
6810,F,Ship,3,1,237,3,medium,F,4,0
1944,F,Ship,4,4,224,2,high,F,31,1
7976,F,Ship,4,3,97,6,low,F,4,0
8973,A,Ship,4,5,243,4,low,F,1,0
1802,F,Ship,3,1,195,3,high,M,5,1
7964,F,Ship,5,1,236,6,low,M,4,1
8768,F,Flight,4,4,209,6,low,F,7,0
9126,F,Ship,2,4,204,10,low,F,4,1
4140,F,Ship,4,3,201,2,low,F,4,1
7938,F,Road,6,1,250,2,medium,M,4,0
3494,F,Ship,3,1,166,3,medium,M,9,0
1003,D,Ship,3,3,241,5,low,M,8,1
5184,F,Road,2,2,150,3,low,F,6,1
5761,D,Flight,6,1,290,4,medium,M,6,1
8389,D,Ship,2,4,149,5,medium,F,7,0
10005,A,Flight,4,1,204,3,medium,M,3,0
10807,D,Road,5,3,242,5,low,M,3,1
2743,D,Flight,3,3,178,3,high,M,12,1
6917,C,Ship,$7,4,261,5,low,M,6,0
2050,B,Road,4,4,248,3,medium,M,59,1
2174,F,Road,4,3,268,3,medium,F,23,1
66,F,Ship,3,2,202,3,low,M,49,1
7846,B,Ship,3,1,226,3,high,M,2,1
10558,B,Flight,4,2,255,5,low,F,6,0
1105,D,Flight,3,4,188,4,low,F,49,1
647,C,Ship,4,2,153,3,medium,F,53,1
691,D,Flight,5,4,150,2,low,M,60,1
1125,A,Ship,4,4,140,4,medium,F,46,1
8661,A,Ship,4,2,271,5,medium,M,4,1
4341,A,Ship,5,3,222,3,low,F,6,1
8153,C,Ship,4,5,254,3,medium,F,3,0
594,F,Ship,3,2,200,2,medium,F,46,1
6648,F,Ship,4,2,246,2,low,M,2,1
6205,D,Ship,5,4,216,4,medium,F,8,1
7606,B,Ship,3,1,236,3,low,M,2,0
1952,F,Ship,5,1,165,3,low,F,27,1
9426,F,Ship,4,5,251,5,medium,M,10,1
10694,F,Flight,4,3,261,10,low,F,6,1
7929,A,Road,4,1,137,3,medium,F,3,1
7743,A,Ship,6,2,301,4,medium,M,10,1
2284,B,Ship,6,5,174,3,medium,F,32,1
6389,C,Ship,4,4,159,3,low,F,1,1
6177,A,Flight,3,1,226,2,medium,F,6,1
6000,F,Ship,6,3,244,4,medium,M,5,1
9732,F,Flight,5,5,173,2,low,M,7,0
3796,B,Ship,3,5,252,3,high,F,4,0
4912,B,Road,3,4,221,3,medium,F,1,0
1722,F,Ship,3,2,270,3,medium,M,31,1
9923,C,Ship,$7,1,254,4,low,F,5,1
9215,C,Ship,4,2,156,3,low,F,1,0
4793,C,Flight,5,3,272,2,low,F,4,0
1972,B,Ship,4,4,240,3,low,F,62,1
9396,F,Ship,6,3,255,4,low,M,6,1
5522,F,Ship,6,2,304,4,medium,F,10,1
9451,D,Flight,$7,4,296,4,low,F,10,0
7875,A,Ship,4,5,236,4,medium,M,1,0
6444,F,Flight,4,4,196,3,low,M,5,0
5321,C,Road,4,4,186,3,low,F,2,0
348,F,Ship,5,3,186,2,medium,F,58,1
278,F,Flight,4,4,212,3,low,M,21,1
7329,A,Ship,4,3,183,2,medium,F,8,1
7021,D,Ship,5,3,270,2,low,F,7,1
9788,F,Ship,2,1,206,2,low,M,7,0
9148,B,Ship,6,3,296,4,medium,M,7,0
1062,F,Ship,4,2,199,3,low,M,64,1
1348,B,Road,3,5,264,6,low,M,30,1
6203,C,Ship,4,2,252,3,medium,M,8,1
10988,F,Ship,5,3,242,5,low,F,10,1
5650,B,Ship,3,5,214,3,low,F,6,0
4065,A,Ship,3,1,169,3,low,F,6,1
3348,F,Ship,4,2,270,2,high,F,3,1
5868,F,Road,3,1,209,2,low,M,6,1
7319,C,Ship,5,2,158,3,medium,M,2,0
1862,F,Ship,5,1,256,7,low,F,50,1
3418,B,Road,5,3,194,4,low,F,2,0
3992,F,Ship,3,4,211,3,low,F,6,0
8402,F,Ship,3,3,151,3,medium,F,1,0
8600,F,Ship,4,1,232,5,medium,M,8,0
1182,F,Ship,5,1,174,6,medium,M,44,1
10591,D,Ship,4,5,272,2,medium,M,9,1
24,F,Ship,4,3,211,3,high,M,12,1
3173,C,Ship,4,4,172,3,medium,F,1,0
1043,C,Ship,5,1,170,3,medium,F,60,1
10704,F,Ship,4,3,259,5,low,M,6,1
4393,D,Flight,4,3,202,3,low,M,7,1
2473,D,Flight,4,5,156,3,low,F,60,1
6412,B,Ship,3,4,216,3,medium,M,3,0
4593,A,Ship,4,2,142,2,medium,F,5,0
8897,C,Road,6,4,294,4,medium,M,5,0
6129,A,Ship,3,3,132,2,medium,M,1,0
8900,F,Road,5,1,236,5,medium,M,10,0
600,F,Ship,4,1,140,3,medium,F,1,1
3607,D,Ship,4,5,244,3,low,M,6,1
8221,D,Flight,4,4,268,3,medium,M,10,0
394,B,Road,5,4,169,2,low,F,20,1
7213,D,Ship,6,2,280,4,low,M,10,1
1066,B,Ship,4,2,166,4,low,F,63,1
357,A,Ship,3,4,198,2,low,M,25,1
6014,F,Road,4,3,217,6,medium,F,6,0
3134,F,Road,3,4,163,3,medium,M,58,1
7596,F,Ship,5,2,269,2,medium,F,9,0
982,B,Ship,3,5,243,3,medium,M,4,1
6705,A,Road,5,3,230,3,medium,M,4,1
71,C,Ship,5,1,187,4,high,M,14,1
694,B,Flight,3,3,207,7,medium,M,19,1
8959,D,Ship,4,2,261,2,medium,F,4,1
6319,D,Flight,6,3,191,6,medium,F,2,0
8550,F,Ship,6,5,278,4,low,M,2,1
4197,A,Ship,4,3,216,2,low,F,6,0
7775,C,Ship,4,2,174,2,low,F,8,0
7956,F,Flight,$7,3,285,4,low,M,10,1
5773,D,Ship,6,4,270,4,low,F,10,1
4041,A,Ship,3,2,228,3,medium,F,4,0
6483,A,Ship,3,2,177,3,medium,M,8,1
4399,D,Flight,3,3,203,3,medium,M,7,1
9657,A,Ship,$7,2,301,4,low,M,1,0
10181,C,Ship,5,5,263,5,medium,M,2,0
4224,F,Road,5,4,229,2,medium,F,10,0
4482,F,Ship,5,2,149,2,medium,F,8,0
976,B,Flight,5,5,249,3,medium,M,55,1
10434,F,Ship,4,2,170,10,medium,F,4,1
881,C,Ship,2,4,194,6,medium,F,39,1
10971,A,Flight,4,4,216,6,low,M,5,0
8107,D,Ship,4,3,246,3,low,M,5,0
7642,B,Ship,4,3,252,4,low,M,2,0
2285,C,Ship,6,3,134,8,high,F,12,1
1157,C,Ship,4,5,262,3,medium,F,38,1
6622,B,Ship,4,5,234,3,low,F,4,1
3783,A,Ship,4,1,157,2,medium,F,5,0
3982,B,Flight,4,2,173,3,medium,F,1,0
420,F,Flight,4,2,134,2,low,F,43,1
9170,F,Road,6,1,277,5,low,F,2,1
7458,F,Ship,4,5,226,6,medium,F,10,1
1048,B,Ship,3,4,257,3,medium,M,56,1
2792,F,Ship,5,4,193,3,low,M,55,1
1913,C,Road,3,5,226,3,medium,M,5,1
3012,F,Flight,4,5,157,4,medium,F,12,1
7591,D,Ship,4,2,274,3,medium,F,7,1
5122,B,Ship,3,1,206,3,medium,M,5,1
10321,D,Ship,3,4,273,3,high,F,8,1
2576,F,Ship,5,5,157,4,medium,M,60,1
3699,A,Flight,3,5,169,3,high,F,5,0
4707,A,Ship,4,5,252,2,low,F,9,0
10201,D,Ship,6,1,268,4,low,F,1,1
10245,A,Ship,3,5,283,2,low,M,2,0
2580,F,Road,4,2,128,5,low,F,28,1
6477,A,Ship,3,2,261,8,low,F,3,0
638,F,Ship,3,3,229,6,medium,F,61,1
4871,C,Ship,3,3,204,2,medium,M,6,0
3870,F,Ship,5,5,253,2,medium,F,2,0
3279,A,Road,3,4,211,2,low,M,6,0
4647,A,Road,3,1,204,3,high,F,9,0
6379,D,Ship,4,4,174,2,medium,F,2,0
3023,C,Flight,4,2,211,2,low,F,39,1
10437,A,Ship,5,4,171,3,low,F,1,0
6365,C,Ship,2,4,221,3,low,F,3,0
2167,D,Road,3,4,244,3,low,F,46,1
2456,F,Road,3,3,249,2,medium,M,53,1
6654,F,Ship,5,1,179,2,low,F,3,0
1758,F,Road,4,3,217,3,low,M,51,1
2109,A,Ship,4,2,139,3,low,M,29,1
6109,D,Ship,2,5,189,2,low,M,9,0
5049,A,Road,5,1,260,2,low,M,4,0
1650,F,Flight,3,4,204,3,medium,F,27,1
5950,B,Ship,4,3,198,7,medium,F,1,0
539,C,Road,3,3,207,6,high,F,24,1
10847,C,Ship,4,4,197,2,low,F,7,0
3178,B,Ship,2,1,274,10,high,F,1,0
2231,C,Ship,4,3,158,2,low,M,46,1
9499,D,Ship,5,4,193,3,medium,M,3,0
9625,D,Ship,6,3,244,5,medium,F,1,1
6601,D,Ship,6,4,297,5,high,M,6,0
7534,B,Flight,5,2,232,3,low,M,5,1
3740,F,Ship,3,5,159,3,medium,F,1,1
8614,B,Road,$7,1,307,4,low,F,8,0
1894,B,Road,4,3,190,10,low,M,34,1
2130,F,Ship,4,4,165,5,low,M,21,1
1669,D,Ship,3,5,223,4,low,F,46,1
8702,F,Ship,4,2,248,3,low,M,2,1
1578,F,Ship,5,4,263,3,medium,M,61,1
2581,D,Road,5,2,236,2,low,M,24,1
5039,C,Ship,6,1,264,4,low,M,10,0
3880,B,Ship,5,2,175,3,low,M,1,0
7290,F,Ship,5,3,202,2,low,F,6,0
4007,C,Ship,4,4,202,4,medium,M,4,0
8298,F,Ship,4,1,270,10,medium,F,5,1
591,A,Ship,4,1,214,5,medium,M,51,1
9243,A,Ship,3,3,183,2,low,F,3,0
8964,F,Ship,5,2,183,5,high,F,8,0
688,B,Flight,4,5,273,2,high,M,63,1
4587,A,Ship,3,1,145,3,high,F,10,0
214,B,Ship,2,5,160,3,medium,F,31,1
5583,A,Ship,5,4,140,4,low,F,10,0
9957,A,Ship,5,2,269,5,medium,F,10,1
6224,F,Ship,6,5,244,4,medium,F,2,0
6822,F,Ship,6,3,260,4,low,M,9,1
2159,C,Ship,4,2,157,2,medium,M,15,1
3347,C,Ship,4,5,151,4,medium,M,10,0
6474,F,Ship,3,4,216,8,medium,F,8,0
5558,F,Ship,5,1,178,2,low,F,5,0
5091,A,Ship,4,4,168,3,low,M,6,1
3663,A,Ship,4,3,272,2,medium,F,5,1
7860,F,Ship,5,2,189,2,medium,M,2,1
6999,A,Flight,5,5,222,3,medium,M,5,0
4993,D,Ship,6,2,245,4,low,F,10,0
2207,C,Flight,2,1,111,3,medium,M,16,1
1524,F,Flight,3,5,202,2,low,F,4,1
3808,B,Ship,3,4,172,6,medium,F,1,0
2282,F,Ship,3,2,191,3,high,F,42,1
9744,F,Flight,4,4,146,3,medium,F,6,1
9504,F,Ship,5,2,254,2,medium,M,4,1
389,C,Road,4,3,225,3,low,F,62,1
8414,F,Ship,4,3,257,3,low,M,8,1
3076,B,Ship,4,4,182,2,low,F,13,1
1458,F,Ship,4,4,232,4,low,M,27,1
2706,F,Ship,3,3,253,5,low,F,63,1
1077,A,Road,3,4,195,3,medium,M,10,1
10055,C,Ship,5,1,145,2,medium,M,8,1
8578,B,Ship,5,4,230,3,medium,M,6,0
3556,B,Road,4,1,173,3,low,F,5,0
5980,B,Ship,2,5,286,6,medium,F,3,1
825,A,Flight,3,1,142,2,high,M,18,1
779,C,Ship,2,4,177,3,medium,M,48,1
9296,F,Road,3,5,263,3,medium,M,1,0
2635,D,Ship,4,1,273,3,medium,F,25,1
6260,F,Ship,6,3,306,4,low,M,10,1
9000,F,Ship,5,1,189,2,medium,M,10,0
9395,C,Ship,3,1,193,10,high,F,1,0
10777,D,Ship,5,2,226,6,low,F,5,1
5589,A,Ship,4,4,189,4,medium,F,9,1
8588,F,Ship,4,5,239,3,low,M,6,1
5949,A,Ship,4,2,238,2,low,F,2,0
7753,D,Ship,5,5,272,5,medium,F,5,1
2100,F,Ship,3,2,176,3,low,F,29,1
1916,F,Flight,5,2,156,2,medium,M,19,1
6377,C,Ship,3,4,188,4,medium,M,5,1
10852,B,Ship,5,1,241,4,medium,M,7,1
2142,F,Ship,3,3,261,3,medium,M,14,1
3030,F,Flight,3,2,224,3,low,M,40,1
6372,F,Ship,3,3,249,2,medium,M,9,1
8552,F,Ship,6,3,287,4,low,M,3,0
2418,F,Ship,3,4,228,2,medium,M,65,1
3644,F,Ship,5,5,155,3,medium,F,6,1
1034,F,Ship,2,2,198,2,low,M,11,1
3935,C,Ship,6,5,178,3,low,F,5,0
10876,B,Ship,3,2,255,3,medium,F,8,0
427,D,Flight,3,4,167,3,medium,M,52,1
2486,F,Ship,5,3,210,2,medium,M,44,1
7911,A,Ship,4,4,254,3,low,M,7,0
1021,D,Ship,3,4,166,3,medium,M,43,1
5457,A,Road,3,5,240,8,low,M,9,1
3989,C,Flight,3,1,155,3,medium,F,6,1
9714,F,Road,4,2,247,5,low,M,10,0
10845,A,Ship,5,2,150,3,medium,F,7,0
10292,F,Flight,4,1,146,3,low,F,1,1
5595,A,Road,3,1,220,3,low,F,6,1
8502,F,Flight,6,1,247,6,medium,F,6,0
4686,F,Ship,4,3,195,2,low,M,8,0
2708,F,Ship,2,1,200,3,medium,M,34,1
7308,F,Ship,2,5,101,3,low,M,10,0
9061,D,Ship,3,2,160,3,low,F,7,0
8636,F,Flight,6,2,243,4,low,M,4,0
6367,D,Ship,3,5,227,3,high,M,9,1
7607,C,Ship,5,2,173,3,low,M,8,1
2877,A,Flight,4,5,270,3,low,M,30,1
5897,C,Flight,4,2,252,3,low,F,1,0
8579,C,Ship,4,5,253,3,low,F,1,0
10255,D,Road,3,5,217,3,medium,M,3,0
7781,C,Ship,2,3,219,4,low,F,9,0
8092,B,Flight,3,4,184,3,low,F,2,0
6538,B,Ship,6,4,279,4,low,F,1,1
1976,F,Ship,3,1,187,2,high,M,56,1
558,F,Flight,2,3,198,2,medium,M,28,1
5484,F,Flight,3,4,252,4,low,F,10,0
7334,F,Ship,3,4,158,2,medium,M,7,0
4503,A,Road,4,5,148,8,medium,M,6,0
735,A,Ship,3,4,265,8,low,M,2,1
8657,C,Ship,$7,5,265,4,low,F,1,0
4892,F,Ship,3,4,197,2,low,F,3,0
6387,A,Ship,3,2,167,3,medium,M,5,1
8194,B,Road,4,2,189,2,medium,M,5,0
5473,D,Road,4,1,241,3,low,M,4,1
249,A,Road,2,2,134,3,low,F,38,1
6265,D,Ship,6,4,244,4,medium,F,1,1
4990,B,Ship,2,4,151,4,low,F,2,0
2825,C,Ship,4,1,180,3,medium,M,27,1
6012,F,Road,$7,1,276,4,low,F,8,1
2370,F,Ship,4,5,144,3,low,M,9,1
265,D,Road,5,3,271,5,high,M,9,1
10135,D,Flight,4,5,211,2,low,F,4,1
10878,F,Ship,4,4,151,2,low,M,8,0
9164,F,Road,6,1,264,4,low,M,5,0
